,name,rating,website,location,wheelchair,family,image_link-src,description,meta_descriptions,latitude,longitude
0,1719 William Trent House Museum,4.4,williamtrenthouse.org,"15 Market St, Trenton, NJ 08611",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipNa93Ow1Ba5IoI7nk9S4VyCtweXDzi1C2wTGo8r=w408-h342-k-no,"Historic brick house dating to 1719, now a museum with gardens, tours, events & lectures.",,40.21423,-74.764186
1,1859 Jail Museum,4.5,jchs.org,"217 N Main St, Independence, MO 64050",,Amenities    Gender-neutral restroom   Good for kids   Restroom,https://lh5.googleusercontent.com/p/AF1QipMXbn6MsazyRVvkTtrD5AqAvfBNbWcty_7gAtwK=w408-h306-k-no,"Limestone cellblock where the outlaw Frank James did time, next to the town marshal's former home.","The Jackson County Historical Society preserves the stories, histories, 
records and images of Jackson County, Missouri.",39.0934657,-94.41543589999999
2,2 Doors Down,4.5,2doorsdown.net,"118 E 17th St, Cheyenne, WY 82001",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating,Amenities    Bar onsite   Good for kids   High chairs   Restroom   Free Wi-Fi,https://lh5.googleusercontent.com/p/AF1QipNPVksOU-niM9IbFQLNYwD0hwRHU7tRm1Xzcblr=w408-h306-k-no,American outpost known for a variety of burgers with specialty toppings plus all-you-can-eat fries.,WELCOME PAGE 2 DOORS DOWN ,41.13459,-104.8141355
3,360 CHICAGO,4.6,360chicago.com,"875 N Michigan Ave 94th floor, Chicago, IL 60611",Accessibility    Wheelchair accessible entrance,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipPWC7vdto36lNFn9pRUOadAgG--E72o8M_d6UiK=w408-h353-k-no,Observatory on the 94th floor of the John Hancock Building with a tilting glass lookout 1000 ft. up.,"Come experience breathtaking 360° views from 1,000 ft. above the Magnificent Mile at the 360 Chicago observation deck! (Located in former John Hancock Center)",41.8989127,-87.623347
4,54th Street Grill & Bar,4.3,54thstreetgrill.com,"14750 S Harrison St, Olathe, KS 66061",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating,Amenities    Bar onsite   Good for kids   High chairs   Restroom,https://lh5.googleusercontent.com/p/AF1QipOFtggIXEUXS2z8G_uyQ3vke28tAmioUUnMoTSh=w408-h240-k-no-pi0-ya210.72989-ro-0-fo100,"Chain offering a broad American menu & drinks in a relaxed setting with kitschy, eclectic decor.","Located in the Kansas City, St. Louis, San Antonio, Dallas and Fort Worth metro areas, 54th Street Grill and Bar is a family restaurant offering fresh food, express to go, specialty drinks, and a fun dining out experience; and now offers 32-54 draft beers at certain restaurant and drafthouse locations in Texas.",38.8604397,-94.81670849999999
5,A Christmas Story House,4.7,achristmasstoryhouse.com,"3159 W 11th St, Cleveland, OH 44109",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom,Amenities    Gender-neutral restroom   Good for kids   Restaurant   Restroom   Free Wi-Fi,https://lh5.googleusercontent.com/p/AF1QipNKMnW9pWv_LBLK3l46aMK5uljWiba9x4-xbEb2=w408-h544-k-no,"House used in ""A Christmas Story"" film, now a museum with a replicated interior & film memorabilia.",,41.4687204,-81.6874132
6,A Park Above,4.8,rrnm.gov,"2441 Westside Ct SE, Rio Rancho, NM 87124",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipMWdYzzLo5ImXDtYA39Q8FPMwNxqfM5atKP0uyt=w426-h240-k-no,"Green space with ample playground equipment, plus a splash pad, wheelchair swings & covered tables.",,35.2221084,-106.6855045
7,ABQ BioPark,4.5,cabq.gov,"903 10th St SW, Albuquerque, NM 87102",Accessibility    Wheelchair accessible entrance,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipO3oPywuELjUlRmxoobXMDtM2-8gPPypINHQvZV=w408-h326-k-no,"Over 250 species of animal life in a natural environment, including polar bears, monkeys & koalas.",,35.0779794,-106.6630959
8,Absecon Lighthouse,4.6,abseconlighthouse.org,"31 S Rhode Island Ave, Atlantic City, NJ 08401",,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipNuN7OuWGYm_hSUhDpK43zr9vtvT2MHFtGgptA5=w408-h544-k-no,History museum & state's tallest lighthouse open for climbing with sweeping views of Atlantic City.,"•The only lighthouse in New Jersey with its original first-order Fresnel Lens still in place at the top.  Although Absecon Lighthouse was officially decommissioned in 1933, the lens is lit every evening for people to enjoy its beauty.",39.3662627,-74.4139065
9,Acadian Cultural Center,4.7,nps.gov,"501 Fisher Rd, Lafayette, LA 70508",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,,https://lh5.googleusercontent.com/p/AF1QipObs3sYHPu0YW4MCF52LtEbdR4lVtx9oUh8cX_i=w408-h306-k-no,"Free Cajun history museum with artifacts, an educational film shown every hour & a gift shop.",The National Park Service cares for special places saved by the American people so that all may experience our heritage.,30.2135027,-91.99415549999999
