web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654899067-1884","https://www.google.com/maps/place/Frightland/@39.6517971,-76.9337138,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+middleton+de!3m5!1s0x89c7a0767ba0cead:0xdc35d4a3fdb7bd46!8m2!3d39.5262199!4d-75.6463993!15sChx0aGluZ3MgdG8gZG8gaW4gbWlkZGxldG9uIGRlWh4iHHRoaW5ncyB0byBkbyBpbiBtaWRkbGV0b24gZGWSAQ1oYXVudGVkX2hvdXNlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5IWjNGWWNqTkJSUkFC","Frightland","4.3","frightland.com","309 Port Penn Rd, Middletown, DE 19709","null","null","https://lh5.googleusercontent.com/p/AF1QipOmOGPH9yL1nPC74_NzlgFAhfRtPvJovXfICk4Y=w426-h240-k-no","null"
"1654898995-1877","https://www.google.com/maps/place/Mid+County+Lanes+and+Entertainment/@39.6517971,-76.9337138,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+middleton+de!3m6!1s0x89c7a07c3cbdec3f:0xf0642e14837d41b5!8m2!3d39.4609845!4d-75.7186733!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbWlkZGxldG9uIGRlWh4iHHRoaW5ncyB0byBkbyBpbiBtaWRkbGV0b24gZGWSAQ1ib3dsaW5nX2FsbGV5mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5oT1dScFlXdDNSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","null","null","Entertainment center featuring bowling, laser tag, bumper cars & other family-friendly games."
"1654899036-1881","https://www.google.com/maps/place/Charles+E.+Price+Memorial+Park/@39.6517971,-76.9337138,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+middleton+de!3m6!1s0x89c79f8879190a63:0x32e73933e1a49cdc!8m2!3d39.4260435!4d-75.7490694!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbWlkZGxldG9uIGRlWh4iHHRoaW5ncyB0byBkbyBpbiBtaWRkbGV0b24gZGWSAQ1tZW1vcmlhbF9wYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5YTBsMWRuQm5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Large park offering a fishing pond, walking trails, picnic pavilions, a dog park & playgrounds."
"1654898984-1876","https://www.google.com/maps/place/Tom+Foolery's+Restaurant+%26+Bar/@39.4590315,-75.7574591,14z/data=!4m9!1m2!2m1!1sfood+in+middleton+de!3m5!1s0x89c7a07b69085681:0x3c3a9a5f5f1fd8c8!8m2!3d39.4590288!4d-75.7244793!15sChVmb29kIGluIG1pZGRsZXRvd24gZGVaFyIVZm9vZCBpbiBtaWRkbGV0b3duIGRlkgETYW1lcmljYW5fcmVzdGF1cmFudA","Tom Foolery's Restaurant & Bar","4.3","tomfoolerysbar.com","714 Ash Blvd, Middletown, DE 19709","null","null","https://lh5.googleusercontent.com/p/AF1QipNjygIrX2JoXpWmUwvmDeGPPNmkHv-tVjQPtwmW=w408-h306-k-no","null"
"1654899046-1882","https://www.google.com/maps/place/Charles+E.+Price+Memorial+Park/@39.6517971,-76.9337138,8z/data=!4m6!1m2!2m1!1sthings+to+do+in+middleton+de!3m2!1s0x89c79f8879190a63:0x32e73933e1a49cdc!15sChx0aGluZ3MgdG8gZG8gaW4gbWlkZGxldG9uIGRlWh4iHHRoaW5ncyB0byBkbyBpbiBtaWRkbGV0b24gZGWSAQ1tZW1vcmlhbF9wYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5YTBsMWRuQm5SUkFC","Charles E. Price Memorial Park","4.7","middletown.delaware.gov","955 Levels Rd, Middletown, DE 19709","null","null","https://lh5.googleusercontent.com/p/AF1QipNHiOHpPzysyNNIBqGB9Gg6wwEHVb7fiwmM5I4S=w408-h306-k-no","null"
"1654899025-1880","https://www.google.com/maps/place/Bombay+Hook+National+Wildlife+Refuge/@39.6517971,-76.9337138,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+middleton+de!3m5!1s0x89c76f39eb657697:0x314379e15fd4ecb9!8m2!3d39.2583667!4d-75.4550812!15sChx0aGluZ3MgdG8gZG8gaW4gbWlkZGxldG9uIGRlWh4iHHRoaW5ncyB0byBkbyBpbiBtaWRkbGV0b24gZGWSAQ93aWxkbGlmZV9yZWZ1Z2WaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkhkRzl4WDNwQlJSQUI","Bombay Hook National Wildlife Refuge","4.7","fws.gov","2591 Whitehall Neck Rd, Smyrna, DE 19977","null","null","https://lh5.googleusercontent.com/p/AF1QipOvCHRfTPjBh1wgQBfjri7iF_9DxalHpYCVAY0h=w408-h272-k-no","null"
"1654899005-1878","https://www.google.com/maps/place/Mid+County+Lanes+and+Entertainment/@39.6517971,-76.9337138,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+middleton+de!3m5!1s0x89c7a07c3cbdec3f:0xf0642e14837d41b5!8m2!3d39.4609845!4d-75.7186733!15sChx0aGluZ3MgdG8gZG8gaW4gbWlkZGxldG9uIGRlWh4iHHRoaW5ncyB0byBkbyBpbiBtaWRkbGV0b24gZGWSAQ1ib3dsaW5nX2FsbGV5mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5oT1dScFlXdDNSUkFC","Mid County Lanes and Entertainment","4.1","midcountylanes.com","875 N Broad St, Middletown, DE 19709","null","null","https://lh5.googleusercontent.com/p/AF1QipPhfNdVmC3VQzMf2GE1e214A8AM-e1gU7W4k9IB=w408-h306-k-no","null"
"1654898974-1875","https://www.google.com/maps/place/Tom+Foolery's+Restaurant+%26+Bar/@39.4590315,-75.7574591,14z/data=!4m10!1m2!2m1!1sfood+in+middleton+de!3m6!1s0x89c7a07b69085681:0x3c3a9a5f5f1fd8c8!8m2!3d39.4590288!4d-75.7244793!10e1!15sChVmb29kIGluIG1pZGRsZXRvd24gZGVaFyIVZm9vZCBpbiBtaWRkbGV0b3duIGRlkgETYW1lcmljYW5fcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs   Free Wi-Fi","null","Neighborhood haunt offering pub grub & drink specials, plus live entertainment & TVs showing sports."
"1654899015-1879","https://www.google.com/maps/place/Bombay+Hook+National+Wildlife+Refuge/@39.6517971,-76.9337138,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+middleton+de!3m6!1s0x89c76f39eb657697:0x314379e15fd4ecb9!8m2!3d39.2583667!4d-75.4550812!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbWlkZGxldG9uIGRlWh4iHHRoaW5ncyB0byBkbyBpbiBtaWRkbGV0b24gZGWSAQ93aWxkbGlmZV9yZWZ1Z2WaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkhkRzl4WDNwQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Tidal salt marsh & birding destination with trails, observation towers & a 12-mile wildlife drive."
"1654899056-1883","https://www.google.com/maps/place/Frightland/@39.6517971,-76.9337138,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+middleton+de!3m6!1s0x89c7a0767ba0cead:0xdc35d4a3fdb7bd46!8m2!3d39.5262199!4d-75.6463993!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbWlkZGxldG9uIGRlWh4iHHRoaW5ncyB0byBkbyBpbiBtaWRkbGV0b24gZGWSAQ1oYXVudGVkX2hvdXNlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5IWjNGWWNqTkJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Annual attraction with carnival rides & fear-themed areas from a haunted barn to a horror hay ride."
