web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654899401-1904","https://www.google.com/maps/place/Southbank+Riverwalk/@30.4022236,-82.1706016,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+jacksonville+fl!3m6!1s0x88e5b722f5be1509:0x12cddd62050de3c0!8m2!3d30.3201479!4d-81.6564993!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gamFja3NvbnZpbGxlIGZsWiEiH3RoaW5ncyB0byBkbyBpbiBqYWNrc29udmlsbGUgZmySARJ0b3VyaXN0X2F0dHJhY3Rpb26aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlhiVW96UW1abkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","1.25-mi. paved promenade along the St. Johns River with art, benches & city & sunset views."
"1654899339-1898","https://www.google.com/maps/place/MOCA+(Museum+Of+Contemporary+Art),+Jacksonville/@30.4022236,-82.1706016,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+jacksonville+fl!3m6!1s0x88e5b717f4b43df5:0x689f221570cb3cca!8m2!3d30.3293087!4d-81.6584825!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gamFja3NvbnZpbGxlIGZsWiEiH3RoaW5ncyB0byBkbyBpbiBqYWNrc29udmlsbGUgZmySAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlhjMUJ1U25KM1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Art museum features changing exhibition galleries along with permanent works & a children's area."
"1654899350-1899","https://www.google.com/maps/place/MOCA+(Museum+Of+Contemporary+Art),+Jacksonville/@30.4022236,-82.1706016,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+jacksonville+fl!3m5!1s0x88e5b717f4b43df5:0x689f221570cb3cca!8m2!3d30.3293087!4d-81.6584825!15sCh90aGluZ3MgdG8gZG8gaW4gamFja3NvbnZpbGxlIGZsWiEiH3RoaW5ncyB0byBkbyBpbiBqYWNrc29udmlsbGUgZmySAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlhjMUJ1U25KM1JSQUI","MOCA (Museum Of Contemporary Art), Jacksonville","4.4","mocajacksonville.unf.edu","333 N Laura St, Jacksonville, FL 32202","null","null","https://lh5.googleusercontent.com/p/AF1QipMZfCYFhY6sAK1XL-0HgIYHHlLB53fYVEFf95R6=w648-h240-k-no","null"
"1654899411-1905","https://www.google.com/maps/place/Southbank+Riverwalk/@30.4022236,-82.1706016,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+jacksonville+fl!3m2!1s0x88e5b722f5be1509:0x12cddd62050de3c0!15sCh90aGluZ3MgdG8gZG8gaW4gamFja3NvbnZpbGxlIGZsWiEiH3RoaW5ncyB0byBkbyBpbiBqYWNrc29udmlsbGUgZmySARJ0b3VyaXN0X2F0dHJhY3Rpb26aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlhiVW96UW1abkVBRQ","Southbank Riverwalk","4.6","downtownjacksonville.org","1001 Museum Cir, Jacksonville, FL 32207","null","null","https://lh5.googleusercontent.com/p/AF1QipNvArvJlKadGjffrF2bMFXIOM4vq7EM9Hzt6qWf=w408-h306-k-no","null"
"1654899473-1911","https://www.google.com/maps/place/Jacksonville+Zoo+and+Gardens/@30.3738527,-81.815133,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+jacksonville+fl!3m5!1s0x88e5b1abc08e43e5:0xcd4de1d660b56302!8m2!3d30.4022236!4d-81.6432579!15sCh90aGluZ3MgdG8gZG8gaW4gamFja3NvbnZpbGxlIGZsWiEiH3RoaW5ncyB0byBkbyBpbiBqYWNrc29udmlsbGUgZmySAQN6b2-aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkxMV1ZxY2pkQlJSQUI","Jacksonville Zoo and Gardens","4.6","jacksonvillezoo.org","370 Zoo Pkwy, Jacksonville, FL 32218","null","null","https://lh5.googleusercontent.com/p/AF1QipNkE626v2uqeNT7LwRqBzkOT3xMaMQUTDLeFlCk=w408-h270-k-no","null"
"1654899442-1908","https://www.google.com/maps/place/Jacksonville+Arboretum+%26+Gardens/@30.4022236,-82.1706016,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+jacksonville+fl!3m6!1s0x88e5b3604e3df9eb:0xb0f28644cac28466!8m2!3d30.3461357!4d-81.5397758!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gamFja3NvbnZpbGxlIGZsWiEiH3RoaW5ncyB0byBkbyBpbiBqYWNrc29udmlsbGUgZmySARBib3RhbmljYWxfZ2FyZGVumgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJYZFRreVNFMVJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","This 120 acre arboretum provides rustic trails through the woods & labelled plant life."
"1654899463-1910","https://www.google.com/maps/place/Jacksonville+Zoo+and+Gardens/@30.4022236,-82.1706016,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+jacksonville+fl!3m6!1s0x88e5b1abc08e43e5:0xcd4de1d660b56302!8m2!3d30.4022236!4d-81.6432579!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gamFja3NvbnZpbGxlIGZsWiEiH3RoaW5ncyB0byBkbyBpbiBqYWNrc29udmlsbGUgZmySAQN6b2-aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkxMV1ZxY2pkQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Vast zoo highlighting local as well as African wildlife with gardens, a train & a kids' zone."
"1654899309-1895","https://www.google.com/maps/place/Hawkers+Asian+Street+Food/@30.3641888,-81.7760676,11z/data=!4m9!1m2!2m1!1sfood+in+jacksonville!3m5!1s0x88e5b77a00497983:0x921d0c7b06fcfbdd!8m2!3d30.315006!4d-81.680353!15sChRmb29kIGluIGphY2tzb252aWxsZVoWIhRmb29kIGluIGphY2tzb252aWxsZZIBEGFzaWFuX3Jlc3RhdXJhbnQ","Hawkers Asian Street Food","4.5","eathawkers.com","1001 Park St, Jacksonville, FL 32204","null","null","https://lh5.googleusercontent.com/p/AF1QipNh0dx4Qqpjzct_Rma9MN0IzKFCcxWT-oCh0rDa=w408-h306-k-no","null"
"1654899319-1896","https://www.google.com/maps/place/Timucuan+Ecological+and+Historical+Preserve/@30.4022236,-82.1706016,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+jacksonville+fl!3m6!1s0x88e5ad1a63b7a829:0x4cb7fea1cfc57999!8m2!3d30.4544578!4d-81.4498717!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gamFja3NvbnZpbGxlIGZsWiEiH3RoaW5ncyB0byBkbyBpbiBqYWNrc29udmlsbGUgZmySAQ9uYXR1cmVfcHJlc2VydmWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlhjWEJQTFRSblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Historic coastal nature preserve with wetland, salt marsh & hardwood forest habitats."
"1654899452-1909","https://www.google.com/maps/place/Jacksonville+Arboretum+%26+Gardens/@30.4022236,-82.1706016,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+jacksonville+fl!3m2!1s0x88e5b3604e3df9eb:0xb0f28644cac28466!15sCh90aGluZ3MgdG8gZG8gaW4gamFja3NvbnZpbGxlIGZsWiEiH3RoaW5ncyB0byBkbyBpbiBqYWNrc29udmlsbGUgZmySARBib3RhbmljYWxfZ2FyZGVumgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJYZFRreVNFMVJFQUU","Jacksonville Arboretum & Gardens","4.8","jacksonvillearboretum.org","1445 Millcoe Rd, Jacksonville, FL 32225","null","null","https://lh5.googleusercontent.com/p/AF1QipMWF04mfFnk2y-8gh34kAk5VNvImbBl7w0PWObJ=w408-h306-k-no","null"
"1654899391-1903","https://www.google.com/maps/place/Kingsley+Plantation/@30.4022236,-82.1706016,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+jacksonville+fl!3m5!1s0x88e44c8b89a7089f:0x842feb9aeabe9713!8m2!3d30.4398902!4d-81.4378092!15sCh90aGluZ3MgdG8gZG8gaW4gamFja3NvbnZpbGxlIGZsWiEiH3RoaW5ncyB0byBkbyBpbiBqYWNrc29udmlsbGUgZmySAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU0yTjNWSFptcDNSUkFC","Kingsley Plantation","4.6","nps.gov","11676 Palmetto Ave, Jacksonville, FL 32226","null","null","https://lh5.googleusercontent.com/p/AF1QipOQWFXauW25xrAK2uFVeI7E-deJuCYLPjqVNDAH=w408-h306-k-no","null"
"1654899278-1892","https://www.google.com/maps/place/Austin's+Soul+Food+Restaurant/@30.315006,-81.9440249,11z/data=!4m10!1m2!2m1!1sfood+in+jacksonville!3m6!1s0x88e5b0deee49b393:0x664a11390b89f42c!8m2!3d30.368277!4d-81.6518619!10e1!15sChRmb29kIGluIGphY2tzb252aWxsZVoWIhRmb29kIGluIGphY2tzb252aWxsZZIBFHNvdWxfZm9vZF9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Unfussy counter-serve eatery doling out fried chicken, BBQ ribs, greens & other hearty comfort eats."
