web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654895322-1720","https://www.google.com/maps/place/Tubbs+Hill/@47.6702532,-117.9022526,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+coeur+d'alene+idaho!3m6!1s0x5361c6616b65c7ef:0x37578d9c69d0a7ec!8m2!3d47.6702532!4d-116.7816471!10e1!15sCiN0aGluZ3MgdG8gZG8gaW4gY29ldXIgZCdhbGVuZSBpZGFob1olIiN0aGluZ3MgdG8gZG8gaW4gY29ldXIgZCBhbGVuZSBpZGFob5IBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTmhNVXRYWmpaUlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Picturesque, lakefront 120-acre park with native vegetation & trails for hiking."
"1654895301-1718","https://www.google.com/maps/place/McEuen+Park+and+Dog+Park/@47.6702532,-117.9022526,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+coeur+d'alene+idaho!3m6!1s0x5361c660e30456cf:0x37cc24f408b70d18!8m2!3d47.6715034!4d-116.7792032!10e1!15sCiN0aGluZ3MgdG8gZG8gaW4gY29ldXIgZCdhbGVuZSBpZGFob1olIiN0aGluZ3MgdG8gZG8gaW4gY29ldXIgZCBhbGVuZSBpZGFob5IBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUm5OR1JEVjJ4QlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Lakeside park with recreation trails, a large playground with a splash pad & an off-leash dog area."
"1654895270-1715","https://www.google.com/maps/place/Museum+of+North+Idaho/@47.6702532,-117.9022526,9z/data=!3m1!5s0x5361c6618eafab61:0x28eed5810847f30f!4m6!1m2!2m1!1sthings+to+do+in+coeur+d'alene+idaho!3m2!1s0x5361c68a20114ffd:0x7906a49f9117a821!15sCiN0aGluZ3MgdG8gZG8gaW4gY29ldXIgZCdhbGVuZSBpZGFob1olIiN0aGluZ3MgdG8gZG8gaW4gY29ldXIgZCBhbGVuZSBpZGFob5IBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSTE9VdFFTbmxuUlJBQg","Museum of North Idaho","4.6","museumni.org","115 Northwest Blvd, Coeur d'Alene, ID 83814","null","null","https://lh5.googleusercontent.com/p/AF1QipO3reG08Giy2_3fKSY5O84slq_YP03qc42Ylmp4=w408-h306-k-no","null"
"1654895332-1721","https://www.google.com/maps/place/Tubbs+Hill/@47.7838075,-117.0803796,9z/data=!4m6!1m2!2m1!1sthings+to+do+in+coeur+d'alene+idaho!3m2!1s0x5361c6616b65c7ef:0x37578d9c69d0a7ec!15sCiN0aGluZ3MgdG8gZG8gaW4gY29ldXIgZCdhbGVuZSBpZGFob1olIiN0aGluZ3MgdG8gZG8gaW4gY29ldXIgZCBhbGVuZSBpZGFob5IBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTmhNVXRYWmpaUlJSQUI","Tubbs Hill","4.8","tubbshill.org","208 S 3rd St, Coeur d'Alene, ID 83814","null","null","https://lh5.googleusercontent.com/p/AF1QipM1DSgpleckScet_GofKBGQ3demu9yE3SpYUwE=w408-h271-k-no","null"
"1654895280-1716","https://www.google.com/maps/place/Timberline+Adventures/@47.6702532,-117.9022526,9z/data=!3m1!5s0x5361c6618eafab61:0x28eed5810847f30f!4m10!1m2!2m1!1sthings+to+do+in+coeur+d'alene+idaho!3m6!1s0x5361c661dcf7460d:0x5a450e6bc9e99dee!8m2!3d47.6730938!4d-116.7828051!10e1!15sCiN0aGluZ3MgdG8gZG8gaW4gY29ldXIgZCdhbGVuZSBpZGFob1olIiN0aGluZ3MgdG8gZG8gaW4gY29ldXIgZCBhbGVuZSBpZGFob5IBEnRvdXJpc3RfYXR0cmFjdGlvbpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSdGIzSTJWWFpSUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Takeoff point for a company offering zip-line tours through the mountains, 12 mi. east of downtown."
"1654895291-1717","https://www.google.com/maps/place/Timberline+Adventures/@47.6702532,-117.9022526,9z/data=!4m6!1m2!2m1!1sthings+to+do+in+coeur+d'alene+idaho!3m2!1s0x5361c661dcf7460d:0x5a450e6bc9e99dee!15sCiN0aGluZ3MgdG8gZG8gaW4gY29ldXIgZCdhbGVuZSBpZGFob1olIiN0aGluZ3MgdG8gZG8gaW4gY29ldXIgZCBhbGVuZSBpZGFob5IBEnRvdXJpc3RfYXR0cmFjdGlvbpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSdGIzSTJWWFpSUlJBQg","Timberline Adventures","4.9","ziptimberline.com","210 Sherman Ave #131, Coeur d'Alene, ID 83814","null","null","https://lh5.googleusercontent.com/p/AF1QipPeucgCjrryC9H8X-ByBMvlmg2yTeC-c5XD_mB-=w408-h272-k-no","null"
"1654895239-1712","https://www.google.com/maps/place/Collective+Kitchen/@47.6897959,-116.8297611,13z/data=!4m10!1m2!2m1!1sfood+in+coeur+d'alene!3m6!1s0x5361c6606a3a0d2d:0x90c980b0a1f984e4!8m2!3d47.6736977!4d-116.7795833!10e1!15sChVmb29kIGluIGNvZXVyIGQnYWxlbmVaFyIVZm9vZCBpbiBjb2V1ciBkIGFsZW5lkgEabmV3X3VzX2FtZXJpY2FuX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    High chairs","null","Modest bistro offering New American comfort fare, including breakfast options, plus a patio."
"1654895250-1713","https://www.google.com/maps/place/Collective+Kitchen/@47.6897959,-116.8297611,13z/data=!4m6!1m2!2m1!1sfood+in+coeur+d'alene!3m2!1s0x5361c6606a3a0d2d:0x90c980b0a1f984e4!15sChVmb29kIGluIGNvZXVyIGQnYWxlbmVaFyIVZm9vZCBpbiBjb2V1ciBkIGFsZW5lkgEabmV3X3VzX2FtZXJpY2FuX3Jlc3RhdXJhbnQ","Collective Kitchen","4.5","facebook.com","501 Sherman Ave, Coeur d'Alene, ID 83814","null","null","https://lh5.googleusercontent.com/p/AF1QipONnQ3dMVIQIwb5Z2oA9nTdLMhHJCqw9vufvXrY=w408-h306-k-no","null"
"1654895311-1719","https://www.google.com/maps/place/McEuen+Park+and+Dog+Park/@47.6702532,-117.9022526,9z/data=!4m9!1m2!2m1!1sthings+to+do+in+coeur+d'alene+idaho!3m5!1s0x5361c660e30456cf:0x37cc24f408b70d18!8m2!3d47.6715034!4d-116.7792032!15sCiN0aGluZ3MgdG8gZG8gaW4gY29ldXIgZCdhbGVuZSBpZGFob1olIiN0aGluZ3MgdG8gZG8gaW4gY29ldXIgZCBhbGVuZSBpZGFob5IBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUm5OR1JEVjJ4QlJSQUI","McEuen Park and Dog Park","4.7","cdaid.org","420 E Front Ave, Coeur d'Alene, ID 83814","null","null","https://lh5.googleusercontent.com/p/AF1QipMeFXHrwVQBgTgP61AHTeO8Uti8vdATF-N8GVvX=w408-h544-k-no","null"
"1654895260-1714","https://www.google.com/maps/place/Museum+of+North+Idaho/@47.6702532,-117.9022526,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+coeur+d'alene+idaho!3m6!1s0x5361c68a20114ffd:0x7906a49f9117a821!8m2!3d47.6746556!4d-116.7873491!10e1!15sCiN0aGluZ3MgdG8gZG8gaW4gY29ldXIgZCdhbGVuZSBpZGFob1olIiN0aGluZ3MgdG8gZG8gaW4gY29ldXIgZCBhbGVuZSBpZGFob5IBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSTE9VdFFTbmxuUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Exhibits on the region's past showcased in a simple venue with a shop selling books & souvenirs."
