web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654896809-705","https://www.google.com/maps/place/Field+Museum/@41.8691632,-87.9310831,10z/data=!3m1!5s0x880e2b62c3665e97:0xdfa1750d61d779e0!4m9!1m2!2m1!1sthings+to+do+in+chicago!3m5!1s0x880e2b7d33304057:0xb51220475f7ec7da!8m2!3d41.866261!4d-87.6169805!15sChd0aGluZ3MgdG8gZG8gaW4gY2hpY2Fnb1oZIhd0aGluZ3MgdG8gZG8gaW4gY2hpY2Fnb5IBBm11c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeWFuTkVjMk5CRUFF","Field Museum","4.7","fieldmuseum.org","1400 S Lake Shore Dr, Chicago, IL 60605","null","null","https://lh5.googleusercontent.com/p/AF1QipOKiR2GlbnAGKzOwtJrOCA7NAuL0yRE-Q2Y1uXd=w426-h240-k-no","null"
"1654896869-708","https://www.google.com/maps/place/Garfield+Park+Conservatory/@41.8691632,-87.9310831,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+chicago!3m6!1s0x880e32b7f3180569:0xd2217483684883aa!8m2!3d41.8862729!4d-87.7172554!10e1!15sChd0aGluZ3MgdG8gZG8gaW4gY2hpY2Fnb1oZIhd0aGluZ3MgdG8gZG8gaW4gY2hpY2Fnb5IBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXlhblpYY25WQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Public restroom","null","184-acre park with a swimming pool, fishing lagoon, athletic fields, tennis courts & more."
"1654896849-707","https://www.google.com/maps/place/Millennium+Park/@41.8691632,-87.9310831,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+chicago!3m5!1s0x880e2ca68a4f9c03:0x44182cdcb5a91004!8m2!3d41.8825524!4d-87.6225514!15sChd0aGluZ3MgdG8gZG8gaW4gY2hpY2Fnb1oZIhd0aGluZ3MgdG8gZG8gaW4gY2hpY2Fnb5IBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnhkWEZUTmt0M0VBRQ","Millennium Park","4.8","chicago.gov","201 E Randolph St, Chicago, IL 60602","null","null","https://lh5.googleusercontent.com/p/AF1QipNr0_J34QPvK2bUGcWURqJAUXTGxi7a9vt2DMCA=w426-h240-k-no","null"
"1654896486-689","https://www.google.com/maps/place/Jarabe+Mexican+Street+Food/@41.8434667,-87.8169453,11z/data=!3m1!5s0x880e2d15d53aca49:0x5987150685d8b559!4m9!1m2!2m1!1sfood+in+chicago!3m5!1s0x880e2d6e7cc5b2f7:0x57a43f30718eb535!8m2!3d41.8738445!4d-87.6718855!15sCg9mb29kIGluIGNoaWNhZ29aESIPZm9vZCBpbiBjaGljYWdvkgESbWV4aWNhbl9yZXN0YXVyYW50","Jarabe Mexican Street Food","4.6","jarabechicago.com","1835 W Harrison St, Chicago, IL 60612","null","null","https://lh5.googleusercontent.com/p/AF1QipO2U7HEhqh3PLS-Mv2wzZ0PCQCPU8LLWArYxsoL=w493-h240-k-no","null"
"1654897111-720","https://www.google.com/maps/place/Lincoln+Park+Zoo/@41.8691632,-87.9310831,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+chicago!3m6!1s0x880fd36b093a9a07:0x940cc06f90294db!8m2!3d41.921703!4d-87.6336403!10e1!15sChd0aGluZ3MgdG8gZG8gaW4gY2hpY2Fnb1oZIhd0aGluZ3MgdG8gZG8gaW4gY2hpY2Fnb5IBA3pvb5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VRNE5UZHVYelZSUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Small, free zoo with lions, primates, reptiles, a children's area & an interactive farm exhibit."
"1654896950-712","https://www.google.com/maps/place/Shedd+Aquarium/@41.8691632,-87.9310831,10z/data=!3m1!5s0x880e2b637f0dfc79:0xf2dd92cafc3aeb65!4m10!1m2!2m1!1sthings+to+do+in+chicago!3m6!1s0x880e2b635fb775f9:0x32059de3df50fbdf!8m2!3d41.8675726!4d-87.614038!10e1!15sChd0aGluZ3MgdG8gZG8gaW4gY2hpY2Fnb1oZIhd0aGluZ3MgdG8gZG8gaW4gY2hpY2Fnb5IBCGFxdWFyaXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5ZUZseVdXMUJSUkFC","null","null","null","null","Accessibility    Assistive hearing loop   Wheelchair accessible entrance   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids","null","State-of-the-art indoor aquarium, famous for its variety of habitats & views of Lake Michigan."
"1654896607-695","https://www.google.com/maps/place/Lincoln+Park+Conservatory/@41.8691632,-87.9310831,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+chicago!3m5!1s0x880fd37280bd9ae1:0xfca7f69839207bda!8m2!3d41.9242439!4d-87.6353302!15sChd0aGluZ3MgdG8gZG8gaW4gY2hpY2Fnb1oZIhd0aGluZ3MgdG8gZG8gaW4gY2hpY2Fnb5IBEGJvdGFuaWNhbF9nYXJkZW6aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXljbUZ5VFROM1JSQUI","Lincoln Park Conservatory","4.8","lincolnparkconservancy.org","2391 N Stockton Dr, Chicago, IL 60614","null","null","https://lh5.googleusercontent.com/p/AF1QipPNvga6yAMrckc_te8vLWdOHnt49MbLqo9lbBIN=w426-h240-k-no","null"
"1654896728-701","https://www.google.com/maps/place/Cloud+Gate/@41.8691632,-87.9310831,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+chicago!3m5!1s0x880e2ca687332bf5:0x64d3fefce3a4a51!8m2!3d41.8826572!4d-87.6233039!15sChd0aGluZ3MgdG8gZG8gaW4gY2hpY2Fnb1oZIhd0aGluZ3MgdG8gZG8gaW4gY2hpY2Fnb5IBCXNjdWxwdHVyZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VORGNDMUVWMVZuRUFF","Cloud Gate","4.8","cityofchicago.org","201 E Randolph St, Chicago, IL 60602","null","null","https://lh5.googleusercontent.com/p/AF1QipO09w4iBHTBboM6twp5E_oSQsxkHkyZUJ9lfH5H=w408-h306-k-no","null"
"1654896768-703","https://www.google.com/maps/place/Maggie+Daley+Park/@41.8691632,-87.9310831,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+chicago!3m5!1s0x880e2b587c65e43b:0xab7aa63b15c80bf8!8m2!3d41.8823823!4d-87.6193686!15sChd0aGluZ3MgdG8gZG8gaW4gY2hpY2Fnb1oZIhd0aGluZ3MgdG8gZG8gaW4gY2hpY2Fnb5IBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlBMWEZ5VkhsM1JSQUI","Maggie Daley Park","4.7","maggiedaleypark.com","337 E Randolph St, Chicago, IL 60601","null","null","https://lh5.googleusercontent.com/p/AF1QipOoCLaI7GXHCeL6pLU_2ydJmu5h-6GQ0PkMe18K=w408-h306-k-no","null"
"1654897172-723","https://www.google.com/maps/place/Skydeck+Chicago/@41.8691632,-87.9310831,10z/data=!3m1!5s0x880e2cb9ef33ea47:0x488801c0e065a0e!4m9!1m2!2m1!1sthings+to+do+in+chicago!3m5!1s0x880e2cbee269fbbb:0xcf09307f0945d4fd!8m2!3d41.8788761!4d-87.635915!15sChd0aGluZ3MgdG8gZG8gaW4gY2hpY2Fnb1oZIhd0aGluZ3MgdG8gZG8gaW4gY2hpY2Fnb5IBEG9ic2VydmF0aW9uX2RlY2uaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkRhM1pmV1VwQkVBRQ","Skydeck Chicago","4.5","theskydeck.com","233 S Wacker Dr, Chicago, IL 60606","null","null","https://lh5.googleusercontent.com/p/AF1QipPshUZ_JHl5RbKac6WTJkLoZh2HXt2GjRusMJ4b=w408-h510-k-no","null"
