web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654889978-1437","https://www.google.com/maps/place/Michigan+Science+Center/@42.3345802,-83.1817222,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+detroti+mi!3m6!1s0x8824d2be63c14d55:0x68dd1993567d083!8m2!3d42.358451!4d-83.0623966!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gZGV0cm90aSBtaVocIhp0aGluZ3MgdG8gZG8gaW4gZGV0cm90aSBtaZIBDnNjaWVuY2VfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJYT0MxbFFrZDNFQUU","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Science & technology museum for kids offers interactive exhibits, a planetarium, shows & a cafe."
"1654889936-1433","https://www.google.com/maps/place/Charles+H.+Wright+Museum+of+African+American+History/@42.3345802,-83.1817222,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+detroti+mi!3m6!1s0x8824d2be514a38e7:0x79ab340c9804a1f0!8m2!3d42.3591715!4d-83.060881!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gZGV0cm90aSBtaVocIhp0aGluZ3MgdG8gZG8gaW4gZGV0cm90aSBtaZIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSWE9EVnlSM2RuUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Exhibits explore African-American history from the Middle Passage to the Underground Railroad."
"1654889957-1435","https://www.google.com/maps/place/Detroit+Historical+Museum/@42.3345802,-83.1817222,11z/data=!3m1!5s0x8824d2bd3fabb573:0xe6f4b5b7848555d0!4m10!1m2!2m1!1sthings+to+do+in+detroti+mi!3m6!1s0x8824d2bd3be8e42b:0x18d12e9e39261789!8m2!3d42.3597909!4d-83.0671394!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gZGV0cm90aSBtaVocIhp0aGluZ3MgdG8gZG8gaW4gZGV0cm90aSBtaZIBDmhpc3RvcnlfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJWYzFCWGExcEJFQUU","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Gender-neutral restroom   Good for kids   Restroom   Restaurant","null","Museum features interactive & revolving exhibits on the city's history, including recreated streets."
"1654889947-1434","https://www.google.com/maps/place/Charles+H.+Wright+Museum+of+African+American+History/@42.3345802,-83.1817222,11z/data=!3m1!5s0x8824d2bd3fabb573:0xe6f4b5b7848555d0!4m6!1m2!2m1!1sthings+to+do+in+detroti+mi!3m2!1s0x8824d2be514a38e7:0x79ab340c9804a1f0!15sChp0aGluZ3MgdG8gZG8gaW4gZGV0cm90aSBtaVocIhp0aGluZ3MgdG8gZG8gaW4gZGV0cm90aSBtaZIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSWE9EVnlSM2RuUlJBQg","Charles H. Wright Museum of African American History","4.8","thewright.org","315 E Warren Ave, Detroit, MI 48201","null","null","//lh4.googleusercontent.com/proxy/tWkUu6Eq8MyYOBinC-5Vc9W7Es6JXcB11pbN47cbUemm-0AmEQbDry0PCV9nByTM5ta4NKdy2-eKruys5_z6HUj2tXOq-xN43yf6muLZ9mS2VMhJAICbgXTF3xIkOkStyO8HIrcbz4aKEVvmS25iMyz_yvtUOm0=w408-h272-k-no","null"
"1654889916-1431","https://www.google.com/maps/place/Motor+City+Soul+Food/@42.4314192,-83.310939,12z/data=!4m10!1m2!2m1!1sfood+in+detroit+mi!3m6!1s0x8824c951505cb239:0xf7ca64fa3b5c81f4!8m2!3d42.4314251!4d-83.1708636!10e1!15sChJmb29kIGluIGRldHJvaXQgbWlaFCISZm9vZCBpbiBkZXRyb2l0IG1pkgEUc291bF9mb29kX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible seating","null","null","Counter-service, no-frills location draws crowds with big portions of classic soul food."
"1654889967-1436","https://www.google.com/maps/place/Detroit+Historical+Museum/@42.3345802,-83.1817222,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+detroti+mi!3m2!1s0x8824d2bd3be8e42b:0x18d12e9e39261789!15sChp0aGluZ3MgdG8gZG8gaW4gZGV0cm90aSBtaVocIhp0aGluZ3MgdG8gZG8gaW4gZGV0cm90aSBtaZIBDmhpc3RvcnlfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJWYzFCWGExcEJFQUU","Detroit Historical Museum","4.7","detroithistorical.org","5401 Woodward Ave, Detroit, MI 48202","null","null","https://lh5.googleusercontent.com/p/AF1QipP8A2so3eE6BtGj12O0GxpmEi_gfD2hGNZ9ksnH=w408-h306-k-no","null"
"1654889988-1438","https://www.google.com/maps/place/Michigan+Science+Center/@42.3345802,-83.1817222,11z/data=!3m1!5s0x8824d2bdb8dfcbf7:0x736b10ed45cf41c0!4m6!1m2!2m1!1sthings+to+do+in+detroti+mi!3m2!1s0x8824d2be63c14d55:0x68dd1993567d083!15sChp0aGluZ3MgdG8gZG8gaW4gZGV0cm90aSBtaVocIhp0aGluZ3MgdG8gZG8gaW4gZGV0cm90aSBtaZIBDnNjaWVuY2VfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJYT0MxbFFrZDNFQUU","Michigan Science Center","4.4","mi-sci.org","5020 John R St, Detroit, MI 48202","null","null","https://lh5.googleusercontent.com/p/AF1QipMVzB_8Gk93GtBk1x-C7mk9l2dAOe7NvPkc8YEO=w446-h240-k-no","null"
"1654890008-1440","https://www.google.com/maps/place/Detroit+Institute+of+Arts/@42.3345802,-83.1817222,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+detroti+mi!3m2!1s0x8824d2bdb912a53b:0x6d1f41a6007513b2!15sChp0aGluZ3MgdG8gZG8gaW4gZGV0cm90aSBtaVocIhp0aGluZ3MgdG8gZG8gaW4gZGV0cm90aSBtaZIBCmFydF9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnhPV1ptVjJwQlJSQUI","Detroit Institute of Arts","4.8","dia.org","5200 Woodward Ave, Detroit, MI 48202","null","null","//lh3.googleusercontent.com/proxy/rvB51dviKoUo3hMF7A8QFNEgmTYWK7RBJMjj534bmAdcnS-38FFAa3siFBd65_aoi8M-MmB7Q6zTQLrfk_WmldYNROOI79BodPeMyS-_b4AOXMNV0SdKPO632VsYBIi6uPC8sVHkhLgXp5S_61Li7ySa_bgTvM4=w408-h272-k-no","null"
"1654889926-1432","https://www.google.com/maps/place/Motor+City+Soul+Food/@42.3825064,-83.1708623,12z/data=!4m6!1m2!2m1!1sfood+in+detroit+mi!3m2!1s0x8824c951505cb239:0xf7ca64fa3b5c81f4!15sChJmb29kIGluIGRldHJvaXQgbWlaFCISZm9vZCBpbiBkZXRyb2l0IG1pkgEUc291bF9mb29kX3Jlc3RhdXJhbnQ","Motor City Soul Food","3.9","facebook.com","12700 W Seven Mile Rd, Detroit, MI 48235","null","null","https://lh5.googleusercontent.com/p/AF1QipOwmoAO7DR1xniAFksZfBHEJjuwRyVs4MtBdPdg=w426-h240-k-no","null"
"1654889998-1439","https://www.google.com/maps/place/Detroit+Institute+of+Arts/@42.3345802,-83.1817222,11z/data=!3m1!5s0x8824d2bdb8dfcbf7:0x736b10ed45cf41c0!4m10!1m2!2m1!1sthings+to+do+in+detroti+mi!3m6!1s0x8824d2bdb912a53b:0x6d1f41a6007513b2!8m2!3d42.3593793!4d-83.064501!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gZGV0cm90aSBtaVocIhp0aGluZ3MgdG8gZG8gaW4gZGV0cm90aSBtaZIBCmFydF9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnhPV1ptVjJwQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Museum featuring 100+ galleries with American & global art on display, from ancient to modern eras."
