web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654884914-258","https://www.google.com/maps/place/ZooMontana/@45.7886225,-108.6663221,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+billings+montana!3m5!1s0x53487d07aaf43045:0xf2e1356d476de3c8!8m2!3d45.7322656!4d-108.6206567!15sCiB0aGluZ3MgdG8gZG8gaW4gYmlsbGluZ3MgbW9udGFuYVoiIiB0aGluZ3MgdG8gZG8gaW4gYmlsbGluZ3MgbW9udGFuYZIBA3pvb5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VObk5tVlVRakJCUlJBQg","ZooMontana","4.5","zoomontana.org","2100 Shiloh Rd, Billings, MT 59106","null","null","https://lh5.googleusercontent.com/p/AF1QipOjIGABLjZoijm9xxG6sXd_4RnXAoKVmh9px983=w408-h271-k-no","null"
"1654884863-253","https://www.google.com/maps/place/Western+Heritage+Center/@45.7322656,-108.9008081,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+billings+montana!3m6!1s0x53487b3101a5680f:0x2a0b77b6e4a55d3f!8m2!3d45.7805697!4d-108.5057959!10e1!15sCiB0aGluZ3MgdG8gZG8gaW4gYmlsbGluZ3MgbW9udGFuYVoiIiB0aGluZ3MgdG8gZG8gaW4gYmlsbGluZ3MgbW9udGFuYZIBDmhpc3RvcnlfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5oTTJWMU4xSjNFQUU","null","null","null","null","Accessibility    Wheelchair accessible parking lot","Amenities    Good for kids","null","The stories of local settlers are told in this Smithsonian facility featuring interactive exhibits."
"1654884853-252","https://www.google.com/maps/place/The+Fieldhouse/@45.7593417,-108.5885272,13z/data=!4m9!1m2!2m1!1sfood+billings+montana!3m5!1s0x53487b2e2a60781d:0xa6cca2b6120385e7!8m2!3d45.7817166!4d-108.501771!15sChVmb29kIGJpbGxpbmdzIG1vbnRhbmFaFyIVZm9vZCBiaWxsaW5ncyBtb250YW5hkgEabmV3X3VzX2FtZXJpY2FuX3Jlc3RhdXJhbnQ","The Fieldhouse","4.5","thefieldhousemt.com","2601 Minnesota Ave, Billings, MT 59101","null","null","https://lh5.googleusercontent.com/p/AF1QipPPiV1wvVRf-CeB1XNHhHGrLL4b3qnGJBi0l3eW=w408-h611-k-no","null"
"1654884904-257","https://www.google.com/maps/place/ZooMontana/@45.7322656,-108.9008081,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+billings+montana!3m6!1s0x53487d07aaf43045:0xf2e1356d476de3c8!8m2!3d45.7322656!4d-108.6206567!10e1!15sCiB0aGluZ3MgdG8gZG8gaW4gYmlsbGluZ3MgbW9udGFuYVoiIiB0aGluZ3MgdG8gZG8gaW4gYmlsbGluZ3MgbW9udGFuYZIBA3pvb5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VObk5tVlVRakJCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Sprawling, park-like zoo showcasing regional & exotic wildlife in open-air & indoor habitats."
"1654884894-256","https://www.google.com/maps/place/Yellowstone+Art+Museum/@45.7322656,-108.9008081,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+billings+montana!3m5!1s0x53487b3afafa0a1b:0xed5571e535f198f0!8m2!3d45.7857294!4d-108.5072323!15sCiB0aGluZ3MgdG8gZG8gaW4gYmlsbGluZ3MgbW9udGFuYVoiIiB0aGluZ3MgdG8gZG8gaW4gYmlsbGluZ3MgbW9udGFuYZIBCmFydF9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlhPRjl1VmtSbkVBRQ","Yellowstone Art Museum","4.6","artmuseum.org","401 N 27th St, Billings, MT 59101","null","null","https://lh5.googleusercontent.com/p/AF1QipNXhUxuV05habALWFHSXf3DqYi81XpegIjD9soy=w545-h240-k-no","null"
"1654884884-255","https://www.google.com/maps/place/Yellowstone+Art+Museum/@45.7322656,-108.9008081,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+billings+montana!3m6!1s0x53487b3afafa0a1b:0xed5571e535f198f0!8m2!3d45.7857294!4d-108.5072323!10e1!15sCiB0aGluZ3MgdG8gZG8gaW4gYmlsbGluZ3MgbW9udGFuYVoiIiB0aGluZ3MgdG8gZG8gaW4gYmlsbGluZ3MgbW9udGFuYZIBCmFydF9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlhPRjl1VmtSbkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair rental","Amenities    Good for kids   Restaurant   Restroom   Free Wi-Fi","null","Showcase for historic art & contemporary works, with an emphasis on regional subjects."
"1654884925-259","https://www.google.com/maps/place/Moss+Mansion+Museum/@45.7886225,-108.6663221,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+billings+montana!3m6!1s0x53487b4833881dff:0xfaa4e4387ade0d4e!8m2!3d45.7796511!4d-108.5159161!10e1!15sCiB0aGluZ3MgdG8gZG8gaW4gYmlsbGluZ3MgbW9udGFuYVoiIiB0aGluZ3MgdG8gZG8gaW4gYmlsbGluZ3MgbW9udGFuYZIBBm11c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSWE9EVjFWVTVSRUFF","null","null","null","null","Accessibility    Wheelchair rental","Amenities    Good for kids","null","Visitors take guided tours of this massive 1901 home with many European architectural influences."
"1654884843-251","https://www.google.com/maps/place/The+Fieldhouse/@45.7593417,-108.5885272,13z/data=!4m10!1m2!2m1!1sfood+billings+montana!3m6!1s0x53487b2e2a60781d:0xa6cca2b6120385e7!8m2!3d45.7817166!4d-108.501771!10e1!15sChVmb29kIGJpbGxpbmdzIG1vbnRhbmFaFyIVZm9vZCBiaWxsaW5ncyBtb250YW5hkgEabmV3X3VzX2FtZXJpY2FuX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs   Restroom   Free Wi-Fi","null","Hip, modern eatery serving American specialties such as burgers & small plates, plus beers & wine."
"1654884874-254","https://www.google.com/maps/place/Western+Heritage+Center/@45.7322656,-108.9008081,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+billings+montana!3m5!1s0x53487b3101a5680f:0x2a0b77b6e4a55d3f!8m2!3d45.7805697!4d-108.5057959!15sCiB0aGluZ3MgdG8gZG8gaW4gYmlsbGluZ3MgbW9udGFuYVoiIiB0aGluZ3MgdG8gZG8gaW4gYmlsbGluZ3MgbW9udGFuYZIBDmhpc3RvcnlfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5oTTJWMU4xSjNFQUU","Western Heritage Center","4.4","ywhc.org","2822 Montana Ave, Billings, MT 59101","null","null","https://lh5.googleusercontent.com/p/AF1QipO728Jb8PKJQ4kesJGWLNNXmbtM7S0Bj00SbHfj=w408-h544-k-no","null"
"1654884935-260","https://www.google.com/maps/place/Moss+Mansion+Museum/@45.7886225,-108.6663221,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+billings+montana!3m5!1s0x53487b4833881dff:0xfaa4e4387ade0d4e!8m2!3d45.7796511!4d-108.5159161!15sCiB0aGluZ3MgdG8gZG8gaW4gYmlsbGluZ3MgbW9udGFuYVoiIiB0aGluZ3MgdG8gZG8gaW4gYmlsbGluZ3MgbW9udGFuYZIBBm11c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSWE9EVjFWVTVSRUFF","Moss Mansion Museum","4.8","mossmansion.com","914 Division St, Billings, MT 59101","null","null","https://lh5.googleusercontent.com/p/AF1QipP_2bFmwzoTRuUv3Kd9Uy5ts8pSFIhS2o9-OM8T=w408-h271-k-no","null"
