web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654878872-61","https://www.google.com/maps/place/Dame's+Chicken+%26+Waffles/@35.9583148,-79.0181593,12z/data=!4m10!1m2!2m1!1sfood+in+durham+n!3m6!1s0x89ace46d7f7e44cd:0xd67d8fd088237d4c!8m2!3d36.001781!4d-78.9012443!10e1!15sChBmb29kIGluIGR1cmhhbSBuWhIiEGZvb2QgaW4gZHVyaGFtIG6SAQpyZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   High chairs","null","Various combos of waffles & buttermilk fried chicken in a simple setting with a jazz theme."
"1654878882-62","https://www.google.com/maps/place/Dame's+Chicken+%26+Waffles/@35.9583148,-79.0181593,12z/data=!4m9!1m2!2m1!1sfood+in+durham+n!3m5!1s0x89ace46d7f7e44cd:0xd67d8fd088237d4c!8m2!3d36.001781!4d-78.9012443!15sChBmb29kIGluIGR1cmhhbSBuWhIiEGZvb2QgaW4gZHVyaGFtIG6SAQpyZXN0YXVyYW50","Dame's Chicken & Waffles","4.3","dameschickenwaffles.com","530 Foster St #130, Durham, NC 27701","null","null","https://lh5.googleusercontent.com/p/AF1QipPx2tX0InRQ6pNuJ_oO-OO1av2HVw6rq3GPg5BH=w408-h306-k-no","null"
"1654878953-69","https://www.google.com/maps/place/Museum+of+Life+and+Science/@36.0500676,-79.0655888,11z/data=!3m1!5s0x89ace3bd07c678e7:0xbb22f5d12c17e990!4m10!1m2!2m1!1sthings+to+do+in+nurham+nc!3m6!1s0x89ace3bd7bd16129:0xff071c37d2f8a9d8!8m2!3d36.0293716!4d-78.8994461!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gZHVyaGFtIG5jWhsiGXRoaW5ncyB0byBkbyBpbiBkdXJoYW0gbmOSAQ5zY2llbmNlX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeWExQllMVU4zRUFF","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair rental","Amenities    Gender-neutral restroom   Good for kids   Restaurant   Restroom   Free Wi-Fi","null","Indoor & outdoor museum with interactive exhibits on space exploration & life on earth."
"1654878923-66","https://www.google.com/maps/place/Nasher+Museum+of+Art/@36.0500676,-79.0655888,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+nurham+nc!3m5!1s0x89ace402a4768e9d:0xc3933f1d11255056!8m2!3d35.9989333!4d-78.9290668!15sChl0aGluZ3MgdG8gZG8gaW4gZHVyaGFtIG5jWhsiGXRoaW5ncyB0byBkbyBpbiBkdXJoYW0gbmOSAQphcnRfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15TXpoNlUwOUJFQUU","Nasher Museum of Art","4.5","nasher.duke.edu","2001 Campus Dr, Durham, NC 27705","null","null","https://lh5.googleusercontent.com/p/AF1QipOmmYJ4ta2s0--9Hok3nBT54DEAv9iCLhc8BYlh=w408-h299-k-no","null"
"1654878892-63","https://www.google.com/maps/place/Museum+of+Durham+History/@36.0500676,-79.0655888,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+nurham+nc!3m6!1s0x89ace472c181966d:0x568418fbf425d2d7!8m2!3d35.9982526!4d-78.9049441!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gZHVyaGFtIG5jWhsiGXRoaW5ncyB0byBkbyBpbiBkdXJoYW0gbmOSARRsb2NhbF9oaXN0b3J5X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOUmFuVmxSbEpCRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Small museum featuring exhibits, artifacts & spoken accounts of regional history & culture."
"1654878963-70","https://www.google.com/maps/place/Museum+of+Life+and+Science/@36.0500676,-79.0655888,11z/data=!3m1!5s0x89ace3bd07c678e7:0xbb22f5d12c17e990!4m9!1m2!2m1!1sthings+to+do+in+nurham+nc!3m5!1s0x89ace3bd7bd16129:0xff071c37d2f8a9d8!8m2!3d36.0293716!4d-78.8994461!15sChl0aGluZ3MgdG8gZG8gaW4gZHVyaGFtIG5jWhsiGXRoaW5ncyB0byBkbyBpbiBkdXJoYW0gbmOSAQ5zY2llbmNlX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeWExQllMVU4zRUFF","Museum of Life and Science","4.7","lifeandscience.org","433 W Murray Ave, Durham, NC 27704","null","null","https://lh5.googleusercontent.com/p/AF1QipNUxKkR0Gq4rOfvkd_DlV_QMVyOyZqQRXCbx3D-=w408-h306-k-no","null"
"1654878902-64","https://www.google.com/maps/place/Museum+of+Durham+History/@36.0500676,-79.0655888,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+nurham+nc!3m5!1s0x89ace472c181966d:0x568418fbf425d2d7!8m2!3d35.9982526!4d-78.9049441!15sChl0aGluZ3MgdG8gZG8gaW4gZHVyaGFtIG5jWhsiGXRoaW5ncyB0byBkbyBpbiBkdXJoYW0gbmOSARRsb2NhbF9oaXN0b3J5X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOUmFuVmxSbEpCRUFF","Museum of Durham History","4.6","museumofdurhamhistory.org","500 W Main St, Durham, NC 27701","null","null","https://lh5.googleusercontent.com/p/AF1QipNRQQIu9dj5WteSO_1ZXFU8GBeUs0eMD_uo_-JA=w408-h544-k-no","null"
"1654878943-68","https://www.google.com/maps/place/Sarah+P.+Duke+Gardens/@36.0500676,-79.0655888,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+nurham+nc!3m5!1s0x89ace6a92fb906a5:0x51bc1f0d3f8e19ee!8m2!3d36.0020104!4d-78.9311324!15sChl0aGluZ3MgdG8gZG8gaW4gZHVyaGFtIG5jWhsiGXRoaW5ncyB0byBkbyBpbiBkdXJoYW0gbmOSARBib3RhbmljYWxfZ2FyZGVumgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU0yT0RsaVlqTm5SUkFC","Sarah P. Duke Gardens","4.9","gardens.duke.edu","420 Anderson St, Durham, NC 27708","null","null","https://lh5.googleusercontent.com/p/AF1QipOrG4ZdyUQmvODYEF-PAoOWt3xvf8TCSQBNzJC5=w408-h272-k-no","null"
"1654878933-67","https://www.google.com/maps/place/Sarah+P.+Duke+Gardens/@36.0500676,-79.0655888,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+nurham+nc!3m6!1s0x89ace6a92fb906a5:0x51bc1f0d3f8e19ee!8m2!3d36.0020104!4d-78.9311324!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gZHVyaGFtIG5jWhsiGXRoaW5ncyB0byBkbyBpbiBkdXJoYW0gbmOSARBib3RhbmljYWxfZ2FyZGVumgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU0yT0RsaVlqTm5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","55-acre public gardens with 5 miles of walking paths, a koi pond & an amphitheater."
"1654878912-65","https://www.google.com/maps/place/Nasher+Museum+of+Art/@36.0500676,-79.0655888,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+nurham+nc!3m6!1s0x89ace402a4768e9d:0xc3933f1d11255056!8m2!3d35.9989333!4d-78.9290668!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gZHVyaGFtIG5jWhsiGXRoaW5ncyB0byBkbyBpbiBkdXJoYW0gbmOSAQphcnRfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15TXpoNlUwOUJFQUU","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Permanent collection of 10,000+ artworks & traveling exhibits in a 65,000-sq.-ft. modern building."
