web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1655172804-1","https://www.google.com/maps/place/Raising+Cane's+Chicken+Fingers/@40.7013268,-99.1253791,13z/data=!4m10!1m2!2m1!1sfood+in+kearney+ne!3m6!1s0x87994e8de2fd8ea5:0x698b2e3601fafc18!8m2!3d40.7125175!4d-99.084498!10e1!15sChJmb29kIGluIGtlYXJuZXkgbmVaFCISZm9vZCBpbiBrZWFybmV5IG5lkgESY2hpY2tlbl9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   High chairs   Restroom","null","Fast-food chain specializing in fried chicken fingers, crinkle-cut fries & Texas toast."
"1655172897-10","https://www.google.com/maps/place/Great+Platte+River+Road+Archway+Monument/@40.687406,-99.1439715,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+kearney+ne!3m5!1s0x879948c6d1763f93:0x99cc37fe4c86b102!8m2!3d40.6703512!4d-99.0385514!15sChp0aGluZ3MgdG8gZG8gaW4ga2Vhcm5leSBuZVocIhp0aGluZ3MgdG8gZG8gaW4ga2Vhcm5leSBuZZIBDWhpc3RvcmljX3NpdGWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXlhblJYVFhKQlJSQUI","Great Platte River Road Archway Monument","4.6","archway.org","3060 E 1st St, Kearney, NE 68847","null","null","https://lh5.googleusercontent.com/p/AF1QipM8_axOfY1jQ2rVSj_p0GTVvFFgfxGikDG0MH9V=w408-h306-k-no","null"
"1655172825-3","https://www.google.com/maps/place/Big+Apple+Fun+Center/@40.6735484,-99.2138821,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+kearney+ne!3m6!1s0x8799494d0245a5f3:0x8eb2a51da694cc0d!8m2!3d40.677881!4d-99.0892749!10e1!15sChp0aGluZ3MgdG8gZG8gaW4ga2Vhcm5leSBuZVocIhp0aGluZ3MgdG8gZG8gaW4ga2Vhcm5leSBuZZIBEGFtdXNlbWVudF9jZW50ZXKaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkhhalJJY2tabkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restroom   Free Wi-Fi","null","Big entertainment complex with laser tag, bowling, go-karts & more plus a sports bar with billiards."
"1655172835-4","https://www.google.com/maps/place/Big+Apple+Fun+Center/@40.6735484,-99.2138821,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+kearney+ne!3m5!1s0x8799494d0245a5f3:0x8eb2a51da694cc0d!8m2!3d40.677881!4d-99.0892749!15sChp0aGluZ3MgdG8gZG8gaW4ga2Vhcm5leSBuZVocIhp0aGluZ3MgdG8gZG8gaW4ga2Vhcm5leSBuZZIBEGFtdXNlbWVudF9jZW50ZXKaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkhhalJJY2tabkVBRQ","Big Apple Fun Center","4.3","bigapplefuncenter.com","500 W 4th St, Kearney, NE 68845","null","null","https://lh5.googleusercontent.com/p/AF1QipPcdXDixgoO2GPBl3jJhXFJjDikOrUpACR7JFHq=w408-h272-k-no","null"
"1655172887-9","https://www.google.com/maps/place/Great+Platte+River+Road+Archway+Monument/@40.687406,-99.1439715,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+kearney+ne!3m6!1s0x879948c6d1763f93:0x99cc37fe4c86b102!8m2!3d40.6703512!4d-99.0385514!10e1!15sChp0aGluZ3MgdG8gZG8gaW4ga2Vhcm5leSBuZVocIhp0aGluZ3MgdG8gZG8gaW4ga2Vhcm5leSBuZZIBDWhpc3RvcmljX3NpdGWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXlhblJYVFhKQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Unique architectural landmark above I-80 containing a museum on 19th-century Western migration."
"1655172866-7","https://www.google.com/maps/place/Fort+Kearny+State+Historical+Park/@40.6436709,-99.1369054,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+kearney+ne!3m6!1s0x879947d3dd9fa945:0x3e8209885a1b6254!8m2!3d40.6436709!4d-99.0050695!10e1!15sChp0aGluZ3MgdG8gZG8gaW4ga2Vhcm5leSBuZVocIhp0aGluZ3MgdG8gZG8gaW4ga2Vhcm5leSBuZZIBCnN0YXRlX3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkxkRXBxYmpaQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Reconstruction of a fort established in 1848 to protect the growing traffic along the Oregon Trail."
"1655172856-6","https://www.google.com/maps/place/Fort+Kearney+Museum/@40.6735484,-99.2138821,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+kearney+ne!3m5!1s0x879949488caa1647:0x5cfa72284fac21df!8m2!3d40.673549!4d-99.0820788!15sChp0aGluZ3MgdG8gZG8gaW4ga2Vhcm5leSBuZVocIhp0aGluZ3MgdG8gZG8gaW4ga2Vhcm5leSBuZZIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSeGJYQmZWaTFCUlJBQg","Fort Kearney Museum","3.5","facebook.com","131 Central Ave, Kearney, NE 68847","null","null","https://lh5.googleusercontent.com/p/AF1QipOBpkp3VuxtDNRd2Lml1qwESNCfHp8iWfPfFQrK=w408-h258-k-no","null"
"1655172877-8","https://www.google.com/maps/place/Fort+Kearny+State+Historical+Park/@40.687406,-99.1439715,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+kearney+ne!3m5!1s0x879947d3dd9fa945:0x3e8209885a1b6254!8m2!3d40.6436709!4d-99.0050695!15sChp0aGluZ3MgdG8gZG8gaW4ga2Vhcm5leSBuZVocIhp0aGluZ3MgdG8gZG8gaW4ga2Vhcm5leSBuZZIBCnN0YXRlX3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkxkRXBxYmpaQlJSQUI","Fort Kearny State Historical Park","4.1","outdoornebraska.gov","1020 V Rd, Kearney, NE 68845","null","null","https://lh5.googleusercontent.com/p/AF1QipMgoYkmNu4q6bCDpf4oq2yur9BfS0a1s-U5e0pV=w408-h325-k-no","null"
"1655172815-2","https://www.google.com/maps/place/Raising+Cane's+Chicken+Fingers/@40.7013268,-99.1253791,13z/data=!4m6!1m2!2m1!1sfood+in+kearney+ne!3m2!1s0x87994e8de2fd8ea5:0x698b2e3601fafc18!15sChJmb29kIGluIGtlYXJuZXkgbmVaFCISZm9vZCBpbiBrZWFybmV5IG5lkgESY2hpY2tlbl9yZXN0YXVyYW50","Raising Cane's Chicken Fingers","4.4","null","3720 2nd Ave, Kearney, NE 68847","null","null","https://lh5.googleusercontent.com/p/AF1QipOCQEsdbKiDLNAiYMVEH1MuZACtxqsZFUq-2_iA=w408-h304-k-no","null"
"1655172846-5","https://www.google.com/maps/place/Fort+Kearney+Museum/@40.6436709,-99.1369054,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+kearney+ne!3m6!1s0x879949488caa1647:0x5cfa72284fac21df!8m2!3d40.673549!4d-99.0820788!10e1!15sChp0aGluZ3MgdG8gZG8gaW4ga2Vhcm5leSBuZVocIhp0aGluZ3MgdG8gZG8gaW4ga2Vhcm5leSBuZZIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSeGJYQmZWaTFCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Gender-neutral restroom   Good for kids   Restroom","null","Open seasonally, this local museum offers artifacts from around the world & glass-bottom boat rides."
