,name,rating,website,location,wheelchair,family,image_link-src,description,meta_descriptions,latitude,longitude
0,2 Doors Down,4.5,2doorsdown.net,"118 E 17th St, Cheyenne, WY 82001",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating,Amenities    Bar onsite   Good for kids   High chairs   Restroom   Free Wi-Fi,https://lh5.googleusercontent.com/p/AF1QipNPVksOU-niM9IbFQLNYwD0hwRHU7tRm1Xzcblr=w408-h306-k-no,American outpost known for a variety of burgers with specialty toppings plus all-you-can-eat fries.,WELCOME PAGE 2 DOORS DOWN ,41.13459,-104.8141355
1,Action City,4.3,metropolisresort.com,"2402 Lorch Ave, Eau Claire, WI 54701",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom,Amenities    Good for kids   Restaurant   Restroom   Free Wi-Fi,https://lh5.googleusercontent.com/p/AF1QipNA4VRebSnOo_eNbE_belNM-GHnJX6vM1TqGTYN=w408-h240-k-no-pi-10-ya220-ro0-fo100,"Massive activity space with indoor go karts, laser tag, bumper karts & 18-hole mini golf.",,44.7643492,-91.46688390000001
2,Adams Museum,4.5,deadwoodhistory.com,"54 Sherman St, Deadwood, SD 57732",Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Gender-neutral restroom   Good for kids   Restaurant,https://lh5.googleusercontent.com/p/AF1QipNTlw8LSWfYYLljPiSNzab_u0hdGlSuO6tKCNRh=w408-h294-k-no,Joint venture combining a Black Hills history museum & the 1892 home of one of Deadwood's founders.,,44.3757487,-103.7294533
3,Agecroft Hall & Gardens,4.6,agecrofthall.com,"4305 Sulgrave Rd, Richmond, VA 23221",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipN0x9K1NEjbQOOZpvjVp2aTB-E39ieSNxv_4XXW=w408-h306-k-no,"Lavish Tudor mansion built in 16th-century England & moved here in the 1920s, now open for tours.","Agecroft Hall & Gardens is a majestic Tudor mansion built in the late 15th Century in England and brought to Richmond, Virginia piece by piece. The home is located on 23 beautifully landscaped acres overlooking the James River in the neighborhood of Windsor Farms, less than 1 mile from downtown Richmond. ",37.55262700000001,-77.5058449
4,Air Power Park,4.4,hampton.gov,"413 W Mercury Blvd, Hampton, VA 23669",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipNDvfWpfcMprrXGZm7QvdRjwOlLfCpqfgd2yMxQ=w408-h306-k-no,"Park featuring jets, missiles & rockets, plus a playground & a museum with model aircraft.",,37.04334679999999,-76.3663061
5,Al's Hamburger,4.4,alshamburgergb.com,"131 S Washington St, Green Bay, WI 54301",Accessibility    Wheelchair accessible entrance,Amenities    Good for kids   Restroom,https://lh5.googleusercontent.com/p/AF1QipNjsQfNcP2tgDBzwqnIAtHCKY8QHneJrM4sjKRd=w408-h306-k-no,"Old-school eatery, dating to 1934, for burgers, breakfast & shakes in a no-frills setting.",,44.5132883,-88.0165304
6,Asian Garden Martinsburg,4.6,asiangardenfood.com,"970 Foxcroft Ave, Martinsburg, WV 25401",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids   High chairs,https://lh5.googleusercontent.com/p/AF1QipNNs9bcQSH3a6uaNtQZwCvhaXa2BFxPx69XvDo=w408-h306-k-no,Chinese cuisine along with sushi & other familiar Asian eats in a basic space with seating.,"Online ordering menu for Asian Garden. Welcome to Asian Garden where we serve Japanese and Chinese cuisine! You can find Miso Soup, Yaki Udon, General Tso's Shrimp, and more on our menu! We're located east of I-81 on Foxcroft Ave. Order online for carryout or delivery!",39.4463068,-77.9859669
7,Athenaeum,4.3,nvfaa.org,"201 Prince St, Alexandria, VA 22314",Accessibility    Wheelchair accessible entrance,Amenities    Gender-neutral restroom   Restaurant,https://lh5.googleusercontent.com/p/AF1QipMwDC6FrQJRRnyEGrSXyi5IiSWlGqkul_bfQmLJ=w408-h296-k-no,This storied Greek Revival building is now a venue for visual & performing arts with a gallery.,"Athenaeum | NVFAA, welcome, historic building, regional art gallery, special event space for rent, greek revival architecture, The Athenaeum, 201 Prince Street, Alexandria, VA 22314",38.8034209,-77.0418517
8,Avampato Discovery Museum,4.6,theclaycenter.org,"1 Clay Square, Charleston, WV 25301",Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipOx5pOvNR_obTKl5P2Sky5gYNseVQb2ceoJiefc=w408-h544-k-no,Family-friendly museum with a variety of fine arts & science-related exhibits plus hands-on play.,"Discover a world of music, theater, art and science at one of the most unique venues in the country. Visit an interactive museum with art and science exhibits of its own and traveling exhibitions from around the country, become immersed in a giant screen film or planetarium show on a 61-foot dome, hear world-class performances by renowned entertainers and more – all under one roof!",38.3480471,-81.6292619
9,Bahnhof WVrsthaus & Biergarten,4.5,bahnhofwv.com,"745 7th Ave, Huntington, WV 25701",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids   High chairs   Restroom,https://lh5.googleusercontent.com/p/AF1QipNM8VLHL_D_xuFSI7xqh_FbBd_Jmkn9qNxHCzy_=w425-h240-k-no,"Sausages, schnitzels, pretzels & other classic German food, served with full bar, indoors or out.","Bahnhof is a german inspired restaurant in Huntington, WV. Outdoor seating, good for groups, serves breakfast, lunch and dinner, walkins welcome.",38.4161878,-82.4445969
