location,image_link-src,city
"15 Market St, Trenton, NJ 08611",https://lh5.googleusercontent.com/p/AF1QipNa93Ow1Ba5IoI7nk9S4VyCtweXDzi1C2wTGo8r=w408-h342-k-no,Trenton
"217 N Main St, Independence, MO 64050",https://lh5.googleusercontent.com/p/AF1QipMXbn6MsazyRVvkTtrD5AqAvfBNbWcty_7gAtwK=w408-h306-k-no,Independence
"118 E 17th St, Cheyenne, WY 82001",https://lh5.googleusercontent.com/p/AF1QipNPVksOU-niM9IbFQLNYwD0hwRHU7tRm1Xzcblr=w408-h306-k-no,Cheyenne
"875 N Michigan Ave 94th floor, Chicago, IL 60611",https://lh5.googleusercontent.com/p/AF1QipPWC7vdto36lNFn9pRUOadAgG--E72o8M_d6UiK=w408-h353-k-no,Chicago
"14750 S Harrison St, Olathe, KS 66061",https://lh5.googleusercontent.com/p/AF1QipOFtggIXEUXS2z8G_uyQ3vke28tAmioUUnMoTSh=w408-h240-k-no-pi0-ya210.72989-ro-0-fo100,Olathe
"3159 W 11th St, Cleveland, OH 44109",https://lh5.googleusercontent.com/p/AF1QipNKMnW9pWv_LBLK3l46aMK5uljWiba9x4-xbEb2=w408-h544-k-no,Cleveland
"2441 Westside Ct SE, Rio Rancho, NM 87124",https://lh5.googleusercontent.com/p/AF1QipMWdYzzLo5ImXDtYA39Q8FPMwNxqfM5atKP0uyt=w426-h240-k-no,Rio Rancho
"903 10th St SW, Albuquerque, NM 87102",https://lh5.googleusercontent.com/p/AF1QipO3oPywuELjUlRmxoobXMDtM2-8gPPypINHQvZV=w408-h326-k-no,Los Lunas
"31 S Rhode Island Ave, Atlantic City, NJ 08401",https://lh5.googleusercontent.com/p/AF1QipNuN7OuWGYm_hSUhDpK43zr9vtvT2MHFtGgptA5=w408-h544-k-no,Atlantic City
"501 Fisher Rd, Lafayette, LA 70508",https://lh5.googleusercontent.com/p/AF1QipObs3sYHPu0YW4MCF52LtEbdR4lVtx9oUh8cX_i=w408-h306-k-no,Lafayette
"300 N Clippert St #17, Lansing, MI 48912",https://lh5.googleusercontent.com/p/AF1QipP95SxzO3Cx-KFVuJAPfnibCPSWuenFr34R-Yxk=w426-h240-k-no,Lansing
"376 N County Line Rd, Gary, IN 46403",https://lh5.googleusercontent.com/p/AF1QipMPY3ZRjW39X9J9lt6V1wEPS_XEoR2v_uM27Dwt=w408-h272-k-no,Gary
"2402 Lorch Ave, Eau Claire, WI 54701",https://lh5.googleusercontent.com/p/AF1QipNA4VRebSnOo_eNbE_belNM-GHnJX6vM1TqGTYN=w408-h240-k-no-pi-10-ya220-ro0-fo100,Eau Claire
"54 Sherman St, Deadwood, SD 57732",https://lh5.googleusercontent.com/p/AF1QipNTlw8LSWfYYLljPiSNzab_u0hdGlSuO6tKCNRh=w408-h294-k-no,Deadwood
"601 S Lake Ave, Duluth, MN 55802",https://lh5.googleusercontent.com/p/AF1QipMR25ROy0o7CyaPTI2xb-WI0MyobyV98d4O_H4L=w408-h306-k-no,Duluth
"55 12th Ave SE, Cedar Rapids, IA 52401",https://lh5.googleusercontent.com/p/AF1QipMeTMh8PIzJjDjCfvDuaGqdzmUuaLW7w2TN42Yr=w408-h272-k-no,Cedar Rapids
"4305 Sulgrave Rd, Richmond, VA 23221",https://lh5.googleusercontent.com/p/AF1QipN0x9K1NEjbQOOZpvjVp2aTB-E39ieSNxv_4XXW=w408-h306-k-no,Richmond
"413 W Mercury Blvd, Hampton, VA 23669",https://lh5.googleusercontent.com/p/AF1QipNDvfWpfcMprrXGZm7QvdRjwOlLfCpqfgd2yMxQ=w408-h306-k-no,Hampton
"1 S High St, Akron, OH 44308",https://lh5.googleusercontent.com/p/AF1QipPAXF4MOouRATh8LNI4m1206q-s_mLHjs5NybSB=w436-h240-k-no,Akron
"500 Edgewood Ave, Akron, OH 44307",https://lh5.googleusercontent.com/p/AF1QipPUQkkDp9PMxCe6KPvgkGv9O28upCg24OZy4xc6=w426-h240-k-no,Akron
"131 S Washington St, Green Bay, WI 54301",https://lh5.googleusercontent.com/p/AF1QipNjsQfNcP2tgDBzwqnIAtHCKY8QHneJrM4sjKRd=w408-h306-k-no,Green Bay
"125 Washington Ave, Albany, NY 12210",https://lh5.googleusercontent.com/p/AF1QipOr2x6bx9QswWWxGGrD80XP_k7u0L0CRrxkb8pL=w408-h306-k-no,Albany
"195 New Karner Rd #1, Albany, NY 12205",https://lh5.googleusercontent.com/p/AF1QipPw-vJqmqSwKrMhAZURwh_y85lUism82E7-RN7b=w408-h725-k-no,Albany
"2000 Mountain Rd NW, Albuquerque, NM 87104",https://lh5.googleusercontent.com/p/AF1QipNdVoyVaAQXh5HIIvB39llw4F6_h3QXUKPUbaBt=w426-h240-k-no,Albuquerque
"3957 Hansen Rd, Puunene, HI 96784",https://lh5.googleusercontent.com/p/AF1QipMr5zOKvf1XLnqwEHRu5rezjQIoR3UFlMjsTFoL=w408-h306-k-no,Kahului
"933 2nd St, Alexandria, LA 71301",https://lh5.googleusercontent.com/p/AF1QipNjiJgqYEgTKAk8f616_Q0EsmljhCA6JbK7FEvj=w408-h306-k-no,Alexandria
"3016 Masonic Dr, Alexandria, LA 71301",https://lh5.googleusercontent.com/p/AF1QipOoc5nPzeSaG-lzL4scUX5Mm-Zqi5kMDnwZPHz9=w408-h315-k-no,Alexandria
"3540 Thomasville Rd, Tallahassee, FL 32309",https://lh5.googleusercontent.com/p/AF1QipMRZq5iEfYvMNhxEc2mSJHxEVsp6P7eavtnjA14=w408-h271-k-no,Tallahassee
"31 N 5th St, Allentown, PA 18101",https://lh5.googleusercontent.com/p/AF1QipO8zCCmArW2xJImvnpjwOyqbiQVedz4v-KO0Hnr=w426-h240-k-no,Allentown
"Allentown, PA 18104",https://lh5.googleusercontent.com/p/AF1QipMuJ7iJLwhPlDAqWVy_zlrYTlSzgw5HmmJRVJyr=w408-h306-k-no,Allentown
"100 Day Island Rd, Eugene, OR 97401",https://lh5.googleusercontent.com/p/AF1QipNzhZy--MvvMh-HyCfEY2hixjNbXR7Bw3JaH0_A=w408-h306-k-no,Eugene
"2023 Stadium Dr #1A, Bozeman, MT 59715",https://lh5.googleusercontent.com/p/AF1QipMPjtdpHC3otqDzXlgmHJjHWgU8sWXKbC1xhwUU=w430-h240-k-no,Bozeman
"1330 Monmouth Ave, Cincinnati, OH 45225",https://lh5.googleusercontent.com/p/AF1QipMZ6osUsunLlJLjqOVOrl7RUyIbhxX13gvp5iuB=w408-h281-k-no,Cincinnati
"800 Key Hwy, Baltimore, MD 21230",https://lh6.googleusercontent.com/proxy/_XETbhjrpu5tws4dIPj_xmvTfpItFcv86LYR7Xs3ZsV9S6aCIlIXTrrOXMZxG98gqeMjJ9NzT6vZzPTnYTtRtOfPKwfH9sYuO1zCivBKMEUaQVqhJg1GMGDQfwBvNhbgIrrmHubbXTjcQzNknh8dFq_CqziExD8=w408-h282-k-no,Baltimore
"2410 N 32nd St, Muskogee, OK 74401",https://lh5.googleusercontent.com/p/AF1QipPXlhXMcVK1ZhUBiErbG0F6FI13p-xsG2VQhjAE=w426-h240-k-no,Muskogee
"2 E 4th St, New Castle, DE 19720",https://lh5.googleusercontent.com/p/AF1QipOLK1f7HgqSxe8dxrXqCi9FP8yj8Xa9_GZO8WxB=w408-h544-k-no,New Castle
"7700 Nicollet Ave, Richfield, MN 55423",https://lh5.googleusercontent.com/p/AF1QipNIOtW07B2YgapVxvWaaxSJEXcaezivcmRvK9t4=w426-h240-k-no,Richfield
"318 Spring Creek Rd, Rockford, IL 61107",https://lh5.googleusercontent.com/p/AF1QipMEliil6PJlvtm4RAQpUyoTIIVZuO_PdEy8WyXg=w408-h272-k-no,Rockford
"220 E Ann St, Ann Arbor, MI 48104",https://lh5.googleusercontent.com/p/AF1QipNALisD-zAm5THgrH4O6MwXcku8P96TUPwf7fWQ=w408-h301-k-no,Ann Arbor
"723 Second St, Annapolis, MD 21403",https://lh5.googleusercontent.com/p/AF1QipNa-XWCvW2GnRrJoc9_r_VIb9qCQoI8AHxg-KbV=w408-h306-k-no,Annapolis
"PIER 39 The Embarcadero &, Beach St, San Francisco, CA 94133",https://lh5.googleusercontent.com/p/AF1QipOIl2AQnyjBpKIgqHFlvUcGaLNsw2gGcRRFoBZu=w408-h306-k-no,San Francisco
"412-428 Cherry Way, Pittsburgh, PA 15219",https://lh5.googleusercontent.com/p/AF1QipMpfMHlzmMZ_XVe1R7BVB5LBYWoxPGHEMbE50wz=w505-h240-k-no,Pittsburgh
"102 S 10th St, Lafayette, IN 47905",https://lh5.googleusercontent.com/p/AF1QipPkWv5GaSKes7CVNPKCnjhDeVMRDjf5oPFgvBeU=w411-h240-k-no,Lafayette
"120 Sycamore Rd, Lexington, KY 40502",https://lh5.googleusercontent.com/p/AF1QipMnzQVChU-dPRoLZgNgs8mrq_etbz42h3k7duDW=w408-h306-k-no,Lexington
