,State,City
0,Nebraska,Kearney
1,Washington,Seattle
2,Washington,Vancouver
3,Washington,Kent
4,Washington,Tacoma
5,Washington,Vancouver
6,Nebraska,Kearney
7,Nebraska,Kearney
8,Washington,Vancouver
9,Washington,Spokane
10,Washington,Vancouver
11,Nebraska,Kearney
12,Washington,Kent
13,Washington,Kent
14,Washington,Kent
15,Washington,Kent
16,Washington,Spokane
17,Washington,Tacoma
18,Washington,Spokane
19,Washington,Tacoma
20,Washington,Tacoma
21,Nebraska,Kearney
22,Washington,Spokane
23,Washington,Seattle
24,Washington,Seattle
25,Washington,Seattle
26,Washington,Seattle
27,Washington,Vancouver
28,Washington,Tacoma
29,Washington,Spokane
