location,city,image_link-src
"500 W 4th St, Kearney, NE 68845",Kearney,https://lh5.googleusercontent.com/p/AF1QipPcdXDixgoO2GPBl3jJhXFJjDikOrUpACR7JFHq=w408-h272-k-no
"305 Harrison St, Seattle, WA 98109",Seattle,https://lh5.googleusercontent.com/p/AF1QipN6nZNXWj8UxZMVjEkElRkyn-PRHRaH3Xh2VZAa=w408-h306-k-no
"1511 Main St, Vancouver, WA 98660",Vancouver,https://lh5.googleusercontent.com/p/AF1QipPRYhRvPeCH1KDc-3qEHXEerVxfSrWEQio-5N17=w408-h724-k-no
"12520 SE 240th St, Kent, WA 98031",Kent,https://lh5.googleusercontent.com/p/AF1QipNuJrHBhvwlOdXIJFK41nA3jIwPUthgswseqXqB=w408-h544-k-no
"3327 Ruston Way, Tacoma, WA 98402",Tacoma,https://lh5.googleusercontent.com/p/AF1QipP8nO4ZwWkOObRxz4V-4N6h8VGGxu7cZIX5pxRO=w408-h306-k-no
"605 Esther St, Vancouver, WA 98660",Vancouver,https://lh5.googleusercontent.com/p/AF1QipPLJ_l5mzzfEs1HZJOhLt6FznxGuruFvlkDuZRW=w426-h240-k-no
"131 Central Ave, Kearney, NE 68847",Kearney,https://lh5.googleusercontent.com/p/AF1QipOBpkp3VuxtDNRd2Lml1qwESNCfHp8iWfPfFQrK=w408-h258-k-no
"1020 V Rd, Kearney, NE 68845",Kearney,https://lh5.googleusercontent.com/p/AF1QipMgoYkmNu4q6bCDpf4oq2yur9BfS0a1s-U5e0pV=w408-h325-k-no
"612 E Reserve St, Vancouver, WA 98661",Vancouver,https://lh6.googleusercontent.com/proxy/0_j5c2ixu08z8dv-5UEbZsDnPMggUlvTUTE5XpRWNELuYiTHSGOIKOD2RcAM7376gfKZmYwkl77LFHXmFlO0OiYx1wOkIA7jbX7Hkm7E5ERDVotXIuLixmWogikIaKhwUpuhVRgpmyRoKjSQjMBS3NFqTt-8Ugc=w424-h240-k-no
"1516 W 2nd Ave, Spokane, WA 99201",Spokane,https://lh5.googleusercontent.com/p/AF1QipMhsTzaCHzyslEl3-WCPyzGLNajZJfbvbjorlK-=w408-h335-k-no
