,name,rating,website,location,wheelchair,family,image_link-src,description,meta_descriptions,latitude,longitude
0,Big Apple Fun Center,4.3,bigapplefuncenter.com,"500 W 4th St, Kearney, NE 68845",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom,Amenities    Good for kids   Restroom   Free Wi-Fi,https://lh5.googleusercontent.com/p/AF1QipPcdXDixgoO2GPBl3jJhXFJjDikOrUpACR7JFHq=w408-h272-k-no,"Big entertainment complex with laser tag, bowling, go-karts & more plus a sports bar with billiards.",,40.677839,-99.0897687
1,Chihuly Garden and Glass,4.7,chihulygardenandglass.com,"305 Harrison St, Seattle, WA 98109",Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom,Amenities    Good for kids   Restaurant   Restroom   Free Wi-Fi,https://lh5.googleusercontent.com/p/AF1QipN6nZNXWj8UxZMVjEkElRkyn-PRHRaH3Xh2VZAa=w408-h306-k-no,"Art museum & sculpture garden showcasing Dale Chihuly's large, colorful glass works.",Chihuly Garden and Glass is a museum in the Seattle Center showcasing the studio glass of Dale Chihuly.,47.6228045,-122.3529322
2,Clark County Historical Museum,4.6,cchmuseum.org,"1511 Main St, Vancouver, WA 98660",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom,Amenities    Gender-neutral restroom   Good for kids   Restroom   Restaurant,https://lh5.googleusercontent.com/p/AF1QipPRYhRvPeCH1KDc-3qEHXEerVxfSrWEQio-5N17=w408-h724-k-no,"Local & regional history exhibits, including many Native American items & a research library.",,45.6331102,-122.6711956
3,Clark Lake Park,4.5,kentwa.gov,"12520 SE 240th St, Kent, WA 98031",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipNuJrHBhvwlOdXIJFK41nA3jIwPUthgswseqXqB=w408-h544-k-no,"A scenic 130-acre park around a lake offering fishing, walking trails & public art displays.",,47.3883372,-122.1742056
4,Duke's Seafood,4.5,dukesseafood.com,"3327 Ruston Way, Tacoma, WA 98402",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating,Amenities    Bar onsite   Good for kids   High chairs   Restroom   Free Wi-Fi,https://lh5.googleusercontent.com/p/AF1QipP8nO4ZwWkOObRxz4V-4N6h8VGGxu7cZIX5pxRO=w408-h306-k-no,"Local chain serving market-fresh seafood, grass-fed burgers & cocktails in informal surroundings.",Duke's Seafood Restaurant is a seven location Pacific NW seafood concept known for its Wild Seafood and Award Winning Chowder.,47.2825849,-122.4798347
5,Esther Short Park and Playground,4.4,cityofvancouver.us,"605 Esther St, Vancouver, WA 98660",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipPLJ_l5mzzfEs1HZJOhLt6FznxGuruFvlkDuZRW=w426-h240-k-no,"Historic square with playgrounds & public art featuring activities for all ages, including concerts.",,45.626055,-122.6757269
6,Fort Kearney Museum,3.5,facebook.com,"131 Central Ave, Kearney, NE 68847",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Gender-neutral restroom   Good for kids   Restroom,https://lh5.googleusercontent.com/p/AF1QipOBpkp3VuxtDNRd2Lml1qwESNCfHp8iWfPfFQrK=w408-h258-k-no,"Open seasonally, this local museum offers artifacts from around the world & glass-bottom boat rides.","Log into Facebook to start sharing and connecting with your friends, family, and people you know.",40.6735484,-99.08204620000001
7,Fort Kearny State Historical Park,4.1,outdoornebraska.gov,"1020 V Rd, Kearney, NE 68845",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipMgoYkmNu4q6bCDpf4oq2yur9BfS0a1s-U5e0pV=w408-h325-k-no,Reconstruction of a fort established in 1848 to protect the growing traffic along the Oregon Trail.,"Our mission is the stewardship of the state's fish, wildlife, park, and outdoor recreation resources.",40.6414184,-99.0053386
8,Fort Vancouver National Historic Site,4.7,nps.gov,"612 E Reserve St, Vancouver, WA 98661",Accessibility    Wheelchair accessible entrance,Amenities    Good for kids,//lh6.googleusercontent.com/proxy/0_j5c2ixu08z8dv-5UEbZsDnPMggUlvTUTE5XpRWNELuYiTHSGOIKOD2RcAM7376gfKZmYwkl77LFHXmFlO0OiYx1wOkIA7jbX7Hkm7E5ERDVotXIuLixmWogikIaKhwUpuhVRgpmyRoKjSQjMBS3NFqTt-8Ugc=w424-h240-k-no,"Park in a former trading post & fort, with lantern tours & 19th-century blacksmith demonstrations.",The National Park Service cares for special places saved by the American people so that all may experience our heritage.,45.6257241,-122.6550397
9,Frank's Diner - Downtown Spokane,4.7,franksdiners.com,"1516 W 2nd Ave, Spokane, WA 99201",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating,Amenities    Good for kids   High chairs   Restroom   Free Wi-Fi,https://lh5.googleusercontent.com/p/AF1QipMhsTzaCHzyslEl3-WCPyzGLNajZJfbvbjorlK-=w408-h335-k-no,Old-timey train car with wood booths & a counter dishes local American eats & popular breakfasts.,,47.6547429,-117.4344999
10,Frontier Public House Restaurant of Vancouver WA,4.5,frontierpublichouse.com,"4909 NE Hazel Dell Ave, Vancouver, WA 98663",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating,Amenities    Bar onsite   Good for kids   High chairs   Restroom   Free Wi-Fi,https://lh5.googleusercontent.com/p/AF1QipN37qzJgs4ZVcH56P4Zzc0wo1BofnWKmuLLcC4=w408-h240-k-no-pi0-ya260.82-ro-0-fo100,Southern-inspired comfort fare joins house cocktails in a stylish plank-&-brick space with a patio.,"Best Restaurant Vancouver. A neighborhood pub with tasty made-from-scratch Southern inspired comfort food for lunch, dinner and brunch on the weekends. Craftily created cocktails, great selections of beer and wine, we also provide occasional live music here in Vancouver, WA.",45.6574503,-122.6663523
11,Great Platte River Road Archway Monument,4.6,archway.org,"3060 E 1st St, Kearney, NE 68847",Accessibility    Wheelchair accessible entrance,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipM8_axOfY1jQ2rVSj_p0GTVvFFgfxGikDG0MH9V=w408-h306-k-no,Unique architectural landmark above I-80 containing a museum on 19th-century Western migration.,"Visit the Archway in Kearney, Nebraska, and celebrate the American spirit of adventure! From the Oregon Trail era through today, the Archway’s family friendly historical exhibit tells the story of those who followed the Great Platte River Road and helped to build America.",40.6703512,-99.03855139999999
12,Kent Historical Museum,4.5,gkhs.org,"855 E Smith St, Kent, WA 98030",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids   Restaurant,https://lh5.googleusercontent.com/p/AF1QipP8fpp1i6QDKrRd4NlD0YD296Ck6LZARg7NIcMH=w408-h410-k-no,Time-tested 1908 house museum with period furnishings & exhibits of life in the early 20th century.,"Historical Society and museum located in Kent, Washington. Dedicated to sharing the stories of Kent residents both past and present. ",47.3835248,-122.2243524
