,0
0,19 - Birmingham
1,5 - Huntsville
2,97 - Sedona
3,74 - Fairbanks
4,51 - Tuscaloosa
5,92 - Tucson
6,95 - Tucson
7,38 - Mobile
8,25 - Montgomery
9,184 - San Fransisco
10,55 - Tuscaloosa
11,61 - Anchorage
12,16 - Birmingham
13,127 - Springsdale
14,768 - Lincoln
15,90 - Phoenix
16,186 - San Fransisco
17,39 - Mobile
18,1133 - Rapid City
19,78 - Wasilla
20,766 - Lincoln
21,89 - Phoenix
22,67 - Juneau
23,4 - Huntsville
24,10 - Huntsville
25,81 - Knik-Fairview
26,232 - Bridgeport
27,72 - Fairbanks
28,618 - Salem
29,76 - Wasilla
30,82 - Knik-Fairview
31,13 - Birmingham
32,130 - Jonesboro
33,42 - Mobile
34,17 - Birmingham
35,105 - Mesa
36,113 - Little Rock
37,85 - Knik-Fairview
38,84 - Knik-Fairview
39,34 - Montgomery
40,22 - Birmingham
41,43 - Mobile
42,44 - Mobile
43,75 - Fairbanks
44,206 - Denver
45,37 - Mobile
46,769 - Scottsbluff
47,53 - Tuscaloosa
48,7 - Huntsville
49,108 - Scottsdale
50,116 - Fort Smith
51,767 - Omaha
52,203 - Denver
53,77 - Wasilla
54,21 - Birmingham
55,36 - Mobile
56,3 - Huntsville
57,208 - Colorado Springs
58,28 - Montgomery
59,70 - Juneau
60,1134 - Deadwood
61,40 - Mobile
62,99 - Sedona
63,26 - Montgomery
64,79 - Wasilla
65,24 - Birmingham
66,117 - Fort Smith
67,12 - Huntsville
68,68 - Juneau
69,6 - Huntsville
70,29 - Montgomery
71,63 - Anchorage
72,2 - Huntsville
73,71 - Fairbanks
74,20 - Birmingham
75,101 - Mesa
76,207 - Colorado Springs
77,133 - Jonesboro
78,106 - Scottsdale
79,69 - Juneau
80,1318 - Huntington
81,236 - Hartford
82,56 - Tuscaloosa
83,15 - Birmingham
84,124 - Fayetteville
