web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654746816-570","https://www.google.com/maps/place/Millstone+Family+Restaurant/@44.0817585,-103.2418222,13z/data=!4m9!1m2!2m1!1sfood+in+rapid+city+sd!3m5!1s0x877d5d3e5f908709:0x6dc8b65474d6fea8!8m2!3d44.099737!4d-103.201147!15sChVmb29kIGluIHJhcGlkIGNpdHkgc2RaFyIVZm9vZCBpbiByYXBpZCBjaXR5IHNkkgERZmFtaWx5X3Jlc3RhdXJhbnQ","Millstone Family Restaurant","4.3","bhmillstone.com","1520 N Lacrosse St, Rapid City, SD 57701","null","null","https://lh5.googleusercontent.com/p/AF1QipOy6e9bh-CZZRv4u2SEX0yfMF-ic9ZpsaYxqYJa=w426-h240-k-no","null"
"1654746847-573","https://www.google.com/maps/place/Dinosaur+Park/@44.0780619,-112.2107176,6z/data=!4m10!1m2!2m1!1sthings+to+do+in+rapid+citysd!3m6!1s0x877d434b3dc17b9b:0x988432c83b7859c2!8m2!3d44.0780619!4d-103.2458739!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gcmFwaWQgY2l0eXNkWh4iHHRoaW5ncyB0byBkbyBpbiByYXBpZCBjaXR5c2SSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU00TlhOUVgyUjNFQUU","null","null","null","null","Accessibility    Wheelchair accessible parking lot","Amenities    Good for kids","null","Kitschy 1930s cement dinosaurs star at this 20-acre park on a hill with city & prairie views."
"1654746826-571","https://www.google.com/maps/place/Reptile+Gardens/@44.0780619,-112.2107176,6z/data=!4m10!1m2!2m1!1sthings+to+do+in+rapid+citysd!3m6!1s0x877d46ae03e70abb:0xc0e8ff0d838e79ec!8m2!3d43.9909702!4d-103.2720165!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gcmFwaWQgY2l0eXNkWh4iHHRoaW5ncyB0byBkbyBpbiByYXBpZCBjaXR5c2SSAQN6b2-aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkxkM015Y0RsQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Long-running zoo with many reptile exhibits, plus bird shows, giant tortoises & a greenhouse."
"1654746857-574","https://www.google.com/maps/place/Dinosaur+Park/@44.0780619,-112.2107176,6z/data=!4m9!1m2!2m1!1sthings+to+do+in+rapid+citysd!3m5!1s0x877d434b3dc17b9b:0x988432c83b7859c2!8m2!3d44.0780619!4d-103.2458739!15sChx0aGluZ3MgdG8gZG8gaW4gcmFwaWQgY2l0eXNkWh4iHHRoaW5ncyB0byBkbyBpbiByYXBpZCBjaXR5c2SSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU00TlhOUVgyUjNFQUU","Dinosaur Park","4.3","rcgov.org","940 Skyline Dr, Rapid City, SD 57701","null","null","https://lh5.googleusercontent.com/p/AF1QipPkVBGfg-SRcW3xYBsrV5JMUC1sc0e3-Aqq-OxF=w408-h306-k-no","null"
"1654746878-576","https://www.google.com/maps/place/Wild+Water+West+Waterpark+and+Flamingo+Falls+Campground/@43.425766,-101.5363574,6z/data=!4m9!1m2!2m1!1sthings+to+do+in+rapid+citysd!3m5!1s0x878ece77a17eb67b:0x29bd9f85c380222c!8m2!3d43.5060928!4d-96.8914185!15sChx0aGluZ3MgdG8gZG8gaW4gcmFwaWQgY2l0eXNkWh4iHHRoaW5ncyB0byBkbyBpbiByYXBpZCBjaXR5c2SSAQp3YXRlcl9wYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5oT0V4TWVUaG5SUkFC","Wild Water West Waterpark and Flamingo Falls Campground","4.4","wildwaterwest.com","26767 466th Ave, Sioux Falls, SD 57106","null","null","https://lh5.googleusercontent.com/p/AF1QipN4LNjLC18DPisOLduuIYLmVbuyYPeouCJ9Nyw=w408-h305-k-no","null"
"1654746867-575","https://www.google.com/maps/place/Wild+Water+West+Waterpark+and+Flamingo+Falls+Campground/@43.425766,-101.5363574,6z/data=!4m10!1m2!2m1!1sthings+to+do+in+rapid+citysd!3m6!1s0x878ece77a17eb67b:0x29bd9f85c380222c!8m2!3d43.5060928!4d-96.8914185!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gcmFwaWQgY2l0eXNkWh4iHHRoaW5ncyB0byBkbyBpbiByYXBpZCBjaXR5c2SSAQp3YXRlcl9wYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5oT0V4TWVUaG5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Bar onsite   Good for kids   Restaurant   Restroom","null","Seasonal sight with aquatic attractions such as a wave pool, plus go-karts, mini-golf & paintball."
"1654746836-572","https://www.google.com/maps/place/Reptile+Gardens/@44.0780619,-112.2107176,6z/data=!4m6!1m2!2m1!1sthings+to+do+in+rapid+citysd!3m2!1s0x877d46ae03e70abb:0xc0e8ff0d838e79ec!15sChx0aGluZ3MgdG8gZG8gaW4gcmFwaWQgY2l0eXNkWh4iHHRoaW5ncyB0byBkbyBpbiByYXBpZCBjaXR5c2SSAQN6b2-aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkxkM015Y0RsQlJSQUI","Reptile Gardens","4.7","reptilegardens.com","8955 US-16, Rapid City, SD 57702","null","null","https://lh5.googleusercontent.com/p/AF1QipOQyC3biqg3ByJFGLnxKXcfPadx-EVzs5hWf18A=w408-h291-k-no","null"
"1654746898-578","https://www.google.com/maps/place/Thunder+Road+of+Sioux+Falls/@43.425766,-101.5363574,6z/data=!4m6!1m2!2m1!1sthings+to+do+in+rapid+citysd!3m2!1s0x878eca6343913287:0xd55ff33b392156dd!15sChx0aGluZ3MgdG8gZG8gaW4gcmFwaWQgY2l0eXNkWh4iHHRoaW5ncyB0byBkbyBpbiByYXBpZCBjaXR5c2SSAQ5hbXVzZW1lbnRfcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSWE1uRkRiSHAzUlJBQg","Thunder Road of Sioux Falls","4.5","thunderroadsiouxfalls.com","201 N Kiwanis Ave, Sioux Falls, SD 57104","null","null","https://lh5.googleusercontent.com/p/AF1QipOJUK5668WF2L3ErFrIv3bsMVCEBtagrVQsYn1r=w408-h306-k-no","null"
"1654746805-569","https://www.google.com/maps/place/Millstone+Family+Restaurant/@44.0817585,-103.2418222,13z/data=!4m10!1m2!2m1!1sfood+in+rapid+city+sd!3m6!1s0x877d5d3e5f908709:0x6dc8b65474d6fea8!8m2!3d44.099737!4d-103.201147!10e1!15sChVmb29kIGluIHJhcGlkIGNpdHkgc2RaFyIVZm9vZCBpbiByYXBpZCBjaXR5IHNkkgERZmFtaWx5X3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   High chairs","null","Unassuming American joint with homestyle eats, a soup & salad bar & a large breakfast menu."
"1654746888-577","https://www.google.com/maps/place/Thunder+Road+of+Sioux+Falls/@43.425766,-101.5363574,6z/data=!4m10!1m2!2m1!1sthings+to+do+in+rapid+citysd!3m6!1s0x878eca6343913287:0xd55ff33b392156dd!8m2!3d43.5493698!4d-96.7624969!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gcmFwaWQgY2l0eXNkWh4iHHRoaW5ncyB0byBkbyBpbiByYXBpZCBjaXR5c2SSAQ5hbXVzZW1lbnRfcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSWE1uRkRiSHAzUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","Fun park & mini-golf course offering go-karts, thrill rides, laser tag & other kid friendly games."
