web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654746589-561","https://www.google.com/maps/place/Butterfly+House+%26+Aquarium/@43.5060928,-97.1715699,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+souix+falls+sd!3m6!1s0x878ec9f22585ff59:0xbc815340aaee5656!8m2!3d43.5065168!4d-96.7624867!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gc2lvdXggZmFsbHMgc2RaICIedGhpbmdzIHRvIGRvIGluIHNpb3V4IGZhbGxzIHNkkgEXbm9uX3Byb2ZpdF9vcmdhbml6YXRpb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnhhbkpJTW1kM1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance","null","null","Attraction with hundreds of active butterflies plus sea life displays, including a touch pool."
"1654746662-568","https://www.google.com/maps/place/Great+Plains+Zoo+%26+Delbridge+Museum+of+Natural+History/@43.5181267,-96.8830197,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+souix+falls+sd!3m5!1s0x878eca6e0d89e2c1:0x6f063c74c50b71e9!8m2!3d43.5391966!4d-96.7623989!15sCh50aGluZ3MgdG8gZG8gaW4gc2lvdXggZmFsbHMgc2RaICIedGhpbmdzIHRvIGRvIGluIHNpb3V4IGZhbGxzIHNkkgEDem9vmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVI1ZDJGTFEwTm5FQUU","Great Plains Zoo & Delbridge Museum of Natural History","4.4","greatzoo.org","805 S Kiwanis Ave, Sioux Falls, SD 57104","null","null","https://lh5.googleusercontent.com/p/AF1QipO8kwlaLu_GeS9mNWgO_gYmSWKGKojjMx96gwqe=w408-h270-k-no","null"
"1654746641-566","https://www.google.com/maps/place/Pettigrew+Home+%26+Museum/@43.5181267,-96.8830197,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+souix+falls+sd!3m5!1s0x878eb59bc064a0cf:0xde5b13550eba755b!8m2!3d43.5483882!4d-96.7345302!15sCh50aGluZ3MgdG8gZG8gaW4gc2lvdXggZmFsbHMgc2RaICIedGhpbmdzIHRvIGRvIGluIHNpb3V4IGZhbGxzIHNkkgEUbG9jYWxfaGlzdG9yeV9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnhhalpsU2tobkVBRQ","Pettigrew Home & Museum","4.7","siouxlandmuseums.com","131 N Duluth Ave, Sioux Falls, SD 57104","null","null","https://lh5.googleusercontent.com/p/AF1QipNa3PGXhnuamQLW2J3hyZYY_vuNZ6itudSCe0U_=w408-h306-k-no","null"
"1654746631-565","https://www.google.com/maps/place/Pettigrew+Home+%26+Museum/@43.5181267,-96.8830197,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+souix+falls+sd!3m6!1s0x878eb59bc064a0cf:0xde5b13550eba755b!8m2!3d43.5483882!4d-96.7345302!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gc2lvdXggZmFsbHMgc2RaICIedGhpbmdzIHRvIGRvIGluIHNpb3V4IGZhbGxzIHNkkgEUbG9jYWxfaGlzdG9yeV9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnhhalpsU2tobkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","1889 Queen Anne home of the state's first U.S. Senator, with tours of period furniture & exhibits."
"1654746599-562","https://www.google.com/maps/place/Butterfly+House+%26+Aquarium/@43.5060928,-97.1715699,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+souix+falls+sd!3m5!1s0x878ec9f22585ff59:0xbc815340aaee5656!8m2!3d43.5065168!4d-96.7624867!15sCh50aGluZ3MgdG8gZG8gaW4gc2lvdXggZmFsbHMgc2RaICIedGhpbmdzIHRvIGRvIGluIHNpb3V4IGZhbGxzIHNkkgEXbm9uX3Byb2ZpdF9vcmdhbml6YXRpb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnhhbkpJTW1kM1JSQUI","Butterfly House & Aquarium","4.5","butterflyhouseaquarium.org","4320 S Oxbow Ave, Sioux Falls, SD 57106","null","null","https://lh5.googleusercontent.com/p/AF1QipMrUkSiwFVrt2lcQ4lFMMTl9ty6g5P5Y-pDDta9=w408-h272-k-no","null"
"1654746568-559","https://www.google.com/maps/place/Sickies+Garage+Burgers+%26+Brews/@43.5223367,-96.8415017,13z/data=!4m10!1m2!2m1!1sfood+in+sioux+falls+south+dakota!3m6!1s0x878eca22bd351c91:0xdf229dcc2a688a82!8m2!3d43.5223367!4d-96.7714639!10e1!15sCiBmb29kIGluIHNpb3V4IGZhbGxzIHNvdXRoIGRha290YVoiIiBmb29kIGluIHNpb3V4IGZhbGxzIHNvdXRoIGRha290YZIBCnJlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom   Free Wi-Fi","null","Dozens of creative patties & brews are available at this chill venue with a sports bar vibe."
"1654746620-564","https://www.google.com/maps/place/Wild+Water+West+Waterpark+and+Flamingo+Falls+Campground/@43.5181267,-96.8830197,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+souix+falls+sd!3m5!1s0x878ece77a17eb67b:0x29bd9f85c380222c!8m2!3d43.5060928!4d-96.8914185!15sCh50aGluZ3MgdG8gZG8gaW4gc2lvdXggZmFsbHMgc2RaICIedGhpbmdzIHRvIGRvIGluIHNpb3V4IGZhbGxzIHNkkgEKd2F0ZXJfcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOaE9FeE1lVGhuUlJBQg","Wild Water West Waterpark and Flamingo Falls Campground","4.4","wildwaterwest.com","26767 466th Ave, Sioux Falls, SD 57106","null","null","https://lh5.googleusercontent.com/p/AF1QipN4LNjLC18DPisOLduuIYLmVbuyYPeouCJ9Nyw=w408-h305-k-no","null"
"1654746651-567","https://www.google.com/maps/place/Great+Plains+Zoo+%26+Delbridge+Museum+of+Natural+History/@43.5181267,-96.8830197,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+souix+falls+sd!3m6!1s0x878eca6e0d89e2c1:0x6f063c74c50b71e9!8m2!3d43.5391966!4d-96.7623989!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gc2lvdXggZmFsbHMgc2RaICIedGhpbmdzIHRvIGRvIGluIHNpb3V4IGZhbGxzIHNkkgEDem9vmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVI1ZDJGTFEwTm5FQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Zoo with wildlife from around the world plus a museum with over 100 mounted animals."
"1654746610-563","https://www.google.com/maps/place/Wild+Water+West+Waterpark+and+Flamingo+Falls+Campground/@43.5060928,-97.1715699,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+souix+falls+sd!3m6!1s0x878ece77a17eb67b:0x29bd9f85c380222c!8m2!3d43.5060928!4d-96.8914185!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gc2lvdXggZmFsbHMgc2RaICIedGhpbmdzIHRvIGRvIGluIHNpb3V4IGZhbGxzIHNkkgEKd2F0ZXJfcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOaE9FeE1lVGhuUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Bar onsite   Good for kids   Restaurant   Restroom","null","Seasonal sight with aquatic attractions such as a wave pool, plus go-karts, mini-golf & paintball."
"1654746579-560","https://www.google.com/maps/place/Sickies+Garage+Burgers+%26+Brews/@43.5340506,-96.7865312,13z/data=!4m9!1m2!2m1!1sfood+in+sioux+falls+south+dakota!3m5!1s0x878eca22bd351c91:0xdf229dcc2a688a82!8m2!3d43.5223367!4d-96.7714639!15sCiBmb29kIGluIHNpb3V4IGZhbGxzIHNvdXRoIGRha290YVoiIiBmb29kIGluIHNpb3V4IGZhbGxzIHNvdXRoIGRha290YZIBCnJlc3RhdXJhbnQ","Sickies Garage Burgers & Brews","4.3","sickiesburgers.com","2616 S Louise Ave, Sioux Falls, SD 57106","null","null","https://lh5.googleusercontent.com/p/AF1QipPKLx2Q6RAexBTUcJ3py9UU2llmVlXSF2CPBflQ=w408-h272-k-no","null"
