web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654734550-411","https://www.google.com/maps/place/Hampton+Roads+Naval+Museum/@36.8998308,-76.3968311,11z/data=!3m1!5s0x89ba9873415ae70d:0x45b7484649475560!4m10!1m2!2m1!1sthings+to+do+in+norfolk+va!3m6!1s0x89ba987352880d89:0xe604da1613542db7!8m2!3d36.8476241!4d-76.2945682!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gbm9yZm9sayB2YVocIhp0aGluZ3MgdG8gZG8gaW4gbm9yZm9sayB2YZIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSeGVtOVBjVzkzUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Museum devoted to 237 years of Hampton Roads Naval history, featuring ship models & artifacts."
"1654734623-418","https://www.google.com/maps/place/Norfolk+Botanical+Garden/@36.8998308,-76.3968311,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+norfolk+va!3m5!1s0x89ba96cf3c253a11:0x703ddbd3fcddb3ec!8m2!3d36.9015834!4d-76.200199!15sChp0aGluZ3MgdG8gZG8gaW4gbm9yZm9sayB2YVocIhp0aGluZ3MgdG8gZG8gaW4gbm9yZm9sayB2YZIBEGJvdGFuaWNhbF9nYXJkZW6aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXljMXBQZFdOQkVBRQ","Norfolk Botanical Garden","4.8","norfolkbotanicalgarden.org","6700 Azalea Garden Rd, Norfolk, VA 23518","null","null","https://lh5.googleusercontent.com/p/AF1QipMNz_0tNspEwzjSVCahgy2SNNFIx_zFa42IQAP2=w408-h306-k-no","null"
"1654734581-414","https://www.google.com/maps/place/Virginia+Zoo/@36.8998308,-76.3968311,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+norfolk+va!3m5!1s0x89ba982b861776a1:0x177512b42cbbc740!8m2!3d36.8767691!4d-76.2771229!15sChp0aGluZ3MgdG8gZG8gaW4gbm9yZm9sayB2YVocIhp0aGluZ3MgdG8gZG8gaW4gbm9yZm9sayB2YZIBA3pvb5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNeU56WnBlSHBSUlJBQg","Virginia Zoo","4.5","virginiazoo.org","3500 Granby St, Norfolk, VA 23504","null","null","https://lh5.googleusercontent.com/p/AF1QipOPKcxO_-oG2JOegYeMXh20RfcxT9Jb0K4Ebwgh=w408-h306-k-no","null"
"1654734602-416","https://www.google.com/maps/place/Nauticus/@36.8998308,-76.3968311,11z/data=!3m1!5s0x89ba9873415ae70d:0x45b7484649475560!4m9!1m2!2m1!1sthings+to+do+in+norfolk+va!3m5!1s0x89ba987352880d89:0x472ef0f20cc4da0!8m2!3d36.8477024!4d-76.2950914!15sChp0aGluZ3MgdG8gZG8gaW4gbm9yZm9sayB2YVocIhp0aGluZ3MgdG8gZG8gaW4gbm9yZm9sayB2YZIBBm11c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReU56WnhhbFZSRUFF","Nauticus","4.7","nauticus.org","1 Waterside Dr, Norfolk, VA 23510","null","null","https://lh5.googleusercontent.com/p/AF1QipPiB4wSrXM-zHHHFGxSGHnVBGbBiYOtV-Hl2-rF=w427-h240-k-no","null"
"1654734591-415","https://www.google.com/maps/place/Nauticus/@36.8998308,-76.3968311,11z/data=!3m1!5s0x89ba9873415ae70d:0x45b7484649475560!4m10!1m2!2m1!1sthings+to+do+in+norfolk+va!3m6!1s0x89ba987352880d89:0x472ef0f20cc4da0!8m2!3d36.8477024!4d-76.2950914!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gbm9yZm9sayB2YVocIhp0aGluZ3MgdG8gZG8gaW4gbm9yZm9sayB2YZIBBm11c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReU56WnhhbFZSRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Waterfront maritime museum with science exhibits, an aquarium & a historic battleship."
"1654734561-412","https://www.google.com/maps/place/Hampton+Roads+Naval+Museum/@36.8998308,-76.3968311,11z/data=!3m1!5s0x89ba9873415ae70d:0x45b7484649475560!4m9!1m2!2m1!1sthings+to+do+in+norfolk+va!3m5!1s0x89ba987352880d89:0xe604da1613542db7!8m2!3d36.8476241!4d-76.2945682!15sChp0aGluZ3MgdG8gZG8gaW4gbm9yZm9sayB2YVocIhp0aGluZ3MgdG8gZG8gaW4gbm9yZm9sayB2YZIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSeGVtOVBjVzkzUlJBQg","Hampton Roads Naval Museum","4.6","history.navy.mil","1 Waterside Dr Suite 248, Norfolk, VA 23510","null","null","https://lh5.googleusercontent.com/p/AF1QipP7af9plHtgmS_i8T_6nxOs6xiZAhqoRbFrgP8O=w426-h240-k-no","null"
"1654734612-417","https://www.google.com/maps/place/Norfolk+Botanical+Garden/@36.8998308,-76.3968311,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+norfolk+va!3m6!1s0x89ba96cf3c253a11:0x703ddbd3fcddb3ec!8m2!3d36.9015834!4d-76.200199!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gbm9yZm9sayB2YVocIhp0aGluZ3MgdG8gZG8gaW4gbm9yZm9sayB2YZIBEGJvdGFuaWNhbF9nYXJkZW6aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXljMXBQZFdOQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","April azaleas are the showstoppers at this lush green space, which also features 450 rose varieties."
"1654734540-410","https://www.google.com/maps/place/No+Frill+Bar+And+Grill/@36.8974177,-76.3160202,12z/data=!4m6!1m2!2m1!1sfood+in+norfolk+va!3m2!1s0x89ba9846cfeba2dd:0xd3a4769c06317d94!15sChJmb29kIGluIG5vcmZvbGsgdmFaFCISZm9vZCBpbiBub3Jmb2xrIHZhkgETYW1lcmljYW5fcmVzdGF1cmFudA","No Frill Bar And Grill","4.6","nofrillgrill.com","806 Spotswood Ave, Norfolk, VA 23517","null","null","https://lh5.googleusercontent.com/p/AF1QipOt1aTUivpVv9hDqGDx3WbbECimIoXDdo1nwxKN=w408-h306-k-no","null"
"1654734571-413","https://www.google.com/maps/place/Virginia+Zoo/@36.8998308,-76.3968311,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+norfolk+va!3m6!1s0x89ba982b861776a1:0x177512b42cbbc740!8m2!3d36.8767691!4d-76.2771229!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gbm9yZm9sayB2YVocIhp0aGluZ3MgdG8gZG8gaW4gbm9yZm9sayB2YZIBA3pvb5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNeU56WnBlSHBSUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","An African exhibit boasts lions, elephants & rhino with another 400 animals spread over 53 acres."
"1654734530-409","https://www.google.com/maps/place/No+Frill+Bar+And+Grill/@36.8688072,-76.4379068,12z/data=!3m1!5s0x89ba9846dbaab7e5:0xbd0f6acb300b5755!4m10!1m2!2m1!1sfood+in+norfolk+va!3m6!1s0x89ba9846cfeba2dd:0xd3a4769c06317d94!8m2!3d36.8688072!4d-76.2978311!10e1!15sChJmb29kIGluIG5vcmZvbGsgdmFaFCISZm9vZCBpbiBub3Jmb2xrIHZhkgETYW1lcmljYW5fcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Gender-neutral restroom   Good for kids   High chairs   Free Wi-Fi","null","Casual American eatery with a broad menu of comfort food, pitas & salads in a colorful cafe setting."
