web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654738619-453","https://www.google.com/maps/place/Camel's+Hump+State+Park/@44.3118672,-73.436276,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+montpelier+vt!3m6!1s0x4cb575fe055a55d3:0x6752d205d36ecdc4!8m2!3d44.3118672!4d-72.8759733!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gbW9udHBlbGllciB2dFofIh10aGluZ3MgdG8gZG8gaW4gbW9udHBlbGllciB2dJIBCnN0YXRlX3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTmhhamwyY0RaUlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","This primitive timber management & wildlife preservation area features mountains & trails."
"1654738639-455","https://www.google.com/maps/place/Vermont+State+House/@44.2431092,-72.8709727,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+montpelier+vt!3m6!1s0x4cb5a78ce4fcd0ef:0xf45bf416650b4910!8m2!3d44.2621859!4d-72.5806351!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gbW9udHBlbGllciB2dFofIh10aGluZ3MgdG8gZG8gaW4gbW9udHBlbGllciB2dJIBF3N0YXRlX2dvdmVybm1lbnRfb2ZmaWNlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJYY0dGUFMwdEJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance","null","null","Restored Greek Revival state capitol with a historic art collection, offering free guided tours."
"1654738578-449","https://www.google.com/maps/place/Sarducci's/@44.259922,-72.6107101,14z/data=!4m10!1m2!2m1!1sfood+in+montpelier+vt!3m6!1s0x4cb5a7f44dafa0f5:0x26799c42a2d5e7d2!8m2!3d44.2577418!4d-72.5765314!10e1!15sChVmb29kIGluIG1vbnRwZWxpZXIgdnRaFyIVZm9vZCBpbiBtb250cGVsaWVyIHZ0kgESaXRhbGlhbl9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Gender-neutral restroom   Good for kids   High chairs   Restroom   Free Wi-Fi","null","Lively, casual Italian trattoria overlooking the Winooski River & serving pasta & wood-fired pizzas."
"1654738609-452","https://www.google.com/maps/place/The+Mad+Taco/@44.2483056,-72.5842035,14z/data=!4m9!1m2!2m1!1sfood+in+montpelier+vt!3m5!1s0x4cb5a7f3880953fd:0xca21e5c405bc697e!8m2!3d44.2599254!4d-72.5757003!15sChVmb29kIGluIG1vbnRwZWxpZXIgdnRaFyIVZm9vZCBpbiBtb250cGVsaWVyIHZ0kgEPdGFjb19yZXN0YXVyYW50","The Mad Taco","4.3","themadtaco.com","72 Main St, Montpelier, VT 05602","null","null","https://lh5.googleusercontent.com/p/AF1QipMDLgw8qrI6KXjmuRv1gC-MmUkjDNf71c5oZfNU=w408-h305-k-no","null"
"1654738598-451","https://www.google.com/maps/place/The+Mad+Taco/@44.259922,-72.6107101,14z/data=!4m10!1m2!2m1!1sfood+in+montpelier+vt!3m6!1s0x4cb5a7f3880953fd:0xca21e5c405bc697e!8m2!3d44.2599254!4d-72.5757003!10e1!15sChVmb29kIGluIG1vbnRwZWxpZXIgdnRaFyIVZm9vZCBpbiBtb250cGVsaWVyIHZ0kgEPdGFjb19yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   Restroom   Free Wi-Fi","null","Mexican & modern Latin eats are served with hot sauces & craft beers in a relaxed, funky setting."
"1654738650-456","https://www.google.com/maps/place/Vermont+State+House/@44.2431092,-72.8709727,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+montpelier+vt!3m5!1s0x4cb5a78ce4fcd0ef:0xf45bf416650b4910!8m2!3d44.2621859!4d-72.5806351!15sCh10aGluZ3MgdG8gZG8gaW4gbW9udHBlbGllciB2dFofIh10aGluZ3MgdG8gZG8gaW4gbW9udHBlbGllciB2dJIBF3N0YXRlX2dvdmVybm1lbnRfb2ZmaWNlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJYY0dGUFMwdEJFQUU","Vermont State House","4.6","statehouse.vermont.gov","115 State St, Montpelier, VT 05633","null","null","https://lh5.googleusercontent.com/p/AF1QipPXtFxoRIxqWF-Ri5sI0tlbBo3qun0H1dVY90-I=w408-h272-k-no","null"
"1654738660-457","https://www.google.com/maps/place/Vermont+Historical+Society+Museum/@44.2431092,-72.8709727,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+montpelier+vt!3m6!1s0x4cb5a78cb1219a7f:0x1746710a2bd8b554!8m2!3d44.2611942!4d-72.5794797!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gbW9udHBlbGllciB2dFofIh10aGluZ3MgdG8gZG8gaW4gbW9udHBlbGllciB2dJIBBm11c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeWJXUkVWRVpuRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Museum featuring an acclaimed multimedia exhibit on Vermont's history, along with a gift shop."
"1654738588-450","https://www.google.com/maps/place/Sarducci's/@44.259922,-72.6107101,14z/data=!4m9!1m2!2m1!1sfood+in+montpelier+vt!3m5!1s0x4cb5a7f44dafa0f5:0x26799c42a2d5e7d2!8m2!3d44.2577418!4d-72.5765314!15sChVmb29kIGluIG1vbnRwZWxpZXIgdnRaFyIVZm9vZCBpbiBtb250cGVsaWVyIHZ0kgESaXRhbGlhbl9yZXN0YXVyYW50","Sarducci's","4.6","sarduccis.com","3 Main St, Montpelier, VT 05602","null","null","https://lh5.googleusercontent.com/p/AF1QipPMxnWW9-iNU5ZPhetz6pxiBkJZo92kaqZfgaT5=w427-h240-k-no","null"
"1654738629-454","https://www.google.com/maps/place/Camel's+Hump+State+Park/@44.2431092,-72.8709727,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+montpelier+vt!3m5!1s0x4cb575fe055a55d3:0x6752d205d36ecdc4!8m2!3d44.3118672!4d-72.8759733!15sCh10aGluZ3MgdG8gZG8gaW4gbW9udHBlbGllciB2dFofIh10aGluZ3MgdG8gZG8gaW4gbW9udHBlbGllciB2dJIBCnN0YXRlX3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTmhhamwyY0RaUlJSQUI","Camel's Hump State Park","4.8","vtstateparks.com","3429 Camels Hump Rd, Duxbury, VT 05676","null","null","https://lh5.googleusercontent.com/p/AF1QipPuRt1w9iWRFun1RGdSYxiZd2JXq2ZuKIRxsgw1=w408-h272-k-no","null"
"1654738670-458","https://www.google.com/maps/place/Vermont+Historical+Society+Museum/@44.2431092,-72.8709727,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+montpelier+vt!3m5!1s0x4cb5a78cb1219a7f:0x1746710a2bd8b554!8m2!3d44.2611942!4d-72.5794797!15sCh10aGluZ3MgdG8gZG8gaW4gbW9udHBlbGllciB2dFofIh10aGluZ3MgdG8gZG8gaW4gbW9udHBlbGllciB2dJIBBm11c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeWJXUkVWRVpuRUFF","Vermont Historical Society Museum","4.5","vermonthistory.org","109 State St, Montpelier, VT 05609","null","null","https://lh5.googleusercontent.com/p/AF1QipNYfdudS1nJ8LxkGCX1m4HfENvi2cMmpGP4oEMA=w408-h306-k-no","null"
