web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654728539-271","https://www.google.com/maps/place/Plamann+Park/@44.292076,-88.5496922,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+appleton+wi!3m6!1s0x8803b3ebd70211c1:0x6e507c4b92da529!8m2!3d44.3266378!4d-88.3850825!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gYXBwbGV0b24gd2laHSIbdGhpbmdzIHRvIGRvIGluIGFwcGxldG9uIHdpkgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOeE4weGlWR2RCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Big park with a 27-hole disc-golf course, a lake beach, a kids' farm, sports fields & picnic areas."
"1654728560-273","https://www.google.com/maps/place/Gordon+Bubolz+Nature+Preserve/@44.292076,-88.5496922,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+appleton+wi!3m6!1s0x8803b6783e73e545:0x6713aace7679455c!8m2!3d44.311604!4d-88.449619!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gYXBwbGV0b24gd2laHSIbdGhpbmdzIHRvIGRvIGluIGFwcGxldG9uIHdpkgEPbmF0dXJlX3ByZXNlcnZlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJYTVY5NVZGRkJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Unspoiled natural landscape with trails for hiking & cross-country skiing, plus an education center."
"1654728601-277","https://www.google.com/maps/place/The+History+Museum+at+the+Castle/@44.292076,-88.5496922,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+appleton+wi!3m6!1s0x8803b0cccde80bf9:0xc923aba9dbce7d0a!8m2!3d44.2621443!4d-88.4014413!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gYXBwbGV0b24gd2laHSIbdGhpbmdzIHRvIGRvIGluIGFwcGxldG9uIHdpkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5WTUVwdU1EaFJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Converted Masonic temple houses exhibits on Houdini & other significant Fox Valley people & events."
"1654728570-274","https://www.google.com/maps/place/Gordon+Bubolz+Nature+Preserve/@44.292076,-88.5496922,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+appleton+wi!3m2!1s0x8803b6783e73e545:0x6713aace7679455c!15sCht0aGluZ3MgdG8gZG8gaW4gYXBwbGV0b24gd2laHSIbdGhpbmdzIHRvIGRvIGluIGFwcGxldG9uIHdpkgEPbmF0dXJlX3ByZXNlcnZlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJYTVY5NVZGRkJFQUU","Gordon Bubolz Nature Preserve","4.6","bubolzpreserve.org","4815 N Lynndale Dr, Appleton, WI 54913","null","null","https://lh5.googleusercontent.com/p/AF1QipN5r_e9zmG43Gb-nScu-_z5u9jNEta77XuVNKRx=w408-h544-k-no","null"
"1654728529-270","https://www.google.com/maps/place/The+Cozzy+Corner/@44.2748377,-88.4496965,13z/data=!4m9!1m2!2m1!1sfood+in+appleton+wi!3m5!1s0x8803b73a131f6a5f:0xeecb89561b40c70b!8m2!3d44.2621999!4d-88.4122695!15sChNmb29kIGluIGFwcGxldG9uIHdpWhUiE2Zvb2QgaW4gYXBwbGV0b24gd2mSARZzb3V0aGVybl91c19yZXN0YXVyYW50","The Cozzy Corner","4.4","thecozzycorner1.com","111 N Walnut St, Appleton, WI 54911","null","null","https://lh5.googleusercontent.com/p/AF1QipObWXNVDyjz86fwg_0LZZR5nq6bSOgO7CL3samT=w408-h306-k-no","null"
"1654728519-269","https://www.google.com/maps/place/The+Cozzy+Corner/@44.2748377,-88.4496965,13z/data=!4m10!1m2!2m1!1sfood+in+appleton+wi!3m6!1s0x8803b73a131f6a5f:0xeecb89561b40c70b!8m2!3d44.2621999!4d-88.4122695!10e1!15sChNmb29kIGluIGFwcGxldG9uIHdpWhUiE2Zvb2QgaW4gYXBwbGV0b24gd2mSARZzb3V0aGVybl91c19yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible seating","Amenities    Good for kids   High chairs   Restroom   Free Wi-Fi","null","Cozy Southern restaurant serving BBQ plates, wings & fried chicken amid blues music & murals."
"1654728549-272","https://www.google.com/maps/place/Plamann+Park/@44.292076,-88.5496922,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+appleton+wi!3m5!1s0x8803b3ebd70211c1:0x6e507c4b92da529!8m2!3d44.3266378!4d-88.3850825!15sCht0aGluZ3MgdG8gZG8gaW4gYXBwbGV0b24gd2laHSIbdGhpbmdzIHRvIGRvIGluIGFwcGxldG9uIHdpkgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOeE4weGlWR2RCUlJBQg","Plamann Park","4.6","outagamie.org","1375 E Broadway Dr, Appleton, WI 54913","null","null","https://lh5.googleusercontent.com/p/AF1QipNBmdtjVuPCjUleP2dAl6eJiAMlhd8en4C6xC8b=w408-h306-k-no","null"
"1654728580-275","https://www.google.com/maps/place/Hearthstone+Historic+House+Museum/@44.292076,-88.5496922,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+appleton+wi!3m6!1s0x8803b74717caa11d:0x776d6af5f1b706fd!8m2!3d44.2543101!4d-88.4150064!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gYXBwbGV0b24gd2laHSIbdGhpbmdzIHRvIGRvIGluIGFwcGxldG9uIHdpkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15TW5ONWVVbEJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","null","null","Guided tours & exhibits are offered at this 19th-century residence once powered by hydroelectricity."
"1654728590-276","https://www.google.com/maps/place/Hearthstone+Historic+House+Museum/@44.292076,-88.5496922,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+appleton+wi!3m5!1s0x8803b74717caa11d:0x776d6af5f1b706fd!8m2!3d44.2543101!4d-88.4150064!15sCht0aGluZ3MgdG8gZG8gaW4gYXBwbGV0b24gd2laHSIbdGhpbmdzIHRvIGRvIGluIGFwcGxldG9uIHdpkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15TW5ONWVVbEJFQUU","Hearthstone Historic House Museum","4.8","hearthstonemuseum.org","625 W Prospect Ave, Appleton, WI 54911","null","null","https://lh5.googleusercontent.com/p/AF1QipMyYmXZ3tJLnUhE8d5-hvz6rwtsGeAwTasAmwWa=w408-h334-k-no","null"
"1654728611-278","https://www.google.com/maps/place/The+History+Museum+at+the+Castle/@44.292076,-88.5496922,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+appleton+wi!3m5!1s0x8803b0cccde80bf9:0xc923aba9dbce7d0a!8m2!3d44.2621443!4d-88.4014413!15sCht0aGluZ3MgdG8gZG8gaW4gYXBwbGV0b24gd2laHSIbdGhpbmdzIHRvIGRvIGluIGFwcGxldG9uIHdpkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5WTUVwdU1EaFJSUkFC","The History Museum at the Castle","4.3","myhistorymuseum.org","330 E College Ave, Appleton, WI 54911","null","null","https://lh5.googleusercontent.com/p/AF1QipMDtxlgdEftw-w9Ykp9EztnB0ckN9t-0x60E8e5=w408-h306-k-no","null"
