web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654728277-266","https://www.google.com/maps/place/Olbrich+Botanical+Gardens/@43.0818342,-89.5630244,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+madison+wi!3m5!1s0x880653f7b311b2bd:0x8ab1c3dc47736087!8m2!3d43.0927037!4d-89.3346057!15sChp0aGluZ3MgdG8gZG8gaW4gbWFkaXNvbiB3aVocIhp0aGluZ3MgdG8gZG8gaW4gbWFkaXNvbiB3aZIBEGJvdGFuaWNhbF9nYXJkZW6aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTnhkWEJRWW1KM0VBRQ","Olbrich Botanical Gardens","4.8","olbrich.org","3330 Atwood Ave, Madison, WI 53704","null","null","https://lh5.googleusercontent.com/p/AF1QipMugiu_Sbxbbgang3w1Y_U2xe92Btrk678u-mw9=w408-h306-k-no","null"
"1654728266-265","https://www.google.com/maps/place/Olbrich+Botanical+Gardens/@43.0818342,-89.5630244,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+madison+wi!3m6!1s0x880653f7b311b2bd:0x8ab1c3dc47736087!8m2!3d43.0927037!4d-89.3346057!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gbWFkaXNvbiB3aVocIhp0aGluZ3MgdG8gZG8gaW4gbWFkaXNvbiB3aZIBEGJvdGFuaWNhbF9nYXJkZW6aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTnhkWEJRWW1KM0VBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Public restroom","null","16 acres of gardens, including a tropical conservatory, a rose garden & a gilded Thai pavilion."
"1654728215-260","https://www.google.com/maps/place/Graze+Restaurant/@43.0751379,-89.4522697,13z/data=!3m1!5s0x8806533f775d759b:0x1e9a909ed8a51449!4m9!1m2!2m1!1sfood+in+madison+wi!3m5!1s0x8806533f777ff4cb:0x8a779999dccd8acf!8m2!3d43.0751379!4d-89.3822319!15sChJmb29kIGluIG1hZGlzb24gd2laFCISZm9vZCBpbiBtYWRpc29uIHdpkgETYW1lcmljYW5fcmVzdGF1cmFudA","Graze Restaurant","4.4","grazemadison.com","1 S Pinckney St, Madison, WI 53703","null","null","https://lh5.googleusercontent.com/p/AF1QipOujeB_n2hayiB98qWijDvFZy7yEdpdgUqH30Qn=w408-h407-k-no","null"
"1654728256-264","https://www.google.com/maps/place/Chazen+Museum+of+Art/@43.0818342,-89.5630244,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+madison+wi!3m2!1s0x8807accadd833e83:0x88f893e673a3b8e2!15sChp0aGluZ3MgdG8gZG8gaW4gbWFkaXNvbiB3aVocIhp0aGluZ3MgdG8gZG8gaW4gbWFkaXNvbiB3aZIBCmFydF9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlhhWFZFZFc5M1JSQUI","Chazen Museum of Art","4.8","chazen.wisc.edu","800 University Ave, Madison, WI 53706","null","null","https://lh5.googleusercontent.com/p/AF1QipMc7nG65r3Gzi3q4OsWAzbIHZTIUiOKgzAyUYVr=w435-h240-k-no","null"
"1654728235-262","https://www.google.com/maps/place/Henry+Vilas+Zoo/@43.0818342,-89.5630244,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+madison+wi!3m5!1s0x8807adb98043f093:0x938021ed492e1c41!8m2!3d43.0606104!4d-89.410035!15sChp0aGluZ3MgdG8gZG8gaW4gbWFkaXNvbiB3aVocIhp0aGluZ3MgdG8gZG8gaW4gbWFkaXNvbiB3aZIBA3pvb5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOeGFHRnlNamRSUlJBQg","Henry Vilas Zoo","4.7","henryvilaszoo.gov","702 S Randall Ave, Madison, WI 53715","null","null","https://lh5.googleusercontent.com/p/AF1QipPv3sImkvfo8mwXA5BH9H9t9Cow9annpKiR4C9i=w408-h544-k-no","null"
"1654728297-268","https://www.google.com/maps/place/Madison+Children's+Museum/@43.0818342,-89.5630244,11z/data=!3m1!5s0x880653474c740739:0x7edf0a3a857c2355!4m9!1m2!2m1!1sthings+to+do+in+madison+wi!3m5!1s0x8806534752bd407f:0x89f1c1ca79f5ab43!8m2!3d43.0769396!4d-89.3843946!15sChp0aGluZ3MgdG8gZG8gaW4gbWFkaXNvbiB3aVocIhp0aGluZ3MgdG8gZG8gaW4gbWFkaXNvbiB3aZIBEGNoaWxkcmVuc19tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlhOM0psUWpSQlJSQUI","Madison Children's Museum","4.7","madisonchildrensmuseum.org","100 N Hamilton St, Madison, WI 53703","null","null","https://lh5.googleusercontent.com/p/AF1QipN2kXap2yk1fFSVm78smPeIPy5fFO_JiT6X4vPF=w408-h271-k-no","null"
"1654728205-259","https://www.google.com/maps/place/Graze+Restaurant/@43.0751379,-89.4522697,13z/data=!3m1!5s0x8806533f775d759b:0x1e9a909ed8a51449!4m10!1m2!2m1!1sfood+in+madison+wi!3m6!1s0x8806533f777ff4cb:0x8a779999dccd8acf!8m2!3d43.0751379!4d-89.3822319!10e1!15sChJmb29kIGluIG1hZGlzb24gd2laFCISZm9vZCBpbiBtYWRpc29uIHdpkgETYW1lcmljYW5fcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible restroom   Wheelchair accessible seating   Wheelchair accessible parking lot","Amenities    Bar onsite   Good for kids   High chairs","null","Lively gastropub plating farm-to-table comfort fare in a modern glass venue with Capitol views."
"1654728225-261","https://www.google.com/maps/place/Henry+Vilas+Zoo/@43.0818342,-89.5630244,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+madison+wi!3m6!1s0x8807adb98043f093:0x938021ed492e1c41!8m2!3d43.0606104!4d-89.410035!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gbWFkaXNvbiB3aVocIhp0aGluZ3MgdG8gZG8gaW4gbWFkaXNvbiB3aZIBA3pvb5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOeGFHRnlNamRSUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Offering free entry, this zoo features animals from around the world, plus gifts, food & treats."
"1654728246-263","https://www.google.com/maps/place/Chazen+Museum+of+Art/@43.0818342,-89.5630244,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+madison+wi!3m6!1s0x8807accadd833e83:0x88f893e673a3b8e2!8m2!3d43.0736144!4d-89.3991833!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gbWFkaXNvbiB3aVocIhp0aGluZ3MgdG8gZG8gaW4gbWFkaXNvbiB3aZIBCmFydF9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlhhWFZFZFc5M1JSQUI","null","null","null","null","Accessibility    Assistive hearing loop   Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Gender-neutral restroom   Good for kids   Restaurant","null","Free campus art museum offering rotating exhibits from a collection of 20,000 works."
"1654728287-267","https://www.google.com/maps/place/Madison+Children's+Museum/@43.0818342,-89.5630244,11z/data=!3m1!5s0x880653474c740739:0x7edf0a3a857c2355!4m10!1m2!2m1!1sthings+to+do+in+madison+wi!3m6!1s0x8806534752bd407f:0x89f1c1ca79f5ab43!8m2!3d43.0769396!4d-89.3843946!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gbWFkaXNvbiB3aVocIhp0aGluZ3MgdG8gZG8gaW4gbWFkaXNvbiB3aZIBEGNoaWxkcmVuc19tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlhOM0psUWpSQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant   Restroom","null","3 floors of interactive & educational exhibits designed for kids 12 & under plus a cafe."
