web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654727761-257","https://www.google.com/maps/place/Mitchell+Park+Domes/@43.0459198,-88.0262325,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+milwaukee+wi!3m6!1s0x88051a3b9067b207:0xacf13ad0984f6ec4!8m2!3d43.0264365!4d-87.9459482!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbWlsd2F1a2VlIHdpWh4iHHRoaW5ncyB0byBkbyBpbiBtaWx3YXVrZWUgd2mSARBib3RhbmljYWxfZ2FyZGVumgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJSZDJaeFpFUjNFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Horticultural conservatory showcasing desert, jungle & seasonal flora plus a model railroad."
"1654727750-256","https://www.google.com/maps/place/Milwaukee+County+Zoo/@43.0312884,-88.181031,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+milwaukee+wi!3m5!1s0x8805051011547a99:0xf24fa8bc9f5d362a!8m2!3d43.0312884!4d-88.0409553!15sChx0aGluZ3MgdG8gZG8gaW4gbWlsd2F1a2VlIHdpWh4iHHRoaW5ncyB0byBkbyBpbiBtaWx3YXVrZWUgd2mSAQN6b2-aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnRaMlJQWVRablJSQUI","Milwaukee County Zoo","4.6","milwaukeezoo.org","10001 W Bluemound Rd, Milwaukee, WI 53226","null","null","https://lh5.googleusercontent.com/p/AF1QipN8Q85U5YuU5jY_9eqB_fSssgiW1FTZPQxATTH_=w426-h240-k-no","null"
"1654727709-252","https://www.google.com/maps/place/Discovery+World/@43.039252,-88.0780577,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+milwaukee+wi!3m5!1s0x88051829dfb1f1ff:0x20b154f9fd7d130d!8m2!3d43.0368557!4d-87.8957252!15sChx0aGluZ3MgdG8gZG8gaW4gbWlsd2F1a2VlIHdpWh4iHHRoaW5ncyB0byBkbyBpbiBtaWx3YXVrZWUgd2mSAQ5zY2llbmNlX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeVozTlRNMFpCRUFF","Discovery World","4.6","discoveryworld.org","500 N Harbor Dr, Milwaukee, WI 53202","null","null","https://lh5.googleusercontent.com/p/AF1QipN-HO6jE0vIjIYJMNP9vQicMcMC7vJBXc4SYNQ5=w426-h240-k-no","null"
"1654727720-253","https://www.google.com/maps/place/Pabst+Mansion/@43.039252,-88.0780577,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+milwaukee+wi!3m6!1s0x88051a2b59bab193:0x5150fb7348f46477!8m2!3d43.039252!4d-87.937982!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbWlsd2F1a2VlIHdpWh4iHHRoaW5ncyB0byBkbyBpbiBtaWx3YXVrZWUgd2mSARdoaXN0b3JpY2FsX3BsYWNlX211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOUFowMVFjMnQzUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible parking lot","null","null","Gilded Age house museum of the local famed beer family offering daily tours & Pabst-themed gifts."
"1654727699-251","https://www.google.com/maps/place/Discovery+World/@43.039252,-88.0780577,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+milwaukee+wi!3m6!1s0x88051829dfb1f1ff:0x20b154f9fd7d130d!8m2!3d43.0368557!4d-87.8957252!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbWlsd2F1a2VlIHdpWh4iHHRoaW5ncyB0byBkbyBpbiBtaWx3YXVrZWUgd2mSAQ5zY2llbmNlX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeVozTlRNMFpCRUFF","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair rental","Amenities    Good for kids   Restaurant   Restroom   Free Wi-Fi","null","Lakefront museum & aquarium showcasing innovation, technology & Great Lakes conservation."
"1654727771-258","https://www.google.com/maps/place/Mitchell+Park+Domes/@43.0459198,-88.0262325,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+milwaukee+wi!3m5!1s0x88051a3b9067b207:0xacf13ad0984f6ec4!8m2!3d43.0264365!4d-87.9459482!15sChx0aGluZ3MgdG8gZG8gaW4gbWlsd2F1a2VlIHdpWh4iHHRoaW5ncyB0byBkbyBpbiBtaWx3YXVrZWUgd2mSARBib3RhbmljYWxfZ2FyZGVumgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJSZDJaeFpFUjNFQUU","Mitchell Park Domes","4.7","mitchellparkdomes.com","524 S Layton Blvd, Milwaukee, WI 53215","null","null","https://lh5.googleusercontent.com/p/AF1QipN836bn6_5np7q-ZUJ9KlANr_qlbgrUSEciXh19=w408-h272-k-no","null"
"1654727730-254","https://www.google.com/maps/place/Pabst+Mansion/@43.039252,-88.0780577,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+milwaukee+wi!3m5!1s0x88051a2b59bab193:0x5150fb7348f46477!8m2!3d43.039252!4d-87.937982!15sChx0aGluZ3MgdG8gZG8gaW4gbWlsd2F1a2VlIHdpWh4iHHRoaW5ncyB0byBkbyBpbiBtaWx3YXVrZWUgd2mSARdoaXN0b3JpY2FsX3BsYWNlX211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOUFowMVFjMnQzUlJBQg","Pabst Mansion","4.7","pabstmansion.com","2000 W Wisconsin Ave, Milwaukee, WI 53233","null","null","https://lh5.googleusercontent.com/p/AF1QipOG43JIytX4LPZz9yeyNyxT_tjVKHSltKS3HI5q=w408-h306-k-no","null"
"1654727689-250","https://www.google.com/maps/place/Mader's+Restaurant/@43.053777,-87.984328,13z/data=!4m9!1m2!2m1!1sfood+in+milwaukee+i!3m5!1s0x880519a7848f46b5:0xfbf420483564d76c!8m2!3d43.0438199!4d-87.9149357!15sChNmb29kIGluIG1pbHdhdWtlZSBpWhMiEWZvb2QgaW4gbWlsd2F1a2VlkgERZ2VybWFuX3Jlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXlPQzFoZEVKbkVBRQ","Mader's Restaurant","4.5","madersrestaurant.com","1041 N Old World 3rd St, Milwaukee, WI 53203","null","null","https://lh5.googleusercontent.com/p/AF1QipMUk4qb1cWrPKAxMel10o2ZMApULLLsoyWvPomt=w408-h293-k-no","null"
"1654727740-255","https://www.google.com/maps/place/Milwaukee+County+Zoo/@43.0312884,-88.181031,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+milwaukee+wi!3m6!1s0x8805051011547a99:0xf24fa8bc9f5d362a!8m2!3d43.0312884!4d-88.0409553!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbWlsd2F1a2VlIHdpWh4iHHRoaW5ncyB0byBkbyBpbiBtaWx3YXVrZWUgd2mSAQN6b2-aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnRaMlJQWVRablJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","200-acre zoo featuring animal exhibits, pony & train rides, a carousel & a sea lion show."
"1654727678-249","https://www.google.com/maps/place/Mader's+Restaurant/@43.053777,-87.984328,13z/data=!4m10!1m2!2m1!1sfood+in+milwaukee+i!3m6!1s0x880519a7848f46b5:0xfbf420483564d76c!8m2!3d43.0438199!4d-87.9149357!10e1!15sChNmb29kIGluIG1pbHdhdWtlZSBpWhMiEWZvb2QgaW4gbWlsd2F1a2VlkgERZ2VybWFuX3Jlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXlPQzFoZEVKbkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Bar onsite   Good for kids   High chairs   Restroom   Free Wi-Fi","null","Old-school place offering classic German cuisine, Bavarian decor & traditionally attired waitstaff."
