web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654730765-344","https://www.google.com/maps/place/Undine+Park/@41.6635786,-106.5364376,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+laramie+wy!3m5!1s0x87689021bc8c02cd:0xda586e8833a2a478!8m2!3d41.30533!4d-105.5903077!15sChp0aGluZ3MgdG8gZG8gaW4gbGFyYW1pZSB3eVocIhp0aGluZ3MgdG8gZG8gaW4gbGFyYW1pZSB3eZIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTTJhVFZQYlhoQlJSQUI","Undine Park","4.5","cityoflaramie.org","800-898 S 7th St, Laramie, WY 82070","null","null","https://lh5.googleusercontent.com/p/AF1QipNU-baxC94YyIohVYbgxMsAskjgmZoJNL5MEPTd=w426-h240-k-no","null"
"1654730745-342","https://www.google.com/maps/place/Fort+Laramie+National+Historic+Site/@41.6635786,-106.5364376,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+laramie+wy!3m5!1s0x8765b3828e45a49f:0x1e4ee4bf0a23a45b!8m2!3d42.2029097!4d-104.5465669!15sChp0aGluZ3MgdG8gZG8gaW4gbGFyYW1pZSB3eVocIhp0aGluZ3MgdG8gZG8gaW4gbGFyYW1pZSB3eZIBEG5hdGlvbmFsX3Jlc2VydmWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlBPRXhRWm5OQlJSQUI","Fort Laramie National Historic Site","4.7","nps.gov","965 Grey Rocks Road, Fort Laramie, WY 82212","null","null","https://lh5.googleusercontent.com/p/AF1QipNClP-QWib0zEUB8lztUDY7miPB2-I1pbdD8NKA=w408-h306-k-no","null"
"1654730796-347","https://www.google.com/maps/place/Laramie+Plains+Museum/@41.6635786,-106.5364376,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+laramie+wy!3m6!1s0x8768901ea730903b:0x60d50859c2260ee9!8m2!3d41.3119624!4d-105.5890541!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gbGFyYW1pZSB3eVocIhp0aGluZ3MgdG8gZG8gaW4gbGFyYW1pZSB3eZIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOSE9XOUVWbkZCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Historic Ivinson Mansion, with a collection of artifacts relating to the area's local history."
"1654730775-345","https://www.google.com/maps/place/Wyoming+Territorial+Prison+State+Historic+Site/@41.6635786,-106.5364376,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+laramie+wy!3m6!1s0x87688fee609087ed:0x8749664644819955!8m2!3d41.3116128!4d-105.6105124!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gbGFyYW1pZSB3eVocIhp0aGluZ3MgdG8gZG8gaW4gbGFyYW1pZSB3eZIBCnN0YXRlX3BhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkhjbUZEUVdWUkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Historical park at a former prison site offering self-guided & guided tours of the jail & grounds."
"1654730734-341","https://www.google.com/maps/place/Fort+Laramie+National+Historic+Site/@41.6635786,-106.5364376,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+laramie+wy!3m6!1s0x8765b3828e45a49f:0x1e4ee4bf0a23a45b!8m2!3d42.2029097!4d-104.5465669!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gbGFyYW1pZSB3eVocIhp0aGluZ3MgdG8gZG8gaW4gbGFyYW1pZSB3eZIBEG5hdGlvbmFsX3Jlc2VydmWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlBPRXhRWm5OQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Historic site with a visitor center offers audio tours of the military post plus outdoor activities."
"1654730724-340","https://www.google.com/maps/place/Crowbar+%26+Grill/@41.2992833,-105.6218236,13z/data=!4m9!1m2!2m1!1sfood+in+laramie+wy!3m5!1s0x87688fe20faa783f:0x2e95afc7be368653!8m2!3d41.3118904!4d-105.5949962!15sChJmb29kIGluIGxhcmFtaWUgd3laFCISZm9vZCBpbiBsYXJhbWllIHd5kgENYmFyX2FuZF9ncmlsbJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSWGRuSnlkSEJSUlJBQg","Crowbar & Grill","4.5","thecrowbarandgrill.com","202 S 2nd St, Laramie, WY 82070","null","null","https://lh5.googleusercontent.com/p/AF1QipMan1KT22HixA5ydhERyJSvMyTnAe6FNm-_L28e=w499-h240-k-no","null"
"1654730786-346","https://www.google.com/maps/place/Wyoming+Territorial+Prison+State+Historic+Site/@41.6635786,-106.5364376,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+laramie+wy!3m5!1s0x87688fee609087ed:0x8749664644819955!8m2!3d41.3116128!4d-105.6105124!15sChp0aGluZ3MgdG8gZG8gaW4gbGFyYW1pZSB3eVocIhp0aGluZ3MgdG8gZG8gaW4gbGFyYW1pZSB3eZIBCnN0YXRlX3BhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkhjbUZEUVdWUkVBRQ","Wyoming Territorial Prison State Historic Site","4.7","wyoparks.wyo.gov","975 Snowy Range Rd, Laramie, WY 82070","null","null","https://lh5.googleusercontent.com/p/AF1QipMa8GeDwlk6PfU_n7BFEhzIh0AOpVXe9ARn8NKT=w426-h240-k-no","null"
"1654730714-339","https://www.google.com/maps/place/Crowbar+%26+Grill/@41.2992833,-105.6218236,13z/data=!4m10!1m2!2m1!1sfood+in+laramie+wy!3m6!1s0x87688fe20faa783f:0x2e95afc7be368653!8m2!3d41.3118904!4d-105.5949962!10e1!15sChJmb29kIGluIGxhcmFtaWUgd3laFCISZm9vZCBpbiBsYXJhbWllIHd5kgENYmFyX2FuZF9ncmlsbJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSWGRuSnlkSEJSUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom   Free Wi-Fi","null","Creative burgers & pizzas served along with craft brews & cocktails in a relaxed atmosphere."
"1654730806-348","https://www.google.com/maps/place/Laramie+Plains+Museum/@41.6635786,-106.5364376,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+laramie+wy!3m5!1s0x8768901ea730903b:0x60d50859c2260ee9!8m2!3d41.3119624!4d-105.5890541!15sChp0aGluZ3MgdG8gZG8gaW4gbGFyYW1pZSB3eVocIhp0aGluZ3MgdG8gZG8gaW4gbGFyYW1pZSB3eZIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOSE9XOUVWbkZCUlJBQg","Laramie Plains Museum","4.7","laramiemuseum.org","603 E Ivinson Ave, Laramie, WY 82070","null","null","https://lh5.googleusercontent.com/p/AF1QipPvLQoPPqski8dhPbg6AofoHYbghzNSaLWhMVVV=w408-h544-k-no","null"
"1654730755-343","https://www.google.com/maps/place/Undine+Park/@41.6635786,-106.5364376,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+laramie+wy!3m6!1s0x87689021bc8c02cd:0xda586e8833a2a478!8m2!3d41.30533!4d-105.5903077!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gbGFyYW1pZSB3eVocIhp0aGluZ3MgdG8gZG8gaW4gbGFyYW1pZSB3eZIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTTJhVFZQYlhoQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Neighborhood park with picnic shelters & BBQs, plus facilities for tennis, volleyball & basketball."
