web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654901241-893","https://www.google.com/maps/place/Shinzen+Friendship+Garden+Inc./@36.8134584,-120.4573122,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+fresno+ca!3m5!1s0x8094429b338fd735:0xa28e6359a83eced1!8m2!3d36.8658706!4d-119.7815989!15sChl0aGluZ3MgdG8gZG8gaW4gZnJlc25vIGNhWhsiGXRoaW5ncyB0byBkbyBpbiBmcmVzbm8gY2GSAQZnYXJkZW6aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnhlUzFtT1cxQlJSQUI","Shinzen Friendship Garden Inc.","4.7","shinzenjapanesegarden.org","114 W Audubon Dr, Fresno, CA 93720","null","null","https://lh5.googleusercontent.com/p/AF1QipOXZNd1u_Q6Ob-YLTGNsd8_qzyOz8msn5qjbCsz=w426-h240-k-no","null"
"1654901169-886","https://www.google.com/maps/place/Heirloom/@36.7957315,-119.8700759,12z/data=!4m10!1m2!2m1!1sfood+in+fresno+ca!3m6!1s0x809443edf734ec3b:0x82efc3f47ac4ad6a!8m2!3d36.8564709!4d-119.7837216!10e1!15sChFmb29kIGluIGZyZXNubyBjYVoTIhFmb29kIGluIGZyZXNubyBjYZIBCnJlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom","null","Seasonal farm-to-table meals with veggie options are served in this airy, laid-back spot."
"1654901271-896","https://www.google.com/maps/place/Island+Waterpark/@36.8134584,-120.4573122,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+fresno+ca!3m6!1s0x80946f5cb029300d:0x412b5774a67d11dd!8m2!3d36.8134584!4d-119.8970095!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gZnJlc25vIGNhWhsiGXRoaW5ncyB0byBkbyBpbiBmcmVzbm8gY2GSAQp3YXRlcl9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5aYlhCeE5FcDNFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Open during the summer, this water park offers water rides, pools, slides & kid play areas."
"1654901180-887","https://www.google.com/maps/place/Heirloom/@36.7957315,-119.8700759,12z/data=!4m9!1m2!2m1!1sfood+in+fresno+ca!3m5!1s0x809443edf734ec3b:0x82efc3f47ac4ad6a!8m2!3d36.8564709!4d-119.7837216!15sChFmb29kIGluIGZyZXNubyBjYVoTIhFmb29kIGluIGZyZXNubyBjYZIBCnJlc3RhdXJhbnQ","Heirloom","4.7","heirloom-eats.com","8398 N Fresno St, Fresno, CA 93720","null","null","https://lh5.googleusercontent.com/p/AF1QipPL8X8YIZXjxsY-jL3CueaSBdKmJpnMYV7sqBnE=w408-h544-k-no","null"
"1654901220-891","https://www.google.com/maps/place/Fresno+Art+Museum/@36.8134584,-120.4573122,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+fresno+ca!3m5!1s0x80945def5c67a273:0xd4e29f3acf441cfa!8m2!3d36.7708043!4d-119.7739458!15sChl0aGluZ3MgdG8gZG8gaW4gZnJlc25vIGNhWhsiGXRoaW5ncyB0byBkbyBpbiBmcmVzbm8gY2GSAQphcnRfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5ZG1ZM09ETjNSUkFC","Fresno Art Museum","4.5","fresnoartmuseum.org","2233 N First St, Fresno, CA 93703","null","null","https://lh5.googleusercontent.com/p/AF1QipOzU5zyz0vR928Wy0EvEShzyg0nOV5E49UeC9h1=w408-h544-k-no","null"
"1654901312-900","https://www.google.com/maps/place/Fresno+Discovery+Center/@36.786017,-120.0904734,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+fresno+ca!3m6!1s0x80945e834707dadd:0x9d181807fc1744ee!8m2!3d36.7680527!4d-119.7314459!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gZnJlc25vIGNhWhsiGXRoaW5ncyB0byBkbyBpbiBmcmVzbm8gY2GSAQ5zY2llbmNlX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSWE1HODNNMkpSRUFF","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Science center with hands-on exhibits including fossil digs, fishing & educational displays."
"1654901200-889","https://www.google.com/maps/place/Yard+House/@36.7957315,-119.8700759,12z/data=!4m9!1m2!2m1!1sfood+in+fresno+ca!3m5!1s0x8094681df688aa95:0x49d915a352be1b3b!8m2!3d36.8482906!4d-119.7892316!15sChFmb29kIGluIGZyZXNubyBjYVoTIhFmb29kIGluIGZyZXNubyBjYZIBGm5ld191c19hbWVyaWNhbl9yZXN0YXVyYW50","Yard House","4.4","yardhouse.com","90 El Camino, Fresno, CA 93720","null","null","https://lh5.googleusercontent.com/p/AF1QipNFPuyWniUEEk7e3Fp8zUV34n4q-ExejChUnoHC=w408-h306-k-no","null"
"1654901282-897","https://www.google.com/maps/place/Island+Waterpark/@36.786017,-120.0904734,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+fresno+ca!3m5!1s0x80946f5cb029300d:0x412b5774a67d11dd!8m2!3d36.8134584!4d-119.8970095!15sChl0aGluZ3MgdG8gZG8gaW4gZnJlc25vIGNhWhsiGXRoaW5ncyB0byBkbyBpbiBmcmVzbm8gY2GSAQp3YXRlcl9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5aYlhCeE5FcDNFQUU","Island Waterpark","4.4","islandwaterpark.com","6099 W Barstow Ave, Fresno, CA 93723","null","null","https://lh5.googleusercontent.com/p/AF1QipO-FyvsYNpub71HFg7GAKPu-Zc2DWtEuIeo7sYi=w442-h240-k-no","null"
"1654901322-901","https://www.google.com/maps/place/Fresno+Discovery+Center/@36.786017,-120.0904734,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+fresno+ca!3m5!1s0x80945e834707dadd:0x9d181807fc1744ee!8m2!3d36.7680527!4d-119.7314459!15sChl0aGluZ3MgdG8gZG8gaW4gZnJlc25vIGNhWhsiGXRoaW5ncyB0byBkbyBpbiBmcmVzbm8gY2GSAQ5zY2llbmNlX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSWE1HODNNMkpSRUFF","Fresno Discovery Center","4.5","fresnodiscoverycenter.org","1944 N Winery Ave, Fresno, CA 93703","null","null","https://lh5.googleusercontent.com/p/AF1QipNgjIIgysLAagtU4Rf7PWQnZ7DwzSI7Ga9gngN_=w408-h306-k-no","null"
"1654901261-895","https://www.google.com/maps/place/Blackbeard's+Family+Entertainment/@36.8134584,-120.4573122,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+fresno+ca!3m5!1s0x80945c495a85cf59:0x14fc1979cc7c6c24!8m2!3d36.791363!4d-119.7299482!15sChl0aGluZ3MgdG8gZG8gaW4gZnJlc25vIGNhWhsiGXRoaW5ncyB0byBkbyBpbiBmcmVzbm8gY2GSAQ5hbXVzZW1lbnRfcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSVk5EbExZblpCUlJBQg","Blackbeard's Family Entertainment","4.3","blackbeards.com","4055 N Chestnut Diagonal, Fresno, CA 93726","null","null","https://lh5.googleusercontent.com/p/AF1QipPn32tp6N-ss0lXMKIrr25R8k4jLr4BQ9Z60ntB=w408-h544-k-no","null"
"1654901190-888","https://www.google.com/maps/place/Yard+House/@36.7957315,-119.8700759,12z/data=!4m10!1m2!2m1!1sfood+in+fresno+ca!3m6!1s0x8094681df688aa95:0x49d915a352be1b3b!8m2!3d36.8482906!4d-119.7892316!10e1!15sChFmb29kIGluIGZyZXNubyBjYVoTIhFmb29kIGluIGZyZXNubyBjYZIBGm5ld191c19hbWVyaWNhbl9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom   Free Wi-Fi","null","High-end sports-bar chain with a huge menu of New American fare & an extensive list of draft beers."
"1654901251-894","https://www.google.com/maps/place/Blackbeard's+Family+Entertainment/@36.8134584,-120.4573122,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+fresno+ca!3m6!1s0x80945c495a85cf59:0x14fc1979cc7c6c24!8m2!3d36.791363!4d-119.7299482!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gZnJlc25vIGNhWhsiGXRoaW5ncyB0byBkbyBpbiBmcmVzbm8gY2GSAQ5hbXVzZW1lbnRfcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSVk5EbExZblpCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Baggage storage   Good for kids   Restroom   Free Wi-Fi","null","Family recreation center with paintball, go-karts, mini-golf & arcades as well as snacks & drinks."
"1654901353-904","https://www.google.com/maps/place/Forestiere+Underground+Gardens/@36.786017,-120.0904734,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+fresno+ca!3m6!1s0x809465ffe1571279:0xcce95b63b9732fc8!8m2!3d36.8076258!4d-119.8818076!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gZnJlc25vIGNhWhsiGXRoaW5ncyB0byBkbyBpbiBmcmVzbm8gY2GSARNoaXN0b3JpY2FsX2xhbmRtYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15YmpaNk1FNVJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance","null","null","Extensive network of below-the-surface gardens, grottoes & courtyards, with seasonal guided tours."
