web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654900914-1983","https://www.google.com/maps/place/San+Jose+Museum+of+Quilts+%26+Textiles/@37.7640148,-123.7322001,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+san+jose!3m6!1s0x808fccb6ce4e31b5:0x2211df4238b436ab!8m2!3d37.3281715!4d-121.884327!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gc2FuIGpvc2VaGiIYdGhpbmdzIHRvIGRvIGluIHNhbiBqb3NlkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU56TTI5UFpuZEJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","null","null","Featuring an expansive collection spanning from historical garments to contemporary textile art."
"1654900945-1986","https://www.google.com/maps/place/Rosicrucian+Egyptian+Museum/@37.7640148,-123.7322001,8z/data=!4m6!1m2!2m1!1sthings+to+do+in+san+jose!3m2!1s0x808fcb6b68eb46d5:0x813b70ab82510592!15sChh0aGluZ3MgdG8gZG8gaW4gc2FuIGpvc2VaGiIYdGhpbmdzIHRvIGRvIGluIHNhbiBqb3NlkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJMY0hVM1dHRkJFQUU","Rosicrucian Egyptian Museum","4.6","egyptianmuseum.org","1660 Park Ave, San Jose, CA 95191","null","null","https://lh5.googleusercontent.com/p/AF1QipP6wiY3o7lJ4w_37r3ohzj1fZ6Prn7qJy1DkB3-=w408-h306-k-no","null"
"1654901052-1996","https://www.google.com/maps/place/Municipal+Rose+Garden/@37.7640148,-123.7322001,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+san+jose!3m5!1s0x808fcb146d96926f:0xff35e99b970126d6!8m2!3d37.3318809!4d-121.9286119!15sChh0aGluZ3MgdG8gZG8gaW4gc2FuIGpvc2VaGiIYdGhpbmdzIHRvIGRvIGluIHNhbiBqb3NlkgEGZ2FyZGVumgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJ4WjB4VGNESlJSUkFC","Municipal Rose Garden","4.7","sanjose.org","1649 Naglee Ave, San Jose, CA 95126","null","null","https://lh5.googleusercontent.com/p/AF1QipOfIQrRyUivL_o0v1s3N8c_ud7coJaEH4LUJH_E=w408-h306-k-no","null"
"1654900904-1982","https://www.google.com/maps/place/Children's+Discovery+Museum+of+San+Jose/@37.7640148,-123.7322001,8z/data=!3m1!5s0x808fccafca816c45:0x4f8a47acf25ede70!4m9!1m2!2m1!1sthings+to+do+in+san+jose!3m5!1s0x808fccafb1f9201f:0x35c1930907271c51!8m2!3d37.3269922!4d-121.8920824!15sChh0aGluZ3MgdG8gZG8gaW4gc2FuIGpvc2VaGiIYdGhpbmdzIHRvIGRvIGluIHNhbiBqb3NlkgEQY2hpbGRyZW5zX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOdGNsQnBOR04zRUFF","Children's Discovery Museum of San Jose","4.6","cdm.org","180 Woz Way, San Jose, CA 95110","null","null","https://lh5.googleusercontent.com/p/AF1QipOsRlGyKTSsEUCOE8_i-XuMtF5VRWSxXBpu4r0s=w408-h544-k-no","null"
"1654900894-1981","https://www.google.com/maps/place/Children's+Discovery+Museum+of+San+Jose/@37.7640148,-123.7322001,8z/data=!3m1!5s0x808fccafca816c45:0x4f8a47acf25ede70!4m10!1m2!2m1!1sthings+to+do+in+san+jose!3m6!1s0x808fccafb1f9201f:0x35c1930907271c51!8m2!3d37.3269922!4d-121.8920824!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gc2FuIGpvc2VaGiIYdGhpbmdzIHRvIGRvIGluIHNhbiBqb3NlkgEQY2hpbGRyZW5zX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOdGNsQnBOR04zRUFF","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Gender-neutral restroom   Good for kids   Restaurant   Restroom","null","Children of all ages explore more than 150 interactive exhibits including a full-size fire truck."
"1654901042-1995","https://www.google.com/maps/place/Municipal+Rose+Garden/@37.7640148,-123.7322001,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+san+jose!3m6!1s0x808fcb146d96926f:0xff35e99b970126d6!8m2!3d37.3318809!4d-121.9286119!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gc2FuIGpvc2VaGiIYdGhpbmdzIHRvIGRvIGluIHNhbiBqb3NlkgEGZ2FyZGVumgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJ4WjB4VGNESlJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","180+ rose varieties typically blooming April-November in a colorful 5.5-acre garden with a fountain."
"1654900970-1988","https://www.google.com/maps/place/Plaza+de+Cesar+Chavez/@37.7640148,-123.7322001,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+san+jose!3m5!1s0x808fccbb27943791:0xe788ba104db19c5d!8m2!3d37.3324858!4d-121.8898421!15sChh0aGluZ3MgdG8gZG8gaW4gc2FuIGpvc2VaGiIYdGhpbmdzIHRvIGRvIGluIHNhbiBqb3NlkgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSSFh6bGhaSFpSUlJBQg","Plaza de Cesar Chavez","4.4","sjparks.org","1 Paseo de San Antonio, San Jose, CA 95113","null","null","https://lh5.googleusercontent.com/p/AF1QipN6WJKsEZ2LCAutx5QIQhjrn3xN6ubU4CfsOO1E=w408-h541-k-no","null"
"1654900935-1985","https://www.google.com/maps/place/Rosicrucian+Egyptian+Museum/@37.7640148,-123.7322001,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+san+jose!3m6!1s0x808fcb6b68eb46d5:0x813b70ab82510592!8m2!3d37.333486!4d-121.922884!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gc2FuIGpvc2VaGiIYdGhpbmdzIHRvIGRvIGluIHNhbiBqb3NlkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJMY0hVM1dHRkJFQUU","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Museum with displays on Egyptian burial practices, plus artifacts including jewelry & bronze tools."
"1654900883-1980","https://www.google.com/maps/place/Smoking+Pig+BBQ+Company/@37.3294243,-121.9592289,12z/data=!4m6!1m2!2m1!1sfood+in+san+jose!3m2!1s0x808fcae2cea80f79:0x57975756b25f0331!15sChBmb29kIGluIHNhbiBqb3NlWhIiEGZvb2QgaW4gc2FuIGpvc2WSARNiYXJiZWN1ZV9yZXN0YXVyYW50","Smoking Pig BBQ Company","4.4","smokingpigbbq.net","1144 N 4th St, San Jose, CA 95112","null","null","https://lh5.googleusercontent.com/p/AF1QipNYrzmSelqCeydko38otQATToCuWDX3W5U7yQZ0=w426-h240-k-no","null"
"1654900981-1989","https://www.google.com/maps/place/Winchester+Mystery+House/@37.7640148,-123.7322001,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+san+jose!3m6!1s0x808fcade58763a8f:0x644ba6010465ef66!8m2!3d37.3183318!4d-121.9510491!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gc2FuIGpvc2VaGiIYdGhpbmdzIHRvIGRvIGluIHNhbiBqb3NlkgEXaGlzdG9yaWNhbF9wbGFjZV9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkhNSFl5TmsxQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","Sprawling landmark with a staircase leading nowhere & other odd features designed to confuse ghosts."
