web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654900508-856","https://www.google.com/maps/place/The+Broad/@34.0919071,-118.6239272,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+la!3m6!1s0x80c2c64d122ca65d:0x98f1041528d11ebf!8m2!3d34.0545021!4d-118.2501802!10e1!15sChJ0aGluZ3MgdG8gZG8gaW4gbGFaFCISdGhpbmdzIHRvIGRvIGluIGxhkgERbW9kZXJuX2FydF9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUmhjWEJQTlU5QkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair rental","Amenities    Good for kids   Restaurant   Restroom   Free Wi-Fi","null","Modern art museum with a honeycomb-like facade housing rotating exhibits, plus a shop & restaurant."
"1654900436-849","https://www.google.com/maps/place/Pink's+Hot+Dogs/@34.051429,-118.3744855,12z/data=!4m9!1m2!2m1!1sfood+in+la!3m5!1s0x80c2bf2accdf0857:0x28baab47a2ca58e0!8m2!3d34.0838493!4d-118.344229!15sCgpmb29kIGluIGxhWgwiCmZvb2QgaW4gbGGSARJob3RfZG9nX3Jlc3RhdXJhbnSaASBDaFJEU1VoTk1HOW5TMFZKUTBGblNVTkxkalozVWhBQg","Pink's Hot Dogs","4.5","pinkshollywood.com","709 N La Brea Ave, Los Angeles, CA 90038","null","null","https://lh5.googleusercontent.com/p/AF1QipO1q6anibBtCJdhFn9IuRgajWSeT9B01Ts5Pn_7=w408-h306-k-no","null"
"1654900467-852","https://www.google.com/maps/place/Los+Angeles+County+Museum+of+Art/@34.0919071,-118.6239272,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+la!3m6!1s0x80c2b93cca9c7ab1:0x9b191d3aac3e37!8m2!3d34.0639323!4d-118.3592293!10e1!15sChJ0aGluZ3MgdG8gZG8gaW4gbGFaFCISdGhpbmdzIHRvIGRvIGluIGxhkgEKYXJ0X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSUk9XOHRTVkJSRUFF","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","This 20-acre campus with diverse collections spanning art history also offers screenings & concerts."
"1654900487-854","https://www.google.com/maps/place/Griffith+Observatory/@34.0919071,-118.6239272,10z/data=!3m1!5s0x80c2bf61cf675503:0xbb811745bc8d5332!4m10!1m2!2m1!1sthings+to+do+in+la!3m6!1s0x80c2bf61e9d408cb:0x73ff07b1c2d6dadc!8m2!3d34.1184341!4d-118.3003935!10e1!15sChJ0aGluZ3MgdG8gZG8gaW4gbGFaFCISdGhpbmdzIHRvIGRvIGluIGxhkgELb2JzZXJ2YXRvcnmaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXlhWE5pVkd0M1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","This art deco landmark from 1935 features a high-tech planetarium, public telescopes & city views."
"1654900426-848","https://www.google.com/maps/place/Pink's+Hot+Dogs/@34.0838505,-118.4843554,12z/data=!4m10!1m2!2m1!1sfood+in+la!3m6!1s0x80c2bf2accdf0857:0x28baab47a2ca58e0!8m2!3d34.0838493!4d-118.344229!10e1!15sCgpmb29kIGluIGxhWgwiCmZvb2QgaW4gbGGSARJob3RfZG9nX3Jlc3RhdXJhbnSaASBDaFJEU1VoTk1HOW5TMFZKUTBGblNVTkxkalozVWhBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Gender-neutral restroom   Good for kids   Restroom","null","Creatively topped dogs (some named for celebrities) draw long lines at this historic roadside spot."
"1654900446-850","https://www.google.com/maps/place/Runyon+Canyon+Park/@34.0919071,-118.6239272,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+la!3m6!1s0x80c2bee0566e7d85:0xb93ef5e6e3eadc40!8m2!3d34.1124069!4d-118.3512352!10e1!15sChJ0aGluZ3MgdG8gZG8gaW4gbGFaFCISdGhpbmdzIHRvIGRvIGluIGxhkgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOeGQyTjVjRlZuRUFF","null","null","null","null","Accessibility    Wheelchair accessible parking lot","Amenities    Good for kids","null","Landmark hiking trails known for sweeping city views & people watching, plus an off-leash dog park."
"1654900518-857","https://www.google.com/maps/place/The+Broad/@34.0919071,-118.6239272,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+la!3m5!1s0x80c2c64d122ca65d:0x98f1041528d11ebf!8m2!3d34.0545021!4d-118.2501802!15sChJ0aGluZ3MgdG8gZG8gaW4gbGFaFCISdGhpbmdzIHRvIGRvIGluIGxhkgERbW9kZXJuX2FydF9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUmhjWEJQTlU5QkVBRQ","The Broad","4.7","thebroad.org","221 S Grand Ave, Los Angeles, CA 90012","null","null","https://lh5.googleusercontent.com/p/AF1QipOphRQBgH29Q1CtSErWDqrNsRiWq02CrPNV_o26=w408-h306-k-no","null"
"1654900569-862","https://www.google.com/maps/place/La+Brea+Tar+Pits+and+Museum/@34.0919071,-118.6239272,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+la!3m6!1s0x80c2b922fdf520ff:0x74ce772b0af26299!8m2!3d34.0637378!4d-118.355451!10e1!15sChJ0aGluZ3MgdG8gZG8gaW4gbGFaFCISdGhpbmdzIHRvIGRvIGluIGxhkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJoYkhKWFJEUm5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Ice Age–fossil excavation site with an adjacent museum, plus a re-created prehistoric garden."
"1654900477-853","https://www.google.com/maps/place/Los+Angeles+County+Museum+of+Art/@34.0919071,-118.6239272,10z/data=!3m1!5s0x80c2bf61cf675503:0xbb811745bc8d5332!4m6!1m2!2m1!1sthings+to+do+in+la!3m2!1s0x80c2b93cca9c7ab1:0x9b191d3aac3e37!15sChJ0aGluZ3MgdG8gZG8gaW4gbGFaFCISdGhpbmdzIHRvIGRvIGluIGxhkgEKYXJ0X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSUk9XOHRTVkJSRUFF","Los Angeles County Museum of Art","4.6","lacma.org","5905 Wilshire Blvd, Los Angeles, CA 90036","null","null","https://lh5.googleusercontent.com/p/AF1QipP0kvk5DnED8RvP4-vjfYUi8AdzEA7eA3ohFS8=w408-h271-k-no","null"
"1654900548-860","https://www.google.com/maps/place/Universal+Studios+Hollywood/@34.0919071,-118.6239272,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+la!3m6!1s0x80c2be4f253238cf:0xd3dd5027799c9a71!8m2!3d34.1381168!4d-118.3533783!10e1!15sChJ0aGluZ3MgdG8gZG8gaW4gbGFaFCISdGhpbmdzIHRvIGRvIGluIGxhkgEKdGhlbWVfcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOaGNGbFBOMnBCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Baggage storage   Bar onsite   Gender-neutral restroom   Good for kids   Restaurant   Restroom","null","Sprawling amusement park with a cinema theme, featuring rides, restaurants, shops & shows."
