web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654900934-877","https://www.google.com/maps/place/Maritime+Museum+of+San+Diego/@34.0710298,-120.5971849,7z/data=!3m1!5s0x80deab52b63a4d27:0xa2f0ab9a60aab2fd!4m9!1m2!2m1!1sthings+to+do+in+san+diego!3m5!1s0x80deab52b605735b:0x3b78f0f944464662!8m2!3d32.7209355!4d-117.1739873!15sChl0aGluZ3MgdG8gZG8gaW4gc2FuIGRpZWdvWhsiGXRoaW5ncyB0byBkbyBpbiBzYW4gZGllZ2-SARJ0b3VyaXN0X2F0dHJhY3Rpb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXlOWFZxYWpCM1JSQUI","Maritime Museum of San Diego","4.7","sdmaritime.org","1492 N Harbor Dr, San Diego, CA 92101","null","null","https://lh5.googleusercontent.com/p/AF1QipNE5Xh55cZNh2--0JwgysnLPftF1w13Py1Du3xX=w408-h306-k-no","null"
"1654900985-882","https://www.google.com/maps/place/Cabrillo+National+Monument/@34.0710298,-120.5971849,7z/data=!4m10!1m2!2m1!1sthings+to+do+in+san+diego!3m6!1s0x80deac405f87c57f:0xfea22d335a64608c!8m2!3d32.6735426!4d-117.2425191!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gc2FuIGRpZWdvWhsiGXRoaW5ncyB0byBkbyBpbiBzYW4gZGllZ2-SAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU15YTNSVVUzcFJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","This historic lighthouse & national monument offers a storied history & views all the way to Mexico."
"1654900903-874","https://www.google.com/maps/place/Old+Town+San+Diego+State+Historic+Park/@34.0710298,-120.5971849,7z/data=!4m10!1m2!2m1!1sthings+to+do+in+san+diego!3m6!1s0x80deaae75babd37b:0x5e830c04f3dd75b9!8m2!3d32.7549063!4d-117.1976407!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gc2FuIGRpZWdvWhsiGXRoaW5ncyB0byBkbyBpbiBzYW4gZGllZ2-SAQpzdGF0ZV9wYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5YT0hOSE4xOUJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Open-air museum about local life in the 1800s, with adobe buildings & interpretive performances."
"1654900975-881","https://www.google.com/maps/place/SeaWorld+San+Diego/@34.0710298,-120.5971849,7z/data=!4m6!1m2!2m1!1sthings+to+do+in+san+diego!3m2!1s0x80deaa60b159eb77:0xb8b8a676d2bbc3fe!15sChl0aGluZ3MgdG8gZG8gaW4gc2FuIGRpZWdvWhsiGXRoaW5ncyB0byBkbyBpbiBzYW4gZGllZ2-SAQp0aGVtZV9wYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU0yTUdKWGJYQlJSUkFC","SeaWorld San Diego","4.4","seaworld.com","500 Sea World Dr., San Diego, CA 92109","null","null","https://lh5.googleusercontent.com/p/AF1QipOpl3BTtgmbWOl8UaM48BzjGMq8yGsupPn0Umfb=w408-h306-k-no","null"
"1654900852-869","https://www.google.com/maps/place/The+Crack+Shack+-+Little+Italy/@32.7578924,-117.2626305,12z/data=!4m9!1m2!2m1!1sfood+in+san+diego!3m5!1s0x80d954b37cd7be9d:0x15db4b88efedb13b!8m2!3d32.727881!4d-117.1712143!15sChFmb29kIGluIHNhbiBkaWVnb1oTIhFmb29kIGluIHNhbiBkaWVnb5IBEmNoaWNrZW5fcmVzdGF1cmFudA","The Crack Shack - Little Italy","4.5","crackshack.com","2266 Kettner Blvd, San Diego, CA 92101","null","null","https://lh5.googleusercontent.com/p/AF1QipMwEZAnR6wIBuS1uexR2ErE-dSV1epsKNGbbyFH=w408-h272-k-no","null"
"1654900954-879","https://www.google.com/maps/place/Birch+Aquarium+at+Scripps+Institution+of+Oceanography/@34.0710298,-120.5971849,7z/data=!4m9!1m2!2m1!1sthings+to+do+in+san+diego!3m5!1s0x80dc06b3fd50a7fb:0xbc5cbdfb7a585fa9!8m2!3d32.8658136!4d-117.250639!15sChl0aGluZ3MgdG8gZG8gaW4gc2FuIGRpZWdvWhsiGXRoaW5ncyB0byBkbyBpbiBzYW4gZGllZ2-SAQhhcXVhcml1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSeGJFdDVSV2xSUlJBQg","Birch Aquarium at Scripps Institution of Oceanography","4.5","aquarium.ucsd.edu","2300 Expedition Way, La Jolla, CA 92037","null","null","https://lh5.googleusercontent.com/p/AF1QipNYcYkAOD9o0bgTtKSYqnlWwy83KVcA3B1Ya3j3=w408-h306-k-no","null"
"1654900964-880","https://www.google.com/maps/place/SeaWorld+San+Diego/@34.0710298,-120.5971849,7z/data=!4m10!1m2!2m1!1sthings+to+do+in+san+diego!3m6!1s0x80deaa60b159eb77:0xb8b8a676d2bbc3fe!8m2!3d32.7641326!4d-117.2262952!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gc2FuIGRpZWdvWhsiGXRoaW5ncyB0byBkbyBpbiBzYW4gZGllZ2-SAQp0aGVtZV9wYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU0yTUdKWGJYQlJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Bar onsite   Good for kids   Restaurant","null","Marine life shows, thrill rides, aquariums & up-close encounters with dolphins, penguins & more."
"1654900913-875","https://www.google.com/maps/place/Old+Town+San+Diego+State+Historic+Park/@34.0710298,-120.5971849,7z/data=!3m1!5s0x80deab52b63a4d27:0xa2f0ab9a60aab2fd!4m6!1m2!2m1!1sthings+to+do+in+san+diego!3m2!1s0x80deaae75babd37b:0x5e830c04f3dd75b9!15sChl0aGluZ3MgdG8gZG8gaW4gc2FuIGRpZWdvWhsiGXRoaW5ncyB0byBkbyBpbiBzYW4gZGllZ2-SAQpzdGF0ZV9wYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5YT0hOSE4xOUJSUkFC","Old Town San Diego State Historic Park","4.7","parks.ca.gov","4002 Wallace St, San Diego, CA 92110","null","null","https://lh5.googleusercontent.com/p/AF1QipMIW3T-bs3gRNGNrKITW98R3JJJ_SLGpbx3Cj6V=w408-h306-k-no","null"
"1654900883-872","https://www.google.com/maps/place/Sunset+Cliffs+Natural+Park/@34.0710298,-120.5971849,7z/data=!4m10!1m2!2m1!1sthings+to+do+in+san+diego!3m6!1s0x80deabc34865ae03:0xea49f2d4b5e09115!8m2!3d32.718002!4d-117.2548558!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gc2FuIGRpZWdvWhsiGXRoaW5ncyB0byBkbyBpbiBzYW4gZGllZ2-SAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJ4Y3paWWVtNVJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible parking lot","Amenities    Good for kids","null","Natural cliffs overlooking the Pacific Ocean offer views of the coast & the occasional cliff diver."
"1654900995-883","https://www.google.com/maps/place/Cabrillo+National+Monument/@34.0710298,-120.5971849,7z/data=!4m6!1m2!2m1!1sthings+to+do+in+san+diego!3m2!1s0x80deac405f87c57f:0xfea22d335a64608c!15sChl0aGluZ3MgdG8gZG8gaW4gc2FuIGRpZWdvWhsiGXRoaW5ncyB0byBkbyBpbiBzYW4gZGllZ2-SAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU15YTNSVVUzcFJSUkFC","Cabrillo National Monument","4.8","nps.gov","1800 Cabrillo Memorial Dr, San Diego, CA 92106","null","null","//lh5.googleusercontent.com/proxy/GaV2XE_OIL5zLLZrMPgKbYac1CFv4wzNGKk174lng8Bx4KUoHq9f-33yfPhfn_UyV8ixKIgOY97u81lCQi1geJGm2x3gkkkGDJWlklMKr1EmpwcGJM1k5Vj95mwwPAphErNVGii6deKO7zyzj3HL3Vgom3Kw4Fc=w408-h284-k-no","null"
