web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654900399-1951","https://www.google.com/maps/place/Crissy+Field/@37.7694208,-122.7498857,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+san+farn!3m2!1s0x808586dc8525b355:0x5b15912201aa3600!15sChh0aGluZ3MgdG8gZG8gaW4gc2FuIGZyYW5aGiIYdGhpbmdzIHRvIGRvIGluIHNhbiBmcmFukgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNNGFUaFBSWHBuUlJBQg","Crissy Field","4.7","parksconservancy.org","1199 E Beach, San Francisco, CA 94129","null","null","https://lh5.googleusercontent.com/p/AF1QipNCBaJjsv-ZBXM2VLpzcMWESR0hVbIgO_zqsGoM=w408-h306-k-no","null"
"1654900316-1943","https://www.google.com/maps/place/Beretta/@37.775318,-122.4487236,13z/data=!4m9!1m2!2m1!1sfood+in+san+fran!3m5!1s0x808f7e3f7314ea1d:0x7ac33881798711f4!8m2!3d37.7538556!4d-122.4206327!15sChBmb29kIGluIHNhbiBmcmFuWhIiEGZvb2QgaW4gc2FuIGZyYW6SARJpdGFsaWFuX3Jlc3RhdXJhbnQ","Beretta","4.5","berettasf.com","1199 Valencia St, San Francisco, CA 94110","null","null","https://lh5.googleusercontent.com/p/AF1QipPpz_Un_g1r1DWbSCHGCwabax3XZDL2ohWpREFW=w408-h272-k-no","null"
"1654900389-1950","https://www.google.com/maps/place/Crissy+Field/@37.7694208,-122.7498857,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+san+farn!3m6!1s0x808586dc8525b355:0x5b15912201aa3600!8m2!3d37.8040257!4d-122.4650165!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gc2FuIGZyYW5aGiIYdGhpbmdzIHRvIGRvIGluIHNhbiBmcmFukgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNNGFUaFBSWHBuUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Grass field & sandy beach offering trails, a restored marsh & picturesque views of the Golden Gate."
"1654900472-1958","https://www.google.com/maps/place/Aquarium+of+the+Bay/@37.7802409,-122.5913533,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+san+farn!3m6!1s0x808580fc79a6a3af:0x64e4696fbd3f1ffa!8m2!3d37.8086487!4d-122.4093299!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gc2FuIGZyYW5aGiIYdGhpbmdzIHRvIGRvIGluIHNhbiBmcmFukgEIYXF1YXJpdW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXlla3BRUVROblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Aquarium with creatures from local waters, including otters, sharks & jellyfish, plus a touch tank."
"1654900493-1960","https://www.google.com/maps/place/PIER+39/@37.7802409,-122.5913533,11z/data=!3m1!5s0x808580fcf0f30205:0x5ffb46df3d9551c0!4m10!1m2!2m1!1sthings+to+do+in+san+farn!3m6!1s0x808580fc8bb3211d:0xbaf631600de6b39e!8m2!3d37.808673!4d-122.409821!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gc2FuIGZyYW5aGiIYdGhpbmdzIHRvIGRvIGluIHNhbiBmcmFukgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJ4YVUxMWFUVlJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Bustling bayside pier featuring scenic views, sea-lion sightings, eateries, shops & entertainment."
"1654900337-1945","https://www.google.com/maps/place/Brenda's+French+Soul+Food/@37.775318,-122.4487236,13z/data=!4m6!1m2!2m1!1sfood+in+san+fran!3m2!1s0x808580974839db67:0xa78fa85ec6c57d21!15sChBmb29kIGluIHNhbiBmcmFuWhIiEGZvb2QgaW4gc2FuIGZyYW6SARZzb3V0aGVybl91c19yZXN0YXVyYW50","Brenda's French Soul Food","4.5","frenchsoulfood.com","652 Polk St, San Francisco, CA 94102","null","null","https://lh5.googleusercontent.com/p/AF1QipMQIHQreu8wFWhItdDsZ-3ewcPt4sGzW96yuw6Q=w408-h306-k-no","null"
"1654900305-1942","https://www.google.com/maps/place/Beretta/@37.775318,-122.4487236,13z/data=!4m10!1m2!2m1!1sfood+in+san+fran!3m6!1s0x808f7e3f7314ea1d:0x7ac33881798711f4!8m2!3d37.7538556!4d-122.4206327!10e1!15sChBmb29kIGluIHNhbiBmcmFuWhIiEGZvb2QgaW4gc2FuIGZyYW6SARJpdGFsaWFuX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible restroom   Wheelchair accessible seating   Wheelchair accessible parking lot","Amenities    Bar onsite   Gender-neutral restroom   High chairs   Restroom   Free Wi-Fi","null","Handcrafted pizzas, small bites & unique cocktails keep this trendy spot hopping."
"1654900504-1961","https://www.google.com/maps/place/PIER+39/@37.7802409,-122.5913533,11z/data=!3m1!5s0x808580fcf0f30205:0x5ffb46df3d9551c0!4m9!1m2!2m1!1sthings+to+do+in+san+farn!3m5!1s0x808580fc8bb3211d:0xbaf631600de6b39e!8m2!3d37.808673!4d-122.409821!15sChh0aGluZ3MgdG8gZG8gaW4gc2FuIGZyYW5aGiIYdGhpbmdzIHRvIGRvIGluIHNhbiBmcmFukgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJ4YVUxMWFUVlJSUkFC","PIER 39","4.6","pier39.com","The Embarcadero, San Francisco, CA 94133","null","null","https://lh5.googleusercontent.com/p/AF1QipOmRnPnDs1YKRg3pQdVPzXjCtRw1CktlXawof8=w408-h306-k-no","null"
"1654900368-1948","https://www.google.com/maps/place/Exploratorium/@37.7694208,-122.7498857,11z/data=!3m1!5s0x8085805ec2002869:0x40df3504d4f6cf20!4m10!1m2!2m1!1sthings+to+do+in+san+farn!3m6!1s0x808586d4e4e56b93:0xb239bfbb3aff1c0!8m2!3d37.8016649!4d-122.397348!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gc2FuIGZyYW5aGiIYdGhpbmdzIHRvIGRvIGluIHNhbiBmcmFukgEOc2NpZW5jZV9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlBiazVETFRSQlJSQUI","null","null","null","null","Accessibility    Assisted listening devices   Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant   Restroom   Free Wi-Fi","null","Hundreds of interactive, educational exhibits & activities illustrating scientific principles."
"1654900430-1954","https://www.google.com/maps/place/Golden+Gate+Park/@37.7694208,-122.7498857,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+san+farn!3m6!1s0x808587726045f763:0x71be8b68ef3ba730!8m2!3d37.7694208!4d-122.4862138!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gc2FuIGZyYW5aGiIYdGhpbmdzIHRvIGRvIGluIHNhbiBmcmFukgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeWRVMUlWRk4zRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","The city's 1,000-ac. oasis draws hikers, bikers, art lovers & music fans."
