web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654899968-832","https://www.google.com/maps/place/Gardens+on+Spring+Creek/@40.5374914,-105.2060584,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+fort+collins+co!3m6!1s0x87694bac07dc0b9f:0x43edbdfac2002772!8m2!3d40.5615621!4d-105.0846033!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gZm9ydCBjb2xsaW5zIGNvWiEiH3RoaW5ncyB0byBkbyBpbiBmb3J0IGNvbGxpbnMgY2-SAQZnYXJkZW6aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUmhNM0ZoWWpWQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Gender-neutral restroom   Good for kids   Public restroom","null","This 18-acre network of community & botanical gardens features programming for adults & children."
"1654899989-834","https://www.google.com/maps/place/Fort+Collins+Museum+of+Discovery/@40.5374914,-105.2060584,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+fort+collins+co!3m6!1s0x87694af47e83437d:0xbf6be0dfa8c0161d!8m2!3d40.593486!4d-105.077964!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gZm9ydCBjb2xsaW5zIGNvWiEiH3RoaW5ncyB0byBkbyBpbiBmb3J0IGNvbGxpbnMgY2-SAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXljemRZYVc5UlJSQUI","null","null","null","null","Accessibility    Assistive hearing loop   Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair rental","Amenities    Gender-neutral restroom   Good for kids   Restaurant   Restroom   Free Wi-Fi","null","Interactive science & local history exhibits, plus a Music Garage for jams & recording sessions."
"1654899907-826","https://www.google.com/maps/place/Austin's+American+Grill/@40.5873041,-105.1474174,13z/data=!4m10!1m2!2m1!1sfood+in+fort+collins+co!3m6!1s0x87694a8accd60ff1:0xbbd0c420029d9826!8m2!3d40.5873041!4d-105.0773796!10e1!15sChdmb29kIGluIGZvcnQgY29sbGlucyBjb1oZIhdmb29kIGluIGZvcnQgY29sbGlucyBjb5IBE2FtZXJpY2FuX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs   Restroom","null","Hearty American dishes with Southwestern touches served in casual quarters with a sidewalk cafe."
"1654899938-829","https://www.google.com/maps/place/Global+Village+Museum+of+Arts/@40.5374914,-105.2060584,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+fort+collins+co!3m5!1s0x87694a601b3af48f:0x7d121ef669c5cee!8m2!3d40.5872389!4d-105.0795344!15sCh90aGluZ3MgdG8gZG8gaW4gZm9ydCBjb2xsaW5zIGNvWiEiH3RoaW5ncyB0byBkbyBpbiBmb3J0IGNvbGxpbnMgY2-SAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUmhMVXRtV2xSQkVBRQ","Global Village Museum of Arts","4.6","globalvillagemuseum.org","200 W Mountain Ave # C, Fort Collins, CO 80521","null","null","https://lh5.googleusercontent.com/p/AF1QipOBXl8TCO9esxjB2MHMdGx94uV3XvdFQgNM9wkY=w408-h273-k-no","null"
"1654899978-833","https://www.google.com/maps/place/Gardens+on+Spring+Creek/@40.5374914,-105.2060584,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+fort+collins+co!3m5!1s0x87694bac07dc0b9f:0x43edbdfac2002772!8m2!3d40.5615621!4d-105.0846033!15sCh90aGluZ3MgdG8gZG8gaW4gZm9ydCBjb2xsaW5zIGNvWiEiH3RoaW5ncyB0byBkbyBpbiBmb3J0IGNvbGxpbnMgY2-SAQZnYXJkZW6aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUmhNM0ZoWWpWQlJSQUI","Gardens on Spring Creek","4.7","fcgov.com","2145 Centre Ave, Fort Collins, CO 80526","null","null","https://lh5.googleusercontent.com/p/AF1QipOK8fHdJH36MSqk7FcKiXOnqZ0wyH3M58YvQt2v=w408-h272-k-no","null"
"1654899958-831","https://www.google.com/maps/place/Fort+Fun/@40.5374914,-105.2060584,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+fort+collins+co!3m5!1s0x87694ac4ab694ba1:0x81be91577fa73504!8m2!3d40.5801287!4d-105.0498879!15sCh90aGluZ3MgdG8gZG8gaW4gZm9ydCBjb2xsaW5zIGNvWiEiH3RoaW5ncyB0byBkbyBpbiBmb3J0IGNvbGxpbnMgY2-SAQ5hbXVzZW1lbnRfcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOUFgwOW1ZVEpSUlJBQg","Fort Fun","4.4","fortfun.biz","1513 E Mulberry St, Fort Collins, CO 80524","null","null","https://lh5.googleusercontent.com/p/AF1QipOuasx9UNILwfhMYrGwndu702mmKbb9eWhqrCtt=w408-h271-k-no","null"
"1654899999-835","https://www.google.com/maps/place/Fort+Collins+Museum+of+Discovery/@40.5374914,-105.2060584,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+fort+collins+co!3m5!1s0x87694af47e83437d:0xbf6be0dfa8c0161d!8m2!3d40.593486!4d-105.077964!15sCh90aGluZ3MgdG8gZG8gaW4gZm9ydCBjb2xsaW5zIGNvWiEiH3RoaW5ncyB0byBkbyBpbiBmb3J0IGNvbGxpbnMgY2-SAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXljemRZYVc5UlJSQUI","Fort Collins Museum of Discovery","4.7","fcmod.org","408 Mason Ct, Fort Collins, CO 80524","null","null","https://lh5.googleusercontent.com/p/AF1QipP8tUo4odcm2Uo2IQEwH92PSopqcAeIQpEd7I1G=w408-h270-k-no","null"
"1654899927-828","https://www.google.com/maps/place/Global+Village+Museum+of+Arts/@40.5374914,-105.2060584,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+fort+collins+co!3m6!1s0x87694a601b3af48f:0x7d121ef669c5cee!8m2!3d40.5872389!4d-105.0795344!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gZm9ydCBjb2xsaW5zIGNvWiEiH3RoaW5ncyB0byBkbyBpbiBmb3J0IGNvbGxpbnMgY2-SAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUmhMVXRtV2xSQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","Museum with galleries displaying folk arts from around the world in order to promote understanding."
"1654899948-830","https://www.google.com/maps/place/Fort+Fun/@40.5374914,-105.2060584,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+fort+collins+co!3m6!1s0x87694ac4ab694ba1:0x81be91577fa73504!8m2!3d40.5801287!4d-105.0498879!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gZm9ydCBjb2xsaW5zIGNvWiEiH3RoaW5ncyB0byBkbyBpbiBmb3J0IGNvbGxpbnMgY2-SAQ5hbXVzZW1lbnRfcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOUFgwOW1ZVEpSUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Bar onsite   Good for kids   Restaurant","null","Massive lakeside rec center with mini-golf, go-karts, batting cages, a skating rink & much more."
"1654899917-827","https://www.google.com/maps/place/Austin's+American+Grill/@40.556136,-105.095885,13z/data=!4m9!1m2!2m1!1sfood+in+fort+collins+co!3m5!1s0x87694a8accd60ff1:0xbbd0c420029d9826!8m2!3d40.5873041!4d-105.0773796!15sChdmb29kIGluIGZvcnQgY29sbGlucyBjb1oZIhdmb29kIGluIGZvcnQgY29sbGlucyBjb5IBE2FtZXJpY2FuX3Jlc3RhdXJhbnQ","Austin's American Grill","4.4","austinsamericangrill.com","100 W Mountain Ave, Fort Collins, CO 80524","null","null","https://lh5.googleusercontent.com/p/AF1QipOlrEOKVbTME-4EF-_T24Lg4DPjcDO_Pwb9BToO=w630-h240-k-no","null"
