web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654900203-840","https://www.google.com/maps/place/Historic+Arkansas+Riverwalk/@38.2802266,-104.7527397,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+pueblo+colorado!3m6!1s0x8713a302ef0f3bcd:0xd8c43fe7e146f185!8m2!3d38.2654686!4d-104.6125979!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gcHVlYmxvIGNvbG9yYWRvWiEiH3RoaW5ncyB0byBkbyBpbiBwdWVibG8gY29sb3JhZG-SARFyZWNyZWF0aW9uX2NlbnRlcpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VORGJFNWxiVFpSUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","null","null","Riverfront promenade with family-oriented activities & events including boat rides & concerts."
"1654900234-843","https://www.google.com/maps/place/Rosemount+Museum/@38.2802266,-104.7527397,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+pueblo+colorado!3m5!1s0x8713a3ab4ad244bd:0x3de715aac859b97!8m2!3d38.280244!4d-104.6128689!15sCh90aGluZ3MgdG8gZG8gaW4gcHVlYmxvIGNvbG9yYWRvWiEiH3RoaW5ncyB0byBkbyBpbiBwdWVibG8gY29sb3JhZG-SAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkhjblZYYVRCblJSQUI","Rosemount Museum","4.7","rosemount.org","419 W 14th St, Pueblo, CO 81003","null","null","https://lh5.googleusercontent.com/p/AF1QipMdcSuiRvr270FQHXWZVZ0zQIaKPoSDTvN9Ja56=w408-h544-k-no","null"
"1654900173-837","https://www.google.com/maps/place/Country+Kitchen+Restaurant/@38.2911683,-104.6546569,13z/data=!4m6!1m2!2m1!1sfood+in+pueblo+co!3m2!1s0x8713a22b91067d47:0x3daa2a7ced181e9b!15sChFmb29kIGluIHB1ZWJsbyBjb1oTIhFmb29kIGluIHB1ZWJsbyBjb5IBE2FtZXJpY2FuX3Jlc3RhdXJhbnQ","Country Kitchen Restaurant","4.2","countrykitchenrestaurants.com","4137 N Elizabeth St, Pueblo, CO 81008","null","null","https://lh5.googleusercontent.com/p/AF1QipMzHot4IedGj9aK_wJPBtHDpashzvus9tDhRoNc=w503-h240-k-no","null"
"1654900223-842","https://www.google.com/maps/place/Rosemount+Museum/@38.2802266,-104.7527397,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+pueblo+colorado!3m6!1s0x8713a3ab4ad244bd:0x3de715aac859b97!8m2!3d38.280244!4d-104.6128689!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gcHVlYmxvIGNvbG9yYWRvWiEiH3RoaW5ncyB0byBkbyBpbiBwdWVibG8gY29sb3JhZG-SAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkhjblZYYVRCblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Restroom   Restaurant","null","Built in 1893, this 37-room Victorian mansion features period furniture, guided tours & a gift shop."
"1654900183-838","https://www.google.com/maps/place/El+Pueblo+History+Museum/@38.2654686,-104.7526736,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+pueblo+colorado!3m6!1s0x8713a302bc7f6b4d:0x1ff8ee995331e60e!8m2!3d38.267374!4d-104.611227!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gcHVlYmxvIGNvbG9yYWRvWiEiH3RoaW5ncyB0byBkbyBpbiBwdWVibG8gY29sb3JhZG-SAQ5oaXN0b3J5X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOVmQzWlFPV1puRUFF","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Resembling an 1840s-era trading post, the museum explores the area's history & earliest inhabitants."
"1654900244-844","https://www.google.com/maps/place/Pueblo+Zoo/@38.2614017,-104.795474,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+pueblo+colorado!3m6!1s0x8713a28363423675:0xc8f1b330ce46297d!8m2!3d38.2614017!4d-104.6553983!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gcHVlYmxvIGNvbG9yYWRvWiEiH3RoaW5ncyB0byBkbyBpbiBwdWVibG8gY29sb3JhZG-SAQN6b2-aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmhhM050WTBSUkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","More than 400 animals, plus hands-on exhibits & a feeding area in a historic, year-round park."
"1654900193-839","https://www.google.com/maps/place/El+Pueblo+History+Museum/@38.2654686,-104.7526736,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+pueblo+colorado!3m5!1s0x8713a302bc7f6b4d:0x1ff8ee995331e60e!8m2!3d38.267374!4d-104.611227!15sCh90aGluZ3MgdG8gZG8gaW4gcHVlYmxvIGNvbG9yYWRvWiEiH3RoaW5ncyB0byBkbyBpbiBwdWVibG8gY29sb3JhZG-SAQ5oaXN0b3J5X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOVmQzWlFPV1puRUFF","El Pueblo History Museum","4.4","historycolorado.org","301 N Union Ave, Pueblo, CO 81003","null","null","https://lh5.googleusercontent.com/p/AF1QipMbllSFUTJk5jNyrf2mfEGsg4E3w2eaMukUx_dy=w408-h260-k-no","null"
"1654900213-841","https://www.google.com/maps/place/Historic+Arkansas+Riverwalk/@38.2802266,-104.7527397,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+pueblo+colorado!3m5!1s0x8713a302ef0f3bcd:0xd8c43fe7e146f185!8m2!3d38.2654686!4d-104.6125979!15sCh90aGluZ3MgdG8gZG8gaW4gcHVlYmxvIGNvbG9yYWRvWiEiH3RoaW5ncyB0byBkbyBpbiBwdWVibG8gY29sb3JhZG-SARFyZWNyZWF0aW9uX2NlbnRlcpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VORGJFNWxiVFpSUlJBQg","Historic Arkansas Riverwalk","4.6","puebloriverwalk.org","101 N Union Ave, Pueblo, CO 81003","null","null","https://lh5.googleusercontent.com/p/AF1QipMxhgucQqULPlLUgHdv-cMapLImeEXt5J22VAiC=w408-h306-k-no","null"
"1654900162-836","https://www.google.com/maps/place/Country+Kitchen+Restaurant/@38.2911683,-104.6546569,13z/data=!4m10!1m2!2m1!1sfood+in+pueblo+co!3m6!1s0x8713a22b91067d47:0x3daa2a7ced181e9b!8m2!3d38.312986!4d-104.615885!10e1!15sChFmb29kIGluIHB1ZWJsbyBjb1oTIhFmb29kIGluIHB1ZWJsbyBjb5IBE2FtZXJpY2FuX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs","null","Homey chain eatery serving breakfast all day & other American comfort fare in a casual space."
"1654900254-845","https://www.google.com/maps/place/Pueblo+Zoo/@38.2499308,-104.6946878,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+pueblo+colorado!3m5!1s0x8713a28363423675:0xc8f1b330ce46297d!8m2!3d38.2614017!4d-104.6553983!15sCh90aGluZ3MgdG8gZG8gaW4gcHVlYmxvIGNvbG9yYWRvWiEiH3RoaW5ncyB0byBkbyBpbiBwdWVibG8gY29sb3JhZG-SAQN6b2-aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmhhM050WTBSUkVBRQ","Pueblo Zoo","4.3","pueblozoo.org","3455 Nuckolls Ave, Pueblo, CO 81005","null","null","https://lh5.googleusercontent.com/p/AF1QipNpbtHFaQMOo0cMx5Ng70dBYNhAJOvu_fIgBacA=w408-h272-k-no","null"
