web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654899896-1929","https://www.google.com/maps/place/Wadsworth+Atheneum+Museum+of+Art/@41.7654583,-72.7326913,13z/data=!4m9!1m2!2m1!1sthings+to+do+in+hartford+ct!3m5!1s0x89e65364a7fcfb83:0x17fa1efb307aa509!8m2!3d41.7637113!4d-72.6730855!15sCht0aGluZ3MgdG8gZG8gaW4gaGFydGZvcmQgY3RaHSIbdGhpbmdzIHRvIGRvIGluIGhhcnRmb3JkIGN0kgEKYXJ0X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeWEwdFVOVlZuRUFF","Wadsworth Atheneum Museum of Art","4.7","thewadsworth.org","600 Main St, Hartford, CT 06103","null","null","https://lh5.googleusercontent.com/p/AF1QipObN3YNxOewMIyjoRF5XUEemrwIXJi21eEXsMXZ=w408-h306-k-no","null"
"1654899865-1926","https://www.google.com/maps/place/Connecticut+Science+Center/@41.7654583,-72.7326913,13z/data=!4m10!1m2!2m1!1sthings+to+do+in+hartford+ct!3m6!1s0x89e6537a35316245:0xd656353743990272!8m2!3d41.7646881!4d-72.6694469!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gaGFydGZvcmQgY3RaHSIbdGhpbmdzIHRvIGRvIGluIGhhcnRmb3JkIGN0kgEOc2NpZW5jZV9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTjNhRnAxWWxSUkVBRQ","null","null","null","null","Accessibility    Assisted listening devices   Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Gender-neutral restroom   Good for kids   Restaurant   Restroom   Free Wi-Fi","null","Science center aimed at kids & teens with more than 100 exhibits, a 3D theater & educational labs."
"1654899886-1928","https://www.google.com/maps/place/Wadsworth+Atheneum+Museum+of+Art/@41.7654583,-72.7326913,13z/data=!4m10!1m2!2m1!1sthings+to+do+in+hartford+ct!3m6!1s0x89e65364a7fcfb83:0x17fa1efb307aa509!8m2!3d41.7637113!4d-72.6730855!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gaGFydGZvcmQgY3RaHSIbdGhpbmdzIHRvIGRvIGluIGhhcnRmb3JkIGN0kgEKYXJ0X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeWEwdFVOVlZuRUFF","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Public art museum, opened in 1842, focuses on 19th- & 20th-century American artists."
"1654899917-1931","https://www.google.com/maps/place/The+Mark+Twain+House+%26+Museum/@41.7654583,-72.7326913,13z/data=!3m1!5s0x89e65351d6f8b305:0x3148e6c0d995c920!4m9!1m2!2m1!1sthings+to+do+in+hartford+ct!3m5!1s0x89e65351cdec2249:0x5b86417eee8cecf!8m2!3d41.7670235!4d-72.7014493!15sCht0aGluZ3MgdG8gZG8gaW4gaGFydGZvcmQgY3RaHSIbdGhpbmdzIHRvIGRvIGluIGhhcnRmb3JkIGN0kgETaGlzdG9yaWNhbF9sYW5kbWFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOSGMwczNlblIzUlJBQg","The Mark Twain House & Museum","4.6","marktwainhouse.org","351 Farmington Ave, Hartford, CT 06105","null","null","https://lh5.googleusercontent.com/p/AF1QipO_78Em5pqn5JSTl9Kt0EuqS7BeP6wHpvKgpr3J=w408-h306-k-no","null"
"1654899824-1922","https://www.google.com/maps/place/Banh+Meee/@41.7625426,-72.7247898,13z/data=!3m1!5s0x89e65364acf92329:0x666b9f6c9742db89!4m10!1m2!2m1!1sfood+in+hartford+ct!3m6!1s0x89e7b2b346cc8e8f:0xd686d12bf93277aa!8m2!3d41.7671215!4d-72.6779423!10e1!15sChNmb29kIGluIGhhcnRmb3JkIGN0WhUiE2Zvb2QgaW4gaGFydGZvcmQgY3SSARV2aWV0bmFtZXNlX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Counter service with classic banh mi sandwiches, bubble tea, pho & specials, with rustic interiors."
"1654899845-1924","https://www.google.com/maps/place/Harriet+Beecher+Stowe+Center/@41.7654583,-72.7326913,13z/data=!4m10!1m2!2m1!1sthings+to+do+in+hartford+ct!3m6!1s0x89e6534fc8278ec3:0x3c74f16a51550b6c!8m2!3d41.7667636!4d-72.7003916!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gaGFydGZvcmQgY3RaHSIbdGhpbmdzIHRvIGRvIGluIGhhcnRmb3JkIGN0kgEXaGlzdG9yaWNhbF9wbGFjZV9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTk5OVGQxZUhwUlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","Former home of abolitionist & author Harriet Beecher Stowe, offering interactive guided tours."
"1654899855-1925","https://www.google.com/maps/place/Harriet+Beecher+Stowe+Center/@41.7668083,-72.7663013,13z/data=!4m9!1m2!2m1!1sthings+to+do+in+hartford+ct!3m5!1s0x89e6534fc8278ec3:0x3c74f16a51550b6c!8m2!3d41.7667636!4d-72.7003916!15sCht0aGluZ3MgdG8gZG8gaW4gaGFydGZvcmQgY3RaHSIbdGhpbmdzIHRvIGRvIGluIGhhcnRmb3JkIGN0kgEXaGlzdG9yaWNhbF9wbGFjZV9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTk5OVGQxZUhwUlJSQUI","Harriet Beecher Stowe Center","4.5","harrietbeecherstowecenter.org","77 Forest St, Hartford, CT 06105","null","null","https://lh5.googleusercontent.com/p/AF1QipM3fV3tqlGS6Q-ZxZ5jLJwktcfs6R5iyKPGMY4=w408-h271-k-no","null"
"1654899834-1923","https://www.google.com/maps/place/Banh+Meee/@41.7625426,-72.7247898,13z/data=!4m6!1m2!2m1!1sfood+in+hartford+ct!3m2!1s0x89e7b2b346cc8e8f:0xd686d12bf93277aa!15sChNmb29kIGluIGhhcnRmb3JkIGN0WhUiE2Zvb2QgaW4gaGFydGZvcmQgY3SSARV2aWV0bmFtZXNlX3Jlc3RhdXJhbnQ","Banh Meee","4.8","banhmeee.com","126 Ann Uccello St, Hartford, CT 06106","null","null","https://lh5.googleusercontent.com/p/AF1QipOA7jfxNl6013WEezzkSUxp2AQvwF7ue51SIm-Z=w408-h306-k-no","null"
"1654899876-1927","https://www.google.com/maps/place/Connecticut+Science+Center/@41.7654583,-72.7326913,13z/data=!4m9!1m2!2m1!1sthings+to+do+in+hartford+ct!3m5!1s0x89e6537a35316245:0xd656353743990272!8m2!3d41.7646881!4d-72.6694469!15sCht0aGluZ3MgdG8gZG8gaW4gaGFydGZvcmQgY3RaHSIbdGhpbmdzIHRvIGRvIGluIGhhcnRmb3JkIGN0kgEOc2NpZW5jZV9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTjNhRnAxWWxSUkVBRQ","Connecticut Science Center","4.6","ctsciencecenter.org","250 Columbus Blvd, Hartford, CT 06103","null","null","https://lh5.googleusercontent.com/p/AF1QipN8QbOUUZ7H5cAq_btwBu3ogUuBB23OaDNzu4Le=w430-h240-k-no","null"
"1654899907-1930","https://www.google.com/maps/place/The+Mark+Twain+House+%26+Museum/@41.7654583,-72.7326913,13z/data=!3m1!5s0x89e65351d6f8b305:0x3148e6c0d995c920!4m10!1m2!2m1!1sthings+to+do+in+hartford+ct!3m6!1s0x89e65351cdec2249:0x5b86417eee8cecf!8m2!3d41.7670235!4d-72.7014493!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gaGFydGZvcmQgY3RaHSIbdGhpbmdzIHRvIGRvIGluIGhhcnRmb3JkIGN0kgETaGlzdG9yaWNhbF9sYW5kbWFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOSGMwczNlblIzUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Home to author Mark Twain & family, 1874-1899, & where he created his most famous characters."
