web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654899707-818","https://www.google.com/maps/place/East+Rock+Park/@41.2966672,-73.0552224,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+new+haven+ct!3m6!1s0x89e7d9e7d95626f7:0xde3e73c36cce1b74!8m2!3d41.3296405!4d-72.9046296!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbmV3IGhhdmVuIGN0Wh4iHHRoaW5ncyB0byBkbyBpbiBuZXcgaGF2ZW4gY3SSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF5YzJGMVlsTjNFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","A 425-acre park offering scenic views of New Haven, wooded hiking trails, fields & picnic areas."
"1654899748-822","https://www.google.com/maps/place/Lighthouse+Point+Park/@41.2966672,-73.0552224,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+new+haven+ct!3m6!1s0x89e877f6386801eb:0x574e457ef42cdce2!8m2!3d41.2488564!4d-72.9035323!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbmV3IGhhdmVuIGN0Wh4iHHRoaW5ncyB0byBkbyBpbiBuZXcgaGF2ZW4gY3SSAQljaXR5X3BhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUTJiMDVQVjFKbkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","An 1847 lighthouse anchors this beachfront that is popular with swimmers & a prime birding spot."
"1654899768-824","https://www.google.com/maps/place/Yale+University+Art+Gallery/@41.2966672,-73.0552224,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+new+haven+ct!3m6!1s0x89e7d9b31fff4103:0xf5dffb2781e299ac!8m2!3d41.308363!4d-72.9309775!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbmV3IGhhdmVuIGN0Wh4iHHRoaW5ncyB0byBkbyBpbiBuZXcgaGF2ZW4gY3SSAQphcnRfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU15TlRkRGRtZFJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restroom   Restaurant","null","Museum showcasing art from many regions & centuries housed in a Louis I. Kahn building & others."
"1654899778-825","https://www.google.com/maps/place/Yale+University+Art+Gallery/@41.2966672,-73.0552224,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+new+haven+ct!3m5!1s0x89e7d9b31fff4103:0xf5dffb2781e299ac!8m2!3d41.308363!4d-72.9309775!15sChx0aGluZ3MgdG8gZG8gaW4gbmV3IGhhdmVuIGN0Wh4iHHRoaW5ncyB0byBkbyBpbiBuZXcgaGF2ZW4gY3SSAQphcnRfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU15TlRkRGRtZFJSUkFC","Yale University Art Gallery","4.8","artgallery.yale.edu","1111 Chapel St, New Haven, CT 06510","null","null","https://lh5.googleusercontent.com/p/AF1QipMoKB-FwP_HrEyX-IJIrDBGJkg83ZYZkMvxXQ75=w408-h272-k-no","null"
"1654899727-820","https://www.google.com/maps/place/New+Haven+Museum/@41.2966672,-73.0552224,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+new+haven+ct!3m6!1s0x89e7d9c83b38f641:0x557bfa4844bb41fa!8m2!3d41.3140015!4d-72.9220398!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbmV3IGhhdmVuIGN0Wh4iHHRoaW5ncyB0byBkbyBpbiBuZXcgaGF2ZW4gY3SSARRsb2NhbF9oaXN0b3J5X211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSeE5qaFlVRGgzUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","Refined museum showcasing exhibits, research documents & artifacts pertaining to the area’s history."
"1654899758-823","https://www.google.com/maps/place/Lighthouse+Point+Park/@41.2966672,-73.0552224,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+new+haven+ct!3m5!1s0x89e877f6386801eb:0x574e457ef42cdce2!8m2!3d41.2488564!4d-72.9035323!15sChx0aGluZ3MgdG8gZG8gaW4gbmV3IGhhdmVuIGN0Wh4iHHRoaW5ncyB0byBkbyBpbiBuZXcgaGF2ZW4gY3SSAQljaXR5X3BhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUTJiMDVQVjFKbkVBRQ","Lighthouse Point Park","4.5","null","2 Lighthouse Rd, New Haven, CT 06512","null","null","https://lh5.googleusercontent.com/p/AF1QipNHikdv7_bGFUAxK8SAmVw26G2LYtbnEc3AoSRp=w408-h306-k-no","null"
"1654899697-817","https://www.google.com/maps/place/Prime+16/@41.3036492,-72.9419978,14z/data=!4m9!1m2!2m1!1sfood+in+new+haven+ct!3m5!1s0x89e7d84b4c27a8b1:0xe3ff240343bdf821!8m2!3d41.3062!4d-72.9276!15sChRmb29kIGluIG5ldyBoYXZlbiBjdFoWIhRmb29kIGluIG5ldyBoYXZlbiBjdJIBCWdhc3Ryb3B1YpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSWGR6ZGhiM3BCUlJBQg","Prime 16","4.4","prime16.com","172 Temple St, New Haven, CT 06510","null","null","https://lh5.googleusercontent.com/p/AF1QipPR7PwQmeDbYh_pQj9jGlyNam15ZBm1nte_X0P-=w408-h272-k-no","null"
"1654899687-816","https://www.google.com/maps/place/Prime+16/@41.3036492,-72.9419978,14z/data=!4m10!1m2!2m1!1sfood+in+new+haven+ct!3m6!1s0x89e7d84b4c27a8b1:0xe3ff240343bdf821!8m2!3d41.3062!4d-72.9276!10e1!15sChRmb29kIGluIG5ldyBoYXZlbiBjdFoWIhRmb29kIGluIG5ldyBoYXZlbiBjdJIBCWdhc3Ryb3B1YpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSWGR6ZGhiM3BCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Bar onsite   Good for kids   High chairs   Restroom   Free Wi-Fi","null","Many options for burger fixings & a wide selection of draft beers draw crowds to a warm woody space."
"1654899738-821","https://www.google.com/maps/place/New+Haven+Museum/@41.2966672,-73.0552224,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+new+haven+ct!3m5!1s0x89e7d9c83b38f641:0x557bfa4844bb41fa!8m2!3d41.3140015!4d-72.9220398!15sChx0aGluZ3MgdG8gZG8gaW4gbmV3IGhhdmVuIGN0Wh4iHHRoaW5ncyB0byBkbyBpbiBuZXcgaGF2ZW4gY3SSARRsb2NhbF9oaXN0b3J5X211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSeE5qaFlVRGgzUlJBQg","New Haven Museum","4.5","newhavenmuseum.org","114 Whitney Ave, New Haven, CT 06510","null","null","https://lh5.googleusercontent.com/p/AF1QipN_QQBNBIBwPkm9IpLQ_pebb89Z_9MjhIuKDDEP=w408-h272-k-no","null"
"1654899717-819","https://www.google.com/maps/place/East+Rock+Park/@41.2966672,-73.0552224,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+new+haven+ct!3m5!1s0x89e7d9e7d95626f7:0xde3e73c36cce1b74!8m2!3d41.3296405!4d-72.9046296!15sChx0aGluZ3MgdG8gZG8gaW4gbmV3IGhhdmVuIGN0Wh4iHHRoaW5ncyB0byBkbyBpbiBuZXcgaGF2ZW4gY3SSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF5YzJGMVlsTjNFQUU","East Rock Park","4.7","newhavenct.gov","41 Cold Spring St, New Haven, CT 06511","null","null","https://lh5.googleusercontent.com/p/AF1QipNnqUE3Hcn3ajgRj3xcnaj9HT0Kd_Co9KYao954=w408-h306-k-no","null"
