web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654899625-1912","https://www.google.com/maps/place/Soul+Tasty+Restaurant/@41.05222,-73.610903,13z/data=!4m10!1m2!2m1!1sfood+in+stamford+ct!3m6!1s0x89c2a1e4893c97b1:0xff91b05ef771be95!8m2!3d41.05222!4d-73.544985!10e1!15sChNmb29kIGluIHN0YW1mb3JkIGN0WhUiE2Zvb2QgaW4gc3RhbWZvcmQgY3SSARRzb3VsX2Zvb2RfcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids   High chairs","null","Classic Southern eats are served at a counter in a funky, casual space with limited seats & takeout."
"1654899635-1913","https://www.google.com/maps/place/Soul+Tasty+Restaurant/@41.0722079,-73.5682396,13z/data=!4m9!1m2!2m1!1sfood+in+stamford+ct!3m5!1s0x89c2a1e4893c97b1:0xff91b05ef771be95!8m2!3d41.05222!4d-73.544985!15sChNmb29kIGluIHN0YW1mb3JkIGN0WhUiE2Zvb2QgaW4gc3RhbWZvcmQgY3SSARRzb3VsX2Zvb2RfcmVzdGF1cmFudA","Soul Tasty Restaurant","4.4","soultastyct.com","29 Main St, Stamford, CT 06901","null","null","https://lh5.googleusercontent.com/p/AF1QipOcZm147-k1HHuaE-9PrqN_8BIUpnCb1S1jt6rb=w408-h306-k-no","null"
"1654899656-1915","https://www.google.com/maps/place/Bartlett+Arboretum+%26+Gardens/@41.0846553,-74.1063155,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+stamford+ct!3m5!1s0x89c2a6a9379ceb19:0xe3750e681798129d!8m2!3d41.132328!4d-73.549622!15sCht0aGluZ3MgdG8gZG8gaW4gc3RhbWZvcmQgY3RaHSIbdGhpbmdzIHRvIGRvIGluIHN0YW1mb3JkIGN0kgEJYXJib3JldHVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF5TjJSRVUxWm5FQUU","Bartlett Arboretum & Gardens","4.8","bartlettarboretum.org","151 Brookdale Rd, Stamford, CT 06903","null","null","https://lh5.googleusercontent.com/p/AF1QipNAhkqGdQRoczYpz6jgQHdlgVId_E3DzJJPpgsI=w408-h306-k-no","null"
"1654899676-1917","https://www.google.com/maps/place/Fort+Stamford/@41.0726633,-73.7955101,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+stamford+ct!3m2!1s0x89c2a236bdee1b1f:0xaaf614049bdc163e!15sCht0aGluZ3MgdG8gZG8gaW4gc3RhbWZvcmQgY3RaHSIbdGhpbmdzIHRvIGRvIGluIHN0YW1mb3JkIGN0kgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSRGN6ZHRSRVJuRUFF","Fort Stamford","4.5","fortstamfordpark.org","900 Westover Rd, Stamford, CT 06902","null","null","https://lh5.googleusercontent.com/p/AF1QipNc4ZYCpMCK5AizZciXQ-AYQgDNMvQRFUfwsTPw=w408-h306-k-no","null"
"1654899717-1921","https://www.google.com/maps/place/Stamford+Museum+%26+Nature+Center/@41.0726633,-73.7955101,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+stamford+ct!3m2!1s0x89c2a6ad500b0b2f:0x57b1c995b89ec2ed!15sCht0aGluZ3MgdG8gZG8gaW4gc3RhbWZvcmQgY3RaHSIbdGhpbmdzIHRvIGRvIGluIHN0YW1mb3JkIGN0kgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5YY1RaeVgzRm5SUkFC","Stamford Museum & Nature Center","4.6","stamfordmuseum.org","39 Scofieldtown Rd, Stamford, CT 06903","null","null","https://lh5.googleusercontent.com/p/AF1QipPe2Po_czeXSaEWRE-GT6lnZqG8hEjtKxk2003g=w408-h306-k-no","null"
"1654899645-1914","https://www.google.com/maps/place/Bartlett+Arboretum+%26+Gardens/@41.0846553,-74.1063155,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+stamford+ct!3m6!1s0x89c2a6a9379ceb19:0xe3750e681798129d!8m2!3d41.132328!4d-73.549622!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gc3RhbWZvcmQgY3RaHSIbdGhpbmdzIHRvIGRvIGluIHN0YW1mb3JkIGN0kgEJYXJib3JldHVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF5TjJSRVUxWm5FQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Outdoor botanical park open daily & an indoor education center with library & seasonal plant clinic."
"1654899707-1920","https://www.google.com/maps/place/Stamford+Museum+%26+Nature+Center/@41.0726633,-73.7955101,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+stamford+ct!3m6!1s0x89c2a6ad500b0b2f:0x57b1c995b89ec2ed!8m2!3d41.1261339!4d-73.545528!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gc3RhbWZvcmQgY3RaHSIbdGhpbmdzIHRvIGRvIGluIHN0YW1mb3JkIGN0kgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5YY1RaeVgzRm5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restroom   Free Wi-Fi   Restaurant","null","Kid-oriented nature center with trails, a small museum & animals, including two otters."
"1654899666-1916","https://www.google.com/maps/place/Fort+Stamford/@41.0846553,-74.1063155,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+stamford+ct!3m6!1s0x89c2a236bdee1b1f:0xaaf614049bdc163e!8m2!3d41.0846553!4d-73.5789718!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gc3RhbWZvcmQgY3RaHSIbdGhpbmdzIHRvIGRvIGluIHN0YW1mb3JkIGN0kgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSRGN6ZHRSRVJuRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","The archaeological remains of a Revolutionary War fort can be found in this public park."
"1654899697-1919","https://www.google.com/maps/place/Cove+Island/@41.0726633,-73.7955101,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+stamford+ct!3m5!1s0x89c2a02f7411626b:0xfafb4a646c6ad91d!8m2!3d41.0472652!4d-73.5016844!15sCht0aGluZ3MgdG8gZG8gaW4gc3RhbWZvcmQgY3RaHSIbdGhpbmdzIHRvIGRvIGluIHN0YW1mb3JkIGN0kgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOeGJEaHFOSGRuUlJBQg","Cove Island","4.6","stamfordct.gov","1125 Cove Rd, Stamford, CT 06902","null","null","https://lh5.googleusercontent.com/p/AF1QipNMCQWAiGOGWKsEx-4JAO1pMERZGsAZCuOTHJHh=w408-h306-k-no","null"
"1654899686-1918","https://www.google.com/maps/place/Cove+Island/@41.0726633,-73.7955101,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+stamford+ct!3m6!1s0x89c2a02f7411626b:0xfafb4a646c6ad91d!8m2!3d41.0472652!4d-73.5016844!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gc3RhbWZvcmQgY3RaHSIbdGhpbmdzIHRvIGRvIGluIHN0YW1mb3JkIGN0kgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOeGJEaHFOSGRuUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Sprawling island park with sand beaches & cycling paths, plus abundant waterfowl & a nature center."
