web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654899477-809","https://www.google.com/maps/place/Railroad+Museum-New+England/@41.5257419,-73.7107227,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+waterbury+ct!3m5!1s0x89e7be0b8afaa257:0x8fc3a214d9e4f373!8m2!3d41.6736432!4d-73.0680947!15sChx0aGluZ3MgdG8gZG8gaW4gd2F0ZXJidXJ5IGN0Wh4iHHRoaW5ncyB0byBkbyBpbiB3YXRlcmJ1cnkgY3SSAQtyYWlsX211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOdFgwNUVkbWhCUlJBQg","Railroad Museum-New England","4.5","rmne.org","242 E Main St, Thomaston, CT 06787","null","null","https://lh5.googleusercontent.com/p/AF1QipNqlVup40cMfTGUPtuArIUkK4K4jg0RoLibCfk5=w408-h306-k-no","null"
"1654899467-808","https://www.google.com/maps/place/Railroad+Museum-New+England/@41.5257419,-73.7107227,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+waterbury+ct!3m6!1s0x89e7be0b8afaa257:0x8fc3a214d9e4f373!8m2!3d41.6736432!4d-73.0680947!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gd2F0ZXJidXJ5IGN0Wh4iHHRoaW5ncyB0byBkbyBpbiB3YXRlcmJ1cnkgY3SSAQtyYWlsX211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOdFgwNUVkbWhCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","Victorian station with historic railroad collection offering train rides on the old Naugatuck line."
"1654899457-807","https://www.google.com/maps/place/Tiramisu+Italian+Restaurant/@41.5536077,-73.0488254,13z/data=!4m9!1m2!2m1!1sfood+in+waterbury+ct!3m5!1s0x89e7c6e0e4f5123b:0x481db7b89155dbb2!8m2!3d41.5426284!4d-72.9669853!15sChRmb29kIGluIHdhdGVyYnVyeSBjdFoWIhRmb29kIGluIHdhdGVyYnVyeSBjdJIBEml0YWxpYW5fcmVzdGF1cmFudA","Tiramisu Italian Restaurant","4.5","tiramisuct.com","3670 E Main St, Waterbury, CT 06705","null","null","https://lh5.googleusercontent.com/p/AF1QipOHxtd8pCDzrcj05Njs1C90xYkzGskLicOyczzF=w408-h306-k-no","null"
"1654899518-813","https://www.google.com/maps/place/Quassy+Amusement+%26+Waterpark/@41.5935161,-73.303331,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+waterbury+ct!3m5!1s0x89e7e965a993ee25:0x508e354473c2ba03!8m2!3d41.5257419!4d-73.15042!15sChx0aGluZ3MgdG8gZG8gaW4gd2F0ZXJidXJ5IGN0Wh4iHHRoaW5ncyB0byBkbyBpbiB3YXRlcmJ1cnkgY3SSAQ5hbXVzZW1lbnRfcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VReU1GQjZUekpuUlJBQg","Quassy Amusement & Waterpark","4.4","quassy.com","2132 Middlebury Rd, Middlebury, CT 06762","null","null","https://lh5.googleusercontent.com/p/AF1QipPOS1ZRo95wKgxjigDZDGcxf_jYgeSAY6i07uBJ=w408-h306-k-no","null"
"1654899488-810","https://www.google.com/maps/place/Fulton+Park/@41.5257419,-73.7107227,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+waterbury+ct!3m6!1s0x89e7c0775a1310d1:0xd6bd110daee67216!8m2!3d41.5709311!4d-73.0393546!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gd2F0ZXJidXJ5IGN0Wh4iHHRoaW5ncyB0byBkbyBpbiB3YXRlcmJ1cnkgY3SSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF5ZUMwMlpFUjNFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Relaxed option featuring two ponds, paths for biking & walking, a playground & picnic spots."
"1654899528-814","https://www.google.com/maps/place/Mattatuck+Museum/@41.5935161,-73.303331,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+waterbury+ct!3m6!1s0x89e7c1aad7667391:0xc8b3913dfc90f8f5!8m2!3d41.5574584!4d-73.0431565!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gd2F0ZXJidXJ5IGN0Wh4iHHRoaW5ncyB0byBkbyBpbiB3YXRlcmJ1cnkgY3SSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkhkemhUY1c5blJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Connecticut's cultural heritage is explored at this small American art & history museum with a cafe."
"1654899498-811","https://www.google.com/maps/place/Fulton+Park/@41.5257419,-73.7107227,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+waterbury+ct!3m5!1s0x89e7c0775a1310d1:0xd6bd110daee67216!8m2!3d41.5709311!4d-73.0393546!15sChx0aGluZ3MgdG8gZG8gaW4gd2F0ZXJidXJ5IGN0Wh4iHHRoaW5ncyB0byBkbyBpbiB3YXRlcmJ1cnkgY3SSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF5ZUMwMlpFUjNFQUU","Fulton Park","4.4","waterburyct.org","Cooke St, Waterbury, CT 06704","null","null","https://lh5.googleusercontent.com/p/AF1QipMjCOP3IzFKuv_b0QT8pNjvAUd4zLIQACMcp4Zf=w408-h306-k-no","null"
"1654899447-806","https://www.google.com/maps/place/Tiramisu+Italian+Restaurant/@41.5536077,-73.0488254,13z/data=!4m10!1m2!2m1!1sfood+in+waterbury+ct!3m6!1s0x89e7c6e0e4f5123b:0x481db7b89155dbb2!8m2!3d41.5426284!4d-72.9669853!10e1!15sChRmb29kIGluIHdhdGVyYnVyeSBjdFoWIhRmb29kIGluIHdhdGVyYnVyeSBjdJIBEml0YWxpYW5fcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   High chairs   Restroom","null","Italian comfort food, wine & cocktails served in a relaxed, warm environment with a cozy bar."
"1654899538-815","https://www.google.com/maps/place/Mattatuck+Museum/@41.5935161,-73.303331,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+waterbury+ct!3m5!1s0x89e7c1aad7667391:0xc8b3913dfc90f8f5!8m2!3d41.5574584!4d-73.0431565!15sChx0aGluZ3MgdG8gZG8gaW4gd2F0ZXJidXJ5IGN0Wh4iHHRoaW5ncyB0byBkbyBpbiB3YXRlcmJ1cnkgY3SSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkhkemhUY1c5blJSQUI","Mattatuck Museum","4.4","mattmuseum.org","144 W Main St, Waterbury, CT 06702","null","null","https://lh5.googleusercontent.com/p/AF1QipPwCYVsgKIjjQ0AX7VLg-pkgfaqTJ0Pp4W6Y-IL=w426-h240-k-no","null"
"1654899508-812","https://www.google.com/maps/place/Quassy+Amusement+%26+Waterpark/@41.5257419,-73.7107227,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+waterbury+ct!3m6!1s0x89e7e965a993ee25:0x508e354473c2ba03!8m2!3d41.5257419!4d-73.15042!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gd2F0ZXJidXJ5IGN0Wh4iHHRoaW5ncyB0byBkbyBpbiB3YXRlcmJ1cnkgY3SSAQ5hbXVzZW1lbnRfcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VReU1GQjZUekpuUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Gender-neutral restroom   Good for kids   Restaurant   Restroom","null","Park featuring kiddie rides, a junior roller coaster, a few thrillers & waterslides."
