web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654898425-1854","https://www.google.com/maps/place/Biggs+Museum+of+American+Art/@39.1479675,-75.6302691,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+dover+de!3m2!1s0x89c764a9f5e11c75:0xdf91d1ae269cd41e!15sChh0aGluZ3MgdG8gZG8gaW4gZG92ZXIgZGVaGiIYdGhpbmdzIHRvIGRvIGluIGRvdmVyIGRlkgEKYXJ0X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOTE1HTkRXbEYzRUFF","Biggs Museum of American Art","4.5","biggsmuseum.org","406 Federal St, Dover, DE 19901","null","null","https://lh5.googleusercontent.com/p/AF1QipNhgK8s79EJnE8MfJ4Cuo7ZYRvqnIpNvHu11Idl=w408-h408-k-no","null"
"1654898363-1848","https://www.google.com/maps/place/Johnson+Victrola+Museum/@39.1570637,-75.7866395,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+dover+de!3m2!1s0x89c763555489d845:0x420a0936b95629a8!15sChh0aGluZ3MgdG8gZG8gaW4gZG92ZXIgZGVaGiIYdGhpbmdzIHRvIGRvIGluIGRvdmVyIGRlkgEUbG9jYWxfaGlzdG9yeV9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUk5kRW96U2tGbkVBRQ","Johnson Victrola Museum","4.7","history.delaware.gov","375 S New St, Dover, DE 19901","null","null","https://lh5.googleusercontent.com/p/AF1QipMuhhItm8_fN4qLGMYq9DjpNyFCGkft-nRwqH-Y=w426-h240-k-no","null"
"1654898394-1851","https://www.google.com/maps/place/The+Old+State+House/@39.1570637,-75.7866395,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+dover+de!3m6!1s0x89c764aa16178c3f:0xb33aa73411da88bb!8m2!3d39.1564934!4d-75.5228672!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gZG92ZXIgZGVaGiIYdGhpbmdzIHRvIGRvIGluIGRvdmVyIGRlkgEXaGlzdG9yaWNhbF9wbGFjZV9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnJNRFZxUWpkUlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Former state capitol building, built in 1791, featuring a geometric staircase & gilt ceiling sham."
"1654898404-1852","https://www.google.com/maps/place/The+Old+State+House/@39.1570637,-75.7866395,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+dover+de!3m5!1s0x89c764aa16178c3f:0xb33aa73411da88bb!8m2!3d39.1564934!4d-75.5228672!15sChh0aGluZ3MgdG8gZG8gaW4gZG92ZXIgZGVaGiIYdGhpbmdzIHRvIGRvIGluIGRvdmVyIGRlkgEXaGlzdG9yaWNhbF9wbGFjZV9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnJNRFZxUWpkUlJSQUI","The Old State House","4.5","history.delaware.gov","25 The Green, Dover, DE 19901","null","null","https://lh5.googleusercontent.com/p/AF1QipPBhO3Pgw372XsL2wdWXZUgFDh6cxkl-UaRi_4=w408-h544-k-no","null"
"1654898332-1845","https://www.google.com/maps/place/MISSION+BBQ/@39.1589898,-75.5596915,13z/data=!4m10!1m2!2m1!1sfood+in+dover+de!3m6!1s0x89c764b6f9e21ab7:0x991f533ad096c84e!8m2!3d39.1723877!4d-75.5197369!10e1!15sChBmb29kIGluIGRvdmVyIGRlWhIiEGZvb2QgaW4gZG92ZXIgZGWSARNiYXJiZWN1ZV9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs   Restroom   Free Wi-Fi","null","Casual chain featuring BBQ & classic sides, plus memorabilia honoring soldiers & first responders."
"1654898373-1849","https://www.google.com/maps/place/Delaware+Agricultural+Museum/@39.1570637,-75.7866395,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+dover+de!3m6!1s0x89c77b34bf13614d:0xfe267a37e5d7797d!8m2!3d39.1815679!4d-75.5319623!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gZG92ZXIgZGVaGiIYdGhpbmdzIHRvIGRvIGluIGRvdmVyIGRlkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJ4TVMxTFpIcDNSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Museum showcasing tractors & farm equipment, with an adjacent 1890s village (barn, windmill, etc.)."
"1654898353-1847","https://www.google.com/maps/place/Johnson+Victrola+Museum/@39.1570637,-75.7866395,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+dover+de!3m6!1s0x89c763555489d845:0x420a0936b95629a8!8m2!3d39.1556373!4d-75.5272813!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gZG92ZXIgZGVaGiIYdGhpbmdzIHRvIGRvIGluIGRvdmVyIGRlkgEUbG9jYWxfaGlzdG9yeV9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUk5kRW96U2tGbkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Museum focused on life of Dover native E.R. Johnson, who founded Victor Talking Machine Co. (1901)."
"1654898384-1850","https://www.google.com/maps/place/Delaware+Agricultural+Museum/@39.1570637,-75.7866395,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+dover+de!3m5!1s0x89c77b34bf13614d:0xfe267a37e5d7797d!8m2!3d39.1815679!4d-75.5319623!15sChh0aGluZ3MgdG8gZG8gaW4gZG92ZXIgZGVaGiIYdGhpbmdzIHRvIGRvIGluIGRvdmVyIGRlkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJ4TVMxTFpIcDNSUkFC","Delaware Agricultural Museum","4.7","agriculturalmuseum.org","866 N Dupont Hwy, Dover, DE 19901","null","null","https://lh5.googleusercontent.com/p/AF1QipMMlkXMnojLMEJrnVXkEqBeDZ1xRs1zVxPp2yWf=w408-h306-k-no","null"
"1654898343-1846","https://www.google.com/maps/place/MISSION+BBQ/@39.1589898,-75.5596915,13z/data=!4m9!1m2!2m1!1sfood+in+dover+de!3m5!1s0x89c764b6f9e21ab7:0x991f533ad096c84e!8m2!3d39.1723877!4d-75.5197369!15sChBmb29kIGluIGRvdmVyIGRlWhIiEGZvb2QgaW4gZG92ZXIgZGWSARNiYXJiZWN1ZV9yZXN0YXVyYW50","MISSION BBQ","4.7","mission-bbq.com","365 N Dupont Hwy, Dover, DE 19901","null","null","https://lh5.googleusercontent.com/p/AF1QipONXrSvVkteoa_C2dIpScfAl8xWKprYqgUE8Xip=w408-h306-k-no","null"
"1654898414-1853","https://www.google.com/maps/place/Biggs+Museum+of+American+Art/@39.1570637,-75.7866395,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+dover+de!3m6!1s0x89c764a9f5e11c75:0xdf91d1ae269cd41e!8m2!3d39.1570889!4d-75.5228676!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gZG92ZXIgZGVaGiIYdGhpbmdzIHRvIGRvIGluIGRvdmVyIGRlkgEKYXJ0X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOTE1HTkRXbEYzRUFF","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restroom   Restaurant","null","Museum with decorative art, antiques & local pieces."
