web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654898785-1870","https://www.google.com/maps/place/Hale+Byrnes+House/@39.6575352,-76.0915989,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+newark+de!3m5!1s0x89c701a72f2a0f0f:0xf4e0700792e7bd2d!8m2!3d39.7012638!4d-75.6505303!15sChl0aGluZ3MgdG8gZG8gaW4gbmV3YXJrIGRlWhsiGXRoaW5ncyB0byBkbyBpbiBuZXdhcmsgZGWSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTXlYMDF0UkdWUkVBRQ","Hale Byrnes House","4.6","halebyrnes.org","606 Stanton Christiana Rd, Newark, DE 19713","null","null","https://lh5.googleusercontent.com/p/AF1QipP1Zb4AoQqvSv1aXxZVydqpNEazo9gY7Pfx78l9=w408-h612-k-no","null"
"1654898734-1865","https://www.google.com/maps/place/Taverna+Newark/@39.6836109,-75.7774619,13.14z/data=!4m10!1m2!2m1!1sfood+in+newark+delaware!3m6!1s0x89c7aa3a869a1ed1:0x1b23bf8948b23717!8m2!3d39.6833026!4d-75.7482795!10e1!15sChdmb29kIGluIG5ld2FyayBkZWxhd2FyZVoZIhdmb29kIGluIG5ld2FyayBkZWxhd2FyZZIBEml0YWxpYW5fcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    High chairs   Free Wi-Fi","null","Brick-walled bar & eatery preparing coal-fired pizzas, homemade pastas & other Italian meals."
"1654898816-1873","https://www.google.com/maps/place/White+Clay+Creek+State+Park/@39.6575352,-76.0915989,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+newark+de!3m6!1s0x89c7aafd3f6c0eed:0xf3179d3b721ce8a2!8m2!3d39.7348663!4d-75.7580196!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gbmV3YXJrIGRlWhsiGXRoaW5ncyB0byBkbyBpbiBuZXdhcmsgZGWSAQpzdGF0ZV9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5wZDBsbWFtTkJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Park featuring 37 miles of hiking & biking trails along with fishing streams & a nature center."
"1654898754-1867","https://www.google.com/maps/place/University+Delaware+Museums/@39.6575352,-76.0915989,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+newark+de!3m6!1s0x89c7aa318ccafae5:0x5c21f6ea595c7a85!8m2!3d39.6841433!4d-75.7536618!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gbmV3YXJrIGRlWhsiGXRoaW5ncyB0byBkbyBpbiBuZXdhcmsgZGWSAQZtdXNldW0","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Built in 1898, this historic hall offers a museum with a big collection of African-American artwork."
"1654898775-1869","https://www.google.com/maps/place/Hale+Byrnes+House/@39.6575352,-76.0915989,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+newark+de!3m6!1s0x89c701a72f2a0f0f:0xf4e0700792e7bd2d!8m2!3d39.7012638!4d-75.6505303!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gbmV3YXJrIGRlWhsiGXRoaW5ncyB0byBkbyBpbiBuZXdhcmsgZGWSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTXlYMDF0UkdWUkVBRQ","null","null","null","null","null","Amenities    Good for kids","null","This preserved private home from the 1700s keeps limited visiting hours. Available for rental."
"1654898806-1872","https://www.google.com/maps/place/Rittenhouse+Park/@39.6575352,-76.0915989,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+newark+de!3m5!1s0x89c7a99e590d7115:0x6e3016fb62745ea7!8m2!3d39.655077!4d-75.7582257!15sChl0aGluZ3MgdG8gZG8gaW4gbmV3YXJrIGRlWhsiGXRoaW5ncyB0byBkbyBpbiBuZXdhcmsgZGWSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU0wTmpsZlpEVkJSUkFC","Rittenhouse Park","4.5","cityofnewarkde.us","228 W Chestnut Hill Rd, Newark, DE 19713","null","null","https://lh5.googleusercontent.com/p/AF1QipPXo6vZpkZvSaOaIBADswWv2iaooqeRm7rX6wIb=w408-h306-k-no","null"
"1654898826-1874","https://www.google.com/maps/place/White+Clay+Creek+State+Park/@39.6575352,-76.0915989,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+newark+de!3m2!1s0x89c7aafd3f6c0eed:0xf3179d3b721ce8a2!15sChl0aGluZ3MgdG8gZG8gaW4gbmV3YXJrIGRlWhsiGXRoaW5ncyB0byBkbyBpbiBuZXdhcmsgZGWSAQpzdGF0ZV9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5wZDBsbWFtTkJFQUU","White Clay Creek State Park","4.7","destateparks.com","Park Office, 750 Thompson Station Rd, Newark, DE 19711","null","null","https://lh5.googleusercontent.com/p/AF1QipMvrAtGr2M3Ly7PxYJn28HI9GYMN_se8j8xqrhx=w408-h272-k-no","null"
"1654898744-1866","https://www.google.com/maps/place/Taverna+Newark/@39.6836109,-75.7774619,13.14z/data=!4m6!1m2!2m1!1sfood+in+newark+delaware!3m2!1s0x89c7aa3a869a1ed1:0x1b23bf8948b23717!15sChdmb29kIGluIG5ld2FyayBkZWxhd2FyZVoZIhdmb29kIGluIG5ld2FyayBkZWxhd2FyZZIBEml0YWxpYW5fcmVzdGF1cmFudA","Taverna Newark","4.5","tavernapdg.com","121 E Main St, Newark, DE 19711","null","null","https://lh5.googleusercontent.com/p/AF1QipPXZ0UNn9LHkI5xStqjdpp6F2XQat_3HmRCBbdj=w408-h271-k-no","null"
"1654898765-1868","https://www.google.com/maps/place/University+Delaware+Museums/@39.6575352,-76.0915989,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+newark+de!3m2!1s0x89c7aa318ccafae5:0x5c21f6ea595c7a85!15sChl0aGluZ3MgdG8gZG8gaW4gbmV3YXJrIGRlWhsiGXRoaW5ncyB0byBkbyBpbiBuZXdhcmsgZGWSAQZtdXNldW0","University Delaware Museums","4.6","udel.edu","30 N College Ave, Newark, DE 19716","null","null","https://lh5.googleusercontent.com/p/AF1QipMmBrv_y1kcT67y4mQqjMgOmj8CdSi2uXaGRy7i=w408-h306-k-no","null"
"1654898795-1871","https://www.google.com/maps/place/Rittenhouse+Park/@39.6575352,-76.0915989,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+newark+de!3m6!1s0x89c7a99e590d7115:0x6e3016fb62745ea7!8m2!3d39.655077!4d-75.7582257!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gbmV3YXJrIGRlWhsiGXRoaW5ncyB0byBkbyBpbiBuZXdhcmsgZGWSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU0wTmpsZlpEVkJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible parking lot","Amenities    Good for kids","null","45.9-acre park featuring picturesque walking trails, creek access, a playground & picnic areas."
