web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654898586-1859","https://www.google.com/maps/place/First+State+National+Historical+Park/@39.6582087,-76.0915821,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+new+castle+de!3m6!1s0x89c703702d3ad43b:0xfc1ce61ea19cfeae!8m2!3d39.659815!4d-75.563597!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gbmV3IGNhc3RsZSBkZVofIh10aGluZ3MgdG8gZG8gaW4gbmV3IGNhc3RsZSBkZZIBDW5hdGlvbmFsX3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnRPRGQ2UkRKUlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Historic spot & national park with green space for public gatherings, plus a courthouse museum."
"1654898617-1862","https://www.google.com/maps/place/Amstel+House+Museum/@39.6582087,-76.0915821,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+new+castle+de!3m2!1s0x89c70371d0112073:0x323a266fe92e3c38!15sCh10aGluZ3MgdG8gZG8gaW4gbmV3IGNhc3RsZSBkZVofIh10aGluZ3MgdG8gZG8gaW4gbmV3IGNhc3RsZSBkZZIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOUk5sQkVhMjluUlJBQg","Amstel House Museum","4.6","newcastlehistory.org","2 E 4th St, New Castle, DE 19720","null","null","https://lh5.googleusercontent.com/p/AF1QipOLK1f7HgqSxe8dxrXqCi9FP8yj8Xa9_GZO8WxB=w408-h544-k-no","null"
"1654898597-1860","https://www.google.com/maps/place/First+State+National+Historical+Park/@39.6582087,-76.0915821,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+new+castle+de!3m2!1s0x89c703702d3ad43b:0xfc1ce61ea19cfeae!15sCh10aGluZ3MgdG8gZG8gaW4gbmV3IGNhc3RsZSBkZVofIh10aGluZ3MgdG8gZG8gaW4gbmV3IGNhc3RsZSBkZZIBDW5hdGlvbmFsX3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnRPRGQ2UkRKUlJSQUI","First State National Historical Park","4.6","nps.gov","211 Delaware St, New Castle, DE 19720","null","null","https://lh5.googleusercontent.com/p/AF1QipOD7apXD9ocuBlTKJ8kh0FLw9jp9mLI0uJ9llsU=w408-h544-k-no","null"
"1654898545-1855","https://www.google.com/maps/place/Jessop's+Tavern/@39.6727254,-75.59886,14z/data=!4m10!1m2!2m1!1sfood+in+new+castle+de!3m6!1s0x89c703704eb72bb3:0xeaec7dca147770a3!8m2!3d39.6588978!4d-75.5632167!10e1!15sChVmb29kIGluIG5ldyBjYXN0bGUgZGVaFyIVZm9vZCBpbiBuZXcgY2FzdGxlIGRlkgEidHJhZGl0aW9uYWxfdXNfYW1lcmljYW5fcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Gender-neutral restroom   Good for kids   High chairs   Restroom   Free Wi-Fi","null","Casual pub in a circa-1724 building with Colonial fare features servers in period costumes."
"1654898576-1858","https://www.google.com/maps/place/Nora+Lees/@39.6727254,-75.59886,14z/data=!4m6!1m2!2m1!1sfood+in+new+castle+de!3m2!1s0x89c6ea685edda9cf:0x2fc6013488f10c0e!15sChVmb29kIGluIG5ldyBjYXN0bGUgZGVaFyIVZm9vZCBpbiBuZXcgY2FzdGxlIGRlkgEQY2FqdW5fcmVzdGF1cmFudA","Nora Lees","4.4","noralees.com","124 Delaware St, New Castle, DE 19720","null","null","https://lh5.googleusercontent.com/p/AF1QipOHqrI6wt_L8B1pKJ05eJuqvH6yhT5Wkh4YE8Rl=w408-h389-k-no","null"
"1654898607-1861","https://www.google.com/maps/place/Amstel+House+Museum/@39.6582087,-76.0915821,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+new+castle+de!3m6!1s0x89c70371d0112073:0x323a266fe92e3c38!8m2!3d39.660572!4d-75.5648422!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gbmV3IGNhc3RsZSBkZVofIh10aGluZ3MgdG8gZG8gaW4gbmV3IGNhc3RsZSBkZZIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOUk5sQkVhMjluUlJBQg","null","null","null","null","null","Amenities    Good for kids   Restaurant","null","Guided tours are offered from April to December of this storied 1730s mansion with a quaint garden."
"1654898628-1863","https://www.google.com/maps/place/New+Castle+Battery+Park/@39.6582087,-76.0915821,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+new+castle+de!3m6!1s0x89c70378efd2d493:0xc6719d9636731808!8m2!3d39.6582087!4d-75.5642384!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gbmV3IGNhc3RsZSBkZVofIh10aGluZ3MgdG8gZG8gaW4gbmV3IGNhc3RsZSBkZZIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlBjazVJWkdoblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Dog-friendly urban park with riverfront views open to the public during daylight hours."
"1654898638-1864","https://www.google.com/maps/place/New+Castle+Battery+Park/@54.9666233,-1.8570455,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+new+castle+de!3m5!1s0x89c70378efd2d493:0xc6719d9636731808!8m2!3d39.6582087!4d-75.5642384!15sCh10aGluZ3MgdG8gZG8gaW4gbmV3IGNhc3RsZSBkZVofIh10aGluZ3MgdG8gZG8gaW4gbmV3IGNhc3RsZSBkZZIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlBjazVJWkdoblJSQUI","New Castle Battery Park","4.7","newcastlecity.delaware.gov","1 Delaware St, New Castle, DE 19720","null","null","https://lh5.googleusercontent.com/p/AF1QipORnOaQ1nhNWTr7V3eMHosSd3IfR2UHPBZZmGfQ=w408-h306-k-no","null"
"1654898566-1857","https://www.google.com/maps/place/Nora+Lees/@39.6727254,-75.59886,14z/data=!4m10!1m2!2m1!1sfood+in+new+castle+de!3m6!1s0x89c6ea685edda9cf:0x2fc6013488f10c0e!8m2!3d39.6591086!4d-75.5634198!10e1!15sChVmb29kIGluIG5ldyBjYXN0bGUgZGVaFyIVZm9vZCBpbiBuZXcgY2FzdGxlIGRlkgEQY2FqdW5fcmVzdGF1cmFudA","null","null","null","null","null","Amenities    High chairs","null","New Orleans–inspired bar & eatery serving Cajun & Creole classics in festive yet casual environs."
"1654898556-1856","https://www.google.com/maps/place/Jessop's+Tavern/@39.6727254,-75.59886,14z/data=!4m6!1m2!2m1!1sfood+in+new+castle+de!3m2!1s0x89c703704eb72bb3:0xeaec7dca147770a3!15sChVmb29kIGluIG5ldyBjYXN0bGUgZGVaFyIVZm9vZCBpbiBuZXcgY2FzdGxlIGRlkgEidHJhZGl0aW9uYWxfdXNfYW1lcmljYW5fcmVzdGF1cmFudA","Jessop's Tavern","4.6","jessops-tavern.com","114 Delaware St, New Castle, DE 19720","null","null","https://lh5.googleusercontent.com/p/AF1QipN8HM5noGwwOT3uj0_RkpJ-MDJ4hFYLF0HfpCI1=w408-h272-k-no","null"
