web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654898093-1841","https://www.google.com/maps/place/Brandywine+Zoo/@39.7701663,-75.7062998,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+wilmington+de!3m6!1s0x89c6fd3d1235806b:0x11eeca69c5f0df32!8m2!3d39.7559835!4d-75.5496828!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gd2lsbWluZ3RvbiBkZVofIh10aGluZ3MgdG8gZG8gaW4gd2lsbWluZ3RvbiBkZZIBA3pvb5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNeWNqVm1TREozUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Zoo in Brandywine Park with lemurs, capybaras & bobcats, plus condors & eagles."
"1654898062-1838","https://www.google.com/maps/place/Rockwood+Park+%26+Museum/@39.7701663,-75.7062998,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+wilmington+de!3m2!1s0x89c6e32e3cec93fb:0x71f3d86669c0ba2e!15sCh10aGluZ3MgdG8gZG8gaW4gd2lsbWluZ3RvbiBkZVofIh10aGluZ3MgdG8gZG8gaW4gd2lsbWluZ3RvbiBkZZIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlhNalpVYjE5UlJSQUI","Rockwood Park & Museum","4.6","nccde.org","4651 Washington Street Extension, Wilmington, DE 19809","null","null","https://lh5.googleusercontent.com/p/AF1QipMWBlt-y-vVGfZfq9uyUgvONC0liHsXwl4KzQFc=w408-h306-k-no","null"
"1654898052-1837","https://www.google.com/maps/place/Rockwood+Park+%26+Museum/@39.7701663,-75.7062998,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+wilmington+de!3m6!1s0x89c6e32e3cec93fb:0x71f3d86669c0ba2e!8m2!3d39.772498!4d-75.5208132!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gd2lsbWluZ3RvbiBkZVofIh10aGluZ3MgdG8gZG8gaW4gd2lsbWluZ3RvbiBkZZIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlhNalpVYjE5UlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","19th-century Gothic manor house featuring regular guided tours & park with gardens & paved trails."
"1654898031-1835","https://www.google.com/maps/place/Mikimotos/@39.74504,-75.5779542,14z/data=!4m10!1m2!2m1!1sfood+in+wilmington+de!3m6!1s0x89c6fd3fcda1af4b:0x6d01bbc322120b22!8m2!3d39.7493492!4d-75.550005!10e1!15sChVmb29kIGluIHdpbG1pbmd0b24gZGVaFyIVZm9vZCBpbiB3aWxtaW5ndG9uIGRlkgEKcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   High chairs   Restroom","null","Hip digs for sushi & other Japanese & Pan-Asian fare in a stylish room with a bar & happy hour."
"1654898083-1840","https://www.google.com/maps/place/Hagley+Museum/@39.7701663,-75.7062998,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+wilmington+de!3m5!1s0x89c6fc5a5c9569b1:0x74013c00a8f57377!8m2!3d39.774893!4d-75.577801!15sCh10aGluZ3MgdG8gZG8gaW4gd2lsbWluZ3RvbiBkZUiM82FaHyIddGhpbmdzIHRvIGRvIGluIHdpbG1pbmd0b24gZGViCQlgP2YkayCAV2IJCe8pB0no1DhsYgkJ-YdjCgCoshpiCQmGqVSn3I7QA2IJCXsqN6L1i4orYgkJgiDY125fwEpiCQmgy1I2QKsECmIJCdfs7lo19A88kgEXaGlzdG9yaWNhbF9wbGFjZV9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlROSEYxWWxoM0VBRQ","Hagley Museum","4.8","hagley.org","200 Hagley Creek Rd, Wilmington, DE 19807","null","null","https://lh5.googleusercontent.com/p/AF1QipOeGNmSKj6vt-3BdLeWKxzD2xB6uCcMRiIECHYY=w408-h272-k-no","null"
"1654898114-1843","https://www.google.com/maps/place/Delaware+Children's+Museum/@39.7701663,-75.7062998,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+wilmington+de!3m6!1s0x89c6fd5d1414eb0b:0xec88ca51002f22d1!8m2!3d39.7344885!4d-75.5605049!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gd2lsbWluZ3RvbiBkZVofIh10aGluZ3MgdG8gZG8gaW4gd2lsbWluZ3RvbiBkZZIBEGNoaWxkcmVuc19tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUm5YeTFQWHpWQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Riverfront building for toddlers to teens features interactive exhibits & a climbing structure."
"1654898104-1842","https://www.google.com/maps/place/Brandywine+Zoo/@39.7701663,-75.7062998,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+wilmington+de!3m2!1s0x89c6fd3d1235806b:0x11eeca69c5f0df32!15sCh10aGluZ3MgdG8gZG8gaW4gd2lsbWluZ3RvbiBkZVofIh10aGluZ3MgdG8gZG8gaW4gd2lsbWluZ3RvbiBkZZIBA3pvb5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNeWNqVm1TREozUlJBQg","Brandywine Zoo","4.2","brandywinezoo.org","1001 N Park Dr, Wilmington, DE 19802","null","null","https://lh5.googleusercontent.com/p/AF1QipOtq878UFL8x7kXh8NbAUNOlvZbnMpHSOCj8rvr=w408-h306-k-no","null"
"1654898042-1836","https://www.google.com/maps/place/Mikimotos/@39.74504,-75.5779542,14z/data=!4m6!1m2!2m1!1sfood+in+wilmington+de!3m2!1s0x89c6fd3fcda1af4b:0x6d01bbc322120b22!15sChVmb29kIGluIHdpbG1pbmd0b24gZGVaFyIVZm9vZCBpbiB3aWxtaW5ndG9uIGRlkgEKcmVzdGF1cmFudA","Mikimotos","4.4","mikimotos.com","1212 Washington St, Wilmington, DE 19801","null","null","https://lh5.googleusercontent.com/p/AF1QipPCJLu5OlBamCkBuwDE4cV6q67-Y1DRsfr7SGDo=w426-h240-k-no","null"
"1654898073-1839","https://www.google.com/maps/place/Hagley+Museum/@39.7701663,-75.7062998,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+wilmington+de!3m6!1s0x89c6fc5a5c9569b1:0x74013c00a8f57377!8m2!3d39.774893!4d-75.577801!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gd2lsbWluZ3RvbiBkZUiM82FaHyIddGhpbmdzIHRvIGRvIGluIHdpbG1pbmd0b24gZGViCQlgP2YkayCAV2IJCe8pB0no1DhsYgkJ-YdjCgCoshpiCQmGqVSn3I7QA2IJCXsqN6L1i4orYgkJgiDY125fwEpiCQmgy1I2QKsECmIJCdfs7lo19A88kgEXaGlzdG9yaWNhbF9wbGFjZV9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlROSEYxWWxoM0VBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","Riverfront site featuring regional industrial history, including gunpowder mills & the du Pont home."
"1654898124-1844","https://www.google.com/maps/place/Delaware+Children's+Museum/@39.7701663,-75.7062998,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+wilmington+de!3m5!1s0x89c6fd5d1414eb0b:0xec88ca51002f22d1!8m2!3d39.7344885!4d-75.5605049!15sCh10aGluZ3MgdG8gZG8gaW4gd2lsbWluZ3RvbiBkZVofIh10aGluZ3MgdG8gZG8gaW4gd2lsbWluZ3RvbiBkZZIBEGNoaWxkcmVuc19tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUm5YeTFQWHpWQlJSQUI","Delaware Children's Museum","4.6","delawarechildrensmuseum.org","550 Justison St, Wilmington, DE 19801","null","null","https://lh5.googleusercontent.com/p/AF1QipPYUlJYevIhEkTQ6oDB213GDRzs09IEhxPPsUfu=w408-h270-k-no","null"
