web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654899157-794","https://www.google.com/maps/place/Museum+of+Florida+History/@30.518493,-84.5320701,11z/data=!3m1!5s0x88ecf571e42b6e79:0xec6e470604fe7a07!4m10!1m2!2m1!1sthings+to+do+in+tallahassefl!3m6!1s0x88ecf571e461d65f:0x9845b83ff777b75c!8m2!3d30.4380569!4d-84.2849488!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gdGFsbGFoYXNzZWVaHSIbdGhpbmdzIHRvIGRvIGluIHRhbGxhaGFzc2VlkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJYZDNKSVJUZFJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Going back 12,000 years, this museum explores native cultures, animals & Florida's colonization."
"1654899239-802","https://www.google.com/maps/place/Alfred+B.+Maclay+Gardens+State+Park/@30.518493,-84.5320701,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+tallahassefl!3m6!1s0x88ec589501cd3871:0x597cd8f20d92bf27!8m2!3d30.518493!4d-84.2519187!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gdGFsbGFoYXNzZWVaHSIbdGhpbmdzIHRvIGRvIGluIHRhbGxhaGFzc2VlkgEKc3RhdGVfcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOWGFtVjFRbHBCRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Centered around manicured gardens, this park also features trails, swimming, fishing & kayaking."
"1654899188-797","https://www.google.com/maps/place/Florida+Historic+Capitol+Museum/@30.518493,-84.5320701,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+tallahassefl!3m5!1s0x88ecf57022a124b9:0xcaa48bd7e35ee450!8m2!3d30.4381317!4d-84.2812618!15sCht0aGluZ3MgdG8gZG8gaW4gdGFsbGFoYXNzZWVaHSIbdGhpbmdzIHRvIGRvIGluIHRhbGxhaGFzc2VlkgEOaGlzdG9yeV9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlhObkZJTTB0M0VBRQ","Florida Historic Capitol Museum","4.7","flhistoriccapitol.gov","400 S Monroe St, Tallahassee, FL 32399","null","null","https://lh5.googleusercontent.com/p/AF1QipNaUy5FXJft1VF8M1QU_0lHpFrjaBIhAs2ZosTD=w408-h276-k-no","null"
"1654899219-800","https://www.google.com/maps/place/Cascades+Park/@30.518493,-84.5320701,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+tallahassefl!3m6!1s0x88ecf564e012f715:0x3b77c239883550a8!8m2!3d30.4337109!4d-84.2779171!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gdGFsbGFoYXNzZWVaHSIbdGhpbmdzIHRvIGRvIGluIHRhbGxhaGFzc2VlkgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSeGJYRjJVa3AzRUFF","null","null","null","null","Accessibility    Assistive hearing loop   Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","24-acre recreational hub with paved trails, an amphitheater, historical landmarks & a war memorial."
"1654899168-795","https://www.google.com/maps/place/Museum+of+Florida+History/@30.518493,-84.5320701,11z/data=!3m1!5s0x88ecf571e42b6e79:0xec6e470604fe7a07!4m9!1m2!2m1!1sthings+to+do+in+tallahassefl!3m5!1s0x88ecf571e461d65f:0x9845b83ff777b75c!8m2!3d30.4380569!4d-84.2849488!15sCht0aGluZ3MgdG8gZG8gaW4gdGFsbGFoYXNzZWVaHSIbdGhpbmdzIHRvIGRvIGluIHRhbGxhaGFzc2VlkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJYZDNKSVJUZFJSUkFC","Museum of Florida History","4.8","museumoffloridahistory.com","500 S Bronough St, Tallahassee, FL 32399","null","null","https://lh5.googleusercontent.com/p/AF1QipMo3uUNGoIbiZiyV7ZqhwmcNjfoOQExcVYQyMIv=w408-h306-k-no","null"
"1654899198-798","https://www.google.com/maps/place/Goodwood+Museum+%26+Gardens/@30.518493,-84.5320701,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+tallahassefl!3m6!1s0x88ec5f704754629f:0xe116d88d8a86870e!8m2!3d30.45656!4d-84.2568176!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gdGFsbGFoYXNzZWVaHSIbdGhpbmdzIHRvIGRvIGluIHRhbGxhaGFzc2VlkgEXaGlzdG9yaWNhbF9wbGFjZV9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTTJiVTV1T0VaQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restroom","null","House museum tours of a grand 1830s private residence on a landscaped estate with outbuildings."
"1654899117-790","https://www.google.com/maps/place/Lake+Jackson+Mounds+State+Park/@30.518493,-84.5320701,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+tallahassefl!3m6!1s0x88ecf680d3c0d773:0x43c44e0f64328231!8m2!3d30.500009!4d-84.3184037!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gdGFsbGFoYXNzZWVaHSIbdGhpbmdzIHRvIGRvIGluIHRhbGxhaGFzc2VlkgEKc3RhdGVfcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSbmIwMWxOVUpSRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Native American earthen mounds plus interpretive & nature trails are draws to this storied park."
"1654899270-805","https://www.google.com/maps/place/Tallahassee+Museum/@30.4446019,-84.3937401,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+tallahassefl!3m5!1s0x88ecf4b20972c94f:0x25db8f1d852b0ed!8m2!3d30.4105174!4d-84.3440394!15sCht0aGluZ3MgdG8gZG8gaW4gdGFsbGFoYXNzZWVaHSIbdGhpbmdzIHRvIGRvIGluIHRhbGxhaGFzc2VlkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU0yTlRSVFFtWm5FQUU","Tallahassee Museum","4.7","tallahasseemuseum.org","3945 Museum Rd, Tallahassee, FL 32310","null","null","https://lh5.googleusercontent.com/p/AF1QipPIEFfx7DTM79kieoPB5XDNgD5CxyZCm2MB3WJV=w408-h272-k-no","null"
"1654899229-801","https://www.google.com/maps/place/Cascades+Park/@30.518493,-84.5320701,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+tallahassefl!3m5!1s0x88ecf564e012f715:0x3b77c239883550a8!8m2!3d30.4337109!4d-84.2779171!15sCht0aGluZ3MgdG8gZG8gaW4gdGFsbGFoYXNzZWVaHSIbdGhpbmdzIHRvIGRvIGluIHRhbGxhaGFzc2VlkgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSeGJYRjJVa3AzRUFF","Cascades Park","4.7","discovercascades.com","1001 S Gadsden St, Tallahassee, FL 32301","null","null","https://lh5.googleusercontent.com/p/AF1QipOkON81B1gEpFBUo2FIxQXvrKCnMe-duUfUTCgv=w408-h306-k-no","null"
"1654899259-804","https://www.google.com/maps/place/Tallahassee+Museum/@30.4104867,-84.6241887,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+tallahassefl!3m6!1s0x88ecf4b20972c94f:0x25db8f1d852b0ed!8m2!3d30.4105174!4d-84.3440394!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gdGFsbGFoYXNzZWVaHSIbdGhpbmdzIHRvIGRvIGluIHRhbGxhaGFzc2VlkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU0yTlRSVFFtWm5FQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","A 52-acre lakeside site featuring wildife, nature trail, period exhibits, events & zipline tours."
