web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654898373-755","https://www.google.com/maps/place/Glazer+Children's+Museum/@28.0531223,-82.6846489,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+tampa+fl!3m5!1s0x88c2c489004aa9fb:0xcb66631b34f97756!8m2!3d27.949577!4d-82.461494!15sChh0aGluZ3MgdG8gZG8gaW4gdGFtcGEgZmxaGiIYdGhpbmdzIHRvIGRvIGluIHRhbXBhIGZskgEQY2hpbGRyZW5zX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOeGVEWkllbFpSRUFF","Glazer Children's Museum","4.5","glazermuseum.org","110 W Gasparilla Plaza, Tampa, FL 33602","null","null","//lh3.googleusercontent.com/proxy/xopHtjp1Qd_HsuQxUu_c8m_vD7Bgyo9NDNi2t35bd-2MpLPyLBSvSHSW9ZeuVr-4c2mkC2yQ-7xxdS0RTD8r85zi757ibk2130KzAicnZlf9VPEtR_a51BOZp4WZgwaGYK8SElOvkvEanpiqpjAeLUrNw82ANg=w408-h272-k-no","null"
"1654898475-765","https://www.google.com/maps/place/Tampa+Bay+Grand+Prix/@27.9734058,-82.583312,11z/data=!4m8!1m2!2m1!1sthings+to+do+in+tampa+fl!3m4!1s0x88c2e38f9ecb56cb:0xfab424f465c69610!8m2!3d27.8844674!4d-82.6970657","Tampa Bay Grand Prix","4.5","tampabaygp.com","12350 Automobile Blvd, Clearwater, FL 33762","null","null","https://lh5.googleusercontent.com/p/AF1QipPtzyrNLqpi8lzGYo47HXTiRaYh40WWCtu0HBhj=w426-h240-k-no","null"
"1654898281-746","https://www.google.com/maps/place/Mama's+Soul+Food+Restaurant/@27.9879682,-82.5605429,12z/data=!4m10!1m2!2m1!1sfood+in+tampa+fl!3m6!1s0x88c2c5c44de9b6db:0xa80c550f2b2d4396!8m2!3d27.9812942!4d-82.4180985!10e1!15sChBmb29kIGluIHRhbXBhIGZsWhIiEGZvb2QgaW4gdGFtcGEgZmySARRzb3VsX2Zvb2RfcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   High chairs   Restroom   Free Wi-Fi","null","Modest option for classic, homestyle Southern cooking including breakfast & desserts."
"1654898363-754","https://www.google.com/maps/place/Glazer+Children's+Museum/@28.0531223,-82.6846489,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+tampa+fl!3m6!1s0x88c2c489004aa9fb:0xcb66631b34f97756!8m2!3d27.949577!4d-82.461494!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gdGFtcGEgZmxaGiIYdGhpbmdzIHRvIGRvIGluIHRhbXBhIGZskgEQY2hpbGRyZW5zX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOeGVEWkllbFpSRUFF","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant   Restroom   Free Wi-Fi","null","Over 150 interactive activities focused on weather, art, communication & more for children under 12."
"1654898292-747","https://www.google.com/maps/place/Mama's+Soul+Food+Restaurant/@27.9879682,-82.5605429,12z/data=!4m9!1m2!2m1!1sfood+in+tampa+fl!3m5!1s0x88c2c5c44de9b6db:0xa80c550f2b2d4396!8m2!3d27.9812942!4d-82.4180985!15sChBmb29kIGluIHRhbXBhIGZsWhIiEGZvb2QgaW4gdGFtcGEgZmySARRzb3VsX2Zvb2RfcmVzdGF1cmFudA","Mama's Soul Food Restaurant","4.0","tampa.mamassoulfoodfl.com","3701 E Dr Martin Luther King Jr Blvd, Tampa, FL 33610","null","null","https://lh5.googleusercontent.com/p/AF1QipPnwj8Xj0V5nXN52_YilJrLljrwQ1UJSQlOw7Xr=w408-h306-k-no","null"
"1654898383-756","https://www.google.com/maps/place/Museum+of+Science+%26+Industry/@28.0531223,-82.6846489,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+tampa+fl!3m6!1s0x88c2c7cf5b3da1ab:0x893a7dbee70e0852!8m2!3d28.0531223!4d-82.4044975!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gdGFtcGEgZmxaGiIYdGhpbmdzIHRvIGRvIGluIHRhbXBhIGZskgEOc2NpZW5jZV9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlBhM1JEU25aM1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Gender-neutral restroom   Good for kids","null","Interactive exhibits on hurricanes & the human body plus an IMAX theater & butterfly garden."
"1654898414-759","https://www.google.com/maps/place/Henry+B.+Plant+Museum/@27.943972,-82.7250261,11z/data=!3m1!5s0x88c2c488aac55671:0x9ceaca74a1d2b0d0!4m9!1m2!2m1!1sthings+to+do+in+tampa+fl!3m5!1s0x88c2c48f50cea035:0xe4bfc9a636464c21!8m2!3d27.9463553!4d-82.4640404!15sChh0aGluZ3MgdG8gZG8gaW4gdGFtcGEgZmxaGiIYdGhpbmdzIHRvIGRvIGluIHRhbXBhIGZskgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJYYVdaeU9GcG5FQUU","Henry B. Plant Museum","4.5","plantmuseum.com","401 W Kennedy Blvd, Tampa, FL 33606","null","null","https://lh5.googleusercontent.com/p/AF1QipN3lXWx3kr0342zO7wZ9bG8I1Tv1mu5nAQM2gtA=w408-h271-k-no","null"
"1654898342-752","https://www.google.com/maps/place/Tampa+Bay+History+Center/@28.0531223,-82.6846489,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+tampa+fl!3m6!1s0x88c2c48d0122ba25:0xbdfbd31ea3db2224!8m2!3d27.9423647!4d-82.4498608!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gdGFtcGEgZmxaGiIYdGhpbmdzIHRvIGRvIGluIHRhbXBhIGZskgEOaGlzdG9yeV9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXlkUzFMTVhoUlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant   Restroom","null","Sprawling history museum chronicles Tampa with interactive exhibits, maps, films & special events."
"1654898393-757","https://www.google.com/maps/place/Museum+of+Science+%26+Industry/@27.943972,-82.7250261,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+tampa+fl!3m5!1s0x88c2c7cf5b3da1ab:0x893a7dbee70e0852!8m2!3d28.0531223!4d-82.4044975!15sChh0aGluZ3MgdG8gZG8gaW4gdGFtcGEgZmxaGiIYdGhpbmdzIHRvIGRvIGluIHRhbXBhIGZskgEOc2NpZW5jZV9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlBhM1JEU25aM1JSQUI","Museum of Science & Industry","3.9","mosi.org","4801 E Fowler Ave, Tampa, FL 33617","null","null","https://lh5.googleusercontent.com/p/AF1QipMoSQ6OPmpSoJCj31KeRrAOrUWW28hYRYyFzy05=w408-h306-k-no","null"
"1654898464-764","https://www.google.com/maps/place/Tampa+Bay+Grand+Prix/@27.8844674,-82.9772171,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+tampa+fl!3m5!1s0x88c2e38f9ecb56cb:0xfab424f465c69610!8m2!3d27.8844674!4d-82.6970657!10e1","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","Sprawling facility where adults & kids race electric go-karts up to 50 mph on an indoor track."
