web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654897713-1826","https://www.google.com/maps/place/Weaver+D's+Delicious+Fine+Foods/@33.9426343,-83.4450226,13z/data=!4m9!1m2!2m1!1sfood+in+athens+ga!3m5!1s0x88f66cc4a438aaf7:0xc537038e2719a610!8m2!3d33.9585799!4d-83.367326!15sChFmb29kIGluIGF0aGVucyBnYVoTIhFmb29kIGluIGF0aGVucyBnYZIBFHNvdWxfZm9vZF9yZXN0YXVyYW50","Weaver D's Delicious Fine Foods","4.5","weaverds.com","1016 E Broad St, Athens, GA 30601","null","null","https://lh5.googleusercontent.com/p/AF1QipO-Xv_tlM-8pAN7dOTgw23UOOeRzTDKgT4079mF=w408-h306-k-no","null"
"1654897744-1829","https://www.google.com/maps/place/Georgia+Museum+of+Art/@33.9646224,-83.5292677,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+athens+ga!3m6!1s0x88f66cfacc7ee531:0x2d4e55f4426134e0!8m2!3d33.9410952!4d-83.3698945!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gYXRoZW5zIGdhWhsiGXRoaW5ncyB0byBkbyBpbiBhdGhlbnMgZ2GSAQphcnRfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJYYWpremJ6ZDNSUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Gender-neutral restroom   Good for kids   Restroom   Restaurant","null","Long-standing art museum at University of Georgia hosting rotating exhibits & educational programs."
"1654897734-1828","https://www.google.com/maps/place/Bear+Hollow+Wildlife+Trail/@33.9646224,-83.5292677,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+athens+ga!3m2!1s0x88f66da8fe1a376f:0xf0d908ee6bdf349b!15sChl0aGluZ3MgdG8gZG8gaW4gYXRoZW5zIGdhWhsiGXRoaW5ncyB0byBkbyBpbiBhdGhlbnMgZ2GSAQ13aWxkbGlmZV9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5oTTJGZk5WZDNFQUU","Bear Hollow Wildlife Trail","4.7","accgov.com","293 Gran Ellen Dr, Athens, GA 30606","null","null","https://lh5.googleusercontent.com/p/AF1QipPb_R0X6LQWaVGSNS0Cr8V5p9zhzpnsDFduNkEU=w408-h306-k-no","null"
"1654897765-1831","https://www.google.com/maps/place/Sandy+Creek+Nature+Center/@33.9646224,-83.5292677,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+athens+ga!3m6!1s0x88f612d712725abb:0x621f6e09ac269148!8m2!3d33.9868301!4d-83.3828295!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gYXRoZW5zIGdhWhsiGXRoaW5ncyB0byBkbyBpbiBhdGhlbnMgZ2GSAQ9uYXR1cmVfcHJlc2VydmWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUm5OMUJsY25wM1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","City facility featuring live animal exhibits, nature trails & several rooms for classes & meetings."
"1654897786-1833","https://www.google.com/maps/place/The+State+Botanical+Garden+of+Georgia/@33.9646224,-83.5292677,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+athens+ga!3m6!1s0x88f66dcea60030cd:0xb7674ccd93d249a8!8m2!3d33.9023502!4d-83.3846876!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gYXRoZW5zIGdhWhsiGXRoaW5ncyB0byBkbyBpbiBhdGhlbnMgZ2GSARBib3RhbmljYWxfZ2FyZGVumgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJ0Y3pSZmVuZEJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Public restroom","null","Free 313-acre horticultural conservatory with walking paths & education programs for kids & adults."
"1654897703-1825","https://www.google.com/maps/place/Weaver+D's+Delicious+Fine+Foods/@33.9426343,-83.4450226,13z/data=!4m10!1m2!2m1!1sfood+in+athens+ga!3m6!1s0x88f66cc4a438aaf7:0xc537038e2719a610!8m2!3d33.9585799!4d-83.367326!10e1!15sChFmb29kIGluIGF0aGVucyBnYVoTIhFmb29kIGluIGF0aGVucyBnYZIBFHNvdWxfZm9vZF9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Colorful, counter-serve institution serving down-home Southern recipes in a neighborhood atmosphere."
"1654897775-1832","https://www.google.com/maps/place/Sandy+Creek+Nature+Center/@33.9646224,-83.5292677,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+athens+ga!3m5!1s0x88f612d712725abb:0x621f6e09ac269148!8m2!3d33.9868301!4d-83.3828295!15sChl0aGluZ3MgdG8gZG8gaW4gYXRoZW5zIGdhWhsiGXRoaW5ncyB0byBkbyBpbiBhdGhlbnMgZ2GSAQ9uYXR1cmVfcHJlc2VydmWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUm5OMUJsY25wM1JSQUI","Sandy Creek Nature Center","4.8","accgov.com","205 Old Commerce Rd, Athens, GA 30607","null","null","https://lh5.googleusercontent.com/p/AF1QipOacOKakqiJsm_Plm82EW_qjGm9CtfQ9xpnd6Z5=w408-h306-k-no","null"
"1654897724-1827","https://www.google.com/maps/place/Bear+Hollow+Wildlife+Trail/@33.9646224,-83.5292677,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+athens+ga!3m6!1s0x88f66da8fe1a376f:0xf0d908ee6bdf349b!8m2!3d33.927173!4d-83.3867718!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gYXRoZW5zIGdhWhsiGXRoaW5ncyB0byBkbyBpbiBhdGhlbnMgZ2GSAQ13aWxkbGlmZV9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5oTTJGZk5WZDNFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Woodlands, wetlands & a historic cabin on 225 acres, plus visitors' center for interactive exhibits."
"1654897796-1834","https://www.google.com/maps/place/The+State+Botanical+Garden+of+Georgia/@33.9646224,-83.5292677,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+athens+ga!3m2!1s0x88f66dcea60030cd:0xb7674ccd93d249a8!15sChl0aGluZ3MgdG8gZG8gaW4gYXRoZW5zIGdhWhsiGXRoaW5ncyB0byBkbyBpbiBhdGhlbnMgZ2GSARBib3RhbmljYWxfZ2FyZGVumgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJ0Y3pSZmVuZEJSUkFC","The State Botanical Garden of Georgia","4.8","botgarden.uga.edu","2450 S Milledge Ave, Athens, GA 30605","null","null","https://lh5.googleusercontent.com/p/AF1QipOjp8NpWor9_31dLbV7YM7ktHBToXemuygEFzX0=w408-h272-k-no","null"
"1654897755-1830","https://www.google.com/maps/place/Georgia+Museum+of+Art/@33.9646224,-83.5292677,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+athens+ga!3m2!1s0x88f66cfacc7ee531:0x2d4e55f4426134e0!15sChl0aGluZ3MgdG8gZG8gaW4gYXRoZW5zIGdhWhsiGXRoaW5ncyB0byBkbyBpbiBhdGhlbnMgZ2GSAQphcnRfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJYYWpremJ6ZDNSUkFC","Georgia Museum of Art","4.7","georgiamuseum.org","90 Carlton St, Athens, GA 30602","null","null","https://lh5.googleusercontent.com/p/AF1QipMkxzdBl9whRBv1kh1BCjciDcYIghLjL0QaJpqK=w408-h272-k-no","null"
