web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654896944-1786","https://www.google.com/maps/place/Piedmont+Park/@33.7544272,-84.6524431,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+atlanta+georgia!3m6!1s0x88f504395064ac19:0xf3aeea4ef52f350e!8m2!3d33.7885307!4d-84.3719824!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gYXRsYW50YSBnZW9yZ2lhWiEiH3RoaW5ncyB0byBkbyBpbiBhdGxhbnRhIGdlb3JnaWGSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5QY0V4RVgweFJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Sprawling park featuring jogging paths, basketball courts, dog parks, a farmers' market & more."
"1654896913-1783","https://www.google.com/maps/place/Poor+Calvin's/@33.7971637,-84.45699,12z/data=!4m9!1m2!2m1!1sfood+in+atlanta+georgia!3m5!1s0x88f50471c45063c1:0x15569ba2a2953b0a!8m2!3d33.7685462!4d-84.3821685!15sChdmb29kIGluIGF0bGFudGEgZ2VvcmdpYVoZIhdmb29kIGluIGF0bGFudGEgZ2VvcmdpYZIBEGFzaWFuX3Jlc3RhdXJhbnQ","Poor Calvin's","4.6","poorcalvins.com","510 Piedmont Ave NE, Atlanta, GA 30308","null","null","https://lh5.googleusercontent.com/p/AF1QipMlmApJGc3kCIRC-GHuhpPcDy_g2LowFuYFmtff=w408-h241-k-no","null"
"1654896954-1787","https://www.google.com/maps/place/Piedmont+Park/@33.7544272,-84.6524431,10z/data=!3m1!5s0x88f5047e13878dc7:0x9235a72676102eb0!4m6!1m2!2m1!1sthings+to+do+in+atlanta+georgia!3m2!1s0x88f504395064ac19:0xf3aeea4ef52f350e!15sCh90aGluZ3MgdG8gZG8gaW4gYXRsYW50YSBnZW9yZ2lhWiEiH3RoaW5ncyB0byBkbyBpbiBhdGxhbnRhIGdlb3JnaWGSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5QY0V4RVgweFJFQUU","Piedmont Park","4.8","piedmontpark.org","1320 Monroe Dr NE, Atlanta, GA 30306","null","null","https://lh5.googleusercontent.com/p/AF1QipNTQW8Dxvqw3LNxEBdYEoKCRdbPMoLlkxD4O1sU=w408-h306-k-no","null"
"1654896934-1785","https://www.google.com/maps/place/World+of+Coca-Cola/@33.7544272,-84.6524431,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+atlanta+georgia!3m5!1s0x88f5047eecc828f3:0x4401b29a011fa7c9!8m2!3d33.7625564!4d-84.392436!15sCh90aGluZ3MgdG8gZG8gaW4gYXRsYW50YSBnZW9yZ2lhWiEiH3RoaW5ncyB0byBkbyBpbiBhdGxhbnRhIGdlb3JnaWGSARJ0b3VyaXN0X2F0dHJhY3Rpb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkxlRGh0V0hGQlJSQUI","World of Coca-Cola","4.4","worldofcoca-cola.com","121 Baker St NW, Atlanta, GA 30313","null","null","https://lh5.googleusercontent.com/p/AF1QipNCMsQlsuMQ27b_jCE4z0C_hlLcFZD_S9nxi0vc=w408-h271-k-no","null"
"1654896985-1790","https://www.google.com/maps/place/Atlanta+Botanical+Garden/@33.7544272,-84.6524431,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+atlanta+georgia!3m6!1s0x88f5043825d515d1:0xa0eaf981e881d6b5!8m2!3d33.7915595!4d-84.37397!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gYXRsYW50YSBnZW9yZ2lhWiEiH3RoaW5ncyB0byBkbyBpbiBhdGxhbnRhIGdlb3JnaWGSARBib3RhbmljYWxfZ2FyZGVumgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5QTWtwVFpIVm5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","30-acre garden with a conservatory & fountains playing host to concerts, cocktail parties & more."
"1654896975-1789","https://www.google.com/maps/place/Georgia+Aquarium/@33.7544272,-84.6524431,10z/data=!3m1!5s0x88f5047e13878dc7:0x9235a72676102eb0!4m9!1m2!2m1!1sthings+to+do+in+atlanta+georgia!3m5!1s0x88f5047e45f40419:0xfed77076a9af4adc!8m2!3d33.763382!4d-84.3951098!15sCh90aGluZ3MgdG8gZG8gaW4gYXRsYW50YSBnZW9yZ2lhWiEiH3RoaW5ncyB0byBkbyBpbiBhdGxhbnRhIGdlb3JnaWGSAQhhcXVhcml1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSWFgySjJOSGhSUlJBQg","Georgia Aquarium","4.6","georgiaaquarium.org","225 Baker St NW, Atlanta, GA 30313","null","null","https://lh5.googleusercontent.com/p/AF1QipMgJJ7zSmzP2OjxDW0BUApYm_nh5lFQMexIyZcp=w408-h306-k-no","null"
"1654896964-1788","https://www.google.com/maps/place/Georgia+Aquarium/@33.7544272,-84.6524431,10z/data=!3m1!5s0x88f5047e13878dc7:0x9235a72676102eb0!4m10!1m2!2m1!1sthings+to+do+in+atlanta+georgia!3m6!1s0x88f5047e45f40419:0xfed77076a9af4adc!8m2!3d33.763382!4d-84.3951098!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gYXRsYW50YSBnZW9yZ2lhWiEiH3RoaW5ncyB0byBkbyBpbiBhdGxhbnRhIGdlb3JnaWGSAQhhcXVhcml1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSWFgySjJOSGhSUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","One of world's largest aquariums, with permanent exhibits, interactive galleries & animals galore."
"1654896995-1791","https://www.google.com/maps/place/Atlanta+Botanical+Garden/@33.7544272,-84.6524431,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+atlanta+georgia!3m5!1s0x88f5043825d515d1:0xa0eaf981e881d6b5!8m2!3d33.7915595!4d-84.37397!15sCh90aGluZ3MgdG8gZG8gaW4gYXRsYW50YSBnZW9yZ2lhWiEiH3RoaW5ncyB0byBkbyBpbiBhdGxhbnRhIGdlb3JnaWGSARBib3RhbmljYWxfZ2FyZGVumgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5QTWtwVFpIVm5SUkFC","Atlanta Botanical Garden","4.7","atlantabg.org","1345 Piedmont Ave NE, Atlanta, GA 30309","null","null","https://lh5.googleusercontent.com/p/AF1QipPIQyDNeB70SNrvQkVCPrNAZLXVRIcKdje4XZ1B=w408-h544-k-no","null"
"1654896903-1782","https://www.google.com/maps/place/Poor+Calvin's/@33.7971637,-84.45699,12z/data=!4m10!1m2!2m1!1sfood+in+atlanta+georgia!3m6!1s0x88f50471c45063c1:0x15569ba2a2953b0a!8m2!3d33.7685462!4d-84.3821685!10e1!15sChdmb29kIGluIGF0bGFudGEgZ2VvcmdpYVoZIhdmb29kIGluIGF0bGFudGEgZ2VvcmdpYZIBEGFzaWFuX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Bar onsite   High chairs","null","Modern, intimate eatery featuring an Asian fusion menu, plus both classic & creative cocktails."
"1654896923-1784","https://www.google.com/maps/place/World+of+Coca-Cola/@33.7544272,-84.6524431,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+atlanta+georgia!3m6!1s0x88f5047eecc828f3:0x4401b29a011fa7c9!8m2!3d33.7625564!4d-84.392436!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gYXRsYW50YSBnZW9yZ2lhWiEiH3RoaW5ncyB0byBkbyBpbiBhdGxhbnRhIGdlb3JnaWGSARJ0b3VyaXN0X2F0dHJhY3Rpb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkxlRGh0V0hGQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Memorabilia, films & exhibits (some interactive) about soft drink that debuted in Atlanta in 1886."
