web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654897492-1813","https://www.google.com/maps/place/Honey+From+the+Rock+Cafe/@33.4778657,-82.0702322,13z/data=!4m9!1m2!2m1!1sfood+in+augusta+ga!3m5!1s0x88f9cd6d40190ce9:0x86f88a7274e9bdec!8m2!3d33.5073529!4d-82.0202415!15sChJmb29kIGluIGF1Z3VzdGEgZ2FaFCISZm9vZCBpbiBhdWd1c3RhIGdhkgEWc291dGhlcm5fdXNfcmVzdGF1cmFudA","Honey From the Rock Cafe","4.7","honeyfromtherockcafe.com","2621 Washington Rd, Augusta, GA 30904","null","null","https://lh5.googleusercontent.com/p/AF1QipNBOJ5xcmvy0RCLPiVtfkO-eJV-0ITmDJGkCq40=w408-h306-k-no","null"
"1654897583-1820","https://www.google.com/maps/place/Augusta+Museum+of+History/@33.4489774,-82.171053,11z/data=!3m1!5s0x88f9cc7166464adf:0x1bff65d851be2430!4m10!1m2!2m1!1sthings+to+do+in+augusta+ga!3m6!1s0x88f9cc7163f83a1b:0xfa61806456059657!8m2!3d33.4747658!4d-81.960556!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gYXVndXN0YSBnYVocIhp0aGluZ3MgdG8gZG8gaW4gYXVndXN0YSBnYZIBDmhpc3RvcnlfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5QTjAxeFdEQkJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Museum devoted to Augusta's heritage & culture, from Native American settlement to James Brown."
"1654897533-1817","https://www.google.com/maps/place/Morris+Museum+of+Art/@33.4489774,-82.171053,11z/data=!3m1!5s0x88f9cc6f42431061:0x1ee93bfde8eb99e1!4m9!1m2!2m1!1sthings+to+do+in+augusta+ga!3m5!1s0x88f9cc6f445e258d:0x7bf1d94dc48e3ab4!8m2!3d33.4794159!4d-81.9685191!15sChp0aGluZ3MgdG8gZG8gaW4gYXVndXN0YSBnYVocIhp0aGluZ3MgdG8gZG8gaW4gYXVndXN0YSBnYZIBCmFydF9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXlObHBmWlRoblJSQUI","Morris Museum of Art","4.7","themorris.org","1 10th St 2nd Floor, Augusta, GA 30901","null","null","https://lh5.googleusercontent.com/p/AF1QipOAF9iClIZUp2uoQ5oeQz56_ARG3VjR8ibsvGFB=w408-h544-k-no","null"
"1654897502-1814","https://www.google.com/maps/place/Augusta+Riverwalk/@33.4489774,-82.171053,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+augusta+ga!3m6!1s0x88f9cc6fdf032649:0xc0201925ab97cc25!8m2!3d33.4796956!4d-81.9679085!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gYXVndXN0YSBnYVocIhp0aGluZ3MgdG8gZG8gaW4gYXVndXN0YSBnYZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkxNR016WDB4QkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Riverfront park with brick walking paths, plus a splash fountain, playground & nearby amenities."
"1654897481-1812","https://www.google.com/maps/place/Honey+From+the+Rock+Cafe/@33.4778657,-82.0702322,13z/data=!4m10!1m2!2m1!1sfood+in+augusta+ga!3m6!1s0x88f9cd6d40190ce9:0x86f88a7274e9bdec!8m2!3d33.5073529!4d-82.0202415!10e1!15sChJmb29kIGluIGF1Z3VzdGEgZ2FaFCISZm9vZCBpbiBhdWd1c3RhIGdhkgEWc291dGhlcm5fdXNfcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   High chairs","null","Down-home outpost offering traditional Southern fare such as macaroni & cheese & pecan pie."
"1654897594-1821","https://www.google.com/maps/place/Augusta+Museum+of+History/@33.4489774,-82.171053,11z/data=!3m1!5s0x88f9cc7166464adf:0x1bff65d851be2430!4m9!1m2!2m1!1sthings+to+do+in+augusta+ga!3m5!1s0x88f9cc7163f83a1b:0xfa61806456059657!8m2!3d33.4747658!4d-81.960556!15sChp0aGluZ3MgdG8gZG8gaW4gYXVndXN0YSBnYVocIhp0aGluZ3MgdG8gZG8gaW4gYXVndXN0YSBnYZIBDmhpc3RvcnlfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5QTjAxeFdEQkJSUkFC","Augusta Museum of History","4.7","augustamuseum.org","560 Reynolds St, Augusta, GA 30901","null","null","https://lh5.googleusercontent.com/p/AF1QipOQtlwhEWJ52e9eFkUETN1ZLdBU7TJsGq0NjRm-=w408-h306-k-no","null"
"1654897543-1818","https://www.google.com/maps/place/Phinizy+Swamp+Nature+Park/@33.4489774,-82.171053,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+augusta+ga!3m6!1s0x88f9ced7dd832acf:0x41f7d832fb2c71a3!8m2!3d33.3846224!4d-81.9675112!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gYXVndXN0YSBnYVocIhp0aGluZ3MgdG8gZG8gaW4gYXVndXN0YSBnYZIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXlNamw2ZFhGM1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Public restroom","null","Forest & swampland featuring multiuse trails, plus a science facility offering classes & events."
"1654897523-1816","https://www.google.com/maps/place/Morris+Museum+of+Art/@33.4489774,-82.171053,11z/data=!3m1!5s0x88f9cc6f42431061:0x1ee93bfde8eb99e1!4m10!1m2!2m1!1sthings+to+do+in+augusta+ga!3m6!1s0x88f9cc6f445e258d:0x7bf1d94dc48e3ab4!8m2!3d33.4794159!4d-81.9685191!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gYXVndXN0YSBnYVocIhp0aGluZ3MgdG8gZG8gaW4gYXVndXN0YSBnYZIBCmFydF9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXlObHBmWlRoblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Paintings, sculpture & photography are shown off at this museum focused on Southern art."
"1654897512-1815","https://www.google.com/maps/place/Augusta+Riverwalk/@33.4489774,-82.171053,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+augusta+ga!3m5!1s0x88f9cc6fdf032649:0xc0201925ab97cc25!8m2!3d33.4796956!4d-81.9679085!15sChp0aGluZ3MgdG8gZG8gaW4gYXVndXN0YSBnYVocIhp0aGluZ3MgdG8gZG8gaW4gYXVndXN0YSBnYZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkxNR016WDB4QkVBRQ","Augusta Riverwalk","4.6","augustaga.gov","10th St, Augusta, GA 30901","null","null","https://lh5.googleusercontent.com/p/AF1QipMAZM3f5WR4fKNyMhfLxGhlaNN7vHDZvKuX1MaA=w493-h240-k-no","null"
"1654897564-1819","https://www.google.com/maps/place/Phinizy+Swamp+Nature+Park/@33.4489774,-82.171053,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+augusta+ga!3m5!1s0x88f9ced7dd832acf:0x41f7d832fb2c71a3!8m2!3d33.3846224!4d-81.9675112!15sChp0aGluZ3MgdG8gZG8gaW4gYXVndXN0YSBnYVocIhp0aGluZ3MgdG8gZG8gaW4gYXVndXN0YSBnYZIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXlNamw2ZFhGM1JSQUI","null","null","null","null","null","null","null","null"
