web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654897354-1807","https://www.google.com/maps/place/Historic+Westville/@32.4659473,-85.2371469,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+columbus+ga!3m2!1s0x88f2cfea836b5d21:0xf306adbcbb45fcaa!15sCht0aGluZ3MgdG8gZG8gaW4gY29sdW1idXMgZ2FaHSIbdGhpbmdzIHRvIGRvIGluIGNvbHVtYnVzIGdhkgEOaGlzdG9yeV9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnhaMGxwVW1sblJSQUI","Historic Westville","4.5","westville.org","3557 S Lumpkin Rd, Columbus, GA 31903","null","null","https://lh5.googleusercontent.com/p/AF1QipPKTzucmrCxr7q6jpoLWmxBLysUm1mUnDFYvrCD=w426-h240-k-no","null"
"1654897323-1804","https://www.google.com/maps/place/Columbus+Botanical+Garden/@32.4659473,-85.2371469,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+columbus+ga!3m6!1s0x88f334b24d31a187:0x2c432162267c584!8m2!3d32.5400367!4d-84.9371169!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gY29sdW1idXMgZ2FaHSIbdGhpbmdzIHRvIGRvIGluIGNvbHVtYnVzIGdhkgEQYm90YW5pY2FsX2dhcmRlbpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOWGIyTnhhRkZSRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Public restroom","null","22-acre botanical garden featuring herbs, vegetables, roses & other flowers, plus a walking trail."
"1654897343-1806","https://www.google.com/maps/place/Historic+Westville/@32.4659473,-85.2371469,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+columbus+ga!3m6!1s0x88f2cfea836b5d21:0xf306adbcbb45fcaa!8m2!3d32.3817448!4d-84.9577961!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gY29sdW1idXMgZ2FaHSIbdGhpbmdzIHRvIGRvIGluIGNvbHVtYnVzIGdhkgEOaGlzdG9yeV9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnhaMGxwVW1sblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restroom   Restaurant","null","Costumed guides bring the restored schools, churches & businesses of this 1850s village to life."
"1654897364-1808","https://www.google.com/maps/place/The+Columbus+Museum/@32.4659473,-85.2371469,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+columbus+ga!3m6!1s0x888ccd0e63d05c1d:0xd06c4ad76255d97d!8m2!3d32.4670934!4d-84.9740651!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gY29sdW1idXMgZ2FaHSIbdGhpbmdzIHRvIGRvIGluIGNvbHVtYnVzIGdhkgEKYXJ0X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReWVuRTNVMlJCRUFF","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","American art & regional history exhibits are displayed in a former private home with lush gardens."
"1654897313-1803","https://www.google.com/maps/place/The+Black+Cow/@32.4972273,-85.0154544,12z/data=!4m6!1m2!2m1!1sfood+in+columbus+ga!3m2!1s0x888ccda4de247ce9:0x2f92c3a92da4ba5c!15sChNmb29kIGluIGNvbHVtYnVzIGdhWhUiE2Zvb2QgaW4gY29sdW1idXMgZ2GSARNhbWVyaWNhbl9yZXN0YXVyYW50","The Black Cow","4.5","theblackcowga.com","115 12th St, Columbus, GA 31901","null","null","https://lh5.googleusercontent.com/p/AF1QipNFPvL9XcErcYjZhYgCF_2eBtGQ_WXlHIMQ4E1B=w489-h240-k-no","null"
"1654897395-1811","https://www.google.com/maps/place/Coca-Cola+Space+Science+Center/@32.4659473,-85.2371469,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+columbus+ga!3m5!1s0x888ccd9630ce75eb:0xe08f138751592b2b!8m2!3d32.4598384!4d-84.9952619!15sCht0aGluZ3MgdG8gZG8gaW4gY29sdW1idXMgZ2FaHSIbdGhpbmdzIHRvIGRvIGluIGNvbHVtYnVzIGdhkgEOc2NpZW5jZV9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlBkRXBRYW0xM1JSQUI","Coca-Cola Space Science Center","4.5","ccssc.org","701 Front Ave, Columbus, GA 31901","null","null","https://lh5.googleusercontent.com/p/AF1QipO8LGeJoyo_pDWk4PgcNaMf9Yn_DjH5D0vv64w=w408-h306-k-no","null"
"1654897333-1805","https://www.google.com/maps/place/Columbus+Botanical+Garden/@32.4659473,-85.2371469,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+columbus+ga!3m2!1s0x88f334b24d31a187:0x2c432162267c584!15sCht0aGluZ3MgdG8gZG8gaW4gY29sdW1idXMgZ2FaHSIbdGhpbmdzIHRvIGRvIGluIGNvbHVtYnVzIGdhkgEQYm90YW5pY2FsX2dhcmRlbpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOWGIyTnhhRkZSRUFF","Columbus Botanical Garden","4.6","columbusbotanicalgarden.org","3603 Weems Rd, Columbus, GA 31909","null","null","https://lh5.googleusercontent.com/p/AF1QipOKhCfVqPaIQkdjNiMkBSiTcGuiGJj6tcebbCM=w408-h408-k-no","null"
"1654897375-1809","https://www.google.com/maps/place/The+Columbus+Museum/@32.4659473,-85.2371469,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+columbus+ga!3m5!1s0x888ccd0e63d05c1d:0xd06c4ad76255d97d!8m2!3d32.4670934!4d-84.9740651!15sCht0aGluZ3MgdG8gZG8gaW4gY29sdW1idXMgZ2FaHSIbdGhpbmdzIHRvIGRvIGluIGNvbHVtYnVzIGdhkgEKYXJ0X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReWVuRTNVMlJCRUFF","The Columbus Museum","4.6","columbusmuseum.com","1251 Wynnton Rd, Columbus, GA 31906","null","null","https://lh5.googleusercontent.com/p/AF1QipO2BfW2198kYU2TrIOb8A4DFdf1deekGL7JrLeJ=w408-h272-k-no","null"
"1654897385-1810","https://www.google.com/maps/place/Coca-Cola+Space+Science+Center/@32.4659473,-85.2371469,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+columbus+ga!3m6!1s0x888ccd9630ce75eb:0xe08f138751592b2b!8m2!3d32.4598384!4d-84.9952619!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gY29sdW1idXMgZ2FaHSIbdGhpbmdzIHRvIGRvIGluIGNvbHVtYnVzIGdhkgEOc2NpZW5jZV9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlBkRXBRYW0xM1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Space museum offering simulators, film screenings & observation events appropriate for all ages."
"1654897302-1802","https://www.google.com/maps/place/The+Black+Cow/@32.4687532,-85.1309586,12z/data=!4m10!1m2!2m1!1sfood+in+columbus+ga!3m6!1s0x888ccda4de247ce9:0x2f92c3a92da4ba5c!8m2!3d32.4687532!4d-84.9908829!10e1!15sChNmb29kIGluIGNvbHVtYnVzIGdhWhUiE2Zvb2QgaW4gY29sdW1idXMgZ2GSARNhbWVyaWNhbl9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   High chairs","null","Homey destination for fried green tomatoes & other Southern-inspired comfort food plus cocktails."
