web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654897205-1800","https://www.google.com/maps/place/Savannah+Historic+District/@32.0172429,-81.2087596,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+savannah+ga!3m6!1s0x887c536087b8cc33:0xb784225b64c3f0f3!8m2!3d32.0761493!4d-81.0990665!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gc2F2YW5uYWggZ2FaHSIbdGhpbmdzIHRvIGRvIGluIHNhdmFubmFoIGdhkgENaGlzdG9yaWNfc2l0ZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOTGVHSklNMDUzRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Urban historic district featuring 18th & 19th-century architecture & scenic public spaces."
"1654897121-1793","https://www.google.com/maps/place/Mrs.+Wilkes+Dining+Room/@32.0457203,-81.1308568,13z/data=!4m9!1m2!2m1!1sfood+in+savannah+ga!3m5!1s0x88fb9e69bca0eacb:0xbac585eb4bd24bc6!8m2!3d32.0725508!4d-81.0959573!15sChNmb29kIGluIHNhdmFubmFoIGdhWhUiE2Zvb2QgaW4gc2F2YW5uYWggZ2GSARZzb3V0aGVybl91c19yZXN0YXVyYW50","Mrs. Wilkes Dining Room","4.8","mrswilkes.com","107 W Jones St, Savannah, GA 31401","null","null","https://lh5.googleusercontent.com/p/AF1QipPe2-y7m6SElkybWESHylKVqBNv963T5KbJYddQ=w408-h272-k-no","null"
"1654897142-1795","https://www.google.com/maps/place/Telfair+Museums/@32.0172429,-81.2087596,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+savannah+ga!3m2!1s0x88fb9e67b23a5867:0x3c55b22cc53a603b!15sCht0aGluZ3MgdG8gZG8gaW4gc2F2YW5uYWggZ2FaHSIbdGhpbmdzIHRvIGRvIGluIHNhdmFubmFoIGdhkgEKYXJ0X211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNeWJEbFFkSFJCUlJBQg","Telfair Museums","4.5","telfair.org","207 W York St, Savannah, GA 31401","null","null","https://lh5.googleusercontent.com/p/AF1QipNTkJnBe6_m_MiB3koGUwywMTKHAj3KMxbf-DQV=w408-h306-k-no","null"
"1654897111-1792","https://www.google.com/maps/place/Mrs.+Wilkes+Dining+Room/@32.0457203,-81.1308568,13z/data=!4m10!1m2!2m1!1sfood+in+savannah+ga!3m6!1s0x88fb9e69bca0eacb:0xbac585eb4bd24bc6!8m2!3d32.0725508!4d-81.0959573!10e1!15sChNmb29kIGluIHNhdmFubmFoIGdhWhUiE2Zvb2QgaW4gc2F2YW5uYWggZ2GSARZzb3V0aGVybl91c19yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   High chairs","null","Family-owned since 1943, this busy Southern diner serves ample lunches to guests at communal tables."
"1654897194-1799","https://www.google.com/maps/place/Forsyth+Park/@32.0172429,-81.2087596,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+savannah+ga!3m2!1s0x88fb9e6a92a69d8f:0xdf05eb676fd29fe3!15sCht0aGluZ3MgdG8gZG8gaW4gc2F2YW5uYWggZ2FaHSIbdGhpbmdzIHRvIGRvIGluIHNhdmFubmFoIGdhkgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOeFoyVnBXbGhCRUFF","Forsyth Park","4.8","savannahga.gov","2 W Gaston St, Savannah, GA 31401","null","null","https://lh5.googleusercontent.com/p/AF1QipMHY3nfNWI_1cjJ1lkR1olE7qzNceP6fA5LIF3V=w408-h306-k-no","null"
"1654897215-1801","https://www.google.com/maps/place/Savannah+Historic+District/@32.0172429,-81.2087596,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+savannah+ga!3m2!1s0x887c536087b8cc33:0xb784225b64c3f0f3!15sCht0aGluZ3MgdG8gZG8gaW4gc2F2YW5uYWggZ2FaHSIbdGhpbmdzIHRvIGRvIGluIHNhdmFubmFoIGdhkgENaGlzdG9yaWNfc2l0ZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOTGVHSklNMDUzRUFF","Savannah Historic District","4.8","nps.gov","301 Martin Luther King Jr Blvd, Savannah, GA 31401","null","null","https://lh5.googleusercontent.com/p/AF1QipNpTfR2E0FHKPy7raFR-xIPbGqO_Xp0UwtWD5YD=w408-h272-k-no","null"
"1654897152-1796","https://www.google.com/maps/place/Mercer-Williams+House+Museum/@32.0172429,-81.2087596,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+savannah+ga!3m6!1s0x88fb9e6985fe8d69:0xb8893c055e9bfaaf!8m2!3d32.0713749!4d-81.0954537!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gc2F2YW5uYWggZ2FaHSIbdGhpbmdzIHRvIGRvIGluIHNhdmFubmFoIGdhkgEKYXJ0X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReU9DMUVRVkpuRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Restaurant","null","Guided tours of Italianate mansion immortalized in book ""Midnight in the Garden of Good and Evil."""
"1654897171-1797","https://www.google.com/maps/place/Mercer-Williams+House+Museum/@32.0172429,-81.2087596,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+savannah+ga!3m5!1s0x88fb9e6985fe8d69:0xb8893c055e9bfaaf!8m2!3d32.0713749!4d-81.0954537!15sCht0aGluZ3MgdG8gZG8gaW4gc2F2YW5uYWggZ2FaHSIbdGhpbmdzIHRvIGRvIGluIHNhdmFubmFoIGdhkgEKYXJ0X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReU9DMUVRVkpuRUFF","Mercer-Williams House Museum","4.5","mercerhouse.com","429 Bull St, Savannah, GA 31401","null","null","https://lh5.googleusercontent.com/p/AF1QipNlITSsge243WxhRGnwFA-tlEAP-J3pgqyUHDpw=w408-h544-k-no","null"
"1654897131-1794","https://www.google.com/maps/place/Telfair+Museums/@32.0172429,-81.2087596,11z/data=!3m1!5s0x88fb9e67ca01341b:0x8e987f8f4309aa90!4m10!1m2!2m1!1sthings+to+do+in+savannah+ga!3m6!1s0x88fb9e67b23a5867:0x3c55b22cc53a603b!8m2!3d32.0777147!4d-81.0950531!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gc2F2YW5uYWggZ2FaHSIbdGhpbmdzIHRvIGRvIGluIHNhdmFubmFoIGdhkgEKYXJ0X211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNeWJEbFFkSFJCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","The South's oldest public art museum, with American & European works spread over 3 themed buildings."
"1654897184-1798","https://www.google.com/maps/place/Forsyth+Park/@32.0172429,-81.2087596,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+savannah+ga!3m6!1s0x88fb9e6a92a69d8f:0xdf05eb676fd29fe3!8m2!3d32.0675356!4d-81.0962384!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gc2F2YW5uYWggZ2FaHSIbdGhpbmdzIHRvIGRvIGluIHNhdmFubmFoIGdhkgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOeFoyVnBXbGhCRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","30-acre park with basketball & tennis courts, paths, a historic fountain & a Confederate memorial."
