web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654896118-1750","https://www.google.com/maps/place/Panaewa+Rainforest+Zoo+and+Gardens/@19.6959976,-155.1421205,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+hilo+hi!3m6!1s0x79524abe4bda19f7:0x7b27d56fb51a7c62!8m2!3d19.653525!4d-155.073703!10e1!15sChd0aGluZ3MgdG8gZG8gaW4gaGlsbyBoaVoZIhd0aGluZ3MgdG8gZG8gaW4gaGlsbyBoaZIBA3pvb5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeWRIVmhXazEzRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","This 12-acre reserve, the only natural tropical rainforest zoo in the U.S., features 80+ species."
"1654896128-1751","https://www.google.com/maps/place/Panaewa+Rainforest+Zoo+and+Gardens/@19.6959976,-155.1421205,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+hilo+hi!3m5!1s0x79524abe4bda19f7:0x7b27d56fb51a7c62!8m2!3d19.653525!4d-155.073703!15sChd0aGluZ3MgdG8gZG8gaW4gaGlsbyBoaVoZIhd0aGluZ3MgdG8gZG8gaW4gaGlsbyBoaZIBA3pvb5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeWRIVmhXazEzRUFF","Panaewa Rainforest Zoo and Gardens","4.6","hilozoo.org","800 Stainback Hwy, Hilo, HI 96720","null","null","https://lh5.googleusercontent.com/p/AF1QipNIjkFfXpXCSiCWf85W8_6CQlQjBUv6bVtlXNHD=w408-h306-k-no","null"
"1654896097-1748","https://www.google.com/maps/place/Liliuokalani+Gardens/@19.6959976,-155.1421205,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+hilo+hi!3m6!1s0x79524c9eda2be319:0x112029be93bb227a!8m2!3d19.726372!4d-155.068079!10e1!15sChd0aGluZ3MgdG8gZG8gaW4gaGlsbyBoaVoZIhd0aGluZ3MgdG8gZG8gaW4gaGlsbyBoaZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUjVNWFZpV0VkQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Dedicated in 1917, this 30-acre park showcases Edo-style gardens, koi ponds & a Japanese teahouse."
"1654896087-1747","https://www.google.com/maps/place/Kaumana+Caves/@19.6959976,-155.1421205,12z/data=!4m6!1m2!2m1!1sthings+to+do+in+hilo+hi!3m2!1s0x7953b51d5103cc47:0x36614e182a36159e!15sChd0aGluZ3MgdG8gZG8gaW4gaGlsbyBoaVoZIhd0aGluZ3MgdG8gZG8gaW4gaGlsbyBoaZIBCnN0YXRlX3BhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTnhielpMZFU1QkVBRQ","Kaumana Caves","4.7","bigislandhikes.com","1492 Kaumana Dr, Hilo, HI 96720","null","null","https://lh5.googleusercontent.com/p/AF1QipOKLbx8_8Ey-SG_1nuu7wMJYTyvWP--N685sy1E=w408-h306-k-no","null"
"1654896035-1742","https://www.google.com/maps/place/Kenichi+Restaurant/@19.7203276,-155.0970724,15z/data=!4m10!1m2!2m1!1sfood+in+hilo+hi!3m6!1s0x79524b5bb8641d93:0xfafd7e004ac3535f!8m2!3d19.7172545!4d-155.0800453!10e1!15sCg9mb29kIGluIGhpbG8gaGlaESIPZm9vZCBpbiBoaWxvIGhpkgETamFwYW5lc2VfcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   High chairs","null","Unassuming fixture serving elevated ramen bowls & Korean & Asian favorites in an informal space."
"1654896046-1743","https://www.google.com/maps/place/Kenichi+Restaurant/@19.7203276,-155.0970724,15z/data=!4m6!1m2!2m1!1sfood+in+hilo+hi!3m2!1s0x79524b5bb8641d93:0xfafd7e004ac3535f!15sCg9mb29kIGluIGhpbG8gaGlaESIPZm9vZCBpbiBoaWxvIGhpkgETamFwYW5lc2VfcmVzdGF1cmFudA","Kenichi Restaurant","4.6","restaurantkenichi.com","684 Kilauea Ave, Hilo, HI 96720","null","null","https://lh5.googleusercontent.com/p/AF1QipNpp5IgCOKxHwbix1RdpN6WqERof1SehXd2Bv6Q=w408-h306-k-no","null"
"1654896107-1749","https://www.google.com/maps/place/Liliuokalani+Gardens/@19.6959976,-155.1421205,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+hilo+hi!3m5!1s0x79524c9eda2be319:0x112029be93bb227a!8m2!3d19.726372!4d-155.068079!15sChd0aGluZ3MgdG8gZG8gaW4gaGlsbyBoaVoZIhd0aGluZ3MgdG8gZG8gaW4gaGlsbyBoaZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUjVNWFZpV0VkQkVBRQ","Liliuokalani Gardens","4.7","null","189 Lihiwai St #151, Hilo, HI 96720","null","null","https://lh5.googleusercontent.com/p/AF1QipNWOA_HI1zByxe1as9-27h11MOj9aC2bJ6tqlLN=w408-h306-k-no","null"
"1654896066-1745","https://www.google.com/maps/place/Imiloa+Astronomy+Center/@19.6869083,-155.270915,12z/data=!4m6!1m2!2m1!1sthings+to+do+in+hilo+hi!3m2!1s0x79524b366731d4b1:0x6dbb6eea0bdbaabc!15sChd0aGluZ3MgdG8gZG8gaW4gaGlsbyBoaVoZIhd0aGluZ3MgdG8gZG8gaW4gaGlsbyBoaZIBDnNjaWVuY2VfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5QWjFCbU1GbDNFQUU","Imiloa Astronomy Center","4.5","imiloahawaii.org","600 Imiloa Pl, Hilo, HI 96720","null","null","https://lh5.googleusercontent.com/p/AF1QipPcczHTefcJmJgeW92IcF_y3QZB0_WBAtRf6kvP=w408-h269-k-no","null"
"1654896076-1746","https://www.google.com/maps/place/Kaumana+Caves/@19.6869083,-155.270915,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+hilo+hi!3m6!1s0x7953b51d5103cc47:0x36614e182a36159e!8m2!3d19.6869083!4d-155.1308393!10e1!15sChd0aGluZ3MgdG8gZG8gaW4gaGlsbyBoaVoZIhd0aGluZ3MgdG8gZG8gaW4gaGlsbyBoaZIBCnN0YXRlX3BhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTnhielpMZFU1QkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Visitors to this tropical park can descend into a massive 1881 lava-tube cave formed by Mauna Loa."
"1654896056-1744","https://www.google.com/maps/place/Imiloa+Astronomy+Center/@19.6869083,-155.270915,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+hilo+hi!3m6!1s0x79524b366731d4b1:0x6dbb6eea0bdbaabc!8m2!3d19.7009138!4d-155.0886618!10e1!15sChd0aGluZ3MgdG8gZG8gaW4gaGlsbyBoaVoZIhd0aGluZ3MgdG8gZG8gaW4gaGlsbyBoaZIBDnNjaWVuY2VfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5QWjFCbU1GbDNFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   Restroom   Free Wi-Fi   Restaurant","null","Exhibits on astronomy & Hawaiian culture/history, plus a planetarium & gardens with native plants."
