web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654895868-1734","https://www.google.com/maps/place/Waikiki+Aquarium/@21.2657344,-158.1018395,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+honolulu!3m6!1s0x7c00726f8a23fe77:0x5d675fc4d3e91187!8m2!3d21.2657344!4d-157.8216881!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gaG9ub2x1bHVaGiIYdGhpbmdzIHRvIGRvIGluIGhvbm9sdWx1kgEIYXF1YXJpdW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXllblUzU20xM1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Small aquarium featuring 3,000+ Hawaiian & tropical Pacific marine animals, plus multiple exhibits."
"1654895889-1736","https://www.google.com/maps/place/Bishop+Museum/@21.3260896,-157.9669866,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+honolulu!3m6!1s0x7c006e887d0ca81d:0xb146e7a03296cbc9!8m2!3d21.3329195!4d-157.8706127!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gaG9ub2x1bHVaGiIYdGhpbmdzIHRvIGRvIGluIGhvbm9sdWx1kgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJ0ZVdGUU5YZEJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Museum showcases exhibits on Hawaiian & other Pacific Island cultures, plus features a planetarium."
"1654895899-1737","https://www.google.com/maps/place/Bishop+Museum/@21.3260896,-157.9669866,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+honolulu!3m2!1s0x7c006e887d0ca81d:0xb146e7a03296cbc9!15sChh0aGluZ3MgdG8gZG8gaW4gaG9ub2x1bHVaGiIYdGhpbmdzIHRvIGRvIGluIGhvbm9sdWx1kgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJ0ZVdGUU5YZEJSUkFC","Bishop Museum","4.6","bishopmuseum.org","1525 Bernice St, Honolulu, HI 96817","null","null","https://lh5.googleusercontent.com/p/AF1QipNI6WQ4eBr-A81WGQ3ylfwlCh3zlkNkXkegCe5V=w408-h306-k-no","null"
"1654895878-1735","https://www.google.com/maps/place/Waikiki+Aquarium/@21.2657344,-158.1018395,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+honolulu!3m5!1s0x7c00726f8a23fe77:0x5d675fc4d3e91187!8m2!3d21.2657344!4d-157.8216881!15sChh0aGluZ3MgdG8gZG8gaW4gaG9ub2x1bHVaGiIYdGhpbmdzIHRvIGRvIGluIGhvbm9sdWx1kgEIYXF1YXJpdW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXllblUzU20xM1JSQUI","Waikiki Aquarium","3.9","waikikiaquarium.org","2777 Kalakaua Ave, Honolulu, HI 96815","null","null","//lh5.googleusercontent.com/proxy/Yy-V1OrFZnU1Vc1MgRzb9ialZQMohOUhqRTAwgnpEjxjIjgMSwUxF5BwGFnZMJyvsqZA16Cq2XKuMXypexmNt1urVHypMJDXOf6wyaja6X593zVofwvD8zJLepCUBdt1eTpDCHSpwkuP31LjHK1M_2Uv9diYNw=w408-h270-k-no","null"
"1654895919-1739","https://www.google.com/maps/place/Honolulu+Zoo/@21.3260896,-157.9669866,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+honolulu!3m2!1s0x7c007270996bbf33:0xe61efec80f7e613a!15sChh0aGluZ3MgdG8gZG8gaW4gaG9ub2x1bHVaGiIYdGhpbmdzIHRvIGRvIGluIGhvbm9sdWx1kgEDem9vmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5MTUY5bFFUZEJSUkFC","Honolulu Zoo","4.2","honoluluzoo.org","151 Kapahulu Ave, Honolulu, HI 96815","null","null","https://lh5.googleusercontent.com/p/AF1QipOrDCBIP2R3bE9YA7vamQzNA9Tgra8TCDRzBN1n=w408-h272-k-no","null"
"1654895858-1733","https://www.google.com/maps/place/Ono+Seafood/@21.3035048,-157.8738821,13z/data=!4m9!1m2!2m1!1sfood+in+honolulu!3m5!1s0x7c006d8121b30587:0xa86d2a842f98cfaf!8m2!3d21.2810645!4d-157.8138443!15sChBmb29kIGluIGhvbm9sdWx1WhIiEGZvb2QgaW4gaG9ub2x1bHWSARJzZWFmb29kX3Jlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmhhalZmY1dKM0VBRQ","Ono Seafood","4.6","null","747 Kapahulu Ave, Honolulu, HI 96816","null","null","https://lh5.googleusercontent.com/p/AF1QipOqQN8e7SKvhto8hTFWXTSTnCJr7F9dTd-Ncn6n=w408-h306-k-no","null"
"1654895847-1732","https://www.google.com/maps/place/Ono+Seafood/@21.3035048,-157.8738821,13z/data=!4m10!1m2!2m1!1sfood+in+honolulu!3m6!1s0x7c006d8121b30587:0xa86d2a842f98cfaf!8m2!3d21.2810645!4d-157.8138443!10e1!15sChBmb29kIGluIGhvbm9sdWx1WhIiEGZvb2QgaW4gaG9ub2x1bHWSARJzZWFmb29kX3Jlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmhhalZmY1dKM0VBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Locals flock to this no-frills eatery for the variety of ahi poke & a chill, laid-back atmosphere."
"1654895930-1740","https://www.google.com/maps/place/Iolani+Palace/@21.3260896,-157.9669866,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+honolulu!3m6!1s0x7c006e7534be4cab:0x68b286145303e117!8m2!3d21.3067572!4d-157.8587697!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gaG9ub2x1bHVaGiIYdGhpbmdzIHRvIGRvIGluIGhvbm9sdWx1kgETaGlzdG9yaWNhbF9sYW5kbWFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReWVHUjVSa3hCRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Opulent 19th-century home of Hawaii’s last monarchs operating as a museum with tours & exhibits."
"1654895940-1741","https://www.google.com/maps/place/Iolani+Palace/@21.3260896,-157.9669866,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+honolulu!3m5!1s0x7c006e7534be4cab:0x68b286145303e117!8m2!3d21.3067572!4d-157.8587697!15sChh0aGluZ3MgdG8gZG8gaW4gaG9ub2x1bHVaGiIYdGhpbmdzIHRvIGRvIGluIGhvbm9sdWx1kgETaGlzdG9yaWNhbF9sYW5kbWFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReWVHUjVSa3hCRUFF","Iolani Palace","4.6","iolanipalace.org","364 S King St, Honolulu, HI 96813","null","null","//lh3.googleusercontent.com/proxy/Vrz2NnHFCvoL9sQ7CT_jt-6PLyn0hBEv2vowRLldfbt4A37R3o6I8anktuxRGXD7TkLTbMJCv0lk4uDXW43f7BPNE23olz8UcSduu_ow37GUziXxDADVeY3gUZ9GbwBT9pYH1yc-ArXRoAlMzuA5Ln2G4oCkmg=w408-h272-k-no","null"
"1654895909-1738","https://www.google.com/maps/place/Honolulu+Zoo/@21.3260896,-157.9669866,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+honolulu!3m6!1s0x7c007270996bbf33:0xe61efec80f7e613a!8m2!3d21.2710896!4d-157.8214785!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gaG9ub2x1bHVaGiIYdGhpbmdzIHRvIGRvIGluIGhvbm9sdWx1kgEDem9vmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5MTUY5bFFUZEJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Popular spot for families covers 42 acres with lush gardens, 900+ animals, a petting zoo & more."
