web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654896260-1756","https://www.google.com/maps/place/Kanaha+Beach+Park/@20.892607,-157.0466197,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+kahului!3m6!1s0x7954d2b245307951:0x4ac6400e9de876b4!8m2!3d20.8996987!4d-156.4405938!10e1!15sChd0aGluZ3MgdG8gZG8gaW4ga2FodWx1aVoZIhd0aGluZ3MgdG8gZG8gaW4ga2FodWx1aZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlhibTlRZW1OUkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Tranquil beach retreat offering swimming, picnicking & volleyball, plus kite & windsurfing areas."
"1654896249-1755","https://www.google.com/maps/place/Alexander+%26+Baldwin+Sugar+Museum/@20.892607,-157.0466197,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+kahului!3m2!1s0x7954d28d2e5af8d9:0xe6ba2b869caf9aa2!15sChd0aGluZ3MgdG8gZG8gaW4ga2FodWx1aVoZIhd0aGluZ3MgdG8gZG8gaW4ga2FodWx1aZIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSTk5XOHRiM1ZSUlJBQg","Alexander & Baldwin Sugar Museum","4.3","sugarmuseum.com","3957 Hansen Rd, Puunene, HI 96784","null","null","https://lh5.googleusercontent.com/p/AF1QipMr5zOKvf1XLnqwEHRu5rezjQIoR3UFlMjsTFoL=w408-h306-k-no","null"
"1654896280-1758","https://www.google.com/maps/place/Kanaha+Pond+State+Wildlife+Sanctuary/@20.892607,-157.0466197,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+kahului!3m6!1s0x7954d2c617a268e1:0x5d731ed63baca789!8m2!3d20.8882092!4d-156.4550603!10e1!15sChd0aGluZ3MgdG8gZG8gaW4ga2FodWx1aVoZIhd0aGluZ3MgdG8gZG8gaW4ga2FodWx1aZIBD3dpbGRsaWZlX3JlZnVnZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSdk1VeGZkbEpSRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","This natural area situated amid coastal wetlands provides a habitat for various indigenous birds."
"1654896239-1754","https://www.google.com/maps/place/Alexander+%26+Baldwin+Sugar+Museum/@20.892607,-157.0466197,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+kahului!3m6!1s0x7954d28d2e5af8d9:0xe6ba2b869caf9aa2!8m2!3d20.8692389!4d-156.4550287!10e1!15sChd0aGluZ3MgdG8gZG8gaW4ga2FodWx1aVoZIhd0aGluZ3MgdG8gZG8gaW4ga2FodWx1aZIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSTk5XOHRiM1ZSUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Gender-neutral restroom   Good for kids   Restroom   Restaurant","null","Exhibits explaining how sugar is grown, harvested & milled, in a former mill superintendent's home."
"1654896311-1761","https://www.google.com/maps/place/Maui+Nui+Botanical+Gardens/@20.8112962,-156.6304368,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+kahului!3m2!1s0x7954d32490dd00d5:0xbb077e51ae36b410!15sChd0aGluZ3MgdG8gZG8gaW4ga2FodWx1aVoZIhd0aGluZ3MgdG8gZG8gaW4ga2FodWx1aZIBEGJvdGFuaWNhbF9nYXJkZW6aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnRNamg2WXpsblJSQUI","Maui Nui Botanical Gardens","4.2","mnbg.org","150 Kanaloa Ave, Kahului, HI 96732","null","null","https://lh5.googleusercontent.com/p/AF1QipOHnwy6m9Tg-PIMUukR5m1nJuC1IARh_B6UGHml=w478-h240-k-no","null"
"1654896229-1753","https://www.google.com/maps/place/Tiki+Tiki+Thai+Cuisine/@20.880575,-156.4901623,14z/data=!3m1!5s0x7954d2c0345bbc71:0x1c65449a3f419f06!4m9!1m2!2m1!1sfood+in+kahului!3m5!1s0x7954d2c03322b8db:0x6da50f5cd964437d!8m2!3d20.8843278!4d-156.453739!15sCg9mb29kIGluIGthaHVsdWlaESIPZm9vZCBpbiBrYWh1bHVpkgEPdGhhaV9yZXN0YXVyYW50","Tiki Tiki Thai Cuisine","4.1","tikithaimaui.com","395 Dairy Rd, Kahului, HI 96732","null","null","https://lh5.googleusercontent.com/p/AF1QipPr2A1g1uToE4eCQTIKVbOnDwoiEsZ5-Ur-MWIo=w426-h240-k-no","null"
"1654896270-1757","https://www.google.com/maps/place/Kanaha+Beach+Park/@20.892607,-157.0466197,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+kahului!3m5!1s0x7954d2b245307951:0x4ac6400e9de876b4!8m2!3d20.8996987!4d-156.4405938!15sChd0aGluZ3MgdG8gZG8gaW4ga2FodWx1aVoZIhd0aGluZ3MgdG8gZG8gaW4ga2FodWx1aZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlhibTlRZW1OUkVBRQ","Kanaha Beach Park","4.6","co.maui.hi.us","Amala Pl, Kahului, HI 96732","null","null","https://lh5.googleusercontent.com/p/AF1QipO98Rl40QsPGCp-7whqvlk1UgOIv1l2aQZ12pM=w408-h306-k-no","null"
"1654896218-1752","https://www.google.com/maps/place/Tiki+Tiki+Thai+Cuisine/@20.880575,-156.4901623,14z/data=!3m1!5s0x7954d2c0345bbc71:0x1c65449a3f419f06!4m10!1m2!2m1!1sfood+in+kahului!3m6!1s0x7954d2c03322b8db:0x6da50f5cd964437d!8m2!3d20.8843278!4d-156.453739!10e1!15sCg9mb29kIGluIGthaHVsdWlaESIPZm9vZCBpbiBrYWh1bHVpkgEPdGhhaV9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   High chairs","null","Pad Thai, curries & other familiar Thai dishes are prepared in a simple, cozy interior."
"1654896291-1759","https://www.google.com/maps/place/Kanaha+Pond+State+Wildlife+Sanctuary/@20.892607,-157.0466197,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+kahului!3m2!1s0x7954d2c617a268e1:0x5d731ed63baca789!15sChd0aGluZ3MgdG8gZG8gaW4ga2FodWx1aVoZIhd0aGluZ3MgdG8gZG8gaW4ga2FodWx1aZIBD3dpbGRsaWZlX3JlZnVnZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSdk1VeGZkbEpSRUFF","Kanaha Pond State Wildlife Sanctuary","4.1","null","Amala Pl, Kahului, HI 96732","null","null","https://lh5.googleusercontent.com/p/AF1QipNuloIJ6uPGCcdT8nE8bnRBTQ63n4SCFhxdS_1y=w408-h305-k-no","null"
"1654896301-1760","https://www.google.com/maps/place/Maui+Nui+Botanical+Gardens/@20.892607,-157.0466197,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+kahului!3m6!1s0x7954d32490dd00d5:0xbb077e51ae36b410!8m2!3d20.892607!4d-156.486317!10e1!15sChd0aGluZ3MgdG8gZG8gaW4ga2FodWx1aVoZIhd0aGluZ3MgdG8gZG8gaW4ga2FodWx1aZIBEGJvdGFuaWNhbF9nYXJkZW6aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnRNamg2WXpsblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible parking lot","Amenities    Good for kids","null","Garden showcasing the native & Polynesian-introduced plants of Hawaii, with guided tours available."
