web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654896585-1769","https://www.google.com/maps/place/Kalama+Beach+Park/@21.397396,-159.9684288,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+kailua!3m5!1s0x7c00152043a4be15:0xe147e532a088bcb8!8m2!3d21.4046178!4d-157.7397145!15sChZ0aGluZ3MgdG8gZG8gaW4ga2FpbHVhWhgiFnRoaW5ncyB0byBkbyBpbiBrYWlsdWGSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU0wZG5RMk1IaFJSUkFC","Kalama Beach Park","4.7","honolulu.gov","248 N Kalaheo Ave, Kailua, HI 96734","null","null","https://lh5.googleusercontent.com/p/AF1QipPa_bcKZknCu5CFwmG3MF633aTRMlI7tC1HrcUC=w408-h271-k-no","null"
"1654896555-1766","https://www.google.com/maps/place/Kailua+Beach+Park/@21.397396,-159.9684288,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+kailua!3m6!1s0x7c0014fcc76127dd:0x376e262edd16fce0!8m2!3d21.397396!4d-157.7272179!10e1!15sChZ0aGluZ3MgdG8gZG8gaW4ga2FpbHVhWhgiFnRoaW5ncyB0byBkbyBpbiBrYWlsdWGSAQljaXR5X3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkxOWEZEWlMxM1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Clear water, fine sand & accessible facilities make this a popular spot for aquatic activities."
"1654896575-1768","https://www.google.com/maps/place/Kalama+Beach+Park/@21.397396,-159.9684288,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+kailua!3m6!1s0x7c00152043a4be15:0xe147e532a088bcb8!8m2!3d21.4046178!4d-157.7397145!10e1!15sChZ0aGluZ3MgdG8gZG8gaW4ga2FpbHVhWhgiFnRoaW5ncyB0byBkbyBpbiBrYWlsdWGSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU0wZG5RMk1IaFJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Broad beach with mountain views on 4 acres with facilities, an outdoor shower & a shaded grassy area"
"1654896565-1767","https://www.google.com/maps/place/Kailua+Beach+Park/@21.397396,-159.9684288,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+kailua!3m5!1s0x7c0014fcc76127dd:0x376e262edd16fce0!8m2!3d21.397396!4d-157.7272179!15sChZ0aGluZ3MgdG8gZG8gaW4ga2FpbHVhWhgiFnRoaW5ncyB0byBkbyBpbiBrYWlsdWGSAQljaXR5X3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkxOWEZEWlMxM1JSQUI","Kailua Beach Park","4.7","honolulu.gov","526 Kawailoa Rd, Kailua, HI 96734","null","null","https://lh5.googleusercontent.com/p/AF1QipNegUqq-AJB1DIusbnnLzYfYZpcuemmGOHQrxUS=w426-h240-k-no","null"
"1654896514-1762","https://www.google.com/maps/place/Uahi+Island+Grill/@21.4007869,-157.7562571,14z/data=!4m10!1m2!2m1!1sfood+in+kailua!3m6!1s0x7c0014dcca83e7b1:0x838f5b2eedb34f14!8m2!3d21.396138!4d-157.742975!10e1!15sCg5mb29kIGluIGthaWx1YVoQIg5mb29kIGluIGthaWx1YZIBCnJlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom","null","Contemporary Hawaiian fare, plus plate lunches & Sunday brunch in a cozy, casual setting."
"1654896524-1763","https://www.google.com/maps/place/Uahi+Island+Grill/@21.4007869,-157.7562571,14z/data=!3m1!5s0x7c0014dcb522a43b:0x575a0a2570cb1b74!4m6!1m2!2m1!1sfood+in+kailua!3m2!1s0x7c0014dcca83e7b1:0x838f5b2eedb34f14!15sCg5mb29kIGluIGthaWx1YVoQIg5mb29kIGluIGthaWx1YZIBCnJlc3RhdXJhbnQ","Uahi Island Grill","4.4","uahiislandgrill.com","33 Aulike St, Kailua, HI 96734","null","null","https://lh5.googleusercontent.com/p/AF1QipPsTxU8hJ0faR6RJq8Khi6T9CFxiA-ZSjrypqk8=w408-h272-k-no","null"
"1654896606-1771","https://www.google.com/maps/place/Lanikai+Pillbox/@21.397396,-159.9684288,8z/data=!4m6!1m2!2m1!1sthings+to+do+in+kailua!3m2!1s0x7c0014f7ab4d2761:0xc586727ccfefbd4a!15sChZ0aGluZ3MgdG8gZG8gaW4ga2FpbHVhWhgiFnRoaW5ncyB0byBkbyBpbiBrYWlsdWGSAQtzY2VuaWNfc3BvdJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOWE5UZExZMXBuRUFF","Lanikai Pillbox","4.9","lanikaipillbox.com","Kailua, HI 96734","null","null","https://lh5.googleusercontent.com/p/AF1QipNEnOw--2S1w1Z9G3n_avyM07QT_WPalhPufwli=w408-h544-k-no","null"
"1654896596-1770","https://www.google.com/maps/place/Lanikai+Pillbox/@21.397396,-159.9684288,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+kailua!3m6!1s0x7c0014f7ab4d2761:0xc586727ccfefbd4a!8m2!3d21.3855953!4d-157.7166534!10e1!15sChZ0aGluZ3MgdG8gZG8gaW4ga2FpbHVhWhgiFnRoaW5ncyB0byBkbyBpbiBrYWlsdWGSAQtzY2VuaWNfc3BvdJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOWE5UZExZMXBuRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance","null","null","Popular hiking trail over easygoing terrain overlooking Kailua Bay & the Ko’olau Mountains."
"1654896544-1765","https://www.google.com/maps/place/Pillbox+Hike/@21.397396,-159.9684288,8z/data=!4m6!1m2!2m1!1sthings+to+do+in+kailua!3m2!1s0x7c0014f9ed024149:0x7fa4fc39bdb1f0ce!15sChZ0aGluZ3MgdG8gZG8gaW4ga2FpbHVhWhgiFnRoaW5ncyB0byBkbyBpbiBrYWlsdWGSAQtoaWtpbmdfYXJlYZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOSGFDMTZOekpuUlJBQg","Pillbox Hike","4.8","null","265 Kaelepulu Dr, Kailua, HI 96734","null","null","https://lh5.googleusercontent.com/p/AF1QipN2IUPCXFvoWhyC34WYe1JqzVqL8TynZ-9bbO18=w408-h271-k-no","null"
"1654896534-1764","https://www.google.com/maps/place/Pillbox+Hike/@21.397396,-159.9684288,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+kailua!3m6!1s0x7c0014f9ed024149:0x7fa4fc39bdb1f0ce!8m2!3d21.3901479!4d-157.7194376!10e1!15sChZ0aGluZ3MgdG8gZG8gaW4ga2FpbHVhWhgiFnRoaW5ncyB0byBkbyBpbiBrYWlsdWGSAQtoaWtpbmdfYXJlYZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOSGFDMTZOekpuUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","null","null","This short, sometimes narrow trail features 2 military bunkers & a panoramic view of Lanikai Beach."
