web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654896767-1779","https://www.google.com/maps/place/iTrampoline+Hawaii/@21.3966216,-158.0468368,13z/data=!4m9!1m2!2m1!1sthings+to+do+in+waipahu!3m5!1s0x7c007cd3795d61ed:0x974478ce6ff3705e!8m2!3d21.3771117!4d-158.0200856!15sChd0aGluZ3MgdG8gZG8gaW4gd2FpcGFodVoZIhd0aGluZ3MgdG8gZG8gaW4gd2FpcGFodZIBEGFtdXNlbWVudF9jZW50ZXKaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTmhhMHhFVkhoUlJSQUI","iTrampoline Hawaii","4.2","itrampolinehawaii.com","94-157 Leoleo St, Waipahu, HI 96797","null","null","https://lh5.googleusercontent.com/p/AF1QipPuyT0rhRq-am2aNKUXGubxRyl-0BQ3G6iVBMtf=w408-h543-k-no","null"
"1654896747-1777","https://www.google.com/maps/place/Patsy+T.+Mink+Central+O%CA%BBahu+Regional+Park/@21.3966216,-158.0468368,13z/data=!4m6!1m2!2m1!1sthings+to+do+in+waipahu!3m2!1s0x7c00668c9d2212ab:0x21175bca22e507cc!15sChd0aGluZ3MgdG8gZG8gaW4gd2FpcGFodVoZIhd0aGluZ3MgdG8gZG8gaW4gd2FpcGFodZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXlOblp0WjFGbkVBRQ","Patsy T. Mink Central Oʻahu Regional Park","4.5","null","94-801 Kamehameha Hwy, Waipahu, HI 96797","null","null","https://lh5.googleusercontent.com/p/AF1QipNIVBIwM7ZflxMZmGblfYd30sdgGcFIciFCHz4h=w408-h306-k-no","null"
"1654896726-1775","https://www.google.com/maps/place/Highway+Inn+Restaurant,+Catering+and+Seafood/@21.3888443,-158.0228611,15z/data=!4m6!1m2!2m1!1sfood+in+waipahu!3m2!1s0x7c006415f248ddd5:0x94cbf9050431ec25!15sCg9mb29kIGluIHdhaXBhaHVaESIPZm9vZCBpbiB3YWlwYWh1kgERZmFtaWx5X3Jlc3RhdXJhbnQ","Highway Inn Restaurant, Catering and Seafood","4.6","myhighwayinn.com","94-830 Moloalo St #101, Waipahu, HI 96797","null","null","https://lh5.googleusercontent.com/p/AF1QipMRyLcvTz3mg-gZOobX3JAp-ybuQrqvifGfPOUR=w456-h240-k-no","null"
"1654896788-1781","https://www.google.com/maps/place/Hawaii's+Plantation+Village/@21.3966216,-158.0468368,13z/data=!4m9!1m2!2m1!1sthings+to+do+in+waipahu!3m5!1s0x7c00642ff5715a11:0x2b06a28ebe6ad3c4!8m2!3d21.3852686!4d-158.0118644!15sChd0aGluZ3MgdG8gZG8gaW4gd2FpcGFodVoZIhd0aGluZ3MgdG8gZG8gaW4gd2FpcGFodZIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOaE5WbHBPR2xSUlJBQg","Hawaii's Plantation Village","4.6","hawaiiplantationvillage.org","94-695 Waipahu St Ext, Waipahu, HI 96797","null","null","https://lh5.googleusercontent.com/p/AF1QipOnRHB5FyGO1JXc2JKkQJGTbxVcYw6skjCVOOpb=w408-h306-k-no","null"
"1654896736-1776","https://www.google.com/maps/place/Patsy+T.+Mink+Central+O%CA%BBahu+Regional+Park/@21.3966216,-158.0468368,13z/data=!4m10!1m2!2m1!1sthings+to+do+in+waipahu!3m6!1s0x7c00668c9d2212ab:0x21175bca22e507cc!8m2!3d21.4159484!4d-158.0075087!10e1!15sChd0aGluZ3MgdG8gZG8gaW4gd2FpcGFodVoZIhd0aGluZ3MgdG8gZG8gaW4gd2FpcGFodZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXlOblp0WjFGbkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Vast park with a tennis & aquatic center, baseball diamonds, archery range & other athletic fields."
"1654896695-1772","https://www.google.com/maps/place/Leeward+Drive-Inn/@21.3814719,-158.0350321,15z/data=!4m10!1m2!2m1!1sfood+in+waipahu!3m6!1s0x7c00643b85f50231:0xa17624bc19aadf48!8m2!3d21.3814406!4d-158.0176006!10e1!15sCg9mb29kIGluIHdhaXBhaHVaESIPZm9vZCBpbiB3YWlwYWh1kgETaGF3YWlpYW5fcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Bare-bones counter-serve spot offering casual Asian, Hawaiian & American fare & early-morning hours."
"1654896716-1774","https://www.google.com/maps/place/Highway+Inn+Restaurant,+Catering+and+Seafood/@21.3888443,-158.0228611,15z/data=!4m10!1m2!2m1!1sfood+in+waipahu!3m6!1s0x7c006415f248ddd5:0x94cbf9050431ec25!8m2!3d21.3848551!4d-158.0035505!10e1!15sCg9mb29kIGluIHdhaXBhaHVaESIPZm9vZCBpbiB3YWlwYWh1kgERZmFtaWx5X3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom   Free Wi-Fi","null","Kalua pig, lau lau & beef stew is served in an old-fashioned diner space with down-home charm."
"1654896705-1773","https://www.google.com/maps/place/Leeward+Drive-Inn/@21.3888443,-158.0228611,15z/data=!4m9!1m2!2m1!1sfood+in+waipahu!3m5!1s0x7c00643b85f50231:0xa17624bc19aadf48!8m2!3d21.3814406!4d-158.0176006!15sCg9mb29kIGluIHdhaXBhaHVaESIPZm9vZCBpbiB3YWlwYWh1kgETaGF3YWlpYW5fcmVzdGF1cmFudA","Leeward Drive-Inn","4.3","leewarddriveinn.com","94-209 Pupukahi St, Waipahu, HI 96797","null","null","https://lh5.googleusercontent.com/p/AF1QipMHj78AkCj-xeSl4j_1EuBIKviWHiG7k3FZRHbi=w408-h544-k-no","null"
"1654896757-1778","https://www.google.com/maps/place/iTrampoline+Hawaii/@21.3966216,-158.0468368,13z/data=!4m10!1m2!2m1!1sthings+to+do+in+waipahu!3m6!1s0x7c007cd3795d61ed:0x974478ce6ff3705e!8m2!3d21.3771117!4d-158.0200856!10e1!15sChd0aGluZ3MgdG8gZG8gaW4gd2FpcGFodVoZIhd0aGluZ3MgdG8gZG8gaW4gd2FpcGFodZIBEGFtdXNlbWVudF9jZW50ZXKaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTmhhMHhFVkhoUlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Gender-neutral restroom   Good for kids   Restroom   Free Wi-Fi   Restaurant","null","Large indoor playground featuring a variety of trampoline games, including dodgeball & basketball."
"1654896777-1780","https://www.google.com/maps/place/Hawaii's+Plantation+Village/@21.3966216,-158.0468368,13z/data=!4m10!1m2!2m1!1sthings+to+do+in+waipahu!3m6!1s0x7c00642ff5715a11:0x2b06a28ebe6ad3c4!8m2!3d21.3852686!4d-158.0118644!10e1!15sChd0aGluZ3MgdG8gZG8gaW4gd2FpcGFodVoZIhd0aGluZ3MgdG8gZG8gaW4gd2FpcGFodZIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOaE5WbHBPR2xSUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Guides take visitors on a tour of a re-created 1900s sugar plantation with 25 buildings & homes."
