web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654893582-1629","https://www.google.com/maps/place/Indian+Creek+Nature+Center/@41.9788895,-91.9444902,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+cedar+rapids+ia!3m6!1s0x87e4f43f956061d9:0xc3e9342ba21e841a!8m2!3d41.966607!4d-91.589038!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gY2VkYXIgcmFwaWRzIGlhWiEiH3RoaW5ncyB0byBkbyBpbiBjZWRhciByYXBpZHMgaWGSAQ9uYXR1cmVfcHJlc2VydmWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXlORkJMTlcxblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   Public restroom","null","Nature preserve with scenic trails & educational events, plus a sustainable building with exhibits."
"1654893540-1625","https://www.google.com/maps/place/Bever+Park/@41.9788895,-91.9444902,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+cedar+rapids+ia!3m6!1s0x87e4f12d7ca431f1:0x5cb7c896fdc61d30!8m2!3d41.984249!4d-91.6278595!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gY2VkYXIgcmFwaWRzIGlhWiEiH3RoaW5ncyB0byBkbyBpbiBjZWRhciByYXBpZHMgaWGSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5YXpkRVNIbDNSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Expansive park with facilities for tennis & softball, plus an ice rink & swimming pool."
"1654893612-1632","https://www.google.com/maps/place/Cedar+Rapids+Museum+of+Art/@41.9726173,-91.7518927,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+cedar+rapids+ia!3m2!1s0x87e4f74fbbebc989:0xcc7a2644e683ac11!15sCh90aGluZ3MgdG8gZG8gaW4gY2VkYXIgcmFwaWRzIGlhWiEiH3RoaW5ncyB0byBkbyBpbiBjZWRhciByYXBpZHMgaWGSAQphcnRfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU50ZG05eWFuUm5SUkFC","Cedar Rapids Museum of Art","4.6","crma.org","410 3rd Ave SE, Cedar Rapids, IA 52401","null","null","https://lh5.googleusercontent.com/p/AF1QipOLJQtHKRvpUd1xgbFefTdx_wzx8yt-FAVOK8Bc=w408-h271-k-no","null"
"1654893571-1628","https://www.google.com/maps/place/African+American+Museum+Of+Iowa/@41.9788895,-91.9444902,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+cedar+rapids+ia!3m5!1s0x87e4f741ba1b2845:0xf19f0785d4f0d4fd!8m2!3d41.9687324!4d-91.6597016!15sCh90aGluZ3MgdG8gZG8gaW4gY2VkYXIgcmFwaWRzIGlhWiEiH3RoaW5ncyB0byBkbyBpbiBjZWRhciByYXBpZHMgaWGSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlZOMDVMUldSUkVBRQ","African American Museum Of Iowa","4.7","blackiowa.org","55 12th Ave SE, Cedar Rapids, IA 52401","null","null","https://lh5.googleusercontent.com/p/AF1QipMeTMh8PIzJjDjCfvDuaGqdzmUuaLW7w2TN42Yr=w408-h272-k-no","null"
"1654893561-1627","https://www.google.com/maps/place/African+American+Museum+Of+Iowa/@41.9788895,-91.9444902,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+cedar+rapids+ia!3m6!1s0x87e4f741ba1b2845:0xf19f0785d4f0d4fd!8m2!3d41.9687324!4d-91.6597016!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gY2VkYXIgcmFwaWRzIGlhWiEiH3RoaW5ncyB0byBkbyBpbiBjZWRhciByYXBpZHMgaWGSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlZOMDVMUldSUkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restroom   Restaurant","null","Museum celebrating the heritage of African Americans in Iowa through exhibits, events & workshops."
"1654893592-1630","https://www.google.com/maps/place/Indian+Creek+Nature+Center/@41.9788895,-91.9444902,11z/data=!3m1!5s0x87e4f74fa576cf33:0x218aa72cc530d20!4m6!1m2!2m1!1sthings+to+do+in+cedar+rapids+ia!3m2!1s0x87e4f43f956061d9:0xc3e9342ba21e841a!15sCh90aGluZ3MgdG8gZG8gaW4gY2VkYXIgcmFwaWRzIGlhWiEiH3RoaW5ncyB0byBkbyBpbiBjZWRhciByYXBpZHMgaWGSAQ9uYXR1cmVfcHJlc2VydmWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXlORkJMTlcxblJSQUI","Indian Creek Nature Center","4.8","indiancreeknaturecenter.org","5300 Otis Rd SE, Cedar Rapids, IA 52403","null","null","https://lh5.googleusercontent.com/p/AF1QipPNyIF6juvNjlA3I8JoD8kQy_41xeJhtM7Hgix5=w408-h272-k-no","null"
"1654893551-1626","https://www.google.com/maps/place/Bever+Park/@41.9788895,-91.9444902,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+cedar+rapids+ia!3m5!1s0x87e4f12d7ca431f1:0x5cb7c896fdc61d30!8m2!3d41.984249!4d-91.6278595!15sCh90aGluZ3MgdG8gZG8gaW4gY2VkYXIgcmFwaWRzIGlhWiEiH3RoaW5ncyB0byBkbyBpbiBjZWRhciByYXBpZHMgaWGSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5YXpkRVNIbDNSUkFC","Bever Park","4.6","cedar-rapids.org","2700 Bever Ave SE, Cedar Rapids, IA 52403","null","null","https://lh5.googleusercontent.com/p/AF1QipPtbbafG4vmKhtn8FH0rXTEnYUC28XVXuxx5hU=w408-h306-k-no","null"
"1654893530-1624","https://www.google.com/maps/place/Vivian's+Soul+Food/@41.9898369,-91.7406032,12z/data=!4m6!1m2!2m1!1sfood+in+cedar+rapids+ia!3m2!1s0x87e4f91310575cef:0xb388862f1acc2a60!15sChdmb29kIGluIGNlZGFyIHJhcGlkcyBpYVoZIhdmb29kIGluIGNlZGFyIHJhcGlkcyBpYZIBFHNvdWxfZm9vZF9yZXN0YXVyYW50","Vivian's Soul Food","4.6","vivianssoulfoodcr.com","2925 Williams Pkwy SW, Cedar Rapids, IA 52404","null","null","https://lh5.googleusercontent.com/p/AF1QipOR1iXddNEsw9EmuepRCxh03reRKwI69-vFiOnn=w408-h408-k-no","null"
"1654893520-1623","https://www.google.com/maps/place/Vivian's+Soul+Food/@41.9612354,-91.8500567,12z/data=!4m10!1m2!2m1!1sfood+in+cedar+rapids+ia!3m6!1s0x87e4f91310575cef:0xb388862f1acc2a60!8m2!3d41.9612354!4d-91.709981!10e1!15sChdmb29kIGluIGNlZGFyIHJhcGlkcyBpYVoZIhdmb29kIGluIGNlZGFyIHJhcGlkcyBpYZIBFHNvdWxfZm9vZF9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   High chairs","null","Family-owned stop serving traditional Southern soul staples such as fried chicken & collards."
"1654893602-1631","https://www.google.com/maps/place/Cedar+Rapids+Museum+of+Art/@41.9788895,-91.9444902,11z/data=!3m1!5s0x87e4f74fa576cf33:0x218aa72cc530d20!4m10!1m2!2m1!1sthings+to+do+in+cedar+rapids+ia!3m6!1s0x87e4f74fbbebc989:0xcc7a2644e683ac11!8m2!3d41.9788895!4d-91.6643388!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gY2VkYXIgcmFwaWRzIGlhWiEiH3RoaW5ncyB0byBkbyBpbiBjZWRhciByYXBpZHMgaWGSAQphcnRfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU50ZG05eWFuUm5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Over 7,000 works on display with emphasis on 20th-century American art plus classes for all ages."
