web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654893627-559","https://www.google.com/maps/place/Sunderbruch+Park/@41.542833,-90.7337453,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+davenport+ia!3m5!1s0x87e3cc7a9855a9c9:0xf96d894769b245d4!8m2!3d41.5201216!4d-90.6424882!15sChx0aGluZ3MgdG8gZG8gaW4gZGF2ZW5wb3J0IGlhWh4iHHRoaW5ncyB0byBkbyBpbiBkYXZlbnBvcnQgaWGSAQljaXR5X3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXlPVkJFVERKM1JSQUI","Sunderbruch Park","4.7","cityofdavenportiowa.com","4675 Telegraph Rd, Davenport, IA 52804","null","null","https://lh5.googleusercontent.com/p/AF1QipPH6A9_FhRhy8tVXDaT_Zqe0HAoTbV5qzXPXRTr=w408-h306-k-no","null"
"1654893617-558","https://www.google.com/maps/place/Sunderbruch+Park/@41.5201216,-90.9226396,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+davenport+ia!3m6!1s0x87e3cc7a9855a9c9:0xf96d894769b245d4!8m2!3d41.5201216!4d-90.6424882!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gZGF2ZW5wb3J0IGlhWh4iHHRoaW5ncyB0byBkbyBpbiBkYXZlbnBvcnQgaWGSAQljaXR5X3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXlPVkJFVERKM1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Public park featuring trails for hiking, horseback riding & biking plus picnic shelters."
"1654893596-556","https://www.google.com/maps/place/The+Filling+Station/@41.5572671,-90.6056603,13z/data=!4m10!1m2!2m1!1sfood+in+davenport+ia!3m6!1s0x87e234fb83ce20ff:0x9f24b8f2bef2ab14!8m2!3d41.5544907!4d-90.5705516!10e1!15sChRmb29kIGluIGRhdmVucG9ydCBpYVoWIhRmb29kIGluIGRhdmVucG9ydCBpYZIBE2FtZXJpY2FuX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs","null","Lively, gas station–themed bar & grill offering hearty pub grub, draft beers & mixed drinks."
"1654893658-562","https://www.google.com/maps/place/Putnam+Museum+and+Science+Center/@41.542833,-90.7337453,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+davenport+ia!3m6!1s0x87e3cb4d3bb8ffef:0xdb9ecb62106facad!8m2!3d41.5312858!4d-90.6019776!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gZGF2ZW5wb3J0IGlhSNmBpANaHiIcdGhpbmdzIHRvIGRvIGluIGRhdmVucG9ydCBpYWIJCXHXl4pouRwPkgEOc2NpZW5jZV9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlhNR0ZMYWpkQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair rental","Amenities    Good for kids   Restroom   Restaurant","null","Historic educational venue offers regional natural history & science exhibits, films & performances."
"1654893647-561","https://www.google.com/maps/place/Vander+Veer+Botanical+Park/@41.542833,-90.7337453,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+davenport+ia!3m5!1s0x87e234edc7d00529:0x81847468b1231ba1!8m2!3d41.5442018!4d-90.5748458!15sChx0aGluZ3MgdG8gZG8gaW4gZGF2ZW5wb3J0IGlhWh4iHHRoaW5ncyB0byBkbyBpbiBkYXZlbnBvcnQgaWGSARBib3RhbmljYWxfZ2FyZGVumgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJuT1RaZmRHNVJSUkFC","Vander Veer Botanical Park","4.7","davenportiowa.com","215 W Central Park Ave, Davenport, IA 52803","null","null","https://lh5.googleusercontent.com/p/AF1QipPm004O4uMe5b6REluj9eq8aoNT-I8eB83JVWTK=w426-h240-k-no","null"
"1654893688-565","https://www.google.com/maps/place/Figge+Art+Museum/@41.542833,-90.7337453,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+davenport+ia!3m5!1s0x87e2349d91558495:0xb764ff794b228de8!8m2!3d41.5207074!4d-90.5763277!15sChx0aGluZ3MgdG8gZG8gaW4gZGF2ZW5wb3J0IGlhWh4iHHRoaW5ncyB0byBkbyBpbiBkYXZlbnBvcnQgaWGSAQphcnRfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJIY1ZCaVJqUjNSUkFC","Figge Art Museum","4.6","figgeartmuseum.org","225 W 2nd St, Davenport, IA 52801","null","null","https://lh5.googleusercontent.com/p/AF1QipNbSC20wN-ALFFmDMQZ_Gs66a-Pkln-AYhF_Grx=w408-h306-k-no","null"
"1654893607-557","https://www.google.com/maps/place/The+Filling+Station/@41.5572671,-90.6056603,13z/data=!4m9!1m2!2m1!1sfood+in+davenport+ia!3m5!1s0x87e234fb83ce20ff:0x9f24b8f2bef2ab14!8m2!3d41.5544907!4d-90.5705516!15sChRmb29kIGluIGRhdmVucG9ydCBpYVoWIhRmb29kIGluIGRhdmVucG9ydCBpYZIBE2FtZXJpY2FuX3Jlc3RhdXJhbnQ","The Filling Station","4.4","thefillingstationdavenportiowa.com","305 E 35th St, Davenport, IA 52806","null","null","https://lh5.googleusercontent.com/p/AF1QipMmHAVRT5UVz3zb2TE3jHSYbb5D3AVwC_RkJDLL=w426-h240-k-no","null"
"1654893637-560","https://www.google.com/maps/place/Vander+Veer+Botanical+Park/@41.542833,-90.7337453,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+davenport+ia!3m6!1s0x87e234edc7d00529:0x81847468b1231ba1!8m2!3d41.5442018!4d-90.5748458!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gZGF2ZW5wb3J0IGlhWh4iHHRoaW5ncyB0byBkbyBpbiBkYXZlbnBvcnQgaWGSARBib3RhbmljYWxfZ2FyZGVumgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJuT1RaZmRHNVJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Sprawling circa-1885 park featuring a historic rose garden, seasonal greenhouse shows & a duck pond."
"1654893678-564","https://www.google.com/maps/place/Figge+Art+Museum/@41.542833,-90.7337453,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+davenport+ia!3m6!1s0x87e2349d91558495:0xb764ff794b228de8!8m2!3d41.5207074!4d-90.5763277!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gZGF2ZW5wb3J0IGlhWh4iHHRoaW5ncyB0byBkbyBpbiBkYXZlbnBvcnQgaWGSAQphcnRfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJIY1ZCaVJqUjNSUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Prominent art museum with a Frank Lloyd Wright collection, many international works & a gift shop."
"1654893668-563","https://www.google.com/maps/place/Putnam+Museum+and+Science+Center/@41.542833,-90.7337453,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+davenport+ia!3m5!1s0x87e3cb4d3bb8ffef:0xdb9ecb62106facad!8m2!3d41.5312858!4d-90.6019776!15sChx0aGluZ3MgdG8gZG8gaW4gZGF2ZW5wb3J0IGlhSNmBpANaHiIcdGhpbmdzIHRvIGRvIGluIGRhdmVucG9ydCBpYWIJCXHXl4pouRwPkgEOc2NpZW5jZV9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlhNR0ZMYWpkQlJSQUI","Putnam Museum and Science Center","4.6","putnam.org","1717 W 12th St, Davenport, IA 52804","null","null","https://lh5.googleusercontent.com/p/AF1QipOidaOFKy_R6uZzazX3pDW5T2afU-sQPQHTsvQp=w408-h306-k-no","null"
