web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654893827-572","https://www.google.com/maps/place/Dubuque+Arboretum+%26+Botanical+Gardens/@42.4769307,-91.0007859,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+dubuque!3m6!1s0x87e32d222335f90b:0x72e0e9e46abc439a!8m2!3d42.532795!4d-90.7164486!10e1!15sChd0aGluZ3MgdG8gZG8gaW4gZHVidXF1ZVoZIhd0aGluZ3MgdG8gZG8gaW4gZHVidXF1ZZIBCWFyYm9yZXR1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOdE1GQklaR3hCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Scenic 56-acre community space with 60+ types of gardens, plus a playground, trails, tours & events."
"1654893847-574","https://www.google.com/maps/place/National+Mississippi+River+Museum+%26+Aquarium/@42.4769307,-91.0007859,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+dubuque!3m6!1s0x87e32b96f3a63363:0x68e161b6c4dcbb4d!8m2!3d42.4968962!4d-90.6613755!10e1!15sChd0aGluZ3MgdG8gZG8gaW4gZHVidXF1ZVoZIhd0aGluZ3MgdG8gZG8gaW4gZHVidXF1ZZIBCGFxdWFyaXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15YjNKTFFrNTNFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids","null","Cafe, aquarium, boatyard, cinema & exhibits exploring life in & around America's riverways."
"1654893776-567","https://www.google.com/maps/place/Oolong+Asian+Cuisine/@42.5043034,-90.7478841,13z/data=!4m9!1m2!2m1!1sfood+in+dubuque!3m5!1s0x87e32b84cabf2a13:0x5091f625f895e83e!8m2!3d42.5036335!4d-90.667898!15sCg9mb29kIGluIGR1YnVxdWVaESIPZm9vZCBpbiBkdWJ1cXVlkgEUcGFuX2FzaWFuX3Jlc3RhdXJhbnQ","Oolong Asian Cuisine","4.7","loveoolong.com","145 W 11th St, Dubuque, IA 52001","null","null","https://lh5.googleusercontent.com/p/AF1QipPIdIOQ2969-3_pP7wNOW7STwGviW3-DaEzEGdi=w408-h272-k-no","null"
"1654893806-570","https://www.google.com/maps/place/Dubuque+Shot+Tower/@42.4769307,-91.0007859,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+dubuque!3m6!1s0x87e32ba35327fe3b:0x84608e5b974f776b!8m2!3d42.5000745!4d-90.6539856!10e1!15sChd0aGluZ3MgdG8gZG8gaW4gZHVidXF1ZVoZIhd0aGluZ3MgdG8gZG8gaW4gZHVidXF1ZZIBEnRvdXJpc3RfYXR0cmFjdGlvbpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOeGFHRnlWa3BCRUFF","null","null","null","null","null","Amenities    Good for kids","null","Built in 1856, this 120-ft. tower was used to produce spherical lead shot for use in muskets."
"1654893857-575","https://www.google.com/maps/place/National+Mississippi+River+Museum+%26+Aquarium/@42.4769307,-91.0007859,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+dubuque!3m5!1s0x87e32b96f3a63363:0x68e161b6c4dcbb4d!8m2!3d42.4968962!4d-90.6613755!15sChd0aGluZ3MgdG8gZG8gaW4gZHVidXF1ZVoZIhd0aGluZ3MgdG8gZG8gaW4gZHVidXF1ZZIBCGFxdWFyaXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15YjNKTFFrNTNFQUU","National Mississippi River Museum & Aquarium","4.7","rivermuseum.com","350 E 3rd St, Dubuque, IA 52001","null","null","https://lh5.googleusercontent.com/p/AF1QipNou8uloIez_mevlnY8bMcjKpKBkpUnTay71PRO=w648-h240-k-no","null"
"1654893817-571","https://www.google.com/maps/place/Dubuque+Shot+Tower/@42.4769307,-91.0007859,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+dubuque!3m5!1s0x87e32ba35327fe3b:0x84608e5b974f776b!8m2!3d42.5000745!4d-90.6539856!15sChd0aGluZ3MgdG8gZG8gaW4gZHVidXF1ZVoZIhd0aGluZ3MgdG8gZG8gaW4gZHVidXF1ZZIBEnRvdXJpc3RfYXR0cmFjdGlvbpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOeGFHRnlWa3BCRUFF","Dubuque Shot Tower","4.2","null","E Commercial St, Dubuque, IA 52001","null","null","https://lh5.googleusercontent.com/p/AF1QipPOYa_YiIphiId3y_cSzc0HSwpwekwksCtWKPLQ=w408-h544-k-no","null"
"1654893837-573","https://www.google.com/maps/place/Dubuque+Arboretum+%26+Botanical+Gardens/@42.4769307,-91.0007859,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+dubuque!3m5!1s0x87e32d222335f90b:0x72e0e9e46abc439a!8m2!3d42.532795!4d-90.7164486!15sChd0aGluZ3MgdG8gZG8gaW4gZHVidXF1ZVoZIhd0aGluZ3MgdG8gZG8gaW4gZHVidXF1ZZIBCWFyYm9yZXR1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOdE1GQklaR3hCUlJBQg","Dubuque Arboretum & Botanical Gardens","4.8","dubuquearboretum.net","3800 Arboretum Dr, Dubuque, IA 52001","null","null","https://lh5.googleusercontent.com/p/AF1QipN7-wiZ-mAWGod1cL22yD7LIERg7b07QAuMGJtB=w408-h263-k-no","null"
"1654893786-568","https://www.google.com/maps/place/Dubuque+Museum+of+Art/@42.4769307,-91.0007859,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+dubuque!3m6!1s0x87e32b8ff901ec27:0xb30192d389b52b0b!8m2!3d42.4997149!4d-90.6681443!10e1!15sChd0aGluZ3MgdG8gZG8gaW4gZHVidXF1ZVoZIhd0aGluZ3MgdG8gZG8gaW4gZHVidXF1ZZIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNeWEzVkVVbmxuUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Intimate museum showcasing 20th-century American art, with an emphasis on the Midwest region."
"1654893796-569","https://www.google.com/maps/place/Dubuque+Museum+of+Art/@42.4769307,-91.0007859,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+dubuque!3m5!1s0x87e32b8ff901ec27:0xb30192d389b52b0b!8m2!3d42.4997149!4d-90.6681443!15sChd0aGluZ3MgdG8gZG8gaW4gZHVidXF1ZVoZIhd0aGluZ3MgdG8gZG8gaW4gZHVidXF1ZZIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNeWEzVkVVbmxuUlJBQg","Dubuque Museum of Art","4.5","dbqart.org","701 Locust St, Dubuque, IA 52001","null","null","https://lh5.googleusercontent.com/p/AF1QipNfRj9u4v2MQzSL_wdDt5taJSiXkLRrf2bCz4io=w408-h306-k-no","null"
"1654893765-566","https://www.google.com/maps/place/Oolong+Asian+Cuisine/@42.5043034,-90.7478841,13z/data=!4m10!1m2!2m1!1sfood+in+dubuque!3m6!1s0x87e32b84cabf2a13:0x5091f625f895e83e!8m2!3d42.5036335!4d-90.667898!10e1!15sCg9mb29kIGluIGR1YnVxdWVaESIPZm9vZCBpbiBkdWJ1cXVlkgEUcGFuX2FzaWFuX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    High chairs   Restroom","null","Thai, Vietnamese & other East Asian cooking, presented in casual digs with beer, wine & sake."
