web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654893906-1646","https://www.google.com/maps/place/George+Wyth+State+Park/@42.4966129,-92.678507,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+waterloo+ia!3m5!1s0x87faab317fd1a085:0xacca95b48e261638!8m2!3d42.5344728!4d-92.4097303!15sCht0aGluZ3MgdG8gZG8gaW4gd2F0ZXJsb28gaWFaHSIbdGhpbmdzIHRvIGRvIGluIHdhdGVybG9vIGlhkgEKc3RhdGVfcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReU1sQkxabEpCRUFF","George Wyth State Park","4.6","iowadnr.gov","3659 Wyth Rd, Waterloo, IA 50703","null","null","https://lh5.googleusercontent.com/p/AF1QipOr1NlIkTeFHpVJhKjb5zk5k11C0lPuntXBQaqp=w408-h306-k-no","null"
"1654893875-1643","https://www.google.com/maps/place/Morg's/@42.4857746,-92.3907174,13z/data=!4m10!1m2!2m1!1sfood+in+waterloo+ia!3m6!1s0x87e552e4fc730985:0xf22210a34fadf776!8m2!3d42.499953!4d-92.334591!10e1!15sChNmb29kIGluIHdhdGVybG9vIGlhWhUiE2Zvb2QgaW4gd2F0ZXJsb28gaWGSARFicnVuY2hfcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   High chairs","null","Down-home venue with a retro vibe fixing up breakfast classics, sandwiches & meat plates."
"1654893937-1649","https://www.google.com/maps/place/Phelps+Youth+Pavilion/@42.4966129,-92.678507,10z/data=!3m1!5s0x87e552e2a9a397e9:0xb5bf9d5404d1603b!4m10!1m2!2m1!1sthings+to+do+in+waterloo+ia!3m6!1s0x87e5531d59ebec91:0x9bbe798db7e40718!8m2!3d42.497751!4d-92.3415776!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gd2F0ZXJsb28gaWFaHSIbdGhpbmdzIHRvIGRvIGluIHdhdGVybG9vIGlhkgEQY2hpbGRyZW5zX211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNeUxYTnFiaTFuUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Vibrant facility offering interactive educational exhibits for kids, including an artists' workshop."
"1654893927-1648","https://www.google.com/maps/place/John+Deere+Tractor+%26+Engine+Museum/@42.4966129,-92.678507,10z/data=!3m1!5s0x87e552e2a9a397e9:0xb5bf9d5404d1603b!4m6!1m2!2m1!1sthings+to+do+in+waterloo+ia!3m2!1s0x8803a649ba6127fb:0xe97dbd5f82c8a7dc!15sCht0aGluZ3MgdG8gZG8gaW4gd2F0ZXJsb28gaWFaHSIbdGhpbmdzIHRvIGRvIGluIHdhdGVybG9vIGlhkgEPaGVyaXRhZ2VfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15ZFV4RGJVaEJFQUU","John Deere Tractor & Engine Museum","4.7","null","500 Westfield Ave, Waterloo, IA 50701","null","null","https://lh5.googleusercontent.com/p/AF1QipMhp9mUMFPvl5pz_myC-eXBVYhdRsUZbuBkgHs2=w408-h306-k-no","null"
"1654893958-1651","https://www.google.com/maps/place/Cedar+Valley+Arboretum+%26+Botanic+Gardens/@42.4966129,-92.678507,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+waterloo+ia!3m6!1s0x87e5519598d6bdb1:0xb6489da106812a02!8m2!3d42.4294747!4d-92.3227213!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gd2F0ZXJsb28gaWFIgPHs4gFaHSIbdGhpbmdzIHRvIGRvIGluIHdhdGVybG9vIGlhYgkJ9a2f0NJMa2GSAQlhcmJvcmV0dW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUm5jeTAyWHpsM1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating   Assistive hearing loop","Amenities    Gender-neutral restroom   Good for kids","null","40-acre oasis with multiple themed gardens, including a kids’ area with a fish pond & Hobbit homes."
"1654893896-1645","https://www.google.com/maps/place/George+Wyth+State+Park/@42.4966129,-92.678507,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+waterloo+ia!3m6!1s0x87faab317fd1a085:0xacca95b48e261638!8m2!3d42.5344728!4d-92.4097303!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gd2F0ZXJsb28gaWFaHSIbdGhpbmdzIHRvIGRvIGluIHdhdGVybG9vIGlhkgEKc3RhdGVfcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReU1sQkxabEpCRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Multiple lakes for boating, fishing & windsurfing plus multi-use woodland trails, campsites & more."
"1654893886-1644","https://www.google.com/maps/place/Morg's/@42.4857746,-92.3907174,13z/data=!4m6!1m2!2m1!1sfood+in+waterloo+ia!3m2!1s0x87e552e4fc730985:0xf22210a34fadf776!15sChNmb29kIGluIHdhdGVybG9vIGlhWhUiE2Zvb2QgaW4gd2F0ZXJsb28gaWGSARFicnVuY2hfcmVzdGF1cmFudA","Morg's","4.7","facebook.com","520 Mulberry St, Waterloo, IA 50703","null","null","https://lh5.googleusercontent.com/p/AF1QipPVBas070RvSufz3caoSsAOXrp7O51XbhWgKFsp=w408-h306-k-no","null"
"1654893916-1647","https://www.google.com/maps/place/John+Deere+Tractor+%26+Engine+Museum/@42.4966129,-92.678507,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+waterloo+ia!3m6!1s0x8803a649ba6127fb:0xe97dbd5f82c8a7dc!8m2!3d42.4987577!4d-92.353101!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gd2F0ZXJsb28gaWFaHSIbdGhpbmdzIHRvIGRvIGluIHdhdGVybG9vIGlhkgEPaGVyaXRhZ2VfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15ZFV4RGJVaEJFQUU","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","History of John Deere at the site of its first factory, with hands-on exhibits & free guided tours."
"1654893968-1652","https://www.google.com/maps/place/Cedar+Valley+Arboretum+%26+Botanic+Gardens/@42.4966129,-92.678507,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+waterloo+ia!3m5!1s0x87e5519598d6bdb1:0xb6489da106812a02!8m2!3d42.4294747!4d-92.3227213!15sCht0aGluZ3MgdG8gZG8gaW4gd2F0ZXJsb28gaWFIgPHs4gFaHSIbdGhpbmdzIHRvIGRvIGluIHdhdGVybG9vIGlhYgkJ9a2f0NJMa2GSAQlhcmJvcmV0dW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUm5jeTAyWHpsM1JSQUI","Cedar Valley Arboretum & Botanic Gardens","4.7","cedarvalleyarboretum.org","1927 E Orange Rd, Waterloo, IA 50701","null","null","https://lh5.googleusercontent.com/p/AF1QipM7b3i1_R1pCxZ31AcYS2Y5G77qYVHUb6_oAV29=w408-h306-k-no","null"
"1654893947-1650","https://www.google.com/maps/place/Phelps+Youth+Pavilion/@42.4966129,-92.678507,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+waterloo+ia!3m2!1s0x87e5531d59ebec91:0x9bbe798db7e40718!15sCht0aGluZ3MgdG8gZG8gaW4gd2F0ZXJsb28gaWFaHSIbdGhpbmdzIHRvIGRvIGluIHdhdGVybG9vIGlhkgEQY2hpbGRyZW5zX211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNeUxYTnFiaTFuUlJBQg","Phelps Youth Pavilion","4.7","waterloocenterforthearts.org","225 Commercial St, Waterloo, IA 50701","null","null","https://lh5.googleusercontent.com/p/AF1QipNFM4Yo0NWhkKdYsbyKaSIcAs1XHoLjvN8YCW5m=w408-h306-k-no","null"
