web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654894901-1698","https://www.google.com/maps/place/Museum+of+Idaho/@43.4702407,-112.2169774,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+idaho+falls!3m6!1s0x5354594f3da71d6b:0x818a254b23b1660b!8m2!3d43.4904278!4d-112.0381637!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gaWRhaG8gZmFsbHNaHSIbdGhpbmdzIHRvIGRvIGluIGlkYWhvIGZhbGxzkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15T1V0RVgyWlJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Gender-neutral restroom   Good for kids","null","Established in 2003, this museum features exhibits on science & regional history, plus archives."
"1654894891-1697","https://www.google.com/maps/place/Collectors+Corner+Museum/@43.4702407,-112.2169774,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+idaho+falls!3m2!1s0x53545eb9eede5839:0x8ae9f2d667c50ee0!15sCht0aGluZ3MgdG8gZG8gaW4gaWRhaG8gZmFsbHNaHSIbdGhpbmdzIHRvIGRvIGluIGlkYWhvIGZhbGxzkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5YYWxscVdsSjNFQUU","Collectors Corner Museum","4.8","facebook.com","900 John Adams Pkwy, Idaho Falls, ID 83401","null","null","https://lh5.googleusercontent.com/p/AF1QipNY0NTlVzr7Mqnfu_VscrsekOMZfvwTZp7zeKXN=w408-h544-k-no","null"
"1654894922-1700","https://www.google.com/maps/place/Idaho+Falls+Zoo+at+Tautphaus+Park/@43.4702407,-112.2169774,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+idaho+falls!3m6!1s0x535459185ee43fc5:0x1e1d74579e9b4d3b!8m2!3d43.4720073!4d-112.0413356!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gaWRhaG8gZmFsbHNaHSIbdGhpbmdzIHRvIGRvIGluIGlkYWhvIGZhbGxzkgEDem9vmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU0yY0RkUWExcDNFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","A broad range of international animals on display, plus a petting zoo & bird aviary, spring to fall."
"1654894860-1694","https://www.google.com/maps/place/Tautphaus+Park/@43.4702407,-112.2169774,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+idaho+falls!3m6!1s0x5354592297836587:0x7a1a29293d57506a!8m2!3d43.473726!4d-112.0393608!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gaWRhaG8gZmFsbHNaHSIbdGhpbmdzIHRvIGRvIGluIGlkYWhvIGZhbGxzkgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOUGNYQjFhVlZCRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Park featuring a playground, picnic areas & ball fields, plus shelters & restrooms."
"1654894839-1692","https://www.google.com/maps/place/MacKenzie+River+Pizza,+Grill+%26+Pub/@43.4846508,-112.1205187,13z/data=!4m10!1m2!2m1!1sfood+in+idaho+falls!3m6!1s0x5354596a7ebd0e4b:0xba4ff07219d88246!8m2!3d43.4846508!4d-112.0504809!10e1!15sChNmb29kIGluIGlkYWhvIGZhbGxzWhUiE2Zvb2QgaW4gaWRhaG8gZmFsbHOSARNhbWVyaWNhbl9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs","null","Pizzeria chain serving creative pies, sandwiches, beer & wine in a casual, rustic setting."
"1654894880-1696","https://www.google.com/maps/place/Collectors+Corner+Museum/@43.4702407,-112.2169774,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+idaho+falls!3m6!1s0x53545eb9eede5839:0x8ae9f2d667c50ee0!8m2!3d43.4934303!4d-112.0136641!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gaWRhaG8gZmFsbHNaHSIbdGhpbmdzIHRvIGRvIGluIGlkYWhvIGZhbGxzkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5YYWxscVdsSjNFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Homespun museum well-known for its friendly owners & eclectic collection of toys & memorabilia."
"1654894911-1699","https://www.google.com/maps/place/Museum+of+Idaho/@43.4702407,-112.2169774,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+idaho+falls!3m2!1s0x5354594f3da71d6b:0x818a254b23b1660b!15sCht0aGluZ3MgdG8gZG8gaW4gaWRhaG8gZmFsbHNaHSIbdGhpbmdzIHRvIGRvIGluIGlkYWhvIGZhbGxzkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15T1V0RVgyWlJFQUU","Museum of Idaho","4.5","museumofidaho.org","200 N Eastern Ave, Idaho Falls, ID 83402","null","null","https://lh5.googleusercontent.com/p/AF1QipM3TYbLh9qAsGp6MwcvcJW4Ua_VcFmzBsX5RJjl=w408-h306-k-no","null"
"1654894870-1695","https://www.google.com/maps/place/Tautphaus+Park/@43.4702407,-112.2169774,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+idaho+falls!3m5!1s0x5354592297836587:0x7a1a29293d57506a!8m2!3d43.473726!4d-112.0393608!15sCht0aGluZ3MgdG8gZG8gaW4gaWRhaG8gZmFsbHNaHSIbdGhpbmdzIHRvIGRvIGluIGlkYWhvIGZhbGxzkgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOUGNYQjFhVlZCRUFF","Tautphaus Park","4.6","idahofallsidaho.gov","Idaho Falls, ID 83402","null","null","https://lh5.googleusercontent.com/p/AF1QipO9WuwE0D6p3jM28uFv7DiQfgw0enPQOvOIIcHn=w408-h306-k-no","null"
"1654894850-1693","https://www.google.com/maps/place/MacKenzie+River+Pizza,+Grill+%26+Pub/@43.4914835,-112.0554256,13z/data=!4m6!1m2!2m1!1sfood+in+idaho+falls!3m2!1s0x5354596a7ebd0e4b:0xba4ff07219d88246!15sChNmb29kIGluIGlkYWhvIGZhbGxzWhUiE2Zvb2QgaW4gaWRhaG8gZmFsbHOSARNhbWVyaWNhbl9yZXN0YXVyYW50","MacKenzie River Pizza, Grill & Pub","4.3","mackenzieriverpizza.com","1490 Milligan Rd, Idaho Falls, ID 83402","null","null","https://lh5.googleusercontent.com/p/AF1QipPMFMXkLSLdSTHHgxWJT7RP0XC6wkm-V7aSH34r=w408-h306-k-no","null"
"1654894932-1701","https://www.google.com/maps/place/Idaho+Falls+Zoo+at+Tautphaus+Park/@43.4702407,-112.2169774,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+idaho+falls!3m2!1s0x535459185ee43fc5:0x1e1d74579e9b4d3b!15sCht0aGluZ3MgdG8gZG8gaW4gaWRhaG8gZmFsbHNaHSIbdGhpbmdzIHRvIGRvIGluIGlkYWhvIGZhbGxzkgEDem9vmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU0yY0RkUWExcDNFQUU","Idaho Falls Zoo at Tautphaus Park","4.6","idahofallsidaho.gov","2940 Carnival Way, Idaho Falls, ID 83402","null","null","https://lh5.googleusercontent.com/p/AF1QipOPi9AHUr1zrKzUdwYqVkUisBy21FX_CfUwc-nG=w426-h240-k-no","null"
