web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654895569-1723","https://www.google.com/maps/place/The+Healthier+Place+To+Eat/@42.8861974,-112.4858411,13z/data=!3m1!5s0x53554f1b6cff0e4f:0x328baa4ec8eed6ec!4m9!1m2!2m1!1sfood+in+pocatello+id!3m5!1s0x53554f1b6dcdcf19:0xf5f382b0be42cce9!8m2!3d42.861721!4d-112.4503849!15sChRmb29kIGluIHBvY2F0ZWxsbyBpZFoWIhRmb29kIGluIHBvY2F0ZWxsbyBpZJIBCnJlc3RhdXJhbnQ","The Healthier Place To Eat","4.5","null","121 S Main St, Pocatello, ID 83204","null","null","https://lh5.googleusercontent.com/p/AF1QipOmtfeThQ0jsckK5fOIqqjvPIYaHS3y-lU5_hsI=w408-h306-k-no","null"
"1654895600-1726","https://www.google.com/maps/place/Idaho+Museum+of+Natural+History/@42.9075102,-112.7510077,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+pocatello+id!3m6!1s0x53554f207fce0a93:0x745497e35ee108a2!8m2!3d42.8602288!4d-112.4337639!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gcG9jYXRlbGxvIGlkWh4iHHRoaW5ncyB0byBkbyBpbiBwb2NhdGVsbG8gaWSSARZuYXR1cmFsX2hpc3RvcnlfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5QYlU1NVFVTkJFQUU","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restroom   Restaurant","null","Exhibits of artifacts & specimens documenting the natural history of Idaho & the Intermountain West."
"1654895610-1727","https://www.google.com/maps/place/Idaho+Museum+of+Natural+History/@42.9075102,-112.7510077,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+pocatello+id!3m5!1s0x53554f207fce0a93:0x745497e35ee108a2!8m2!3d42.8602288!4d-112.4337639!15sChx0aGluZ3MgdG8gZG8gaW4gcG9jYXRlbGxvIGlkWh4iHHRoaW5ncyB0byBkbyBpbiBwb2NhdGVsbG8gaWSSARZuYXR1cmFsX2hpc3RvcnlfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5QYlU1NVFVTkJFQUU","Idaho Museum of Natural History","4.1","imnh.isu.edu","698 E Dillon St, Pocatello, ID 83201","null","null","https://lh5.googleusercontent.com/p/AF1QipO7SbPdq_8dkVLuz-B_3G0Awi_l-a8J4LVrUiUW=w408-h272-k-no","null"
"1654895559-1722","https://www.google.com/maps/place/The+Healthier+Place+To+Eat/@42.8861974,-112.4858411,13z/data=!3m1!5s0x53554f1b6cff0e4f:0x328baa4ec8eed6ec!4m10!1m2!2m1!1sfood+in+pocatello+id!3m6!1s0x53554f1b6dcdcf19:0xf5f382b0be42cce9!8m2!3d42.861721!4d-112.4503849!10e1!15sChRmb29kIGluIHBvY2F0ZWxsbyBpZFoWIhRmb29kIGluIHBvY2F0ZWxsbyBpZJIBCnJlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Casual, healthy-leaning outpost offering counter-service sandwiches, salads & wraps."
"1654895641-1730","https://www.google.com/maps/place/Museum+of+Clean/@42.9075102,-112.7510077,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+pocatello+id!3m6!1s0x53554f1e4512f975:0x42ada24494a9d5fc!8m2!3d42.8596044!4d-112.4417621!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gcG9jYXRlbGxvIGlkWh4iHHRoaW5ncyB0byBkbyBpbiBwb2NhdGVsbG8gaWSSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnhNemhoVFhWM1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Modern museum showcasing exhibits on historic cleaning techniques & tools, with brooms, tubs & more."
"1654895631-1729","https://www.google.com/maps/place/Zoo+Idaho/@42.9075102,-112.7510077,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+pocatello+id!3m5!1s0x53554ec0f7506f37:0xbbf62fed7a110d34!8m2!3d42.8424096!4d-112.4218443!15sChx0aGluZ3MgdG8gZG8gaW4gcG9jYXRlbGxvIGlkWh4iHHRoaW5ncyB0byBkbyBpbiBwb2NhdGVsbG8gaWSSAQN6b2-aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXlObUZpU1hsQlJSQUI","Zoo Idaho","4.1","zooidaho.org","2900 S 2nd Ave, Pocatello, ID 83204","null","null","https://lh5.googleusercontent.com/p/AF1QipMbLUpmoG8AUYMpR1XzJCTUroRhy_VTt6Gyg-c9=w426-h240-k-no","null"
"1654895590-1725","https://www.google.com/maps/place/Bannock+County+Historical+Museum/@42.9075102,-112.7510077,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+pocatello+id!3m5!1s0x53554ebf6283fa93:0x64f5c1f750ad5390!8m2!3d42.8441273!4d-112.4191889!15sChx0aGluZ3MgdG8gZG8gaW4gcG9jYXRlbGxvIGlkWh4iHHRoaW5ncyB0byBkbyBpbiBwb2NhdGVsbG8gaWSSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkxMWE5xYVZSUkVBRQ","Bannock County Historical Museum","4.8","bchm-id.org","3000 Avenue of the Chiefs, Pocatello, ID 83204","null","null","https://lh5.googleusercontent.com/p/AF1QipN1zj3RnBbCDJqXaWd2vH5Df99oggbd7VuMUedm=w408-h272-k-no","null"
"1654895580-1724","https://www.google.com/maps/place/Bannock+County+Historical+Museum/@42.9075102,-112.7510077,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+pocatello+id!3m6!1s0x53554ebf6283fa93:0x64f5c1f750ad5390!8m2!3d42.8441273!4d-112.4191889!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gcG9jYXRlbGxvIGlkWh4iHHRoaW5ncyB0byBkbyBpbiBwb2NhdGVsbG8gaWSSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkxMWE5xYVZSUkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair rental","Amenities    Good for kids   Restroom   Free Wi-Fi   Restaurant","null","City & county history museum displaying donated artifacts, photos & archeological objects."
"1654895652-1731","https://www.google.com/maps/place/Museum+of+Clean/@42.9075102,-112.7510077,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+pocatello+id!3m2!1s0x53554f1e4512f975:0x42ada24494a9d5fc!15sChx0aGluZ3MgdG8gZG8gaW4gcG9jYXRlbGxvIGlkWh4iHHRoaW5ncyB0byBkbyBpbiBwb2NhdGVsbG8gaWSSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnhNemhoVFhWM1JSQUI","Museum of Clean","4.7","museumofclean.com","711 S 2nd Ave, Pocatello, ID 83201","null","null","https://lh5.googleusercontent.com/p/AF1QipNPEkjTJV-vf12Pa6f5VMCNIW8aEdjAbLpxVXBz=w408-h306-k-no","null"
"1654895621-1728","https://www.google.com/maps/place/Zoo+Idaho/@42.9075102,-112.7510077,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+pocatello+id!3m6!1s0x53554ec0f7506f37:0xbbf62fed7a110d34!8m2!3d42.8424096!4d-112.4218443!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gcG9jYXRlbGxvIGlkWh4iHHRoaW5ncyB0byBkbyBpbiBwb2NhdGVsbG8gaWSSAQN6b2-aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXlObUZpU1hsQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Simple zoo specializing in animals from the Intermountain West, including bears, bison & wild cats."
