web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654895078-1705","https://www.google.com/maps/place/Snake+River+Canyon+Rim+Trail/@42.584223,-114.6104727,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+twin+falls!3m5!1s0x54aca2437942c439:0x1a67e79ba1948f7d!8m2!3d42.599074!4d-114.4792939!15sChp0aGluZ3MgdG8gZG8gaW4gdHdpbiBmYWxsc1ocIhp0aGluZ3MgdG8gZG8gaW4gdHdpbiBmYWxsc5IBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkhhRGxFUkdWQkVBRQ","Snake River Canyon Rim Trail","4.8","visitidaho.org","Washington St N, Twin Falls, ID 83301","null","null","https://lh5.googleusercontent.com/p/AF1QipMY7bVthVfrEZGvSOJtgbcEP_U3ImE_qEDC2Ma2=w408-h306-k-no","null"
"1654895058-1703","https://www.google.com/maps/place/The+Habit+Burger+Grill/@42.5720668,-114.4969494,13z/data=!4m6!1m2!2m1!1sfood+in+twin+falls!3m2!1s0x54aca21a37449371:0xa3ed1014abc91776!15sChJmb29kIGluIHR3aW4gZmFsbHNaFCISZm9vZCBpbiB0d2luIGZhbGxzkgEUaGFtYnVyZ2VyX3Jlc3RhdXJhbnQ","The Habit Burger Grill","4.2","order.habitburger.com","1925 Fillmore St, Twin Falls, ID 83301","null","null","https://lh5.googleusercontent.com/p/AF1QipNbZMVfbMWHl3s3bNhEGRUbfd39AN6R9_If5XLA=w426-h240-k-no","null"
"1654895140-1711","https://www.google.com/maps/place/Centennial+Waterfront+Park/@42.5758482,-114.5169271,12z/data=!4m6!1m2!2m1!1sthings+to+do+in+twin+falls!3m2!1s0x54aca205a6ea98b1:0x6706036404154682!15sChp0aGluZ3MgdG8gZG8gaW4gdHdpbiBmYWxsc1ocIhp0aGluZ3MgdG8gZG8gaW4gdHdpbiBmYWxsc5IBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmhkVGxIUlVoM0VBRQ","Centennial Waterfront Park","4.7","null","Canyon Springs Rd, Twin Falls, ID 83301","null","null","https://lh5.googleusercontent.com/p/AF1QipPzd6hBFKQ3Z2xiq_tyxJ9uT4u_wmxrjvDqal4F=w408-h306-k-no","null"
"1654895089-1706","https://www.google.com/maps/place/Herrett+Center/@42.584223,-114.6104727,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+twin+falls!3m6!1s0x54aca24737a5793f:0xc7493d647833bd82!8m2!3d42.584223!4d-114.470397!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gdHdpbiBmYWxsc1ocIhp0aGluZ3MgdG8gZG8gaW4gdHdpbiBmYWxsc5IBBm11c2V1bQ","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Campus museum of anthropology & natural history, with emphasis on prehistoric American continents."
"1654895119-1709","https://www.google.com/maps/place/Shoshone+Falls+Park/@42.5758482,-114.5169271,12z/data=!4m6!1m2!2m1!1sthings+to+do+in+twin+falls!3m2!1s0x54aca1b0eba07461:0x1d298d93ca046551!15sChp0aGluZ3MgdG8gZG8gaW4gdHdpbiBmYWxsc1ocIhp0aGluZ3MgdG8gZG8gaW4gdHdpbiBmYWxsc5IBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkRla3BmTkd4QlJSQUI","Shoshone Falls Park","4.8","tfid.org","4155 Shoshone Falls Grade, Twin Falls, ID 83301","null","null","https://lh5.googleusercontent.com/p/AF1QipMno6_3ArfCG8iyAfl2vaLBWfzUfAA2MRAMURzI=w408-h306-k-no","null"
"1654895099-1707","https://www.google.com/maps/place/Herrett+Center/@42.5758482,-114.5169271,12z/data=!4m6!1m2!2m1!1sthings+to+do+in+twin+falls!3m2!1s0x54aca24737a5793f:0xc7493d647833bd82!15sChp0aGluZ3MgdG8gZG8gaW4gdHdpbiBmYWxsc1ocIhp0aGluZ3MgdG8gZG8gaW4gdHdpbiBmYWxsc5IBBm11c2V1bQ","Herrett Center","4.7","herrett.csi.edu","315 Falls Ave, Twin Falls, ID 83301","null","null","https://lh5.googleusercontent.com/p/AF1QipPhkX-7miSEyLoM5jx0kuMmRM-zam_r-PnFwtoL=w408-h257-k-no","null"
"1654895109-1708","https://www.google.com/maps/place/Shoshone+Falls+Park/@42.5758482,-114.5169271,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+twin+falls!3m6!1s0x54aca1b0eba07461:0x1d298d93ca046551!8m2!3d42.5937!4d-114.401!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gdHdpbiBmYWxsc1ocIhp0aGluZ3MgdG8gZG8gaW4gdHdpbiBmYWxsc5IBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkRla3BmTkd4QlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Green space with a boat launch & scenic overlook also has trails, picnic areas & a concession stand."
"1654895047-1702","https://www.google.com/maps/place/The+Habit+Burger+Grill/@42.5720668,-114.4969494,13z/data=!4m10!1m2!2m1!1sfood+in+twin+falls!3m6!1s0x54aca21a37449371:0xa3ed1014abc91776!8m2!3d42.5959475!4d-114.4583318!10e1!15sChJmb29kIGluIHR3aW4gZmFsbHNaFCISZm9vZCBpbiB0d2luIGZhbGxzkgEUaGFtYnVyZ2VyX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   High chairs","null","Charbroiled burgers star at this fast-food chain also offering deli-type sandwiches, salads & fries."
"1654895068-1704","https://www.google.com/maps/place/Snake+River+Canyon+Rim+Trail/@42.584223,-114.6104727,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+twin+falls!3m6!1s0x54aca2437942c439:0x1a67e79ba1948f7d!8m2!3d42.599074!4d-114.4792939!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gdHdpbiBmYWxsc1ocIhp0aGluZ3MgdG8gZG8gaW4gdHdpbiBmYWxsc5IBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkhhRGxFUkdWQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","10-mi. system of hiking & cycling trails with dramatic vistas over the Snake River Canyon."
"1654895130-1710","https://www.google.com/maps/place/Centennial+Waterfront+Park/@42.5758482,-114.5169271,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+twin+falls!3m6!1s0x54aca205a6ea98b1:0x6706036404154682!8m2!3d42.5995599!4d-114.4685313!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gdHdpbiBmYWxsc1ocIhp0aGluZ3MgdG8gZG8gaW4gdHdpbiBmYWxsc5IBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmhkVGxIUlVoM0VBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Public park on Snake River featuring kayak/canoe rentals, guided boat tours, BBQs & a playground."
