web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654894576-606","https://www.google.com/maps/place/Lazy+Dog+Restaurant+%26+Bar/@41.7644865,-88.3453899,12z/data=!4m10!1m2!2m1!1sfood+in+naperville+il!3m6!1s0x880ef9e309dbfecb:0x7e05209d56cef743!8m2!3d41.7644761!4d-88.2053755!10e1!15sChVmb29kIGluIG5hcGVydmlsbGUgaWxaFyIVZm9vZCBpbiBuYXBlcnZpbGxlIGlskgETYW1lcmljYW5fcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   High chairs","null","Relaxed, lodge-chic chain serving global comfort fare, including stir-fries, pot roast & pastas."
"1654894596-608","https://www.google.com/maps/place/The+White+Chocolate+Grill/@41.7427189,-88.2313368,12z/data=!4m10!1m2!2m1!1sfood+in+naperville+il!3m6!1s0x880e56f521b60a85:0x6c5001d94bc3d688!8m2!3d41.8037379!4d-88.1268777!10e1!15sChVmb29kIGluIG5hcGVydmlsbGUgaWxaFyIVZm9vZCBpbiBuYXBlcnZpbGxlIGlskgETYW1lcmljYW5fcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Bar onsite   Good for kids   High chairs   Restroom","null","Spacious contemporary grill features traditional American fare & cocktails in a relaxed atmosphere."
"1654894708-619","https://www.google.com/maps/place/Riverwalk+Park/@41.783885,-88.2742066,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+naperville+il!3m5!1s0x880e57c45ced8461:0x4f8866f50b89110d!8m2!3d41.7701442!4d-88.1553644!15sCh10aGluZ3MgdG8gZG8gaW4gbmFwZXJ2aWxsZSBpbFofIh10aGluZ3MgdG8gZG8gaW4gbmFwZXJ2aWxsZSBpbJIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTnhYMDlFWTBoQkVBRQ","Riverwalk Park","4.8","napervilleparks.org","500 Jackson Ave, Naperville, IL 60540","null","null","https://lh5.googleusercontent.com/p/AF1QipPEn1UbEK1y93mZDgx6WGUM8SE4YMbUmsmZZbdG=w426-h240-k-no","null"
"1654894739-622","https://www.google.com/maps/place/Knoch+Knolls+Nature+Center/@41.783885,-88.2742066,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+naperville+il!3m6!1s0x880e585ae1832423:0xbbb40632df1817c4!8m2!3d41.7141103!4d-88.141205!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gbmFwZXJ2aWxsZSBpbFofIh10aGluZ3MgdG8gZG8gaW4gbmFwZXJ2aWxsZSBpbJIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlhiV0pZWVRkM1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Nature center with kid-oriented exhibits, including an aquarium, live animals & a playground."
"1654894688-617","https://www.google.com/maps/place/Millennium+Carillon/@41.783885,-88.2742066,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+naperville+il!3m5!1s0x880e57c147a2767b:0xc0e3b88b8b36ecc6!8m2!3d41.7700453!4d-88.1567117!15sCh10aGluZ3MgdG8gZG8gaW4gbmFwZXJ2aWxsZSBpbFofIh10aGluZ3MgdG8gZG8gaW4gbmFwZXJ2aWxsZSBpbJIBCG1vbnVtZW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU54ZW5OWVFVVkJFQUU","Millennium Carillon","4.7","napervilleparks.org","443 Aurora Ave, Naperville, IL 60540","null","null","https://lh5.googleusercontent.com/p/AF1QipNpi8-em6HHqOrsC92DsdB7_VvS5gMtW_bJ8MGQ=w408-h272-k-no","null"
"1654894657-614","https://www.google.com/maps/place/Springbrook+Prairie+Forest+Preserve/@41.783885,-88.2742066,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+naperville+il!3m6!1s0x880ef7fad412f5db:0xe49da1184a5216df!8m2!3d41.7387464!4d-88.1679772!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gbmFwZXJ2aWxsZSBpbFofIh10aGluZ3MgdG8gZG8gaW4gbmFwZXJ2aWxsZSBpbJIBD25hdHVyZV9wcmVzZXJ2ZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VORGNHSnFNR2RuUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Expansive natural area including meadow & prairie habitat for birds plus running & biking trails."
"1654894616-610","https://www.google.com/maps/place/The+Morton+Arboretum/@41.783885,-88.2742066,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+naperville+il!3m6!1s0x880e516426930d95:0xf78741bed308c334!8m2!3d41.8163515!4d-88.0632995!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gbmFwZXJ2aWxsZSBpbFofIh10aGluZ3MgdG8gZG8gaW4gbmFwZXJ2aWxsZSBpbJIBCWFyYm9yZXR1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNMmJ6bEVlWFJuUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Gender-neutral restroom   Good for kids   Public restroom","null","Diverse 1,700-acre nature preserve with a maze garden & tram plus picnicking, hiking & biking."
"1654894637-612","https://www.google.com/maps/place/Cantigny+Park/@41.783885,-88.2742066,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+naperville+il!3m6!1s0x880e5590401c8ac1:0x9e1d82d59f751815!8m2!3d41.8539608!4d-88.157765!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gbmFwZXJ2aWxsZSBpbFofIh10aGluZ3MgdG8gZG8gaW4gbmFwZXJ2aWxsZSBpbJIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlBkMUJYWkU1UkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Public restroom","null","500 acres of gardens, golf, camping & picnic grounds plus 2 museums, 4 eateries & a bandshell."
"1654894728-621","https://www.google.com/maps/place/DuPage+Children's+Museum/@41.783885,-88.2742066,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+naperville+il!3m5!1s0x880e57b63779201b:0xd39180a74dac668c!8m2!3d41.778585!4d-88.1481384!15sCh10aGluZ3MgdG8gZG8gaW4gbmFwZXJ2aWxsZSBpbFofIh10aGluZ3MgdG8gZG8gaW4gbmFwZXJ2aWxsZSBpbJIBEGNoaWxkcmVuc19tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlhOblV0WVd4M1JSQUI","DuPage Children's Museum","4.3","dupagechildrens.org","301 N Washington St, Naperville, IL 60540","null","null","https://lh5.googleusercontent.com/p/AF1QipN4Lv1ksDemxibOPMQtm4FeqqTGadL3ozYZovZE=w408-h271-k-no","null"
"1654894586-607","https://www.google.com/maps/place/Lazy+Dog+Restaurant+%26+Bar/@41.7427189,-88.2313368,12z/data=!4m9!1m2!2m1!1sfood+in+naperville+il!3m5!1s0x880ef9e309dbfecb:0x7e05209d56cef743!8m2!3d41.7644761!4d-88.2053755!15sChVmb29kIGluIG5hcGVydmlsbGUgaWxaFyIVZm9vZCBpbiBuYXBlcnZpbGxlIGlskgETYW1lcmljYW5fcmVzdGF1cmFudA","Lazy Dog Restaurant & Bar","4.5","lazydogrestaurants.com","436 Illinois Rte 59, Naperville, IL 60540","null","null","https://lh5.googleusercontent.com/p/AF1QipPsF2q4IwvqonW5LjrE_xxRpgsyvvm0JsFbMbdt=w426-h240-k-no","null"
