web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654896064-678","https://www.google.com/maps/place/Lincoln+Home+National+Historic+Site/@39.8420439,-89.945721,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+springfield+il!3m6!1s0x887539c0fefd2895:0x8940cd765d803455!8m2!3d39.7971412!4d-89.6451179!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gc3ByaW5nZmllbGQgaWxaICIedGhpbmdzIHRvIGRvIGluIHNwcmluZ2ZpZWxkIGlskgENaGlzdG9yaWNfc2l0ZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNeWMyWk1iSEpSUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Popular national historic site offering tours of Lincoln's period-furnished, Greek-Revival home."
"1654896125-684","https://www.google.com/maps/place/Lincoln+Memorial+Garden+and+Nature+Center/@39.7694028,-89.7745618,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+springfield+il!3m6!1s0x88753c4cbd4a3f07:0x2616cc957354144a!8m2!3d39.696931!4d-89.596798!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gc3ByaW5nZmllbGQgaWxaICIedGhpbmdzIHRvIGRvIGluIHNwcmluZ2ZpZWxkIGlskgENbWVtb3JpYWxfcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSek9GQnVhWGRCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Public restroom","null","100-acre woodland & prairie garden honoring Abraham Lincoln, with trails, bridges & a pond."
"1654895993-671","https://www.google.com/maps/place/Old+State+Capitol+State+Historic+Site/@39.7941537,-89.9316724,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+springfield+il!3m5!1s0x887539c3f8cbbe57:0x872787e8089d3de9!8m2!3d39.8011448!4d-89.6485984!15sCh50aGluZ3MgdG8gZG8gaW4gc3ByaW5nZmllbGQgaWxaICIedGhpbmdzIHRvIGRvIGluIHNwcmluZ2ZpZWxkIGlskgETaGlzdG9yaWNhbF9sYW5kbWFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSWGF6WnFZbVZCRUFF","Old State Capitol State Historic Site","4.6","illinois.gov","526 E Adams St, Springfield, IL 62701","null","null","//lh3.googleusercontent.com/proxy/DJQzjPc9jyzvGsXAR4lmf8rkg5-3I3kwIodoeva9GedPp5cuSYy5Ywe9pX5eaYdUC7RpmLW3n6nRRqYz_cqDyW2Rrgpn9Mxh7EsBNYz8UqU8ga_62aYQ_LWxkph5BfvlUF8b6VlKDXnc42m5hh1VamtbE6NfMA=w408-h290-k-no","null"
"1654896074-679","https://www.google.com/maps/place/Lincoln+Home+National+Historic+Site/@39.8420439,-89.945721,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+springfield+il!3m5!1s0x887539c0fefd2895:0x8940cd765d803455!8m2!3d39.7971412!4d-89.6451179!15sCh50aGluZ3MgdG8gZG8gaW4gc3ByaW5nZmllbGQgaWxaICIedGhpbmdzIHRvIGRvIGluIHNwcmluZ2ZpZWxkIGlskgENaGlzdG9yaWNfc2l0ZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNeWMyWk1iSEpSUlJBQg","Lincoln Home National Historic Site","4.8","nps.gov","413 S 8th St, Springfield, IL 62701","null","null","https://lh5.googleusercontent.com/p/AF1QipMFFAN1KbeoNJ3om0pe6bHYdeDinRcl6EUlxE3-=w408-h306-k-no","null"
"1654896044-676","https://www.google.com/maps/place/Union+Square+Park/@39.8420439,-89.945721,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+springfield+il!3m6!1s0x887539c37f786db1:0x955a9353e17ceabf!8m2!3d39.8033318!4d-89.6485689!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gc3ByaW5nZmllbGQgaWxaICIedGhpbmdzIHRvIGRvIGluIHNwcmluZ2ZpZWxkIGlskgEEcGFyaw","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","This small, urban park features grassy areas, benches & a gazebo, plus statues of Abraham Lincoln."
"1654895942-666","https://www.google.com/maps/place/Maldaner's+Restaurant/@39.7565888,-89.7318901,12z/data=!4m10!1m2!2m1!1sfood+in+springfield+il!3m6!1s0x887539c146ce46bf:0x6e43fee303338acd!8m2!3d39.7997207!4d-89.6477839!10e1!15sChZmb29kIGluIHNwcmluZ2ZpZWxkIGlsWhgiFmZvb2QgaW4gc3ByaW5nZmllbGQgaWySARZmaW5lX2RpbmluZ19yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    High chairs","null","Wood-swathed, American eatery (since 1884) emphasizing local produce, along the storied Route 66."
"1654896135-685","https://www.google.com/maps/place/Lincoln+Memorial+Garden+and+Nature+Center/@39.7694028,-89.7745618,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+springfield+il!3m5!1s0x88753c4cbd4a3f07:0x2616cc957354144a!8m2!3d39.696931!4d-89.596798!15sCh50aGluZ3MgdG8gZG8gaW4gc3ByaW5nZmllbGQgaWxaICIedGhpbmdzIHRvIGRvIGluIHNwcmluZ2ZpZWxkIGlskgENbWVtb3JpYWxfcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSek9GQnVhWGRCUlJBQg","Lincoln Memorial Garden and Nature Center","4.7","lincolnmemorialgarden.org","2301 E Lake Shore Dr, Springfield, IL 62712","null","null","https://lh5.googleusercontent.com/p/AF1QipMFN0Zwb6rhqlWsbhulgOHSmm-m7IJqFAdhoFGy=w408-h306-k-no","null"
"1654896003-672","https://www.google.com/maps/place/Dana-Thomas+House+State+Historic+Site/@39.7941537,-89.9316724,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+springfield+il!3m6!1s0x887539b8594f0483:0xcca0db628aecfa55!8m2!3d39.7940495!4d-89.6515323!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gc3ByaW5nZmllbGQgaWxaICIedGhpbmdzIHRvIGRvIGluIHNwcmluZ2ZpZWxkIGlskgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5QTlhKeFZuRm5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible parking lot","null","null","Museum in a historic Frank Lloyd Wright home from 1902 housing many original furnishings."
"1654896023-674","https://www.google.com/maps/place/Henson+Robinson+Zoo/@39.7274332,-89.8637673,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+springfield+il!3m6!1s0x88753c8391b7c825:0xd850af8176556e2d!8m2!3d39.7274332!4d-89.5836159!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gc3ByaW5nZmllbGQgaWxaICIedGhpbmdzIHRvIGRvIGluIHNwcmluZ2ZpZWxkIGlskgEDem9vmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVE0ZG1ONVpFZG5FQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","90+ species native to North & South America, Australia, Africa & Asia in naturalistic environs."
"1654895962-668","https://www.google.com/maps/place/Charlie+Parker's+Diner/@39.7565888,-89.7318901,12z/data=!4m10!1m2!2m1!1sfood+in+springfield+il!3m6!1s0x887538fd6ae6b295:0x2cace6c41a60fef5!8m2!3d39.7660278!4d-89.6635444!10e1!15sChZmb29kIGluIHNwcmluZ2ZpZWxkIGlsWhgiFmZvb2QgaW4gc3ByaW5nZmllbGQgaWySAQVkaW5lcpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNeWRDMVVkR3hCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible parking lot","Amenities    Good for kids   High chairs","null","Longtime American diner serving all-day breakfast, lunch specials & hearty sandwiches."
