web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
1654895475-648,"https://www.google.com/maps/place/The+Olympic+Tavern/@42.2977047,-89.1468675,13z/data=!4m10!1m2!2m1!1sfood+in+st+louis+il!3m6!1s0x8808be136d420eed:0x284b984443ffb84!8m2!3d42.2977039!4d-89.0769365!10e1!15sChNmb29kIGluIHN0IGxvdWlzIGlsWhUiE2Zvb2QgaW4gc3QgbG91aXMgaWySARNhbWVyaWNhbl9yZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5WYTNGNk56VjNSUkFC",null,null,null,null,Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating,Amenities    Bar onsite   Good for kids   High chairs   Restroom   Free Wi-Fi,null,"Longtime American taproom with 25+ drafts & creative bar bites, pasta, sandwiches, steak & seafood."
1654895495-650,"https://www.google.com/maps/place/Campbell+House+Museum/@38.6550643,-90.3419742,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+st+louis+il!3m6!1s0x87d8b315f6e5c041:0x46c6bf0a7ce22447!8m2!3d38.6313278!4d-90.2018278!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gc3QgbG91aXMgaWxaHSIbdGhpbmdzIHRvIGRvIGluIHN0IGxvdWlzIGlskgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVI1ZEhOMVJHUjNFQUU",null,null,null,null,Accessibility    Wheelchair accessible entrance,Amenities    Restroom   Restaurant,null,"Restored 19th-century home displaying period furnishings, paintings & the family's personal effects."
1654895638-664,"https://www.google.com/maps/place/City+Museum/@38.614317,-90.3741945,11z/data=!3m1!5s0x87d8b33dda2d465b:0x3096f997a44c64b0!4m10!1m2!2m1!1sthings+to+do+in+st+louis+il!3m6!1s0x87d8b33dc2801e55:0xc97c4420308aca04!8m2!3d38.6336745!4d-90.2006976!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gc3QgbG91aXMgaWxaHSIbdGhpbmdzIHRvIGRvIGluIHN0IGxvdWlzIGlskgEVcGVyZm9ybWluZ19hcnRzX2dyb3VwmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5TkdaVE1HaG5SUkFC",null,null,null,null,Accessibility    Wheelchair accessible entrance   Wheelchair accessible restroom,Amenities    Good for kids,null,"Constantly evolving art installation, playground & discovery center made from found objects."
1654895536-654,"https://www.google.com/maps/place/Cahokia+Mounds+State+Historic+Site/@38.6550643,-90.3419742,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+st+louis+il!3m6!1s0x87d8ab52d79595af:0x30679191aa51caf6!8m2!3d38.6550643!4d-90.0618228!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gc3QgbG91aXMgaWxaHSIbdGhpbmdzIHRvIGRvIGluIHN0IGxvdWlzIGlskgENaGlzdG9yaWNfc2l0ZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSRGRsQkxRMlIzRUFF",null,null,null,null,Accessibility    Wheelchair accessible entrance,Amenities    Good for kids,null,Site of a 13th-century Native American urban center with artifacts & ruins of homes & monuments.
1654895597-660,"https://www.google.com/maps/place/The+Gateway+Arch/@38.614317,-90.3741945,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+st+louis+il!3m6!1s0x87c0f0607541e5b5:0x79ed2889c696a834!8m2!3d38.6251269!4d-90.1867504!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gc3QgbG91aXMgaWxaHSIbdGhpbmdzIHRvIGRvIGluIHN0IGxvdWlzIGlskgENbmF0aW9uYWxfcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VRMmVGcG1iRjkzUlJBQg",null,null,null,null,Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,null,"Curved, 630-ft.-tall monument celebrating US western expansion, with views from the top & a museum."
1654895567-657,"https://www.google.com/maps/place/Forest+Park/@38.6127672,-90.5395312,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+st+louis+il!3m5!1s0x87d8b5469178c4c9:0x9d27c5026db294aa!8m2!3d38.6444901!4d-90.2831478!15sCht0aGluZ3MgdG8gZG8gaW4gc3QgbG91aXMgaWxaHSIbdGhpbmdzIHRvIGRvIGluIHN0IGxvdWlzIGlskgEJY2l0eV9wYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU15YUU1MVpETjNSUkFC",Forest Park,4.8,forestparkmap.org,"5595 Grand Dr, St. Louis, MO 63112",null,null,https://lh5.googleusercontent.com/p/AF1QipPCVrpLsOyiLWowxD2Z6kY-vA60iNdCpJtgtG_C=w408-h306-k-no,null
1654895587-659,"https://www.google.com/maps/place/Saint+Louis+Zoo/@38.6127672,-90.5395312,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+st+louis+il!3m5!1s0x87d8b55ccc04062d:0x6075080197e8e830!8m2!3d38.6350239!4d-90.2913381!15sCht0aGluZ3MgdG8gZG8gaW4gc3QgbG91aXMgaWxaHSIbdGhpbmdzIHRvIGRvIGluIHN0IGxvdWlzIGlskgEDem9vmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5oTUc5TFNYaEJSUkFC",Saint Louis Zoo,4.8,stlzoo.org,"1 Government Dr, St. Louis, MO 63110",null,null,https://lh5.googleusercontent.com/p/AF1QipPHLAViLZITvB3QQAMBZRIDkno0BkUZA6KoS3Nv=w408-h306-k-no,null
1654895618-662,"https://www.google.com/maps/place/Citygarden+Sculpture+Park/@38.614317,-90.3741945,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+st+louis+il!3m6!1s0x87d8b3197dd7cdf9:0xab91dcb20aeb6124!8m2!3d38.6266804!4d-90.1937073!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gc3QgbG91aXMgaWxaHSIbdGhpbmdzIHRvIGRvIGluIHN0IGxvdWlzIGlskgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSTGRqaGxWQzEzUlJBQg",null,null,null,null,Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,null,"Park dotted by lawns, pathways & seating, & notable for its water features, sculptures & video wall."
1654895455-646,"https://www.google.com/maps/place/RBI+Brunch+Bar/@42.3167192,-89.0525933,13z/data=!4m10!1m2!2m1!1sfood+in+st+louis+il!3m6!1s0x8808bbd39887d60b:0x2fa752f0027d6665!8m2!3d42.3167192!4d-88.9825555!10e1!15sChNmb29kIGluIHN0IGxvdWlzIGlsWhUiE2Zvb2QgaW4gc3QgbG91aXMgaWySAQ1iYXJfYW5kX2dyaWxsmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU13TW1STU9HcG5SUkFC",null,null,null,null,Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating,Amenities    Bar onsite   High chairs   Restroom   Free Wi-Fi,null,"Burgers, wings & nachos are doled out in an easygoing game-day hangout with pool & a patio."
1654895546-655,"https://www.google.com/maps/place/Cahokia+Mounds+State+Historic+Site/@38.6127672,-90.5395312,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+st+louis+il!3m5!1s0x87d8ab52d79595af:0x30679191aa51caf6!8m2!3d38.6550643!4d-90.0618228!15sCht0aGluZ3MgdG8gZG8gaW4gc3QgbG91aXMgaWxaHSIbdGhpbmdzIHRvIGRvIGluIHN0IGxvdWlzIGlskgENaGlzdG9yaWNfc2l0ZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSRGRsQkxRMlIzRUFF",Cahokia Mounds State Historic Site,4.7,cahokiamounds.org,"30 Ramey Street Collinsville, IL 62234",null,null,https://lh5.googleusercontent.com/p/AF1QipPsXidJx6qkM6NIlTEbZZrykes1gh-thvGzcKYa=w408-h306-k-no,null
