web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654894431-604","https://www.google.com/maps/place/Mesker+Park+Zoo/@37.99634,-87.8861724,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+evansville+in!3m6!1s0x8871d489d42febcb:0x26305837715a39cd!8m2!3d37.99634!4d-87.606021!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gZXZhbnN2aWxsZSBpblofIh10aGluZ3MgdG8gZG8gaW4gZXZhbnN2aWxsZSBpbpIBA3pvb5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VRd2JXTjVjMVJSRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Tigers & giraffes are among the 700+ animals in themed exhibits at a 45-acre zoo & botanical garden."
"1654894360-597","https://www.google.com/maps/place/MISSION+BBQ/@37.9905718,-87.5666812,13z/data=!4m6!1m2!2m1!1sfood+in+evansville+in!3m2!1s0x886e2b06f1e8726f:0xa9daf39a6289b746!15sChVmb29kIGluIGV2YW5zdmlsbGUgaW5aFyIVZm9vZCBpbiBldmFuc3ZpbGxlIGlukgETYmFyYmVjdWVfcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNeWJtTllXVFJCUlJBQg","MISSION BBQ","4.7","mission-bbq.com","1530 N Green River Rd, Evansville, IN 47715","null","null","https://lh5.googleusercontent.com/p/AF1QipO2-oH6JW3jzBD79Kjxmdaslay5r2t1MRoWs7Hf=w408-h306-k-no","null"
"1654894391-600","https://www.google.com/maps/place/Garvin+Park/@37.99634,-87.8861724,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+evansville+in!3m6!1s0x8871d50a094ac805:0x228726b2ce501310!8m2!3d37.9943957!4d-87.5637913!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gZXZhbnN2aWxsZSBpblofIh10aGluZ3MgdG8gZG8gaW4gZXZhbnN2aWxsZSBpbpIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlhibUp1VEVwUkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Established in 1915, this public park features a historical bandstand & stone bridges."
"1654894350-596","https://www.google.com/maps/place/MISSION+BBQ/@37.9905718,-87.5666812,13z/data=!4m10!1m2!2m1!1sfood+in+evansville+in!3m6!1s0x886e2b06f1e8726f:0xa9daf39a6289b746!8m2!3d37.9906019!4d-87.4930735!10e1!15sChVmb29kIGluIGV2YW5zdmlsbGUgaW5aFyIVZm9vZCBpbiBldmFuc3ZpbGxlIGlukgETYmFyYmVjdWVfcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNeWJtTllXVFJCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs   Restroom   Free Wi-Fi","null","Casual chain featuring BBQ & classic sides, plus memorabilia honoring soldiers & first responders."
"1654894421-603","https://www.google.com/maps/place/Children's+Museum+of+Evansville/@37.99634,-87.8861724,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+evansville+in!3m2!1s0x8871d5232c444c45:0x93a0020cf03e34d0!15sCh10aGluZ3MgdG8gZG8gaW4gZXZhbnN2aWxsZSBpblofIh10aGluZ3MgdG8gZG8gaW4gZXZhbnN2aWxsZSBpbpIBEGNoaWxkcmVuc19tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkhNMlpIYjBsM0VBRQ","Children's Museum of Evansville","4.4","cmoekids.org","22 SE 5th St, Evansville, IN 47708","null","null","https://lh5.googleusercontent.com/p/AF1QipPLD7JpbLtEEekuVy6Ukp85xPNmHf75jxjYp2WP=w408-h271-k-no","null"
"1654894381-599","https://www.google.com/maps/place/Evansville+African+American+Museum/@37.99634,-87.8861724,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+evansville+in!3m5!1s0x8871d5411fadc023:0x4f3f80f6ced7fbb!8m2!3d37.9705203!4d-87.5567223!15sCh10aGluZ3MgdG8gZG8gaW4gZXZhbnN2aWxsZSBpblofIh10aGluZ3MgdG8gZG8gaW4gZXZhbnN2aWxsZSBpbpIBD2hlcml0YWdlX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSTmFIWTJVMXBuRUFF","Evansville African American Museum","4.7","evvafricanamericanmuseum.org","579 S Garvin St, Evansville, IN 47713","null","null","https://lh5.googleusercontent.com/p/AF1QipNe5z0CVDHRanKAnIfAxixHMODMhLmKn9CFiPKe=w408-h306-k-no","null"
"1654894401-601","https://www.google.com/maps/place/Garvin+Park/@37.99634,-87.8861724,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+evansville+in!3m5!1s0x8871d50a094ac805:0x228726b2ce501310!8m2!3d37.9943957!4d-87.5637913!15sCh10aGluZ3MgdG8gZG8gaW4gZXZhbnN2aWxsZSBpblofIh10aGluZ3MgdG8gZG8gaW4gZXZhbnN2aWxsZSBpbpIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlhibUp1VEVwUkVBRQ","Garvin Park","4.3","visitevansville.com","Evansville, IN 47710","null","null","https://lh5.googleusercontent.com/p/AF1QipNUc15Fojp0UcVxyZuEvekCd1R916vxesyUWp73=w408-h272-k-no","null"
"1654894370-598","https://www.google.com/maps/place/Evansville+African+American+Museum/@37.99634,-87.8861724,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+evansville+in!3m6!1s0x8871d5411fadc023:0x4f3f80f6ced7fbb!8m2!3d37.9705203!4d-87.5567223!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gZXZhbnN2aWxsZSBpblofIh10aGluZ3MgdG8gZG8gaW4gZXZhbnN2aWxsZSBpbpIBD2hlcml0YWdlX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSTmFIWTJVMXBuRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Museum & cultural center dedicated to history & traditions of the African-American community."
"1654894442-605","https://www.google.com/maps/place/Mesker+Park+Zoo/@37.99634,-87.8861724,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+evansville+in!3m5!1s0x8871d489d42febcb:0x26305837715a39cd!8m2!3d37.99634!4d-87.606021!15sCh10aGluZ3MgdG8gZG8gaW4gZXZhbnN2aWxsZSBpblofIh10aGluZ3MgdG8gZG8gaW4gZXZhbnN2aWxsZSBpbpIBA3pvb5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VRd2JXTjVjMVJSRUFF","Mesker Park Zoo","4.3","meskerparkzoo.com","1545 Mesker Park Dr, Evansville, IN 47720","null","null","https://lh5.googleusercontent.com/p/AF1QipPIhJFefLUcD1q77iiNXCTuMLn6iXXM18VjDifF=w408-h306-k-no","null"
"1654894411-602","https://www.google.com/maps/place/Children's+Museum+of+Evansville/@37.99634,-87.8861724,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+evansville+in!3m6!1s0x8871d5232c444c45:0x93a0020cf03e34d0!8m2!3d37.971617!4d-87.569264!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gZXZhbnN2aWxsZSBpblofIh10aGluZ3MgdG8gZG8gaW4gZXZhbnN2aWxsZSBpbpIBEGNoaWxkcmVuc19tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkhNMlpIYjBsM0VBRQ","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Huge building features fun interactive exhibits from building with recycled plastic to water play."
