web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654894237-593","https://www.google.com/maps/place/Eagle+Marsh+Nature+Preserve/@41.0934648,-85.4175044,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+fort+wayne+in!3m2!1s0x8815e7ce782bfe3f:0xefbea80ebf5aa29d!15sCh10aGluZ3MgdG8gZG8gaW4gZm9ydCB3YXluZSBpblofIh10aGluZ3MgdG8gZG8gaW4gZm9ydCB3YXluZSBpbpIBD25hdHVyZV9wcmVzZXJ2ZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSNWFIVmlUVzlSUlJBQg","Eagle Marsh Nature Preserve","4.7","lrwp.org","6801 Engle Rd, Fort Wayne, IN 46804","null","null","https://lh5.googleusercontent.com/p/AF1QipMwRki4Dkgm3PtLzZ-BDRwc7uYk8a9a9eBErePq=w408-h544-k-no","null"
"1654894196-589","https://www.google.com/maps/place/Foellinger-Friemann+Botanical+Conservatory/@41.037965,-85.7869215,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+fort+wayne+in!3m2!1s0x8815e4f25f68d7a9:0x354a3db3235365b4!15sCh10aGluZ3MgdG8gZG8gaW4gZm9ydCB3YXluZSBpblofIh10aGluZ3MgdG8gZG8gaW4gZm9ydCB3YXluZSBpbpIBEGJvdGFuaWNhbF9nYXJkZW6aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkxNMlkzYW5aM1JSQUI","Foellinger-Friemann Botanical Conservatory","4.7","botanicalconservatory.org","1100 S Calhoun St, Fort Wayne, IN 46802","null","null","https://lh5.googleusercontent.com/p/AF1QipMCDzObSaWM7m-ABRXXs_naD-qVnEa8uxYbpTU8=w408-h544-k-no","null"
"1654894166-586","https://www.google.com/maps/place/Shigs+In+Pit+Barbeque/@41.1060315,-85.2673377,12z/data=!4m10!1m2!2m1!1sfood+in+fort+wayne+in!3m6!1s0x8815e4f8330786f5:0x20075660bc105483!8m2!3d41.0675104!4d-85.145467!10e1!15sChVmb29kIGluIGZvcnQgd2F5bmUgaW5aFyIVZm9vZCBpbiBmb3J0IHdheW5lIGlukgETYmFyYmVjdWVfcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs   Restroom","null","Counter-serve establishment with country-style decor & a menu of smoked-meat dinners & sides."
"1654894186-588","https://www.google.com/maps/place/Foellinger-Friemann+Botanical+Conservatory/@41.037965,-85.7869215,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+fort+wayne+in!3m6!1s0x8815e4f25f68d7a9:0x354a3db3235365b4!8m2!3d41.0758189!4d-85.1391042!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gZm9ydCB3YXluZSBpblofIh10aGluZ3MgdG8gZG8gaW4gZm9ydCB3YXluZSBpbpIBEGJvdGFuaWNhbF9nYXJkZW6aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkxNMlkzYW5aM1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Public restroom","null","Indoor-outdoor botanical conservatory is home to endangered flora & educational programs."
"1654894217-591","https://www.google.com/maps/place/Fort+Wayne+Museum+of+Art/@41.037965,-85.7869215,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+fort+wayne+in!3m5!1s0x8815e4925d7e69c9:0x8ee613845418b583!8m2!3d41.081265!4d-85.1360545!15sCh10aGluZ3MgdG8gZG8gaW4gZm9ydCB3YXluZSBpblofIh10aGluZ3MgdG8gZG8gaW4gZm9ydCB3YXluZSBpbpIBCmFydF9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXlhbEJNYlVwQkVBRQ","Fort Wayne Museum of Art","4.6","fwmoa.org","311 E Main St, Fort Wayne, IN 46802","null","null","https://lh5.googleusercontent.com/p/AF1QipOWTNRuOnqGBYs_eET2-SXD-SqW5T9y09dDJPgt=w720-h240-k-no","null"
"1654894247-594","https://www.google.com/maps/place/Science+Central/@41.0934648,-85.4175044,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+fort+wayne+in!3m6!1s0x8815e4848eb9b18b:0x6018151708ad61ee!8m2!3d41.091852!4d-85.139409!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gZm9ydCB3YXluZSBpblofIh10aGluZ3MgdG8gZG8gaW4gZm9ydCB3YXluZSBpbpIBDnNjaWVuY2VfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5TUVwNlluTm5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Ex-power plant turned 30,000-sq.-ft. interactive museum for science, math & technology learning."
"1654894176-587","https://www.google.com/maps/place/Shigs+In+Pit+Barbeque/@41.1060315,-85.2673377,12z/data=!4m9!1m2!2m1!1sfood+in+fort+wayne+in!3m5!1s0x8815e4f8330786f5:0x20075660bc105483!8m2!3d41.0675104!4d-85.145467!15sChVmb29kIGluIGZvcnQgd2F5bmUgaW5aFyIVZm9vZCBpbiBmb3J0IHdheW5lIGlukgETYmFyYmVjdWVfcmVzdGF1cmFudA","Shigs In Pit Barbeque","4.5","shigsinpit.com","2008 Fairfield Ave, Fort Wayne, IN 46802","null","null","https://lh5.googleusercontent.com/p/AF1QipPMV9-SJfLoLI07v1OCklDMmaHJRCR3HdUU1Iqe=w408-h306-k-no","null"
"1654894257-595","https://www.google.com/maps/place/Science+Central/@41.0934648,-85.4175044,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+fort+wayne+in!3m5!1s0x8815e4848eb9b18b:0x6018151708ad61ee!8m2!3d41.091852!4d-85.139409!15sCh10aGluZ3MgdG8gZG8gaW4gZm9ydCB3YXluZSBpblofIh10aGluZ3MgdG8gZG8gaW4gZm9ydCB3YXluZSBpbpIBDnNjaWVuY2VfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5TUVwNlluTm5SUkFC","Science Central","4.0","sciencecentral.org","1950 N Clinton St, Fort Wayne, IN 46805","null","null","https://lh5.googleusercontent.com/p/AF1QipMlE0t-LkxyFw6r9Vh6KsdpHR4g7VYrkt3h6Uod=w408-h272-k-no","null"
"1654894207-590","https://www.google.com/maps/place/Fort+Wayne+Museum+of+Art/@41.037965,-85.7869215,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+fort+wayne+in!3m6!1s0x8815e4925d7e69c9:0x8ee613845418b583!8m2!3d41.081265!4d-85.1360545!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gZm9ydCB3YXluZSBpblofIh10aGluZ3MgdG8gZG8gaW4gZm9ydCB3YXluZSBpbpIBCmFydF9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXlhbEJNYlVwQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restroom   Free Wi-Fi   Restaurant","null","Museum & library devoted to American artists, plus gallery talks, craft workshops, gift shop & more."
"1654894227-592","https://www.google.com/maps/place/Eagle+Marsh+Nature+Preserve/@41.037965,-85.7869215,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+fort+wayne+in!3m6!1s0x8815e7ce782bfe3f:0xefbea80ebf5aa29d!8m2!3d41.037965!4d-85.2266188!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gZm9ydCB3YXluZSBpblofIh10aGluZ3MgdG8gZG8gaW4gZm9ydCB3YXluZSBpbpIBD25hdHVyZV9wcmVzZXJ2ZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSNWFIVmlUVzlSUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Protected, 756-acre wetlands & native wildlife habitat featuring 10+ miles of hiking trails."
