web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654893981-577","https://www.google.com/maps/place/SteelCity+CheeseSteaks/@41.568566,-87.3955689,12z/data=!4m9!1m2!2m1!1sfood+in+gary+in!3m5!1s0x8811c2d1f9c5b3d9:0x39a5ae7c9cedd3a3!8m2!3d41.6015713!4d-87.376341!15sCg9mb29kIGluIGdhcnkgaW5aESIPZm9vZCBpbiBnYXJ5IGlukgEWY2hlZXNlc3RlYWtfcmVzdGF1cmFudJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSSE16WkVXbVYzRUFF","SteelCity CheeseSteaks","4.3","facebook.com","3101 W 5th Ave, Gary, IN 46406","null","null","https://lh5.googleusercontent.com/p/AF1QipMZP7aZoz0toP7youslV06vDwr83i4Edmiv7qI-=w408-h612-k-no","null"
"1654894053-584","https://www.google.com/maps/place/Marquette+Park+Pavilion/@42.4545455,-92.9731391,7z/data=!4m10!1m2!2m1!1sthings+to+do+in+gary+in!3m6!1s0x8811c05547f6514b:0xcb7502b04ac50c59!8m2!3d41.6167081!4d-87.2610675!10e1!15sChd0aGluZ3MgdG8gZG8gaW4gZ2FyeSBpbloZIhd0aGluZ3MgdG8gZG8gaW4gZ2FyeSBpbpIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkxNWFpEV21KbkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Spacious historic pavilion with a formal ballroom & lounge available to rent for events."
"1654894022-581","https://www.google.com/maps/place/Bellaboo's+Play+and+Discovery+Center/@42.4545455,-92.9731391,7z/data=!4m9!1m2!2m1!1sthings+to+do+in+gary+in!3m5!1s0x8811ea01a967cf5f:0xdb5ae857191eeebc!8m2!3d41.5667!4d-87.2995!15sChd0aGluZ3MgdG8gZG8gaW4gZ2FyeSBpbloZIhd0aGluZ3MgdG8gZG8gaW4gZ2FyeSBpbpIBEGNoaWxkcmVuc19tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlBPVTh5VDJSUkVBRQ","Bellaboo's Play and Discovery Center","4.5","mybellaboos.com","2800 Colorado St, Lake Station, IN 46405","null","null","https://lh5.googleusercontent.com/p/AF1QipP-7xF2gxaZTJTDtHWcmJ9Vr4KG-I93rNiWf9zh=w408-h306-k-no","null"
"1654894032-582","https://www.google.com/maps/place/Access+to+West+Beach+-+Indiana+Dunes+National+Park/@42.4545455,-92.9731391,7z/data=!4m10!1m2!2m1!1sthings+to+do+in+gary+in!3m6!1s0x8811bf6e4279ac73:0x78212590cd070dba!8m2!3d41.6150781!4d-87.2182703!10e1!15sChd0aGluZ3MgdG8gZG8gaW4gZ2FyeSBpbloZIhd0aGluZ3MgdG8gZG8gaW4gZ2FyeSBpbpIBDW5hdGlvbmFsX3BhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUmhaMjlZVTFGbkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Lake beach with Chicago skyline views, plus a bath house & covered picnic shelters with grills."
"1654893992-578","https://www.google.com/maps/place/Indiana+Dunes+National+Park/@42.4545455,-92.9731391,7z/data=!4m10!1m2!2m1!1sthings+to+do+in+gary+in!3m6!1s0x8811be838b1641e5:0x33ab95f9d65d070e!8m2!3d41.6505655!4d-87.07082!10e1!15sChd0aGluZ3MgdG8gZG8gaW4gZ2FyeSBpbloZIhd0aGluZ3MgdG8gZG8gaW4gZ2FyeSBpbpIBDW5hdGlvbmFsX3BhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXlYMk5tU2xObkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Park with hotels & eateries, plus 15 miles of shoreline for swimming, hiking, bird-watching & more."
"1654894012-580","https://www.google.com/maps/place/Bellaboo's+Play+and+Discovery+Center/@42.4545455,-92.9731391,7z/data=!4m10!1m2!2m1!1sthings+to+do+in+gary+in!3m6!1s0x8811ea01a967cf5f:0xdb5ae857191eeebc!8m2!3d41.5667!4d-87.2995!10e1!15sChd0aGluZ3MgdG8gZG8gaW4gZ2FyeSBpbloZIhd0aGluZ3MgdG8gZG8gaW4gZ2FyeSBpbpIBEGNoaWxkcmVuc19tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlBPVTh5VDJSUkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Gender-neutral restroom   Good for kids   Restaurant   Restroom   Free Wi-Fi","null","Hands-on learning & play space for kids 9 & under offers age-appropriate spaces plus a WiFi cafe."
"1654894042-583","https://www.google.com/maps/place/Access+to+West+Beach+-+Indiana+Dunes+National+Park/@42.4545455,-92.9731391,7z/data=!4m9!1m2!2m1!1sthings+to+do+in+gary+in!3m5!1s0x8811bf6e4279ac73:0x78212590cd070dba!8m2!3d41.6150781!4d-87.2182703!15sChd0aGluZ3MgdG8gZG8gaW4gZ2FyeSBpbloZIhd0aGluZ3MgdG8gZG8gaW4gZ2FyeSBpbpIBDW5hdGlvbmFsX3BhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUmhaMjlZVTFGbkVBRQ","Access to West Beach - Indiana Dunes National Park","4.4","nps.gov","376 N County Line Rd, Gary, IN 46403","null","null","https://lh5.googleusercontent.com/p/AF1QipMPY3ZRjW39X9J9lt6V1wEPS_XEoR2v_uM27Dwt=w408-h272-k-no","null"
"1654893971-576","https://www.google.com/maps/place/SteelCity+CheeseSteaks/@41.601525,-87.5164177,12z/data=!4m10!1m2!2m1!1sfood+in+gary+in!3m6!1s0x8811c2d1f9c5b3d9:0x39a5ae7c9cedd3a3!8m2!3d41.6015713!4d-87.376341!10e1!15sCg9mb29kIGluIGdhcnkgaW5aESIPZm9vZCBpbiBnYXJ5IGlukgEWY2hlZXNlc3RlYWtfcmVzdGF1cmFudJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSSE16WkVXbVYzRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Unassuming, compact outpost serving cheesesteak sandwiches, burgers & fish 'n' chips at the counter."
"1654894063-585","https://www.google.com/maps/place/Marquette+Park+Pavilion/@42.4545455,-92.9731391,7z/data=!4m9!1m2!2m1!1sthings+to+do+in+gary+in!3m5!1s0x8811c05547f6514b:0xcb7502b04ac50c59!8m2!3d41.6167081!4d-87.2610675!15sChd0aGluZ3MgdG8gZG8gaW4gZ2FyeSBpbloZIhd0aGluZ3MgdG8gZG8gaW4gZ2FyeSBpbpIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkxNWFpEV21KbkVBRQ","Marquette Park Pavilion","4.5","marquetteparkgary.org","1 N Grand Blvd, Gary, IN 46403","null","null","https://lh5.googleusercontent.com/p/AF1QipN9sAqbpETjQdAny9zu2poZGcuimpzJLReduGIR=w408-h306-k-no","null"
"1654894002-579","https://www.google.com/maps/place/Indiana+Dunes+National+Park/@42.4545455,-92.9731391,7z/data=!4m9!1m2!2m1!1sthings+to+do+in+gary+in!3m5!1s0x8811be838b1641e5:0x33ab95f9d65d070e!8m2!3d41.6505655!4d-87.07082!15sChd0aGluZ3MgdG8gZG8gaW4gZ2FyeSBpbloZIhd0aGluZ3MgdG8gZG8gaW4gZ2FyeSBpbpIBDW5hdGlvbmFsX3BhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXlYMk5tU2xObkVBRQ","Indiana Dunes National Park","4.6","nps.gov","1215 N State Rd 49, Porter, IN 46304","null","null","https://lh5.googleusercontent.com/p/AF1QipMdrHsl-UvZLvWpnZVcZ-Nyg-NbMNiU5i3lk7i0=w408-h272-k-no","null"
