web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654894159-1659","https://www.google.com/maps/place/The+Children's+Museum+of+Indianapolis/@39.8032991,-86.358851,11z/data=!3m1!5s0x886b513e8e4f0c39:0xe62b272df29d9e60!4m10!1m2!2m1!1sthings+to+do+in+indianapolis!3m6!1s0x886b513e951d95f3:0xb9504ec89278716a!8m2!3d39.8106132!4d-86.1578917!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gaW5kaWFuYXBvbGlzWh4iHHRoaW5ncyB0byBkbyBpbiBpbmRpYW5hcG9saXOSARBjaGlsZHJlbnNfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15TFZBdFltTlJFQUU","null","null","null","null","Accessibility    Assistive hearing loop   Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Huge, interactive kids' museum includes a planetarium, carousel, science labs, library & much more."
"1654894098-1653","https://www.google.com/maps/place/Harry+%26+Izzy's/@39.8272495,-86.2739256,11z/data=!3m1!5s0x886b50bc8e3baae3:0x7edf0a3a479cd1fc!4m10!1m2!2m1!1sfood+in+indianapolis!3m6!1s0x886b50bca7c89873:0x89db4a5ed9361cc8!8m2!3d39.764575!4d-86.15966!10e1!15sChRmb29kIGluIGluZGlhbmFwb2xpc1oWIhRmb29kIGluIGluZGlhbmFwb2xpc5IBE2FtZXJpY2FuX3Jlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlhYM0YyVEV0UkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   High chairs   Restroom   Free Wi-Fi","null","Upscale steakhouse with a notable wine selection & a contemporary spin on chops, seafood & pizza."
"1654894108-1654","https://www.google.com/maps/place/Harry+%26+Izzy's/@39.8272495,-86.2739256,11z/data=!3m1!5s0x886b50bc8e3baae3:0x7edf0a3a479cd1fc!4m9!1m2!2m1!1sfood+in+indianapolis!3m5!1s0x886b50bca7c89873:0x89db4a5ed9361cc8!8m2!3d39.764575!4d-86.15966!15sChRmb29kIGluIGluZGlhbmFwb2xpc1oWIhRmb29kIGluIGluZGlhbmFwb2xpc5IBE2FtZXJpY2FuX3Jlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlhYM0YyVEV0UkVBRQ","Harry & Izzy's","4.7","harryandizzys.com","153 S Illinois St, Indianapolis, IN 46225","null","null","https://lh5.googleusercontent.com/p/AF1QipNhViEVI-CRju8kORoayrZHBRz5nleZoGblC4wN=w408-h292-k-no","null"
"1654894139-1657","https://www.google.com/maps/place/White+River+State+Park/@39.8032991,-86.358851,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+indianapolis!3m6!1s0x886b50b232bf8c67:0x9ba7e83083e863d7!8m2!3d39.7665464!4d-86.1707858!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gaW5kaWFuYXBvbGlzWh4iHHRoaW5ncyB0byBkbyBpbiBpbmRpYW5hcG9saXOSAQpzdGF0ZV9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ4TmkxdFpVcDNFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Public restroom","null","Park home to myriad cultural venues also offers bike rentals, gondola rides & Segway tours."
"1654894190-1662","https://www.google.com/maps/place/Indianapolis+Zoo/@39.8032991,-86.358851,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+indianapolis!3m2!1s0x886b574c2abf5f2b:0x1c28cd32c964346b!15sChx0aGluZ3MgdG8gZG8gaW4gaW5kaWFuYXBvbGlzWh4iHHRoaW5ncyB0byBkbyBpbiBpbmRpYW5hcG9saXOSAQN6b2-aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmhYMlkzTFVaUkVBRQ","Indianapolis Zoo","4.5","indianapoliszoo.com","1200 W Washington St, Indianapolis, IN 46222","null","null","https://lh5.googleusercontent.com/p/AF1QipNG_Ym7Z6PkLLZd9I2R0WN0CL7kOwz-kAm2me4C=w408-h272-k-no","null"
"1654894149-1658","https://www.google.com/maps/place/White+River+State+Park/@39.8032991,-86.358851,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+indianapolis!3m5!1s0x886b50b232bf8c67:0x9ba7e83083e863d7!8m2!3d39.7665464!4d-86.1707858!15sChx0aGluZ3MgdG8gZG8gaW4gaW5kaWFuYXBvbGlzWh4iHHRoaW5ncyB0byBkbyBpbiBpbmRpYW5hcG9saXOSAQpzdGF0ZV9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ4TmkxdFpVcDNFQUU","White River State Park","4.7","whiteriverstatepark.org","801 W Washington St, Indianapolis, IN 46204","null","null","https://lh5.googleusercontent.com/p/AF1QipOnwAEppCCQCMgz85QBNod4ray46Puj2tcZTtal=w426-h240-k-no","null"
"1654894180-1661","https://www.google.com/maps/place/Indianapolis+Zoo/@39.8032991,-86.358851,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+indianapolis!3m6!1s0x886b574c2abf5f2b:0x1c28cd32c964346b!8m2!3d39.7657908!4d-86.1811731!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gaW5kaWFuYXBvbGlzWh4iHHRoaW5ncyB0byBkbyBpbiBpbmRpYW5hcG9saXOSAQN6b2-aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmhYMlkzTFVaUkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Zoo with an aquarium, rides, shows, petting & play areas, plus an indoor/outdoor garden."
"1654894129-1656","https://www.google.com/maps/place/Eiteljorg+Museum/@39.8032991,-86.358851,11z/data=!3m1!5s0x886b50b128dfe35f:0xd685a36c1ffebf40!4m9!1m2!2m1!1sthings+to+do+in+indianapolis!3m5!1s0x886b50b0e2486d47:0x9a0cc030233deea8!8m2!3d39.768575!4d-86.1677919!15sChx0aGluZ3MgdG8gZG8gaW4gaW5kaWFuYXBvbGlzWh4iHHRoaW5ncyB0byBkbyBpbiBpbmRpYW5hcG9saXOSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnRhRXd0TnpSblJSQUI","Eiteljorg Museum","4.6","eiteljorg.org","500 W Washington St, Indianapolis, IN 46204","null","null","https://lh5.googleusercontent.com/p/AF1QipMWSrzYuvkyqIWJY4vl-D8jwzGMobcFK5Wix8Nu=w408-h306-k-no","null"
"1654894118-1655","https://www.google.com/maps/place/Eiteljorg+Museum/@39.8032991,-86.358851,11z/data=!3m1!5s0x886b50b128dfe35f:0xd685a36c1ffebf40!4m10!1m2!2m1!1sthings+to+do+in+indianapolis!3m6!1s0x886b50b0e2486d47:0x9a0cc030233deea8!8m2!3d39.768575!4d-86.1677919!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gaW5kaWFuYXBvbGlzWh4iHHRoaW5ncyB0byBkbyBpbiBpbmRpYW5hcG9saXOSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnRhRXd0TnpSblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Museum exploring the art & culture of the American West, plus cafe, workshops & kids' activities."
"1654894170-1660","https://www.google.com/maps/place/The+Children's+Museum+of+Indianapolis/@39.8032991,-86.358851,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+indianapolis!3m2!1s0x886b513e951d95f3:0xb9504ec89278716a!15sChx0aGluZ3MgdG8gZG8gaW4gaW5kaWFuYXBvbGlzWh4iHHRoaW5ncyB0byBkbyBpbiBpbmRpYW5hcG9saXOSARBjaGlsZHJlbnNfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15TFZBdFltTlJFQUU","The Children's Museum of Indianapolis","4.7","childrensmuseum.org","3000 N Meridian St, Indianapolis, IN 46208","null","null","https://lh5.googleusercontent.com/p/AF1QipOi4W3XlMbLdm8BHOpOPCpvV8qonpxOzWKEkv8L=w408-h306-k-no","null"
